"","germplasmName","replicate","plotNumber","rowNumber","colNumber","NDRE_62","NDVI_62","NDRE_76","NDVI_76","NDRE_90","NDVI_90","NDRE_96","NDVI_96","NDRE_104","NDVI_104","NDRE_110","NDVI_110","NDRE_114","NDVI_114","NDRE_124","NDVI_124","NDRE_130","NDVI_130","NDRE_138","NDVI_138","NDRE_144","NDVI_144","NDRE_150","NDVI_150","NDRE_160","NDVI_160","NDRE_166","NDVI_166","NDRE_174","NDVI_174","NDRE_180","NDVI_180","NDRE_188","NDVI_188","NDRE_194","NDVI_194","NDRE_200","NDVI_200","NDRE_206","NDVI_206","NDRE_216","NDVI_216","NDRE_222","NDVI_222","NDRE_228","NDVI_228","NDRE_236","NDVI_236","NDRE_240","NDVI_240","NDRE_250","NDVI_250","NDRE_256","NDVI_256","NDRE_264","NDVI_264","NDRE_270","NDVI_270","NDRE_278","NDVI_278","NDRE_284","NDVI_284","NDRE_292","NDVI_292"
"1","SW_8421S",1,100,1,8,0.452353668127177,0.50529286200493,0.461576538876328,0.482267331226396,0.35461019864808,0.409757703591083,0.422460608804338,0.516661909870189,0.32323350908991,0.474185409457901,0.474924196053448,0.59965372940427,0.461050911592707,0.546104231166151,0.301080607633571,0.333463729878541,0.404663952932279,0.478717204408706,0.388480211005319,0.461626668405722,0.451525963183327,0.519151212796554,0.399253053159867,0.435629481534466,0.496079112707381,0.469579470408168,0.421852327597033,0.433431328050914,0.359303093943617,0.405763186,0.390372843321193,0.518068461906339,0.346044778540035,0.196076809549295,0.357864085380988,0.45362442293373,0.30387606519401,0.443032065146734,0.453596786813034,0.530657021242288,0.437545739,0.395445782775201,0.260131121166415,0.366470387129211,0.259518738831363,0.454635431201195,0.3308632246281,0.497187168,0.376866735066119,0.474135886912905,0.355389397785381,0.359885590258617,0.297435393308181,0.381350054023416,0.322488313190482,0.46675181577651,0.40423756059177,0.526371207963211,0.302479884854062,0.495678319462562,0.213909781107013,0.457540675395347,0.222727713421259,0.473455025659027
"2","SW_1011",1,101,1,7,0.489160690704244,0.526384333784665,0.464665596844023,0.486025107400164,0.333071883671649,0.385085204734654,0.396561984338658,0.498336105397488,0.295125329543582,0.450736323941341,0.470746558462573,0.60732584866363,0.442379523328721,0.529030016329482,0.22872664549514,0.210377093195915,0.403491301886561,0.470494608949887,0.348396431948041,0.443445280278429,0.441301136,0.4979916753026,0.388433659120979,0.43155176153986,0.428227964445272,0.321307047344254,0.418771278747012,0.439651174403898,0.313406590530774,0.355536675798114,0.346532759445241,0.488315062346626,0.316508465734472,0.163948951,0.358788940821614,0.403262691,0.298989532067807,0.424282087336927,0.419419122245521,0.487728727513519,0.33948233948234,0.27662863610576,0.274491976788672,0.332867223914798,0.252470391665438,0.456729863875375,0.282419229155428,0.518221260811464,0.321674687072312,0.497647567457593,0.31459367987345,0.301400139793253,0.312337354092495,0.370238942912305,0.308083448223039,0.466265318627451,0.387857001,0.528223687392194,0.29358383404328,0.47694036,0.217208934855994,0.459461391394165,0.224674689559005,0.457084134631271
"3","SW_9813",2,102,1,6,0.527021212577102,0.522154188188489,0.481499673133216,0.50092497054035,0.328528709516266,0.393932395698328,0.404971831193092,0.485963157456031,0.300300162588069,0.434959040313503,0.430709987966306,0.563491020532231,0.448646622062979,0.534433815315994,0.286514346306715,0.221944413099121,0.396547563421962,0.466620504073004,0.309047432720317,0.44346133501442,0.424538175940191,0.488874969481137,0.389096501345636,0.457521790547939,0.309156458810876,0.215229974839278,0.38451861454653,0.407116334859124,0.303605943802022,0.383472990335735,0.328295258065703,0.488329654563514,0.302742181916755,0.159419280908844,0.371634450235791,0.3941242,0.300379392263234,0.42115771765809,0.406851476,0.489358516979355,0.337919380595573,0.25598340398462,0.278434389140272,0.327397888386124,0.299805047612054,0.443487013781792,0.3008774342321,0.49004640158527,0.343825377792039,0.469761436970233,0.398067433683127,0.37361305796966,0.28995668950311,0.378423497913221,0.305809637108434,0.454384849486703,0.398010808944887,0.541668914035447,0.303584995971915,0.488517597171239,0.237848472722422,0.468163162700978,0.24590425087341,0.476864751015496
"4","DONA_ANA",2,103,1,5,0.530059113708909,0.532223355304067,0.487375424167962,0.505515270046638,0.337125884208798,0.395501331220512,0.419343430864064,0.486750517506651,0.316209648281708,0.439575429746668,0.458257449403799,0.595753653,0.436988677768585,0.519088028076792,0.44635041922131,0.342362219392187,0.397471523556821,0.463485254792699,0.321072521047075,0.445642511031104,0.446780079553189,0.496727579920857,0.415199449659262,0.460876754,0.291063616902457,0.197576942169273,0.393949069247952,0.41551412261107,0.317458822033985,0.401091848150672,0.357331420373027,0.497289114520104,0.278510550337176,0.170132035147515,0.375763117398858,0.40109089103996,0.303376494023904,0.437644910553863,0.42502578999311,0.495551272740815,0.32764172247673,0.232981023655342,0.289649446457508,0.338474157667971,0.276259969156202,0.458146924187902,0.289324285729397,0.498107266643395,0.319557297627222,0.489623865110246,0.33521465621896,0.282843137254902,0.290058534792766,0.39571707308537,0.334217218137255,0.484986404718137,0.407044995763903,0.555711565707858,0.294767383275247,0.500934297694444,0.223375456,0.460104186470969,0.223254272832128,0.456123141449093
"5","NM1715PAR",3,104,1,4,0.522584375846732,0.536258318629103,0.520636578266898,0.501394492815177,0.311530053488757,0.335390552552616,0.43042299402612,0.460989020001509,0.277539391825106,0.379692902802147,0.430167014352991,0.57814098159969,0.397184538887325,0.44612424555149,0.421083401845254,0.327746342896344,0.419134582725807,0.441030664347278,0.301535983942727,0.330306653,0.4263480818118,0.451355919496752,0.392121098414448,0.41958517285116,0.259880377070163,0.190348405433159,0.434511148753213,0.418901806524213,0.311839196806517,0.328259165,0.323366074384726,0.443908325056101,0.269205336093382,0.167779927220155,0.430838421444527,0.366540580789278,0.278827114530763,0.393254657699929,0.379430179697335,0.44039369602621,0.358374206177082,0.199003295778512,0.329335947712418,0.306940372046254,0.326687914616533,0.394889917015495,0.292007654497281,0.46080056065065,0.334171390826404,0.473711341173468,0.284962292609351,0.263788765036972,0.277937779377794,0.340406345,0.295208008,0.427203068382082,0.388894454420957,0.50934192319921,0.265225131,0.498015201284351,0.231159106176407,0.451260250706617,0.285660732105447,0.485532524435457
"6","NM170506PAR",3,105,1,3,0.502428998880029,0.521662905571436,0.488643773500056,0.48444705382684,0.326535186,0.334900997166249,0.409841155803128,0.465778129890069,0.300935079914319,0.38756024468611,0.451989577887863,0.593547750035266,0.418342152499906,0.478585630056218,0.404976204421661,0.287568444752524,0.40807395,0.455452721810324,0.291031729719607,0.379449993834012,0.424826719008771,0.471233992380407,0.40269835034582,0.452189734659936,0.222175749255398,0.171647547468354,0.368774393614423,0.370484109726396,0.293186183382262,0.397844156014091,0.339814132640531,0.493979899,0.26093108872995,0.167922363320845,0.320912939422121,0.329151802045611,0.280245681605976,0.427288748832866,0.378708238738912,0.461344092818886,0.328197852380859,0.176115611409729,0.275618891953553,0.331970659343521,0.303316330040788,0.450396186544793,0.263133834724323,0.502666328174859,0.34229094068482,0.501600303246957,0.272717323327079,0.281249862046132,0.294387587,0.387651132720478,0.31318125174843,0.465664657562117,0.384582937038888,0.538502624946937,0.303647167085139,0.526272011,0.233713827411306,0.456486697243,0.242657506,0.47157297360547
"7","NM1704PAR",4,106,1,2,0.470313758922154,0.521731441084533,0.482118917473213,0.455283252260836,0.330539740418047,0.342958890010073,0.38856920112381,0.465084081477886,0.269422818146867,0.388454474927226,0.432407530011367,0.563444717874408,0.413985923168794,0.487622360594149,0.457270234301814,0.384260348882405,0.405628318484044,0.438405451050094,0.309996485660044,0.383288045447299,0.428064100451644,0.4963245750789,0.419402274685004,0.470243674536084,0.254757517799872,0.176651433966488,0.41702636,0.395269159153903,0.292816788633782,0.400882446045845,0.354575837839826,0.514334694478167,0.296910726012893,0.170537615119658,0.399545693720526,0.332430876147927,0.262256014413431,0.421840856974188,0.40730530110731,0.473658536585366,0.353009482096983,0.166802714960996,0.283072498743087,0.328968124685772,0.27639372353186,0.48045452987687,0.313684589102679,0.496410047565151,0.343677819881375,0.505407816198488,0.357444145773439,0.366774041641701,0.287866761162296,0.343765825830555,0.300121017156863,0.45214537377451,0.395518207282913,0.533327400279752,0.278649799269888,0.542249222191885,0.233707500094055,0.478340053970306,0.278452520205925,0.495994005960996
"8","NM1712PAR",4,107,1,1,0.495132073726019,0.5311846983485,0.548204481,0.467783093700423,0.302509246820469,0.327377111607096,0.380995941960522,0.455966663058062,0.241388099,0.371260366891855,0.438080539028984,0.586676292184246,0.395213048682976,0.462904401172742,0.475576082264458,0.365072533,0.402235695694681,0.426528291477372,0.316033855788058,0.343163061819297,0.394865975587315,0.453323689573153,0.373551398033548,0.427056204720501,0.292409329238024,0.211445147679325,0.419032729840133,0.396205201531921,0.355854827750253,0.345313006750915,0.322107199352537,0.458579075157267,0.281985345457831,0.171951214503397,0.430936311739886,0.360350856291884,0.266835901027077,0.401595276999689,0.376695416041382,0.448463676658403,0.298156282948249,0.179055854378666,0.313652779530445,0.328284849541001,0.292642823921079,0.440502117451225,0.300600822958207,0.473782928024653,0.338330715576498,0.476878170159824,0.336642754662841,0.346311665379097,0.278893001198695,0.337880673018873,0.310028662471378,0.438745482340508,0.376523964843085,0.501879466,0.300192122718699,0.504791742137501,0.233509681398955,0.452382726846395,0.29304598565769,0.471968306504187
"9","NUMEX_BILL_MELTON_CA_2019",4,108,2,1,0.47830416395032,0.531500091937883,0.482904409162263,0.465120357762982,0.316720022555801,0.353965109888149,0.382259445521558,0.468231324653,0.28854115175482,0.391167030537705,0.444884286342552,0.609871134234481,0.394771605399948,0.47969675155504,0.509362221183349,0.37062441675309,0.385726597888038,0.436743536344259,0.294028339347565,0.383190585916554,0.386975475462834,0.477566741595737,0.424258965023266,0.475057408590866,0.310735987619173,0.240742849634269,0.430458261,0.422134346703531,0.346895486149432,0.346853916050473,0.322024894334794,0.48185955990834,0.302960030165912,0.171798318169286,0.430680565897245,0.396729709605361,0.272736150015562,0.401916238717709,0.360828458963323,0.480654269212375,0.283765966909302,0.16903634647466,0.281760281548517,0.329588134741076,0.276564155486756,0.428337117303062,0.259576591830762,0.469003720891342,0.286007479841396,0.445209129684987,0.340583636831843,0.323018615,0.300611084542218,0.328410825938325,0.291415824142157,0.41283873314951,0.36877434550231,0.50264268040761,0.305893179102178,0.476441857269559,0.237014292896646,0.448978052759565,0.26762359814165,0.459054171044893
"10","NUMEX_BILL_MELTON_CA_2019",4,109,2,2,0.483073912863243,0.516240600257016,0.467421894589038,0.45164719255136,0.362164725627708,0.330002186092923,0.392995043,0.455462114576465,0.279808075190861,0.364416673532158,0.449567661424306,0.601934551692837,0.380947809046741,0.434316083224143,0.47288092180327,0.398458347438729,0.404802035657789,0.430470314262177,0.305348709202963,0.351849345352499,0.396003358608401,0.46287557758146,0.403358915578591,0.446375197143544,0.262434265636634,0.188662858339538,0.421772231006478,0.39897614802641,0.340778183389374,0.335858773304971,0.315166280395836,0.464081043299121,0.276046760257287,0.157625656077668,0.394932141970712,0.365775725986597,0.268620420279666,0.389059057886103,0.366467722323781,0.457528768093965,0.30835923031045,0.157133440060269,0.297430489204569,0.324588223275826,0.297034784950185,0.421035862035201,0.282776767423387,0.453675076995973,0.31742382498467,0.426711388787633,0.355579192708763,0.317695249298673,0.279426026546272,0.329561557777953,0.291811274156586,0.421076100133093,0.375217193957588,0.518902222682313,0.312351233974159,0.496080013657619,0.239795513982365,0.455133317278646,0.27530250602915,0.485777414281221
