"","Harvest","Rep1","Rep2","Base","Spa(AR)","PEE","Model","Delta"
"1","YLD1","1","2",0.737763062276659,0.728038732389414,0.635770565370912,"AR",-0.00972432988724503
"2","YLD1","1","2",0.737763062276659,0.728038732389414,0.635770565370912,"RR",-0.101992496905747
"3","YLD1","1","3",0.626142751279831,0.566444433900558,0.787779632181723,"AR",-0.0596983173792737
"4","YLD1","1","3",0.626142751279831,0.566444433900558,0.787779632181723,"RR",0.161636880901892
"5","YLD1","1","4",0.598188180814145,0.758103909418453,0.690896944597243,"AR",0.159915728604307
"6","YLD1","1","4",0.598188180814145,0.758103909418453,0.690896944597243,"RR",0.0927087637830976
"7","YLD1","2","3",0.556153441730249,0.63783202632659,0.745260388073261,"AR",0.0816785845963414
"8","YLD1","2","3",0.556153441730249,0.63783202632659,0.745260388073261,"RR",0.189106946343013
"9","YLD1","2","4",0.722278098220188,0.836212314711908,0.626334143737862,"AR",0.11393421649172
"10","YLD1","2","4",0.722278098220188,0.836212314711908,0.626334143737862,"RR",-0.0959439544823263
"11","YLD1","3","4",0.530674367740113,0.682981275810361,0.773467480584082,"AR",0.152306908070248
"12","YLD1","3","4",0.530674367740113,0.682981275810361,0.773467480584082,"RR",0.242793112843969
"13","YLD2","1","2",0.38555618370307,0.765232141843427,0.926350384306472,"AR",0.379675958140357
"14","YLD2","1","2",0.38555618370307,0.765232141843427,0.926350384306472,"RR",0.540794200603403
"15","YLD2","1","3",0.806506521676382,NA,0.901455789529455,"AR",NA
"16","YLD2","1","3",0.806506521676382,NA,0.901455789529455,"RR",0.0949492678530724
"17","YLD2","1","4",0.634853325484415,0.894975969435355,0.907237275972071,"AR",0.260122643950939
"18","YLD2","1","4",0.634853325484415,0.894975969435355,0.907237275972071,"RR",0.272383950487656
"19","YLD2","2","3",0.639459756090845,NA,0.908688042886857,"AR",NA
"20","YLD2","2","3",0.639459756090845,NA,0.908688042886857,"RR",0.269228286796012
"21","YLD2","2","4",0.813489799537472,0.853698842002619,0.916237771960238,"AR",0.0402090424651473
"22","YLD2","2","4",0.813489799537472,0.853698842002619,0.916237771960238,"RR",0.102747972422766
"23","YLD2","3","4",0.637358367404573,NA,0.914819617192845,"AR",NA
"24","YLD2","3","4",0.637358367404573,NA,0.914819617192845,"RR",0.277461249788272
"25","YLD3","1","2",0.402858126756465,0.723460092363502,0.711579009314443,"AR",0.320601965607037
"26","YLD3","1","2",0.402858126756465,0.723460092363502,0.711579009314443,"RR",0.308720882557978
"27","YLD3","1","3",0.565058525334742,NA,0.804017295879542,"AR",NA
"28","YLD3","1","3",0.565058525334742,NA,0.804017295879542,"RR",0.238958770544799
"29","YLD3","1","4",0.351984248719377,0.502534596275051,0.702364886304309,"AR",0.150550347555674
"30","YLD3","1","4",0.351984248719377,0.502534596275051,0.702364886304309,"RR",0.350380637584932
"31","YLD3","2","3",0.765297392813657,NA,0.753516953381718,"AR",NA
"32","YLD3","2","3",0.765297392813657,NA,0.753516953381718,"RR",-0.011780439431939
"33","YLD3","2","4",0.843768959670722,0.799477330472549,0.719401526107404,"AR",-0.0442916291981728
"34","YLD3","2","4",0.843768959670722,0.799477330472549,0.719401526107404,"RR",-0.124367433563318
"35","YLD3","3","4",0.701836306122634,NA,0.660453436403647,"AR",NA
"36","YLD3","3","4",0.701836306122634,NA,0.660453436403647,"RR",-0.0413828697189866
"37","YLD5","1","2",0.383935653666439,0.366825799158113,0.500200070317259,"AR",-0.0171098545083251
"38","YLD5","1","2",0.383935653666439,0.366825799158113,0.500200070317259,"RR",0.116264416650821
"39","YLD5","1","3",0.393104953534911,0.434065655077549,0.42606564522266,"AR",0.0409607015426386
"40","YLD5","1","3",0.393104953534911,0.434065655077549,0.42606564522266,"RR",0.0329606916877496
"41","YLD5","1","4",0.365643363903863,0.40867430813407,0.418260763329944,"AR",0.0430309442302069
"42","YLD5","1","4",0.365643363903863,0.40867430813407,0.418260763329944,"RR",0.0526173994260811
"43","YLD5","2","3",0.616268095263576,0.633583788543256,0.693053974729785,"AR",0.0173156932796804
"44","YLD5","2","3",0.616268095263576,0.633583788543256,0.693053974729785,"RR",0.0767858794662095
"45","YLD5","2","4",0.694924925500596,0.736694979576237,0.76529809807505,"AR",0.0417700540756405
"46","YLD5","2","4",0.694924925500596,0.736694979576237,0.76529809807505,"RR",0.0703731725744535
"47","YLD5","3","4",0.806650106366319,0.796476469277876,0.817706665444446,"AR",-0.0101736370884429
"48","YLD5","3","4",0.806650106366319,0.796476469277876,0.817706665444446,"RR",0.0110565590781276
