"Germplasm","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","yld1","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","yld2","GNDVI_166","GNDVI_174","GNDVI_180","yld3","GNDVI_256","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld5"
"AMERISTAND_803T",0.368564892620672,-0.0455853947057351,0.266610787556214,0.580839568687141,0.476177020558751,0.605764824102886,1.00221658856274,1.18870035133024,0.508305804657856,0.444948201629665,0.289356490334512,0.410916162467922,1.01852238878638,1.05451341747825,0.970650909190474,0.00947815157016066,0.379634527933907,0.07953162864468,0.343791774288691,0.410477835447627,0.154255514746413,0.0481232129050099
"MESQUITE",0.373162956865456,0.191332655426942,-0.442090768169355,-0.389864466393358,-0.0658269501676284,-0.254252826199145,0.268284922628769,0.460036546995727,0.249847150361692,0.280890150772412,0.507948295783087,0.454976930727015,0.474587187639215,0.423408149190996,0.372735359148526,0.117473253268772,0.149972528621744,0.0378180556972634,0.318284262728477,-0.22921409244975,-0.320134586535824,0.184308306582946
"NM1701PAR",0.268422483360419,0.205658043694786,0.345138969128467,0.592577960934128,0.49005341533252,0.892157715685206,-0.0614353826680418,0.369648866679314,0.488257330822325,0.507213396643767,0.666696260479833,-0.388984524626006,-0.178313561447619,-0.0419351078510268,0.376488249136805,-0.0201466265635476,-0.00463321518049546,0.300197739791354,-0.540556780924288,-0.0154157490556816,0.0476767319594935,0.764799233040089
"NM1702PAR",0.421004936751719,0.524280678324016,-0.807032277681803,-0.518090316919081,-1.5780833787026,0.658566724672747,0.0759261429563882,-0.330859546947653,0.0252143955925788,-0.166435572442041,-0.121097134853278,-0.0756520304310496,-0.0146553831730444,-1.21387539748313,0.208315779193573,-0.286331655916998,-0.43493738542549,-0.335267299422648,-0.598708757567169,-0.459772350721674,-0.024099470727175,-0.325419078310313
"NM1703PAR",0.3535912093654,0.567683250976471,0.488162977576939,0.607859945672604,-0.236718323393175,-0.0123844620267071,0.138725346737274,-0.379686102717829,-0.0814080187405013,0.452553265844884,0.166571685329469,0.328299567745565,-0.308405742980964,-0.198308896920724,0.1769494982817,-0.290007724694042,-0.759710150041152,-0.283942208422814,-0.245751510529717,-0.140547676360633,0.84106985417275,0.486807823218258
"NM1704PAR",0.64606541027175,0.564808320727726,0.532457542819028,0.22945357813754,-0.0725936553134695,0.627708866474132,-0.0359973898679956,0.136131574097159,0.558864361332682,0.703722897774842,0.237310967045839,0.0995789535916801,0.0853494718463295,-0.168723484677574,-0.189466272711328,0.206540382354317,0.224329590920909,0.54115896961763,0.238776527674149,0.511105196501032,0.810717956165441,0.789292158064812
"NM1705PAR",0.399680585157485,0.527353340441875,-0.307880290069134,0.294531835846639,0.527659070905244,0.0260984991654875,0.702213267826062,0.554703634936356,0.635298453470073,0.773307143777078,0.220911367921383,0.805694248866338,0.792934490241564,-0.06892018072376,0.686342684958035,0.279819995005298,0.0513011661878952,0.304814710347018,0.344599990856574,0.536980950399438,0.886722511445911,-0.0790042510291942
"NM170506PAR",0.689419051931553,1.21319540387312,0.848051172980029,1.10323340633348,1.00775656339548,1.33863116732571,1.23721264408252,1.26579107219996,1.48013641047961,1.8817448516603,1.21728827419503,1.41965991606265,1.83554643186192,1.32836740605879,1.72510912357484,0.785617420348764,0.65472219791806,0.752100313271176,1.12291187157344,1.19208571937487,1.27959490503215,1.05273621374061
"NM1712PAR",-1.63939130288517,-1.63130580474249,-1.29101058727881,-1.70804366916868,-1.6195784827336,-1.12207183289019,-1.45599072513909,-1.55358170023479,-1.61604125107762,-1.64700140890457,-1.51009895716419,-0.897626185430577,-1.1201142915374,-1.16883555911808,-1.46796097406281,-1.80127860702139,-1.75610601101381,-2.01803039959102,-1.59111178774788,-0.649746868814487,-0.0988239193231695,-1.72770968382889
"NM1713PAR",-2.16420484794176,-2.01434691858338,-1.28578971622946,-1.66974671276791,-1.21373694415887,-1.71634586705055,-1.44798391577479,-1.62439367311045,-1.7234581436148,-1.81408993504468,-2.34996078704665,-1.07770277825328,-1.28049498695878,-0.956088558532977,-2.01144594859625,-2.26522174101181,-2.08190157092493,-2.14309751845692,-1.24828606588357,-0.372031300825833,0.147767281217898,-2.52856617519373
"NM1715PAR",-2.90344309697692,-2.91121246182222,-1.64495145949771,-2.09324627456461,-1.68667163254513,-2.33806940537468,-2.048057272502,-1.52106002664619,-1.91447168480256,-1.94036272510962,-2.53910777950443,-1.4570348453565,-1.33597222195245,-0.96760732652291,-2.02307327993116,-1.29470593288309,-1.23301245373804,-1.19839279776198,-0.442585641817283,0.835317942648426,1.02617698537474,-1.4194061529568
