"Germplasm","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","GNDVI_114","yld1","GNDVI_124","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","yld2","GNDVI_166","GNDVI_174","GNDVI_180","yld3","GNDVI_188","GNDVI_194","GNDVI_200","GNDVI_206","yld4","GNDVI_216","GNDVI_222","GNDVI_228","GNDVI_236","GNDVI_240","yld5","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld6"
"AMERISTAND_803T",0.0225454210956922,0.01757492103598,0.016135590336949,0.0146589820394945,0.0158768901345026,0.0153750470626124,0.760499895506757,0.00177286857831585,0.0273216748456954,0.0192716223699297,0.0223709658067553,0.0223905698328744,0.497870564327426,0.0111285303883799,0.00925010685217818,0.0136161693451895,0.450580195099548,-0.00216299103643422,0.0245752639218237,0.0205717436973786,0.0239511819968319,0.727293167171665,0.00471835817371589,0.0186661463515485,0.0197807794102922,0.0203041454913806,0.0192150281577174,0.766969942908853,0.0191525541079282,0.0180622322533886,0.0127105901841867,0.00917974320754532,0.00614561093080757,0.519792052784894
"MESQUITE",0.0113537603074114,0.00694242589264514,0.00297089341041626,0.00701132774816965,0.0026826205945818,0.00613578225449079,0.109158003554297,-0.00180131847199632,0.0151171236225716,0.012081159812998,0.0112473951252815,0.0164389885616408,0.307689666855712,0.014658387686817,0.00818732855709584,0.0105179836086807,0.227450692532351,-0.00206198571430863,0.0109374778515282,0.010045675834608,0.00791010944017065,0.214773847002672,0.00364402233535228,0.0106815074860439,0.0069032137888412,0.00548892792641842,0.00450030045520646,0.234581280159638,0.00856619716402803,0.00777569593057777,0.00159927565825647,-0.00148616365604656,-0.00257688548911765,0.0426354243453771
"NM1701PAR",0.0101331852529033,0.00381494029312365,0.0022200406194966,-0.000755574689811567,0.00220959784456081,-0.00381533582863711,0.239703019098306,-0.00188646622195703,-0.00257257928549275,0.00151033801892657,-0.00221440796868986,0.0062297341232487,0.23183276242084,0.000643525168381065,0.00608707196899488,0.00420223529520007,0.0258351699854328,-0.00685553955611602,-0.013271718296416,-0.00952930298816732,0.00340550470685618,-0.0339986503858704,-0.00349651008866173,-0.0105509571011215,-0.0100882799689429,-0.000272811490414935,0.00446777653940466,0.179090898775984,-0.00790564878163367,0.0035734093135566,-0.00432802728210719,0.0038522415360442,0.00832731286809873,0.0592016647531991
"NM1702PAR",-0.00404836012118465,-0.0124884430846789,-0.0276210816276333,-0.0313063871563136,-0.0253693965478563,-0.021966298873852,-0.484720781502957,-0.000246591483898845,-0.0146283576382877,-0.0242013663228383,-0.0260179192392736,-0.0172373313484766,-0.375135782650695,-0.00419706395926054,-0.0136805836723953,-0.0163946875138524,-0.314486067959274,-0.00146806299782833,-0.0150773558002412,-0.0181515148394276,-0.0153685638422969,-0.17648589338284,0.00095103138492847,-0.00965692260792829,-0.0113657405443066,-0.0110101468656668,-0.0123880760935149,-0.208019219424036,-0.0170621091862204,-0.0221598056608408,-0.010680752437533,-0.0121702715929323,-0.00836240864438898,-0.225604904873685
"NM1703PAR",0.0239323674093958,0.0153357610769314,0.00823844608443387,0.0135762301939179,0.0090144970469969,0.00472358070863536,0.676792511451703,-0.011164985693927,0.0220679310978017,0.013831258456982,0.0158851249308524,0.0217856921071884,0.33585481851049,0.020236958819176,0.0155625861017436,0.015830433656788,0.415545212411486,0.00037557771962008,0.0214374040923039,0.0168450049448952,0.0216833757145979,0.504465447765589,0.0115299885727707,0.0138320958173732,0.00540047732983418,0.00703187778227506,0.00786814563191746,0.527626648347286,0.0116815234042217,0.0183020063356446,0.00664297368154973,0.00403602121143587,0.00753681081489474,0.405332317388616
"NM1704PAR",0.00866673326481177,0.00299031625514969,-0.00205669400935584,-0.000726370591010395,-0.00206715606887426,-0.00755906162052368,0.163911266789243,-0.00524956575731621,-0.00266901889246509,-0.000579559552368483,0.00422393073185654,0.00337884770951965,0.161738341053978,0.0101578710629724,0.00671206956690742,0.00809363622143138,0.0943846985309496,-0.00505756969298121,5.64947781878042e-05,0.00315209352464954,0.0126544081618871,0.149709352383313,-0.00106555898125837,-0.000794402680855144,-0.00245880993332432,0.00147972372966793,0.00408496940947949,0.295939528939742,-0.00165860300804344,0.00828907954086793,0.00325499063583821,0.00764416040340128,0.00871165121644333,0.319422475238247
"NM1705PAR",0.0135146981677851,0.00665848944213308,-0.00417455414446801,7.2506498433345e-05,-0.0028807666587794,-0.00225905938530811,0.398122965167216,-0.00212808501238209,0.0243025163880812,0.014809380631752,0.016088698030483,0.0296975700562331,0.622366526582613,0.0336866688671334,0.0208513975123814,0.0224438634300825,0.745830513243752,0.000903022512638103,0.0165778938470858,0.0124192078164342,0.0167507132705331,0.576354290414609,0.0148590222243491,0.015523916403124,0.0069146422798694,0.00661120270626684,0.0121631618096491,0.428927257772934,0.0113106138081346,0.0218555146139626,0.00281187264903669,-0.00452705807347478,0.000369128463227911,0.366539315396583
"NM170506PAR",0.00803424857843631,0.00141203695703586,-0.00685395822442166,-0.00516357277025129,-0.00726147281764837,-0.00452557852731642,-0.0122856950388173,-0.000821970045357098,0.00994515939931723,0.000992619848369976,0.00237786544483527,0.0059104053417673,-0.0767031320609166,0.00716374468385468,0.00490635169092012,0.00378098779127865,0.166840263672483,-0.000169957981486768,0.0150050720046648,0.00464504507865753,0.00888484224813674,0.195787145717296,0.0100412983540474,0.0121298874145796,0.00352308036150112,0.00427592253146169,0.00944234792699974,0.313407027093306,0.00684854460172486,0.00745495439152554,-0.00308839341774145,-0.00691050287928759,-0.00343872631113721,0.096941322779723
"NM1712PAR",-0.0185892744590191,-0.0196190507816814,-0.011913328894609,-0.0136752373870868,-0.00545645990490831,-0.00202630017444342,-0.517393680601874,0.000447010702570155,-0.00995785532263219,-0.00569558872858071,-0.00631757772656166,-0.00837074593054038,-0.464685462423559,0.00264771742263414,-0.0019656624231152,-0.00624291581477519,-0.369528485061417,0.000709317074832294,-0.0136769200305495,-0.0130370506580004,-0.0118122022458104,-0.438995164454372,-0.0028262931894168,-0.00997573910213119,-0.00887528704185172,-0.0111963380083466,-0.0120729010400308,-0.665079838985367,-0.00543821791648216,-0.00634958660381811,-0.00219924345543878,-0.00111672277959146,3.58949348468702e-05,-0.440724191697684
"NM1713PAR",-0.0471404605361584,-0.0359400278329096,-0.0262978623856512,-0.0258378961871757,-0.0187942859493262,-0.0128732575873139,-1.39473070662713,0.00169594042347973,-0.0425745948839918,-0.0250567941758018,-0.0355258344261511,-0.0332594676100622,-1.35594064210579,-0.0163701610935693,-0.0153077453808953,-0.0190577774232015,-1.21515228313821,0.0042873849079034,-0.0359209772394352,-0.0303242150734423,-0.034551531701815,-1.21041352611756,-0.00152106182230039,-0.021700821173076,-0.0205428954384742,-0.0259869037527602,-0.0256857806206075,-1.57596122023671,-0.0212460295363121,-0.0212509442581042,-0.00702055538778853,-0.000504673602481029,0.00338353329902707,-0.871167484262796
"NM1715PAR",-0.0524054699741753,-0.0431905969600097,-0.035929342405334,-0.042554494784851,-0.0293000393921035,-0.0270423269115948,-1.88192468458833,0.00480766858564703,-0.0540871889749835,-0.0350808406403915,-0.0461235567238365,-0.0468500181969609,-1.59338600622378,-0.0216994942539728,-0.0288302393052783,-0.0317844460403484,-1.41614676311476,0.0022278674532801,-0.0390115594008704,-0.0374014770549237,-0.0434599706314473,-1.43540057047511,-0.00701563749706628,-0.0310407886308199,-0.0226771475480633,-0.0234298414770161,-0.0173043792370829,-1.25348422643636,-0.0257792371377583,-0.0276443963672504,-0.00522334453716022,-0.00161464669938629,0.00215427437817271,-0.92141341744177
"NUMEX_BILL_MELTON_CA_2019",-0.00436271795226865,-0.00703895170386519,-0.00288955810881779,-0.00208106302416325,0.0012377202600345,0.0023282649773962,0.366414722753061,-0.0207423014083239,-0.0250242979476572,-0.00788429867687037,-0.00618016588260056,0.00261044572440239,0.25527416285949,-0.025020942261402,-0.00631571434448537,-0.00670164422918328,-0.149977278991885,-0.00950612018363556,-0.0213034719265043,-0.0101300361643632,-0.00355878599076846,-0.00112522978195235,-0.0132323912292798,-0.0152621705372435,-0.00891498998334408,-0.00456837169015759,-0.00796873072269214,0.00262859156022496,-0.0193023100480766,-0.0149635506433402,-0.00966751549868371,-0.00341906265976197,-0.00292293088681128,0.056125104965799
"SW_1011",0.0302941645364273,0.0175143762074831,0.0136970977681378,0.00888891939927492,0.0109566159146583,0.00377114618556555,0.838747451595471,-0.00520080070498741,0.0279983797118549,0.0169127832490301,0.0152713348981012,0.0180979706192581,0.835645146800224,0.0190432333710107,0.00756713586918966,0.00693225915336296,0.672542919530313,-0.00332819453383935,0.015878064497636,0.0135855103660895,0.00621997867541876,0.578606329137463,-0.000972408089046005,0.0107598022047324,0.0108060159642487,0.011310419865653,0.00933410074489066,0.796707284304666,0.00196343296522557,-0.00376992337350713,-0.00108756534427384,-0.00518069962471323,-0.0114071560075431,0.191747146856819
"SW_8421S",0.024091818953622,0.0175522644639109,0.0120334982141719,0.0106715734268716,0.00722175815268277,0.00411176137534599,0.267883239563657,-0.00249938147399794,0.0324196294484603,0.0118435810210945,0.0143250642612481,0.0159710263641517,0.432273560805136,0.0197392891259278,0.00727964637365795,0.00704719144740886,0.51187434563619,-0.00104189963399946,0.0301593172862477,0.0214106452317673,0.0167372890632798,0.42802706888806,0.00866658969265727,0.0210799014628864,0.0137704374783464,0.0141498551941016,0.012803879193852,0.589551377583342,0.0115911037890079,0.00864082083513262,-0.00037489153707189,-0.0103531633758623,-0.0126991810842121,0.154647126120817
"SW_8888",0.000629704838832236,0.00527320103428618,0.00305296074146831,0.00659278141677524,0.00622020910166107,0.0044007156680176,0.341593461334007,-0.00307057208013257,0.0165778430948418,0.0113807578219008,0.0162630781969708,0.0154729699048576,0.47146740107375,-0.00207690725178624,0.00671493107294588,0.00610090384594048,0.482236169755945,-0.00229695799551809,0.00675430639324349,0.010622268792418,0.0118136077283332,0.350623086173125,0.00581037624950582,0.0132991809101456,0.013334632974311,0.0152507240757577,0.0174359841562624,0.331986873038275,0.0121760505053586,0.0128331455402402,0.00948782733342656,0.00587206113990968,0.00589070308892451,0.255844028631122
"SW_9720",0.0152838452022153,-0.00293944787506473,-0.00749274868259916,-0.00812650715658557,-0.00861500493925605,-0.0100464779456708,0.312872512609583,0.005037082387135,-0.000290941942910259,-0.00368601823009972,-0.00745480725033911,-0.0014860386078557,0.54923925364696,-0.00041083234222088,-0.00151514194433225,-0.00927992478144038,0.178565087319596,-0.00621995456340361,-0.00738973037935954,-0.0137531368417113,-0.0121695780479687,0.317941441936621,-0.0059588666501204,-0.00965899930883959,-0.00701456498370124,-0.00290270591521409,-0.00879272786639174,0.210322100053805,-0.0133398387118879,-0.0272107538377936,-0.0114556064739357,-0.0179816344468359,-0.0211629879015217,-0.0711481397081385
"SW_9812",0.0199166971319823,0.0155730820332509,0.0111658019155776,0.0143331193551411,0.0123852740336043,0.0116216727976463,0.785908492821315,0.00462542303422657,0.0211122972371549,0.0127829918412513,0.014730352675173,0.0133260853020242,0.608181444898882,0.0188773534813852,0.0225839335937835,0.0166512491684347,0.889352331997197,0.00521148047341099,0.0209948733188096,0.0190487291050585,0.0197221854351611,0.742861357702405,0.00802800342046604,0.0191702633547042,0.0156936462439257,0.0182086119960204,0.018973895933488,0.625990741955373,0.0172098099199114,0.0198223672883715,0.0113581839169737,0.0102168459908017,0.00687160865077401,0.47503007161587
"SW_9813",0.0438252155426706,0.0247651972529919,0.0210949037412279,0.0135639311484301,0.0142079531315377,0.0069645847810172,1.22052227830423,-0.00154232032712714,0.0297458860326875,0.017281246804722,0.0156906697257134,0.0205574715263648,1.11602373946299,0.0154650876177718,0.00769983931354429,0.0124819131381891,0.963355896945252,-0.00653151487632846,0.0211519894707681,0.0223437057049771,0.0150586564461186,0.844269552318977,-0.000311237085963263,0.0125350628825424,0.0157148140441446,0.0140719640732836,0.00897820701192776,1.02686670119307,0.0107269217139387,0.00779912413512957,0.0121229667825218,0.0106164022081153,0.00537012619050576,0.57637942944585
"DONA_ANA",0.0226933656626405,0.0278837849771394,0.027174625220368,0.0345637194447646,0.0238107170118512,0.0175156656184456,0.894589971580265,-0.00789905383495027,0.0452162078175746,0.0255071903623832,0.0305093547995197,0.025499721979603,0.738321384759244,0.018775964227698,0.0174034898877727,0.0182858502866557,0.905361835210263,-0.000609127308618842,0.0385486052578954,0.0336760625186965,0.0276840179241946,0.900690034418181,0.0102014960388232,0.0293467499700255,0.0247517208644025,0.0182592022107184,0.0160844993190999,0.732254835147888,0.0312307719956662,0.0288471121730456,0.0061375072589877,0.000639334440444691,-0.00803146119728753,0.518194470538103
"AFX_779",0.00292329137554296,0.00552054294754424,0.00599614218519061,0.00731279462297499,0.0111987339871952,0.0126442118136146,0.17022418637233,0.00773738016572583,0.00762223560654111,0.00571908265794261,0.00657386708422451,0.00514820510669809,0.0574247441746755,-0.00282126818710839,0.00383345339232504,0.00341451400988658,-0.00661802111580879,0.00408189105034056,0.00800487711645958,0.00846210877280751,0.00968860829304544,-0.0774286965020277,-0.00133947892856792,0.00297867526872133,0.00548779933236069,0.00532485198526056,0.00562093364783795,0.0501382992344465,0.0116102512551817,0.00958625049284245,0.0182052828422687,0.0203600935706348,0.0209833114257964,0.254441391870873
"AFX_149092",0.0212816206775012,0.0228055044743523,0.0233662888223415,0.0204587035981725,0.018315826170928,0.0106964053494318,0.303868238165478,0.00414342681887928,0.044443939605505,0.0269413247884529,0.0302167443252545,0.0158118987989961,0.260625092261014,0.0202480395318886,0.0109582299778653,0.0163826976708129,0.60339814517933,0.00811505340480987,0.0324745312918089,0.0275493623951685,0.0201860417646362,0.485237082462044,0.0106112397294299,0.0278206109421553,0.0193648162707354,0.0165034235581496,0.0161397646185257,0.596462919200421,0.0286164719531448,0.0308525141965831,0.0143196526416859,0.00695042230620166,-0.000245025825958824,0.37734458706256
"NUMEX_BILL_MELTON_FG2011",-0.0196966781090433,-0.0144849810831672,-0.0109382537832193,-0.0100696551334491,-0.0114659184000165,-0.00885288488293867,-0.116084532726352,0.00101442464892347,-0.0335774303340997,-0.0216080172236214,-0.0174377112660244,-0.0143778226507476,-0.238082562837441,-0.0204126270616669,-0.015738456806063,-0.00807742641395459,-0.444685949004901,-0.00653238130367481,-0.0311435243942373,-0.024568943390778,-0.0156479245582924,-0.53300195952902,-0.0144243952626847,-0.0271491088279032,-0.0252146810125768,-0.0187208738686708,-0.0194528729621087,-0.509558565933224,-0.0262189589260537,-0.0258714553117094,-0.0128022728026104,-0.00590293283477595,0.00213052926925232,-0.353961423379319
"TMA_990",0.0364966317822567,0.028082381964439,0.0206368257326999,0.0189400947268895,0.00790996322184952,0.00746097367476189,0.756299455028876,0.00378534136306437,0.0266479738080573,0.0168802838808922,0.0201484415821027,0.0202841686266587,0.850477564691824,0.0215525783076347,0.0130264089341157,0.0119940084462234,0.679624314150414,0.0084456069843753,0.0385379857965219,0.0294931567401842,0.0196703567522474,1.09743444419534,0.0122753360729007,0.028183425363683,0.0257812773856343,0.0201908516409439,0.0156684625450921,1.03369952026874,0.0241145428984786,0.0221941649169666,-0.000612559779290027,-0.00821510602007093,-0.017129509240085,0.503030998258178
"NUMEX_BILL_MELTON_FG2012",-0.0120043928463893,-0.00738126111726136,-0.00580359274713017,-0.00131343126329206,-0.00700287299411171,-5.60076793854706e-05,-0.00255875337488847,-0.00884424667325308,-0.0330793361847893,-0.0133054476925822,-0.00968718981738187,-0.00948778981568554,-0.094000917683566,-0.0293530421610786,-0.0072099765150836,-0.00742069099643653,-0.300099733174153,-0.00782006851125538,-0.0325208115477627,-0.0228749922236548,-0.00916046362689443,-0.435208804619635,-0.0157457500628729,-0.0276119107898858,-0.0233147677380811,-0.0174385529649255,-0.0158021213202424,-0.409676126887162,-0.0317805561869693,-0.0256610564487381,-0.0196844483383969,-0.0107134311472484,-0.00111000577220894,-0.109225627493361
