"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","yld4","yld5","NDVI_62","NDVI_76","NDVI_90","NDVI_96","NDVI_104","NDVI_110","NDVI_114","NDVI_124","NDVI_130","NDVI_138","NDVI_144","NDVI_150","NDVI_160","NDVI_166","NDVI_174","NDVI_180","NDVI_188","NDVI_194","NDVI_200","NDVI_206","NDVI_216","NDVI_222","NDVI_228","NDVI_236","NDVI_240","NDVI_250","NDVI_256","NDVI_264","NDVI_270","NDVI_278","NDVI_284","NDVI_292"
"AMERISTAND_803T",2,392,12,4,10.45,5.55,8.1,0.75,6.5,0.47964299,0.454499561,0.465833017,0.531376698,0.444643474,0.526361952,0.585289727,0.526307145,0.524489631,0.437126466,0.568983696,0.452286101,0.211738766,0.445878056,0.388068646,0.531843004,0.429913725,0.440631819,0.464895179,0.401779975,0.34491497,0.293650736,0.237214015,0.189297556,0.403233971,0.458208597,0.500043079,0.443287396,0.522374319,0.3940428,0.402747253,0.505847793
"NM1701PAR",2,393,12,3,10.95,6.65,8.75,0.9,7.6,0.48268141,0.461534527,0.465495558,0.523664667,0.455548031,0.517106584,0.582289321,0.478186252,0.525714629,0.430675762,0.594538026,0.486499829,0.225495565,0.440444692,0.397381497,0.565239376,0.407247466,0.43928736,0.435814354,0.402340065,0.384259615,0.30772656,0.262053369,0.230214423,0.385938212,0.444824055,0.4607246,0.44875114,0.570257324,0.419112376,0.450010432,0.55473687
"NM1705PAR",1,394,12,2,10.05,6.1,8.9,1,7.25,0.490490343,0.460125704,0.479950204,0.532748168,0.445889916,0.531393618,0.591697839,0.377034625,0.530208163,0.434547411,0.580626217,0.483510695,0.261869993,0.459460394,0.390358128,0.540141941,0.400903339,0.439245669,0.434536318,0.404286619,0.305693627,0.300970158,0.35823325,0.282406988,0.379220077,0.441059515,0.482548906,0.438736553,0.561647644,0.420565787,0.443233191,0.551504455
"NM1713PAR",1,395,12,1,9.55,5.25,7.2,0.7,6.55,0.497862695,0.466659338,0.480506737,0.513362874,0.462484239,0.571805762,0.585816055,0.284922313,0.504612593,0.399521219,0.550721563,0.468258241,0.20224383,0.450696584,0.372924372,0.539815155,0.404971745,0.460722709,0.472575086,0.410023176,0.264258861,0.345628446,0.506393042,0.288096449,0.446236341,0.437197987,0.491534534,0.395720226,0.52995327,0.387317202,0.425099784,0.54110693
"NM1712PAR",1,396,13,1,10.05,5.4,8.05,0.65,6.2,0.493599285,0.463207215,0.476909356,0.508844361,0.457100974,0.507440487,0.594295675,0.304257411,0.498745353,0.404780055,0.549708087,0.446170537,0.205677675,0.453603407,0.377588821,0.556333939,0.415049758,0.446626756,0.46435328,0.407055795,0.334032549,0.378541741,0.446847244,0.291930899,0.434347222,0.45265551,0.526170599,0.394537835,0.508371326,0.395251816,0.421258096,0.526099966
"SW_9812",1,397,13,2,10.9,6.2,8.75,1,6.85,0.475262913,0.460038701,0.450158599,0.534647521,0.46448721,0.577799509,0.597822497,0.397217218,0.526480252,0.430011014,0.580443801,0.467563086,0.231858954,0.45759202,0.384962479,0.530313562,0.399549172,0.438833398,0.462534961,0.40205257,0.338433607,0.322643063,0.368611771,0.336853383,0.360909777,0.444914989,0.485866714,0.416159751,0.554554214,0.407841458,0.417419674,0.515576491
"SW_1011",2,398,13,3,9.85,6.55,8.75,1,7.15,0.4914082,0.454352186,0.4428973,0.513601978,0.446425391,0.552476318,0.575660347,0.380759524,0.519401988,0.434351714,0.587343655,0.475727435,0.204970108,0.447654308,0.377323729,0.556713712,0.378959817,0.414253462,0.392899495,0.394899754,0.331741244,0.387025052,0.360393705,0.260445587,0.387993034,0.44047557,0.444419048,0.406533532,0.555534737,0.397985225,0.423302111,0.513777014
"SW_9813",2,399,13,4,10.5,6.1,8.15,0.95,7,0.484748174,0.445479472,0.466053507,0.525663081,0.452384846,0.549814944,0.596158208,0.504235481,0.513832839,0.433223737,0.577211639,0.450198898,0.20316295,0.442266476,0.377659935,0.557262211,0.42006918,0.436958742,0.463687669,0.404393923,0.339700948,0.382027149,0.25518109,0.203633322,0.339177307,0.445517353,0.453944277,0.417672427,0.542149635,0.390383186,0.407408478,0.502416449
"AFX_779",3,400,13,5,9.75,5.1,7.5,0.25,6.7,0.475352669,0.462462119,0.484900607,0.515856535,0.456070568,0.543181244,0.600164191,0.396674351,0.502475141,0.428302609,0.563512111,0.454240157,0.201799246,0.447513476,0.382002478,0.569343909,0.435416704,0.439453165,0.464879229,0.402253234,0.357042623,0.338985186,0.230688388,0.178518309,0.361448417,0.447825285,0.497374793,0.454019226,0.545845542,0.393052585,0.42979243,0.541447394
"SW_8421S",3,401,13,6,10.45,6.25,8.9,1.1,7.6,0.472580947,0.458436053,0.47285383,0.52151499,0.438405551,0.594948208,0.603085343,0.341111567,0.523540671,0.451864049,0.593498767,0.496991558,0.229847966,0.446533279,0.394614267,0.56869548,0.421729915,0.422433374,0.450090219,0.400752492,0.348446828,0.322081007,0.2411074,0.192998316,0.389389893,0.451243516,0.452320591,0.466906424,0.576845329,0.413429928,0.423241272,0.525231243
"DONA_ANA",4,402,13,7,10.95,5.6,8.8,0.8,7.3,0.476787921,0.47147134,0.480056556,0.55038727,0.450430379,0.592711662,0.62128738,0.40526691,0.520586145,0.488195772,0.590116046,0.486813018,0.17147599,0.445167289,0.443908895,0.572159569,0.43563779,0.434818963,0.470893441,0.408934076,0.398113327,0.384568113,0.20031737,0.189294,0.41076583,0.450360429,0.477316603,0.490063897,0.562880005,0.418114456,0.422165608,0.519375019
"SW_9812",4,403,13,8,9.95,5.15,7.8,0.65,6.9,0.474776219,0.454983074,0.4857585,0.551391117,0.4568052,0.571829163,0.616857566,0.327129517,0.504737671,0.450022463,0.560708603,0.445602456,0.225786052,0.452279509,0.456762683,0.555669021,0.436527629,0.437197846,0.462369251,0.419080675,0.376925684,0.483331504,0.485643521,0.43522256,0.44746143,0.461249074,0.374041074,0.418496033,0.5333797,0.40003175,0.436991014,0.527855049
"NUMEX_BILL_MELTON_CA_2019",4,404,14,8,9.7,5.15,6.9,0.4,6.4,0.48364794,0.470414857,0.500423018,0.527287354,0.453245401,0.501024571,0.591904963,0.272889361,0.489112759,0.421547354,0.545627995,0.456323397,0.228846145,0.448299432,0.418115748,0.550553484,0.422248262,0.450067378,0.463196176,0.421660413,0.351839003,0.522898451,0.508983802,0.464078817,0.441800792,0.452679885,0.414936725,0.428500801,0.534435724,0.388386227,0.409272004,0.490407495
"NUMEX_BILL_MELTON_CA_2019",4,405,14,7,10.25,5.6,7.4,0.9,6.25,0.475748748,0.463110491,0.490010803,0.52616697,0.438565812,0.528300334,0.594545518,0.310756282,0.490175061,0.451871766,0.554535491,0.450154738,0.177925345,0.446664669,0.421569551,0.549677651,0.426366794,0.434603524,0.465395328,0.408891219,0.434357857,0.503592868,0.290249271,0.372779462,0.447307839,0.460102,0.462642631,0.461789502,0.506342314,0.367055516,0.398866201,0.496029601
"NUMEX_BILL_MELTON_CA_2019",3,406,14,6,9.4,5.95,7.15,0.6,6.45,0.479671865,0.463531645,0.490755797,0.502469609,0.446154188,0.572305847,0.576669102,0.270313452,0.487085358,0.412207588,0.554414997,0.469514235,0.168062114,0.442613759,0.369680867,0.557890895,0.410583142,0.432502801,0.463860425,0.399023891,0.42311491,0.468715359,0.237093339,0.296522719,0.416498248,0.444130029,0.428616219,0.460842053,0.542643268,0.375892481,0.395128163,0.492298821
"NUMEX_BILL_MELTON_CA_2019",3,407,14,5,9.75,6.25,7.4,0.75,6.75,0.478331551,0.461659326,0.480663876,0.517485748,0.444386639,0.541771743,0.598771794,0.299929786,0.49359616,0.420415542,0.564531176,0.473080092,0.192731556,0.440171308,0.39243439,0.567270028,0.412891877,0.441577761,0.456524523,0.403838477,0.403100944,0.499298332,0.236911298,0.288188661,0.331795415,0.439622555,0.439737839,0.458420119,0.554318437,0.385633915,0.396015903,0.502235381
"NUMEX_BILL_MELTON_CA_2019",2,408,14,4,9.75,6,7.25,0.75,6.5,0.486771142,0.46579108,0.479892339,0.51097923,0.450638546,0.542998679,0.58219783,0.337831667,0.480298893,0.404400028,0.548992246,0.460709388,0.168781171,0.439317421,0.359153306,0.557090048,0.414319701,0.440613819,0.469083864,0.406650848,0.384751131,0.489776239,0.207677803,0.30969257,0.325034012,0.446884385,0.40562567,0.405758755,0.513627292,0.380527862,0.419303142,0.510198679
"NUMEX_BILL_MELTON_CA_2019",2,409,14,3,9.9,6.6,7.75,0.85,6.4,0.486044478,0.472688264,0.436401168,0.505208069,0.423583063,0.562924929,0.563381532,0.254774072,0.492519596,0.441905153,0.563498739,0.494113187,0.158318074,0.443031013,0.365076657,0.563926796,0.390502162,0.431120774,0.424687287,0.396533495,0.334483735,0.474160139,0.448246925,0.295995406,0.41205782,0.435611545,0.373631364,0.394137102,0.555270071,0.399176661,0.42555771,0.502009546
"NUMEX_BILL_MELTON_CA_2019",1,410,14,2,10.3,5.95,7.75,0.7,6.75,0.478325847,0.472235644,0.457914496,0.517632621,0.454713167,0.568410541,0.578775447,0.290552036,0.503470512,0.405125327,0.550091554,0.454020654,0.180699975,0.452515038,0.388718133,0.54551294,0.413231574,0.445693424,0.460332439,0.408197866,0.36810532,0.478899285,0.40070639,0.246132033,0.342679194,0.446340027,0.443224941,0.425172236,0.53230442,0.386313122,0.385065592,0.488640865
