"","Germplasm","Full_Model_gebv","Imputed_model_gebv_1","Imputed_model_gebv_2","Imputed_model_gebv_3","Imputed_model_gebv_4","Imputed_model_gebv_5","Imputed_model_gebv_6"
"1","AMERISTAND_803T",0.0235554471978647,0.0232946622055975,0.0247713676741478,0.023049750493695,0.0221099268587977,0.0213770892365892,0.0221619669118243
"2","MESQUITE",0.00607286284063933,0.00622007013521671,0.00683724890634633,0.00707383773739913,0.00657881730306873,-0.00411626505974388,0.00782408263264213
"3","NM1701PAR",0.00330849085731775,0.00126285082542997,0.00297911041670557,0.00401349816857266,0.00353637585730711,-0.00463440978075439,0.00291708541598833
"4","NM1702PAR",-0.0155306351752006,-0.0178437419036411,-0.0166601291837549,-0.0162129882532569,-0.0158299797411133,-0.0194118117123972,-0.0179484579298308
"5","NM1703PAR",0.020716300161797,0.0189709564573838,0.022910524702013,0.0207466473927865,0.0205959065489698,0.0213659003051247,0.0209989827421646
"6","NM1704PAR",0.0113630119094238,0.00879192919216645,0.0108459934184955,0.0125075292338701,0.0127771311048061,0.00567631991935552,0.00966920838721478
"7","NM1705PAR",0.0207450270680814,0.0188229660784722,0.0225537128252781,0.0208904241595917,0.0191746113292521,0.0151576656733623,0.0221973022474039
"8","NM170506PAR",0.00226716952457977,0.00163386898162129,0.00360075623264151,0.00187207167076875,0.00312423767323178,0.00113011356461952,0.00282722320065393
"9","NM1712PAR",-0.0176939106892094,-0.0157411717723925,-0.0164138705738568,-0.0164404221728225,-0.0162452672226901,-0.0161939490500111,-0.0144177256991158
"10","NM1713PAR",-0.0530297374630278,-0.0487085539222479,-0.0507108396969542,-0.046747472398542,-0.0492206693862981,-0.0524272560773675,-0.0488136097294982
"11","NM1715PAR",-0.0567460045164887,-0.052779700512227,-0.0550897186459265,-0.0521256961919988,-0.0520335611493504,-0.0525007379267509,-0.0531266503581687
"12","NUMEX_BILL_MELTON_CA_2019",0.00263810870494322,0.00121532182313544,0.00180497584710958,0.00210742374648942,0.00207851869688465,0.000850777334029951,-0.00127454851523691
"13","SW_1011",0.0250330308379564,0.0217735477973213,0.0233272269824543,0.0212914479867384,0.0202973509717841,0.0207590104043288,0.0215914335797477
"14","SW_8421S",0.0156947370574141,0.0153788213082313,0.0157607229540194,0.0124804264448966,0.0152290893413772,0.012459969644544,0.0154996004705247
"15","SW_8888",0.0140669203371554,0.0132202317374764,0.0137530497832497,0.0122073506878496,0.013480643706117,0.0237990399802463,0.0152500611314398
"16","SW_9720",0.00538133505316818,0.00232703019854847,0.00161710973602666,0.00195370638024571,-0.000535700333326525,-0.00183670384011716,-8.29758255161071e-05
"17","SW_9812",0.0263725746127364,0.0261859763469416,0.025627447205548,0.0241196939206224,0.0244178887115998,0.0319230227300896,0.0267865068109504
"18","SW_9813",0.0379920536848121,0.0345052291140589,0.0353238882940733,0.0328860029732745,0.0325744501071731,0.045140111394067,0.0340744099660698
"19","DONA_ANA",0.033904603896208,0.0331886725276494,0.0338497914733636,0.0303530655762423,0.0317001939323028,0.0360842021633188,0.0353247482377571
"20","AFX_779",0.00444753810779375,0.00549542155686877,0.00480810901211965,0.00458636260149445,0.00724981082658062,0.00627595057644394,0.0041384383092417
"21","AFX_149092",0.0196956746463429,0.0203363022195307,0.0209377328580946,0.0181319148972098,0.0193626093528929,0.0201505393661651,0.0227401773484576
"22","NUMEX_BILL_MELTON_FG2011",-0.0154072530922536,-0.0166319013129623,-0.016599078532815,-0.0143225661459877,-0.0148930949380341,-0.0223910621542494,-0.0184558421188256
"23","TMA_990",0.0357065867566844,0.0326138805860523,0.034051738506816,0.0326984444757194,0.0299152452012256,0.0312222554539724,0.0354594908444198
"24","NUMEX_BILL_MELTON_FG2012",-0.00999745474211412,-0.00984061893743197,-0.0111465354075043,-0.00893966529658409,-0.00833961631675371,-0.00296620136141166,-0.0151593774661437
