"","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","GNDVI_110","GNDVI_114","GNDVI_124","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","GNDVI_160","GNDVI_166","GNDVI_174","GNDVI_180","GNDVI_188","GNDVI_194","GNDVI_200","GNDVI_206","GNDVI_216","GNDVI_222","GNDVI_228","GNDVI_236","GNDVI_240","GNDVI_250","GNDVI_256","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld1","yld2","yld3","yld4","yld5","yld6"
"GNDVI_62",1,0.629945496065861,0.783513582294087,0.678873515501294,0.665294660025164,0.110285619217386,0.463380771963344,-0.203438686817152,0.66938064677584,0.584135234346399,0.584962652671236,0.330413612358839,-0.104409152507129,0.328889118773924,0.613827417719088,0.245500110294681,0.0322609425402313,0.267576651098294,0.778688260885012,0.270308440558655,0.144592969283253,0.638614733173459,0.569247465296634,0.59689848385012,0.515876852410923,0.274893437491155,0.63201112001561,0.634909889961934,0.594567401539699,0.460612456329142,0.289878669325267,0.296158746282981,0.615234148498865,0.418881336268123,0.43860803545169,0.406168554222675,0.457375172559442,0.452253463484366
"GNDVI_76",0.629945496065861,1,0.611109052944369,0.780474826062737,0.589972019686071,0.305313613429825,0.66282727696903,0.257553009095078,0.689066212557558,0.398500014759538,0.756334032652302,0.620279325198675,-0.377918867018484,0.260132193786653,0.270918286952564,0.531168007696102,-0.40362581048861,0.5335214005761,0.311507510196092,0.590244115007485,0.0600577904128705,0.117795059073293,0.225201235195802,0.500680459977155,0.473612182392299,-0.214913168861915,0.291730718669649,0.502936664528625,0.336664564349158,0.222336768580144,0.522305672966172,0.266366477000383,0.814961260736976,0.659343889312364,0.750289935813603,0.730873200493738,0.743261714404072,0.764112529005187
"GNDVI_90",0.783513582294087,0.611109052944369,1,0.832199839102356,0.910194426675471,0.369361870030767,0.656414364588884,-0.210148530086127,0.51546476205196,0.792646264606624,0.75522848415214,0.367651618441607,-0.560748916451588,0.111581117747878,0.61624304557582,0.501868358985035,-0.302137706967867,0.38286591526713,0.694953190541504,0.534810307662815,0.0375627091960352,0.342049025926538,0.300891668360688,0.789560647579564,0.762677406099738,0.0735361719057902,0.568369966988169,0.644736004530746,0.467863573814583,0.559331159651949,0.429466596358989,0.622736592401322,0.764699324537546,0.494639200453187,0.482603537812505,0.374154069646467,0.486123262255658,0.4553949326387
"GNDVI_96",0.678873515501294,0.780474826062737,0.832199839102356,1,0.864023449076404,0.460936417926425,0.864949040909066,0.05301124249015,0.585553977124345,0.596884676126673,0.857298186265242,0.492302738705508,-0.567649300484757,0.216168875288119,0.375595899392902,0.583444821733258,-0.441164845535303,0.61464975221889,0.575526698167558,0.624048072566248,-0.121101557441224,0.151157788988087,0.21611557482913,0.634923674129584,0.724238238605442,-0.201661754376204,0.415786563666348,0.699260543286369,0.535893905325309,0.314242681171561,0.620104985171301,0.583682964571525,0.902093549910783,0.591600200783222,0.66955974507153,0.594747202440445,0.727406783602054,0.688084509592873
"GNDVI_104",0.665294660025164,0.589972019686071,0.910194426675471,0.864023449076404,1,0.48459509063637,0.744915409252289,-0.0963213451291682,0.476063538112234,0.762653140236637,0.783886046350791,0.454433494337281,-0.60666430050745,0.0820013450066226,0.484986628148796,0.531751706414361,-0.291857104812692,0.393714945005861,0.617015852051223,0.52004198743746,0.0157195951576005,0.191327191532588,0.217205088884658,0.766236061212621,0.768269034094463,-0.0818478215820535,0.494243660385457,0.600695285021466,0.426004031777256,0.565725717178407,0.554540910278069,0.725414998469511,0.815106608543814,0.535737186629011,0.495651582252853,0.383607887504482,0.485890397829947,0.473181906872666
"GNDVI_110",0.110285619217386,0.305313613429825,0.369361870030767,0.460936417926425,0.48459509063637,1,0.440987872565182,0.140897218124402,0.114816953145171,0.398815743139544,0.550866909858645,0.441095927743578,-0.489415652321751,0.0791594176611735,0.22375551881482,0.561365199284975,-0.518686960156432,0.458384959444344,0.117793173167851,0.597378318666252,-0.0176708798824078,-0.18145575137611,0.00162885823698835,0.38155134056286,0.544852585856638,-0.35153299158665,-0.00644106493211645,0.315038933448164,0.09870738875696,0.15493534755854,0.347270970272638,0.498577423760033,0.563357202846731,0.523852215809047,0.500235904431568,0.4722897956335,0.470208268712418,0.467106458433325
"GNDVI_114",0.463380771963344,0.66282727696903,0.656414364588884,0.864949040909066,0.744915409252289,0.440987872565182,1,0.085238599649338,0.576556330287357,0.505264130655455,0.756625162648088,0.538397905488571,-0.568278190425531,0.119522827775519,0.22268057464885,0.543080841605213,-0.454236342639382,0.471139773464083,0.437394300840226,0.593172505540479,-0.124435523556938,-0.0142568893334533,0.0723025783889763,0.560483042429644,0.618849100790465,-0.306920980962044,0.23661084830652,0.502066277724716,0.40571443929878,0.285024329060371,0.548150769523037,0.556381722104146,0.803991247753521,0.529805654174347,0.603711482338232,0.546401130765056,0.648474539171665,0.612129291995242
"GNDVI_124",-0.203438686817152,0.257553009095078,-0.210148530086127,0.05301124249015,-0.0963213451291682,0.140897218124402,0.085238599649338,1,0.234997888304953,-0.152853293394773,0.22641329742361,0.308859126592069,-0.0406645608535907,0.357431833715613,-0.224046287470762,0.297396276407697,-0.283502001609467,0.467050525021209,-0.369410865889743,0.314945697423584,0.0188638534662541,-0.307009187161251,-0.065901273692562,-0.143428767218405,0.0512489943200949,-0.458307892496338,-0.104493009298376,0.0820080384981689,-0.062212798651123,-0.314583370398988,0.171516056953781,-0.0786213631968929,0.177063054501784,0.307840893947419,0.395929536377236,0.40943209280329,0.384512389564729,0.346274374413983
"GNDVI_130",0.66938064677584,0.689066212557558,0.51546476205196,0.585553977124345,0.476063538112234,0.114816953145171,0.576556330287357,0.234997888304953,1,0.501531216588599,0.62581692969332,0.530207432741168,-0.00947219081919756,0.451541832169753,0.411518326247013,0.371482608895015,-0.0461718576765498,0.401831566651154,0.531881483527037,0.420519597548463,0.322397220113384,0.548055653162603,0.590923388085373,0.482282793716859,0.441027490950498,0.136371751568237,0.598064832362723,0.60331252480749,0.504922066804511,0.329907559927933,0.266896757585214,0.0897662099347875,0.561430712089344,0.466209469764668,0.612144084976554,0.60721035429208,0.598227076835894,0.605224138313322
"GNDVI_138",0.584135234346399,0.398500014759538,0.792646264606624,0.596884676126673,0.762653140236637,0.398815743139544,0.505264130655455,-0.152853293394773,0.501531216588599,1,0.701990211042734,0.553919701516043,-0.381455222519795,0.197439330911352,0.727750490705337,0.669879748238708,-0.28653116787239,0.322662329613576,0.595199456210576,0.58820679300413,0.44059008650588,0.381578119967782,0.367574861274932,0.853937552467574,0.818084847561978,0.199342914618718,0.62056169762253,0.586067280874914,0.330996172346248,0.671308350846502,0.372274258022306,0.600975684724122,0.617187374993326,0.548193311238588,0.465095194336791,0.361051989643966,0.374841705037013,0.354562942902608
