Trait,Genetic ,Spatial 
yld1-62,0.938,0.839
yld1-76,0.998,0.497
yld1-90,0.863,0.66
yld1-96,0.92,0.23
yld1-104,0.735,0.134
yld1-114,0.513,0.374
yld2-130,0.732,0.409
yld2-138,0.713,0.368
yld2-144,0.806,0.716
yld2-150,0.829,0.934
yld3-166,0.897,0.612
yld3-174,0.909,0.698
yld3-180,0.842,0.452
yld5-256,0.913,0.617
yld5-264,0.885,0.753
yld5-270,0.954,0.822
yld5-278,0.799,0.459
yld5-284,0.837,0.477
yld5-292,0.811,0.348
