"Germplasm","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","yld1","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","yld2","GNDVI_166","GNDVI_174","GNDVI_180","yld3","GNDVI_256","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld5"
"AMERISTAND_803T",0.0136789008806053,0.00390756817360863,0.00429285526779458,0.010867864903179,0.00350890492036547,0.349643685823287,0.0375940714717292,0.0129154102563898,0.00921504767032698,0.0120351507676773,0.211138629047328,0.0136914862746546,0.0117409718834866,0.00627943193402909,0.636970089336214,0.00301444743525716,0.0112499071122381,0.00587730049538767,0.00497364742591566,0.00365046368841802,0.00155470624575207,0.111173272438674
"MESQUITE",0.013770774471288,0.00703155992818675,-0.00473816068864079,-0.0047325211620144,-0.000764420496040706,0.00869981270377433,0.0151464991057922,0.00580858136211808,0.00596159129842104,0.0092644351051324,0.285058358025506,0.0146694093059531,0.00610077176047884,0.00247923791430258,0.334119879744044,0.00545740678269279,0.0055189727085299,0.00451217878733471,0.00462670769797368,-0.00300165622665956,-0.00418233391549782,0.179411004402033
"NM1701PAR",0.0116779626099422,0.00722045391412329,0.00529354343487896,0.0110565150418615,0.00361831066954359,0.463180776202399,0.00506188120849753,0.0049270091276559,0.00896267912370267,0.0130867245865512,0.338741095592637,-0.00406220562787387,-0.000669319378217486,-0.000322821823418138,0.33602075607925,0.00234430473879096,0.0016609753958668,0.013098837210492,-0.00705479550655938,-0.000778379433755526,0.000265794956218424,0.470275321317817
"NM1702PAR",0.0147267016274835,0.0114217989903902,-0.00938862683894902,-0.00679326542540172,-0.012687513648885,0.370576377707038,0.00926313444482717,-0.00190521364096558,0.00313393257934058,0.00170971663143858,0.0723382715969185,0.00289216840222974,0.00102769319844372,-0.00737964847964778,0.250839717107497,-0.00367707211421865,-0.00907673907453739,-0.00769744223632734,-0.00784574804256602,-0.00539921841956925,-0.00060223107620176,-0.0759961016575172
"NM1703PAR",0.0133797127933645,0.0119941035447195,0.00711610483892316,0.0113021149911219,-0.00211178045665241,0.104585678345103,0.0111838713973618,-0.00238143048512758,0.00179177836034331,0.0121635898806965,0.169617312683313,0.0118578216805341,-0.00201827774079312,-0.00126442502010411,0.234952381935128,-0.00376022853927352,-0.0171810463421645,-0.00601777322355805,-0.00304500960231263,-0.00207961921705766,0.00986070048543152,0.330983253447308
"NM1704PAR",0.019223618747876,0.0119561948316137,0.00768055248582458,0.00522066770159365,-0.000817771273243124,0.358343143090617,0.00583991165837131,0.00264946023286669,0.00985147464088449,0.0164055007744781,0.193538742500202,0.0067813973431609,0.00206466854843406,-0.00108627675811497,0.0493591271095432,0.00747219608448927,0.00737446228784749,0.0209845535946926,0.00354528539208095,0.00469688188329079,0.00949363958477732,0.482547895413101
"NM1705PAR",0.0143006212933157,0.0114623149878645,-0.00302791050017746,0.00626655389143308,0.00391480518330918,0.119841795278711,0.028418358575232,0.00673189166230169,0.0108136207325773,0.0175806833349031,0.18799299973943,0.0224535346499977,0.00940179455052837,-0.000485312168065632,0.492965128616374,0.00912985566243731,0.00305674949647688,0.0132499325563384,0.00498464036168354,0.00496596237394355,0.010412801230232,0.0474740115662677
"NM170506PAR",0.0200898647410623,0.0205058004880288,0.0117021763791366,0.0192633647165541,0.00770004095245286,0.640179920108214,0.0447815130372558,0.0136672941283458,0.0214483717411894,0.036300677276923,0.524931114691738,0.0360804229250088,0.0202128984999958,0.00792844096940975,1.01911072498085,0.0205715092996557,0.0181143835892773,0.0278878367948709,0.0155708283366449,0.0117783595453252,0.015164006396947,0.614550777469038
"NM1712PAR",-0.0264419273187756,-0.0170016765346223,-0.0155559843129485,-0.0259172527828101,-0.0130146737663182,-0.335336816316648,-0.0375911114629472,-0.0138307094278512,-0.0175260590782303,-0.0232950114576749,-0.397371185464928,-0.0153514412547641,-0.0104350866653838,-0.00710844154634358,-0.598211233352918,-0.0379467172819971,-0.0420448868402137,-0.0627676813751833,-0.0213438909910431,-0.00737475261040431,-0.00150591174210044,-0.778636367855881
"NM1713PAR",-0.0369281889837712,-0.0220524410527046,-0.0154894545171942,-0.0253017744460745,-0.00981489469551078,-0.57092976121706,-0.0373462202271989,-0.0145213551987808,-0.0188782141237911,-0.0261169076949448,-0.681381643755572,-0.019348217853927,-0.0120981142027374,-0.00582738762402034,-0.873491811749149,-0.0484415841605294,-0.05017471671395,-0.0668606378606585,-0.0166809562161497,-0.0044868042402933,0.00147624074609673,-1.17991839603518
