"Germplasm","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","GNDVI_114","yld1","GNDVI_124","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","yld2","GNDVI_166","GNDVI_174","GNDVI_180","yld3","GNDVI_188","GNDVI_194","GNDVI_200","GNDVI_206","yld4","GNDVI_216","GNDVI_222","GNDVI_228","GNDVI_236","GNDVI_240","yld5","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld6"
"AMERISTAND_803T",0.676614917901911,0.768630888500211,0.921309448015765,0.775857248162599,1.10001067538406,1.36058447395996,0.836016394991717,0.540203922522931,0.789502160961805,0.961558653037156,0.966524388366143,0.90054394336497,0.50809983695333,0.37736224786068,0.47857562450808,0.784427064968818,0.472947684060905,-0.209324729130544,0.857916909920683,0.858287163217528,1.07395880288691,0.905524282565844,0.383731862550049,0.834114510345211,1.1370372506743,1.23984510899576,1.20159491520188,0.896930937449056,0.965333444181604,0.836765521372724,1.26563825770395,1.09041057042802,0.70865233018609,1.04192138479408
"MESQUITE",0.202992629651094,0.200410802670442,0.115951440339324,0.334679858464919,0.121578204881147,0.527791384451401,-0.0938424610955853,-0.0348642357337443,0.347879777874911,0.538110295338488,0.403068128814788,0.586678437748309,0.211326569295203,0.583052645205089,0.393771564289216,0.554766743665034,0.112055240783257,-0.188703081617376,0.29408926170865,0.341571566336996,0.209951947693227,0.0914958112980192,0.259765679091213,0.408301792674271,0.315934064329621,0.201007095203971,0.134984856892515,0.0947150544197676,0.384954320428601,0.296673333049906,0.120093823882133,-0.117701032465845,-0.226299467261629,-0.117003425367158
"NM1701PAR",0.151338852679643,0.0332722230769699,0.0700175832115844,-0.11337671066008,0.0865007936984513,-0.369165521170336,0.0925242386690771,-0.0485640670689078,-0.292223132222835,-0.0844083664004166,-0.278829567109315,0.0482781941419699,0.092953474505725,-0.233615677738364,0.226182249568988,0.0865970113421841,-0.214040222602384,-1.16737406232299,-0.706792703944849,-0.619347268521413,-0.0326758040218801,-0.303626650965261,-0.564170859987078,-0.724004076257666,-0.76748263688539,-0.203004111889246,0.132627332075804,0.0111008296700389,-0.518086788727083,0.0760332552120766,-0.49099398891118,0.486972281861391,0.942505810837106,-0.076767104889942
"NM1702PAR",-0.448813001283055,-0.838010554612126,-1.75553046349969,-1.87579001854246,-1.95864339073063,-2.00522606342178,-0.941666706013279,0.215283272791047,-0.728462160499532,-1.59857785006712,-1.48457885470538,-1.18929246715821,-0.854208101032482,-0.515684502868056,-1.35117162296974,-1.4401984465462,-0.7644800418466,-0.0674454622011419,-0.78144326247815,-1.04260421510751,-1.04388773321476,-0.529937480679437,-0.050974964841615,-0.676326120666861,-0.848936459734762,-0.955902414309239,-1.08918406145644,-0.572205891584627,-1.02007425187937,-1.27508318981361,-1.14594160329244,-1.32787424419548,-0.846441340961899,-0.768509354634981
"NM1703PAR",0.735309395799705,0.64896606411374,0.438197045426326,0.713395529219088,0.59112398015208,0.400500770662748,0.716515325975303,-1.54142972546484,0.599395143370149,0.641174095579164,0.637988907752167,0.868644815291841,0.255277692682442,0.908124855160151,0.982277923367135,0.948564626917007,0.416281665641055,0.308959545139658,0.728188219429587,0.675344770672436,0.951809852610649,0.551609609213795,1.16971683442736,0.576319482919662,0.220116133285915,0.309198214005304,0.379106094670884,0.536282776005597,0.555746815247146,0.849354803588307,0.640084521920445,0.507788735732241,0.857773037104936,0.763919950445247
"NM1704PAR",0.0892797571308243,-0.0107972013919029,-0.191614150452686,-0.11169198648365,-0.230645592055953,-0.706611089973331,-0.015676435928561,-0.589669339011507,-0.295712804909397,-0.207483020821669,0.0472997258861904,-0.102067548429949,-0.0164273873484121,0.320800385595731,0.276053736571754,0.375056278489671,-0.103167359275526,-0.800293397892645,-0.155763747046133,0.00317155368519985,0.465490135939089,-0.0118453682527274,-0.283666645011954,-0.203696893581411,-0.281010089160037,-0.0801169386737324,0.104879218524165,0.187171121143804,-0.175603064502171,0.323628419663056,0.290793255721445,0.91647736187702,0.983702483476835,0.555260903140998
"NM1705PAR",0.294441821469856,0.185236716803936,-0.321175478637437,-0.0656064162441761,-0.290979589106691,-0.228888530058438,0.318685324963524,-0.0874392772507058,0.680253739730038,0.698775984922953,0.648300752801545,1.28588948686456,0.702373152622219,1.69186084504176,1.40429696857091,1.43880069919534,0.950489234898522,0.416644767812861,0.527281252646213,0.458086205107482,0.686125986960492,0.66578982131487,1.55384959967216,0.666542564209222,0.316662771188838,0.279700620838288,0.690434142894861,0.387560189849862,0.535412323645419,1.03593092620444,0.245109071179444,-0.462138676245631,0.0894795147462712,0.66969895509571
"NM170506PAR",0.062513502317381,-0.0951433483826,-0.485089584950247,-0.367665020884402,-0.615834643537786,-0.433184165902123,-0.2672160764703,0.122707846552716,0.160731957053267,-0.114896934741769,-0.0462113481473483,0.0314379150816723,-0.388510262454465,0.146327880746094,0.13196704586488,0.0553710470757464,0.0140231764095351,0.19758081085786,0.462256003247393,0.0764592584007862,0.26245316449716,0.0613394546231969,0.997938850134557,0.485542429850017,0.100408986916241,0.115951569715385,0.493213541012682,0.213491562272683,0.290786922304356,0.279832873416414,-0.363191318040217,-0.732107968269795,-0.318678940622068,0.0148955136447247
"NM1712PAR",-1.06417306733829,-1.21908333790412,-0.794599534611641,-0.858685382761538,-0.481982349694733,-0.207908477386153,-0.988310695838813,0.326880267106354,-0.559459767445974,-0.508767414621497,-0.486672601533972,-0.721699874792078,-0.993948482097223,-0.116828208365473,-0.416383161744874,-0.687674437821039,-0.853506334485413,0.377097096702539,-0.723544978810455,-0.791539577610993,-0.852334407334698,-0.946877900707956,-0.486835423411156,-0.693328281957004,-0.690139419484963,-0.968958073870024,-1.06633831881201,-1.26091568984723,-0.382814062611147,-0.4449713289888,-0.271522525138018,-0.0758550070751474,0.0537606939717514,-1.29099414010229
"NM1713PAR",-2.27243682174814,-2.09130635384296,-1.6745817551178,-1.56032406264977,-1.47106037696204,-1.18561302025104,-2.24080130561281,0.527826581410962,-1.73969835141952,-1.64895423637037,-1.96619527813064,-2.03424369434011,-2.38473333750504,-1.22503022842378,-1.48101048037958,-1.63760626397783,-2.22122882331116,1.10760962890403,-1.64318211038985,-1.64015157553381,-2.07712386346972,-2.17211270638427,-0.336226511994187,-1.31861505392528,-1.43409295178381,-2.00606751039436,-2.05307994099776,-2.63345339157453,-1.24945061236925,-1.22736363402906,-0.768585859537652,-0.0065290958455278,0.412589216806737,-2.33646093525639
