"Germplasm","Rep","Plot","Row","Range","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","GNDVI_110","GNDVI_114","GNDVI_124","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","GNDVI_160","GNDVI_166","GNDVI_174","GNDVI_180","GNDVI_188","GNDVI_194","GNDVI_200","GNDVI_206","GNDVI_216","GNDVI_222","GNDVI_228","GNDVI_236","GNDVI_240","GNDVI_250","GNDVI_256","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292"
"SW_1011",1,300,1,1,-0.0814892329956056,-0.0583049352244414,0.132034140253205,0.275234403724429,0.338864194948557,0.362332808007711,0.24970810005718,0.058777420117263,0.241492440828845,0.256433876745541,0.282719214261829,0.160651577140271,-0.00738183811269644,0.00761758144492447,0.189637535307554,0.314342192213627,0.0189877778857426,-0.00439283951166424,-0.0147707157594951,0.0246751342939337,0.00481075070897618,-0.0317780869841191,-0.10325739532961,-0.0430478828428982,-0.0200059939207953,-0.00992962614206555,0.0909381482651339,0.151841416651849,0.186968235454695,0.253471973911654,0.237443279733552,0.327172919526342
"SW_8421S",1,301,1,2,-0.00547924438763582,0.00596789859532179,0.126976835381617,0.2912423142182,0.336304212346861,0.328777938208945,0.300318784473783,0.0570806048118673,0.347627173394707,0.318471521211513,0.386012583102943,0.338462283401939,0.0938643195503099,0.121364044427142,0.2755016939864,0.382045083778698,0.0414813353110772,0.116028428567518,0.114138174809934,0.121408248437633,0.0303911407324907,0.0674987070184387,-0.031217882424705,-0.0101046683086535,0.0489580718479067,0.0599904223176764,0.159555652519275,0.288245372739184,0.375227958513392,0.2976656271598,0.267343142577609,0.361630847828462
"NM1715PAR",2,302,1,3,-0.0663533309821834,-0.0350256635794625,0.0836994789327529,0.216075175013545,0.258359068967226,0.351867878656544,0.256663328864056,0.0878269722369366,0.24338959431054,0.282553165413068,0.344611668656807,0.293304017624613,0.080632179734167,0.0654943429829638,0.232864057694204,0.349410713961831,0.0395458659139576,0.0661317179537312,0.0445045268168003,0.0774064875049896,0.0388963401750964,0.0819054076806556,0.0197329800372009,-0.00244642521907606,0.0269257878983026,0.0287506692942971,0.104215548541349,0.215029857417689,0.309015855656119,0.285692276730498,0.267612442955564,0.378099096810207
"NM170506PAR",2,303,1,4,-0.0160490672771642,-0.00809716196898026,0.109619248285107,0.279506411694191,0.271734319930353,0.327392174505804,0.272736111052336,0.104823821345905,0.326997588739392,0.283508611642261,0.367643324115646,0.315297436610745,0.0805259525298068,0.115525729727391,0.238947137223116,0.374408588570694,0.0535466716829556,0.113824624277167,0.0855855856439034,0.115775591529206,0.0430633064926086,0.0776171351821,0.00182339468972295,0.000803275867567811,0.0367667127344324,0.0558852087233758,0.109148217668279,0.214012566172288,0.358057015759394,0.270229243027846,0.248654011740163,0.365652303964035
"SW_9813",3,304,1,5,-0.0311637855115635,-0.0457429283466656,0.102549511504214,0.280144479501447,0.255508101834617,0.207131363994605,0.263151272113045,0.104845317803682,0.294041932141551,0.27260883126933,0.347610925962028,0.235248339438227,0.0511886539724871,0.0730526929353229,0.208519151435552,0.342787511014382,0.0569115763671711,0.105317943384547,0.057165634734817,0.0967318922470691,0.0233252879317468,0.0371661422368682,-0.0297280871520376,0.00701008207705514,0.0248948013682072,0.0153747280429495,0.0583933729815694,0.17189261728864,0.308465698027864,0.274158530958698,0.219598604718779,0.327080503841424
"DONA_ANA",3,305,1,6,-0.0365130268271406,-0.0490854893485559,0.113207956309734,0.299442297127833,0.288350632697935,0.2278198441407,0.304539614311413,0.0363154331849117,0.302276345013845,0.275982153068072,0.352176822521957,0.23820232210344,0.0479758059156516,0.0671679598193444,0.203998663829154,0.367055258916514,0.0556740894266592,0.107749014705524,0.0652439297684136,0.0937044670056557,-0.0050134079659057,0.0123916274170616,-0.0545950802109732,-0.00172690184536354,0.0290892232728342,0.0420026610307489,0.114352701205387,0.21194510533914,0.340892765749184,0.307580881559869,0.236628122237468,0.359248500184772
"NM1712PAR",4,306,1,7,-0.0604476201835268,-0.066160583250568,0.0835991638437823,0.227899107469703,0.273215680328496,0.2402886191535,0.293548067418731,0.099162866564818,0.244956981752226,0.277847362342033,0.340183057883697,0.253788289706312,0.0442379303697354,0.0728765830679519,0.196204857987441,0.353412804429241,0.0180896299512298,0.0443055802487257,0.0152330027441874,0.0543247067790642,-0.0214441629215247,0.00448054694937338,-0.0843116018376509,-0.0127979836581192,-0.0198349303894624,-0.0103448286641451,0.0509558817186828,0.139255652930821,0.249675873633162,0.255229272127744,0.214931300216464,0.328537542479025
"NM1704PAR",4,307,1,8,-0.0259783187728737,-0.0324959406791493,0.120441026375437,0.253202698644258,0.275238347969674,0.199774136937487,0.305116696019293,-0.0206985505673614,0.262832628807081,0.292654543595303,0.354409004039633,0.259130145928751,-0.0319529463528187,0.0700508889626813,0.1752556922255,0.319190316693642,-0.000248231491648623,0.0286410272615461,0.00378776958199644,0.0414284883451285,-0.0185493508907586,-0.0685407802639242,-0.14343370109357,-0.075373281318518,-0.078003123420833,-0.0295850971362602,0.0500531544857474,0.134791601256512,0.273166768997108,0.263782949774141,0.228752579231983,0.325449582749371
"NUMEX_BILL_MELTON_CA_2019",4,308,2,8,-0.0395911609627136,-0.0220376015491439,0.0965078047779912,0.255628220039308,0.27138233247571,0.270354751314621,0.355388961519158,-0.0693419306601412,0.24814675690714,0.25777246887945,0.359812148921834,0.279325285014311,-0.0421976618180871,0.0635962756321391,0.160249196184623,0.340780585910212,-0.0134004804953646,0.0228942172306755,-0.0129536945061998,0.0569879043142193,-0.0397356717667779,-0.0752144178616509,-0.152439218544228,-0.0855987986861881,-0.0722221733428317,-0.0441200307082912,0.0542517851963299,0.139627928729907,0.282444589237699,0.250621881476008,0.220508613396704,0.333213787814477
"NUMEX_BILL_MELTON_CA_2019",4,309,2,7,-0.037058837741352,-0.0354442421802634,0.086662125231057,0.261090182468802,0.279745844746155,0.215505652113242,0.337570487142151,0.022120557227437,0.280370227761237,0.259853154462439,0.369397157484322,0.306419095260108,0.0267585964794613,0.0711644982301245,0.188619436973903,0.365144660500748,0.0131245618950047,0.0586367575201876,0.0386128544127779,0.0768234553615299,-0.014549904612516,0.00435321330412915,-0.0852102805870596,-0.0128911006066432,-0.00298773048548688,-0.00939080566109019,0.0671306701704093,0.158178025657918,0.290139378504536,0.232662037589573,0.196598117706898,0.320913695084661
