"Germplasm","Rep","Plot","Row","Range","NDRE_62","NDRE_76","NDRE_90","NDRE_96","NDRE_104","NDRE_110","NDRE_114","NDRE_124","NDRE_130","NDRE_138","NDRE_144","NDRE_150","NDRE_160","NDRE_166","NDRE_174","NDRE_180","NDRE_188","NDRE_194","NDRE_200","NDRE_206","NDRE_216","NDRE_222","NDRE_228","NDRE_236","NDRE_240","NDRE_250","NDRE_256","NDRE_264","NDRE_270","NDRE_278","NDRE_284","NDRE_292"
"SW_8421S",3,401,13,6,0.492822493,0.447451148,0.372011952,0.420684683,0.376951201,0.465080882,0.460207806,0.344371869,0.433005129,0.319350427,0.473296327,0.413420793,0.211476668,0.392563472,0.31099231,0.357095748,0.421129613,0.391441135,0.418648528,0.416673656,0.371637525,0.337340232,0.208094413,0.395938871,0.44890347,0.454737783,0.260464301,0.319253071,0.433994304,0.30514328,0.277594501,0.288333483
"DONA_ANA",4,402,13,7,0.43038725,0.460970697,0.410794268,0.456206045,0.383886764,0.45570343,0.501061416,0.446708831,0.446608147,0.336484304,0.483006878,0.428902905,0.144371446,0.420346639,0.338017569,0.369591531,0.428370563,0.403831819,0.425061275,0.425832873,0.388258198,0.422380864,0.328470175,0.424993289,0.478051751,0.45887989,0.272384001,0.321087396,0.433557464,0.330316297,0.296515879,0.297792412
"SW_9812",4,403,13,8,0.436771983,0.472397037,0.409385504,0.453450646,0.37802267,0.443398415,0.49572338,0.456225391,0.425695301,0.364161884,0.443052757,0.422711992,0.335447744,0.429723459,0.413715925,0.379071508,0.435700738,0.429201635,0.455719644,0.43826638,0.375392809,0.504785326,0.502584697,0.466297637,0.494855601,0.467891496,0.256619794,0.28606775,0.394293945,0.321998735,0.295783955,0.309867673
"NUMEX_BILL_MELTON_CA_2019",4,404,14,8,0.439448212,0.463353868,0.41120251,0.429582997,0.397972009,0.400783148,0.454147981,0.347346846,0.416549477,0.360534723,0.423048023,0.402303525,0.37151216,0.438301481,0.379899261,0.367980811,0.452559206,0.434153582,0.458648906,0.426258691,0.328755004,0.538796849,0.512473677,0.479664447,0.501519237,0.47378658,0.265240955,0.299147402,0.409618104,0.304951156,0.262539091,0.270315964
"NUMEX_BILL_MELTON_CA_2019",4,405,14,7,0.431251676,0.450808314,0.387101524,0.433030461,0.390300006,0.413188096,0.458647279,0.355000116,0.419951998,0.33140717,0.450050403,0.382027372,0.27448024,0.43459797,0.363948638,0.329347073,0.449420525,0.421938347,0.434099012,0.416313873,0.407783923,0.495136999,0.49914078,0.466768891,0.491606852,0.483236408,0.257314494,0.27998188,0.392979116,0.329937617,0.271866019,0.289892489
"NUMEX_BILL_MELTON_CA_2019",3,406,14,6,0.49388797,0.458909288,0.346409653,0.414036992,0.35860994,0.439903564,0.421627609,0.274744267,0.408476278,0.299616352,0.43571154,0.366115777,0.216771926,0.41130687,0.307729279,0.335098959,0.428855819,0.414306635,0.430404961,0.405763179,0.424395658,0.477096232,0.481810892,0.439139633,0.464823916,0.476520394,0.25724553,0.303447691,0.410767742,0.276558148,0.250137099,0.252030182
"NUMEX_BILL_MELTON_CA_2019",3,407,14,5,0.502821768,0.454213859,0.341995787,0.416946222,0.35809465,0.426807407,0.446655482,0.320289022,0.418334056,0.301074526,0.446045695,0.374874958,0.410565919,0.4111712,0.313498372,0.371211616,0.431721314,0.430040606,0.436623566,0.401862367,0.349974303,0.476920673,0.471353875,0.43186909,0.467407683,0.470662162,0.26522993,0.311157397,0.417892781,0.285508783,0.253840323,0.257983597
"NUMEX_BILL_MELTON_CA_2019",2,408,14,4,0.511733447,0.460624003,0.352569564,0.400536208,0.362969632,0.434565802,0.447383588,0.387135342,0.398786074,0.285909934,0.425734396,0.361619843,0.401501978,0.428284703,0.291320038,0.352822447,0.441867468,0.429325639,0.454476474,0.4116617,0.386500568,0.479950885,0.467464755,0.432648094,0.475857714,0.479668933,0.269709483,0.298408675,0.389580094,0.307133319,0.281644845,0.281163636
"NUMEX_BILL_MELTON_CA_2019",2,409,14,3,0.494972583,0.477011852,0.340549154,0.40066051,0.333319315,0.441929841,0.43084318,0.347119902,0.400468944,0.317031373,0.412083603,0.358501257,0.329072442,0.424564097,0.285269467,0.370192112,0.419386023,0.418226657,0.48559117,0.400249605,0.307396793,0.476799801,0.504312177,0.427870907,0.451399609,0.468021437,0.279136287,0.306255055,0.392649791,0.307805517,0.266495135,0.256415736
"NUMEX_BILL_MELTON_CA_2019",1,410,14,2,0.455373388,0.454417282,0.320114563,0.407738086,0.365819319,0.468267114,0.44975468,0.427218649,0.423263414,0.285756255,0.452984693,0.37630137,0.454926262,0.423067924,0.294589449,0.355817894,0.436886476,0.419841409,0.446176471,0.413051971,0.298625403,0.461017268,0.496967225,0.275150717,0.480980824,0.479203592,0.26522769,0.290809682,0.398437836,0.293842649,0.251282051,0.263140683
"NUMEX_BILL_MELTON_CA_2019",1,411,14,1,0.452951206,0.459319325,0.340860246,0.409242322,0.340811766,0.456018195,0.476846353,0.328995857,0.429777312,0.294215937,0.450855553,0.38197697,0.511229496,0.416011249,0.286599861,0.369842144,0.435326094,0.417697295,0.441042915,0.404537741,0.285239,0.455904651,0.504932134,0.423723375,0.478004692,0.475170761,0.267306308,0.303968308,0.40883263,0.289169965,0.25124859,0.253377617
"NM1715PAR",1,412,15,1,0.462062752,0.469737281,0.378233622,0.419744315,0.382144482,0.465029918,0.464198643,0.286738817,0.404111473,0.360258612,0.42883273,0.383625524,0.512848567,0.437630158,0.31091278,0.365749886,0.448569188,0.44043889,0.462806163,0.427576978,0.249672458,0.485299426,0.515932985,0.455951285,0.505361616,0.468746261,0.267519743,0.279054704,0.404299551,0.35085265,0.304740949,0.330495505
"NM1701PAR",1,413,15,2,0.423711607,0.445679914,0.327535301,0.430302434,0.382823775,0.459260573,0.455358511,0.297892878,0.413531645,0.366079063,0.43329907,0.401789565,0.473617622,0.430741665,0.309997425,0.362051465,0.446256786,0.417741574,0.451304432,0.416385609,0.250015828,0.486166516,0.515684899,0.436539774,0.489783212,0.46210568,0.284045843,0.295372511,0.411785862,0.335617484,0.27619656,0.291041169
