"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"1",0.222752431437436,0.0110149315287359,0.00387822529207868,0.00323768973369806,0.00395543211835418,-0.000291072455509934,0.00505083156002605,0.0075793795487276,-0.00389907308618894,-0.00331693182078528,-0.000231396997424616,0.00635408388069074,0.00868918655802537,0.00862214005215579,0.00574516323376431,0.00816964909679815,0.00987040233160584,0.0117411161464774,0.00343612672676269,0,0,0,0,0,-0.479208795499785,-0.0103894261251999,-0.00131488110976375,0.000220352612519646,-0.000932809602561794,0.00374373205930476,-0.00112271423296949,-0.00479664308126306,0.00457989596945959,0.00297655500616995,-0.00245375688294409,-0.00275484519247863,-0.00368689197839441,-0.00611220824663732,-0.00243142803601623,-0.00248559074336068,-0.00463103527846025,-0.00723785574735305,-0.00159989275675704,0,0,0,0,0
"2",0.0110149315287359,0.20633261567747,0.00883141916822689,0.0092540523948125,0.00739102010776978,0.00629314202845049,0.00815515973260216,0.0121085997326554,0.00193030636944279,0.00270667534944983,-0.00298325795376684,0.00204366900071404,0.0119869940865748,0.0166473992922505,0.00784904568910996,0.00334924379716997,0.0050187445949439,0.00670640718004215,0.00781407155560633,0,0,0,0,0,-0.0103894261251999,-0.452140202839401,-0.00644117531012683,-0.00580308764246902,-0.00200374248074622,-0.00205205326255651,-0.00224271394093323,-0.00948856218394242,-0.000415073196475046,-0.00378688047520717,0.00249936188841731,0.00331576332832912,-0.00903091758231761,-0.0173240766390871,-0.00568936169486585,0.00102650825768889,-0.0014172288631811,-0.00285026010652905,-0.00800158723231965,0,0,0,0,0
"3",0.00387822529207868,0.00883141916822688,0.221974028594885,0.00983231699369163,0.00712457520386043,0.0158704288895587,0.006842995775362,0.00794695791935922,0.00573352402601113,0.0033295071847985,-0.00327100178902278,0.0166103667818667,0.00479553518299001,0.0104696664736574,0.00362523054117816,-0.00130372688153739,-0.00128623346273013,0.00157654191405428,0.00504460034963004,0,0,0,0,0,-0.00131488110976374,-0.00644117531012681,-0.475711014233652,-0.00526714007135835,0.000203449830994531,-0.0133997233456358,-0.000265588583896695,-0.0032751399424323,-0.00278113561995935,-0.00249882147339941,0.00365434847268477,-0.015362841944043,-0.000442770088373921,-0.00848338187500679,-0.00127886193627092,0.00384406239195641,0.00422726247701687,0.00131127159418852,-0.00375133400050943,0,0,0,0,0
"4",0.00323768973369807,0.0092540523948125,0.00983231699369164,0.217795108557738,0.0239703733684122,0.0163676981793003,0.0171962264064786,0.0118437042298797,0.00599137444695803,0.00232805630043826,-0.00204307603913167,0.00455690731955485,0.00537435378031074,0.00860107003458711,0.00339821109092452,3.11401622721312e-06,0.000223574848948812,0.00280778857279016,0.00165495723860553,0,0,0,0,0,0.000220352612519626,-0.00580308764246903,-0.00526714007135839,-0.465554995471832,-0.0222719692920901,-0.0116426627772668,-0.0121813840374415,-0.00588104415152485,-0.00192946748327055,4.15638141008111e-05,0.00192354456132432,0.000331656738080991,-0.000487644155714829,-0.00406027344460978,-0.00050981876396692,0.00203009009184017,0.0021503497208774,-0.000348802719397034,0.00150247440876586,0,0,0,0,0
"5",0.00395543211835419,0.00739102010776978,0.00712457520386045,0.0239703733684122,0.226091764501824,0.021499161599915,0.0192709236812274,0.0121033181246249,0.00979768993540228,0.00423781845549902,-0.000537622575378011,0.00510780631723403,0.00551686643938263,0.00721824851239785,0.00305321276656138,0.00111286975015039,0.00146981212734823,0.00188714375536003,0.00183517411049273,0,0,0,0,0,-0.000932809602561826,-0.00200374248074623,0.000203449830994504,-0.0222719692920901,-0.474513662691162,-0.0177731595965572,-0.0135801812007402,-0.00494012467872158,-0.00599960278256574,-0.00182661197828066,0.000159298824036691,0.000277100576671714,-0.000346064719990867,-0.00130155100372341,-6.95895036049919e-05,0.000372507334875566,0.000273867820049514,0.00107410298490489,0.00124193353876118,0,0,0,0,0
"6",-0.00029107245550993,0.0062931420284505,0.0158704288895588,0.0163676981793004,0.021499161599915,0.221146200711084,0.0144417182695728,0.00956625591621888,0.0156929003125851,0.00720388080007112,0.00148730106135656,0.0120880022592353,0.00402414858598293,0.00664073874515009,-0.000976030267463047,-0.00255118163631792,-0.00300950664520685,-0.00165446751883301,0.00264463738133892,0,0,0,0,0,0.00374373205930475,-0.00205205326255655,-0.0133997233456359,-0.0116426627772669,-0.0177731595965573,-0.468441482180436,-0.00856969808464863,-0.00331706117744898,-0.0136465768410338,-0.00500508987487663,-0.00179015007837886,-0.00965957028962015,-0.000430867991434822,-0.00216233762692248,0.00424189975474776,0.00294843189439226,0.0040312076597666,0.00357025733034757,-0.000575498446941741,0,0,0,0,0
"7",0.00505083156002606,0.00815515973260215,0.00684299577536201,0.0171962264064786,0.0192709236812273,0.0144417182695727,0.224546169039265,0.0250917062659315,0.00426096048618982,0.00316424140183255,-0.00216198179531947,0.00268276474177144,0.00645855403348742,0.00871397010635011,0.005442095337816,0.00183969731697988,0.00353016426251244,0.00335933697506712,0.00391557717212403,0,0,0,0,0,-0.00112271423296951,-0.00224271394093322,-0.000265588583896708,-0.0121813840374414,-0.0135801812007401,-0.00856969808464851,-0.472993412844048,-0.0250558459573128,0.000130539790056213,-0.00193825694327484,0.00158726199408307,0.00308671113327052,-0.000512966404377559,-0.00283522598070829,-0.00226351454160328,0.000991433324211992,-0.000990795820637187,0.000579003149115328,-0.00135093603874449,0,0,0,0,0
"8",0.00757937954872761,0.0121085997326554,0.0079469579193592,0.0118437042298797,0.0121033181246249,0.00956625591621882,0.0250917062659314,0.220058657963123,0.00353599755833864,0.00110623505441046,-0.00201581238611457,0.00238149025023194,0.00774800605665759,0.00980281699866742,0.00501926149913366,0.00259258871356692,0.00312299923783635,0.00458524733727962,0.00530182669912724,0,0,0,0,0,-0.00479664308126305,-0.00948856218394236,-0.00327513994243227,-0.00588104415152475,-0.00494012467872144,-0.00331706117744887,-0.0250558459573127,-0.469724532342295,-0.000748469437854157,0.000406418619693693,0.00100935425421044,0.00302254526640635,-0.00239845971732119,-0.00494637059249519,-0.00142564488945858,0.000715380191958244,0.000412014340539033,-0.000581859612498234,-0.00355006454278963,0,0,0,0,0
"9",-0.00389907308618896,0.00193030636944279,0.00573352402601113,0.00599137444695803,0.00979768993540227,0.015692900312585,0.00426096048618984,0.00353599755833865,0.230547186371301,0.0200787829492498,0.00803864024144626,0.0034433117801817,-0.00034571877367888,0.00158298993406318,-0.00350009999789294,-0.00485802265925386,-0.00347114521797182,-0.00360544275345749,-0.000604373802387194,0,0,0,0,0,0.00457989596945962,-0.000415073196475042,-0.00278113561995936,-0.00192946748327055,-0.00599960278256573,-0.0136465768410338,0.000130539790056206,-0.000748469437854182,-0.487228390137601,-0.023217416802636,-0.00770855619543476,-0.00242891597864784,0.000506249665850963,0.00016798314636939,0.00400838993448725,0.00222945468089777,0.000414173007921957,0.00155935241246068,0.00158012192835048,0,0,0,0,0
"10",-0.00331693182078529,0.00270667534944982,0.0033295071847985,0.00232805630043826,0.00423781845549901,0.0072038808000711,0.00316424140183255,0.00110623505441046,0.0200787829492497,0.214589840778876,0.0127879733395194,-0.00235271494353876,-0.00133415921459906,0.00123769533738425,-0.000782616539601938,-0.00499271406681299,-0.00639991959485082,-0.00623627637584231,-0.000232813188505139,0,0,0,0,0,0.00297655500616996,-0.00378688047520717,-0.00249882147339939,4.15638141008172e-05,-0.00182661197828063,-0.00500508987487658,-0.00193825694327484,0.000406418619693687,-0.023217416802636,-0.467923028991884,-0.0155915473625416,0.00287709361215352,0.000329776030124798,-0.00110640511477422,-0.000363303754220895,0.00180870883074335,0.00391750354439335,0.00468201246306826,0.000250808551281569,0,0,0,0,0
