"","Germplasm","Full_Model_gebv","Imputed_model_gebv_1","Imputed_model_gebv_2","Imputed_model_gebv_3","Imputed_model_gebv_5"
"1","AMERISTAND_803T",0.0112721725067176,0.00705235349873494,0.00824600652462656,0.00444829738123185,0.00640255379242258
"2","MESQUITE",0.0106116666120953,0.010109771470287,0.00802601301861973,0.00696986079506549,0.00887701911656293
"3","NM1701PAR",0.015517663312644,0.0102085736685253,0.00939232034306347,0.00795399773057586,0.00894657354188537
"4","NM1702PAR",0.00292010165343749,0.00333320994642586,0.00378653296628077,0.00143503374080751,0.00471807310978272
"5","NM1703PAR",0.0101373925090838,0.0100656681476516,0.0076871610092531,0.00851211993487783,0.00655974231406224
"6","NM1704PAR",0.0099136238034378,0.00603717907455867,0.00692998933177817,0.00681475972282199,0.00439473573813548
"7","NM1705PAR",0.0063133190313645,0.00733393314652618,0.00528912465402383,0.00292549540208839,0.00247301197212548
"8","NM170506PAR",0.0291867706189206,0.0256186648889258,0.0256136329894283,0.0192412633973294,0.0227214600178451
"9","NM1712PAR",-0.0224478451173853,-0.0200271771439143,-0.019799716063845,-0.0152880771822762,-0.0156384142897344
"10","NM1713PAR",-0.0319401221795162,-0.0199068114068641,-0.0188525037245062,-0.0182942163230719,-0.0146319768205663
"11","NM1715PAR",-0.0333322911861168,-0.0256771664559556,-0.0257645815966522,-0.0243649513650179,-0.0253696830144735
"12","NUMEX_BILL_MELTON_CA_2019",0.0050340036246013,0.00372269610508757,0.0014715218720886,0.00552727068065074,0.0043879369912332
"13","SW_1011",0.0120534796101176,0.0124781396616224,0.00854135238916442,0.00909080748143426,0.00838708229109144
"14","SW_8421S",0.0174464342707482,0.0175036634026784,0.016829540309117,0.0125993284221046,0.0140778733171318
"15","SW_8888",-0.0171825632951643,-0.00995599580700472,-0.014797031657838,-0.0120230900280908,-0.00978598153419444
"16","SW_9720",0.00523679136147757,0.00517028179847173,0.00163108865119642,0.00148231903832812,0.00393057584305877
"17","SW_9812",0.0162874064446898,0.0141338854458239,0.0132158428310944,0.0122422084991125,0.0141055460137457
"18","SW_9813",0.0152708438506902,0.0117250406853181,0.00950273062182046,0.00849550987620861,0.00940143320998573
"19","DONA_ANA",0.0184579137002945,0.0150964647646295,0.0164632152900788,0.0134267178574522,0.0142586948618489
"20","AFX_779",0.00315028359297088,-7.79613001523073e-05,0.00176969028834113,-0.000434959454929402,-0.0020018932986267
"21","AFX_149092",0.00904725259512409,0.0111950178651143,0.00840941536463663,0.00420324350637773,0.00268048187910944
"22","NUMEX_BILL_MELTON_FG2011",-0.015251607045825,-0.0144374952318547,-0.0141152834110922,-0.00807922279466177,-0.00842366967578454
"23","TMA_990",0.0264999601845601,0.0146918712160108,0.0173729850376914,0.0177446965764986,0.0156985025064773
"24","NUMEX_BILL_MELTON_FG2012",0.000825504797091993,-0.00135631565353371,0.00135370287493274,0.00430765017356533,0.000592157244533412
