"Germplasm","Plot","Rep","Row","Range","ndvi_62","ndvi_76","ndvi_90","ndvi_96","ndvi_104","ndvi_114","ndvi_138","ndvi_144","ndvi_150","yld2","ndvi_166","ndvi_174","ndvi_180","yld3","yld4","ndvi_256","ndvi_264","ndvi_270","ndvi_284","ndvi_292","yld5"
"SW_1011","300","1","1","1",-2.53610385647054,-1.76612411244799,-2.2439130332079,-0.229700400780834,2.43554740618712,-1.26412168786107,-0.26989038947755,-1.90752311688847,-1.66828095365234,-1.71311156001361,1.41543317655295,-0.469768911180276,-0.946046750402966,-2.81097168519314,-2.39464050223402,-2.66908902417076,-0.0727224263174408,-1.73039307777655,0.914830719199148,1.04932679077061,-2.23888291020812
"SW_8421S","301","1","1","2",-0.942910881170362,-1.22794338669229,-2.91924035517347,-1.20527402545976,1.94762394604138,-0.801139573927044,1.83152688179904,0.745937010246963,1.59219269732937,1.826385526305,1.01839170344784,4.31161624473544,1.21940548835257,1.28964804946966,2.08562324442966,-1.75497877673979,3.66990503628976,1.78325496481401,2.34594200208014,2.47721783808034,0.566155544626539
"NM1715PAR","302","2","1","3",0.249077362294837,0.457569606723885,-3.4303334168707,-1.36687998777834,0.604916952789231,-1.17482467382813,1.44398185112256,0.641014577525615,0.656762886583262,0.81934837963584,1.53816240036172,4.12274890231373,0.650809642104409,0.287081736325505,0.45986076732208,-1.69827541048292,2.41179022034508,1.31627832753551,2.11082469698217,1.98581157078095,0.306221803170625
"NM170506PAR","303","2","1","4",-0.0488301931326207,0.787345973752853,-3.10365844812201,-1.44611781452439,0.669635193393655,-0.970243257627515,0.300289150553983,0.33664223759195,-0.609113082433467,-0.369114104858734,1.62494705767072,2.88124590046233,0.466964132702767,-0.143276245795306,0.569945443928131,-1.56567029064158,1.52408567768398,0.3650953074697,1.6509498870202,1.32287537009592,-0.515180196946592
"SW_9813","304","3","1","5",-0.475653647922762,0.135339817188874,-3.09247306924464,-1.14572913450394,0.404998357146893,-0.76496755639329,-0.0265928665872393,0.588316937854837,-1.85741730666842,-0.780121024187558,1.76657727906058,1.43829183959008,0.264344409098449,0.178578509624722,0.438354638269548,-1.82225195907639,0.668441033642877,0.382917874337828,1.41080750883456,1.02991516472771,-0.224731729317428
"DONA_ANA","305","3","1","6",-0.596313092242977,-0.768536677330923,-2.85553202306967,-1.30607132548785,1.13028815361171,-0.888857733620023,-0.250262666200567,0.167544488129408,-1.55880632782404,-1.06966591524001,1.95031649684827,0.894812539314458,0.336570211334629,-1.0661414050626,-0.219134561737555,-2.28724659100717,0.490764432517779,-0.287447217512165,1.65394282491577,1.51388520110827,-0.746485514254644
"NM1712PAR","306","4","1","7",-0.0255097536523885,-0.782626939732523,-3.40554736511861,-1.2734399165897,0.993831139587142,-0.785550682426503,0.0859149180792731,1.082809937296,-0.600881920687093,-0.278753973906807,1.87362581594499,1.0245540480923,0.846798069144367,-0.379563870360633,0.384041139241841,-2.20467748657057,0.302213074320773,0.889029161185996,1.76214247372907,1.46926124230097,-0.489457752122868
"NM1704PAR","307","4","1","8",0.371798135346381,-0.637475902346945,-3.669753338962,-1.45132572555758,1.05178275056167,-0.704291080764974,0.19571356585732,0.72194847557898,-1.26607910627541,-1.1660271023835,1.64042637855757,0.247016896724189,0.842555319270906,-0.610695256039385,0.142313666464022,-2.0420792837775,0.0847945872705202,-0.558853317050618,1.64034136340964,1.12906883179942,-1.22818949855549
"NUMEX_BILL_MELTON_CA_2019","308","4","2","8",-3.03339128360815,-2.29224718167888,-0.861841994087218,0.478624960967282,2.81110868321262,-1.84618802024686,-0.877728156624493,-2.40532864588958,-2.10244055436687,-2.41385076500703,0.375326518575895,-1.08547603605439,-0.623717896193081,-2.7515417280273,-2.5973737367304,-2.49103658150845,-0.307601154565464,-2.29202274885107,0.348188760895622,0.883515241124053,-2.27183457143236
"NUMEX_BILL_MELTON_CA_2019","309","4","2","7",-1.20110911378239,-1.61985395983226,-1.60384821579383,-1.38851226188354,1.66779424519316,-1.62270424955887,1.26218806127145,0.398710289647909,1.20938021457362,1.52554967237839,-0.241091947686018,3.0499962781397,1.74398782922876,1.06474298905177,1.87189878117553,-1.61731522751549,3.37921206925994,2.13316452059211,2.01414993563213,2.90395985954688,0.820182099080856
"NUMEX_BILL_MELTON_CA_2019","310","3","2","6",-0.268520098852808,-0.348469592133363,-2.02130304539344,-1.81206931037005,0.253207997148821,-2.40991520128597,0.644535562275024,0.225441946808911,0.362140717527549,0.875222896555719,0.231283140372516,1.94600488709537,0.637685078433907,-0.136698876835055,0.271322923522858,-1.45465425922242,2.45329033427433,1.60200858478444,1.76521397071367,2.27682695182735,0.186428915586476
"NUMEX_BILL_MELTON_CA_2019","311","3","2","5",-0.436839037191903,0.786714350448298,-1.92988551159108,-1.47872492691742,0.0786586635720674,-2.16582515699463,-0.311785317993124,0.144152236283182,-0.561242415232224,-0.0538138625074846,0.324790081848041,0.898838674361245,0.630651371956458,-0.372914509192212,0.405231781531069,-1.29372360335464,1.30015714668939,0.60469393128284,1.30827164590843,1.6674522657794,-0.718731754624767
"NUMEX_BILL_MELTON_CA_2019","312","2","2","4",-0.388816369044306,0.136832051748799,-1.9216798689432,-0.868951811202365,0.0476458198024686,-1.45017515006747,-0.424281367060559,0.75095218407828,-1.27007599018565,0.0665446693231308,0.697935007260764,0.0731209717733629,0.597165134223791,0.0133863667779209,0.813727304529526,-1.56402707620361,0.461156601788233,0.507359643243167,1.18328250344803,1.3560971211538,-0.388401800149455
"NUMEX_BILL_MELTON_CA_2019","313","2","2","3",-0.224922734380106,-0.999915737062489,-1.48591113066561,-1.10805756669255,0.931241504914227,-1.28454119513307,-0.328324539276392,0.546279478244206,-0.708002991316083,0.0766946708653405,0.96472430172388,-0.429672475254279,0.807416304518117,-0.8363279451207,-0.0110372275201703,-1.99903081620835,0.0536430170005819,-0.379620762007466,1.45964398420795,1.92291268688632,-0.974666867424761
"NUMEX_BILL_MELTON_CA_2019","314","1","2","2",0.0416882074954264,-0.547787273542404,-1.94251309334469,-0.899743053468686,1.16137696857707,-0.590793052143086,0.0494542846312937,1.47711798100278,0.307737004119009,1.03445589057559,1.0753787323896,0.397874830971462,1.30606399480078,0.389262249687539,1.23368011242715,-1.71970483316921,0.257898435409838,0.543449358418813,1.90999331294376,2.10169720377586,0.00312403676394466
"NUMEX_BILL_MELTON_CA_2019","315","1","2","1",0.580288961286845,0.0343842185156488,-2.43205945663703,-0.996530579575775,1.06475779494177,-0.204887816669238,0.169808959860021,1.12095130299425,-0.424509874424782,-0.0120526044699656,1.04948576902297,-0.277461078302785,1.36549313590159,-0.0224865191089813,0.688334614335353,-1.6282930553495,0.16006582452112,-0.0913419436859127,1.99435955084169,1.97102938633421,-0.209727124099237
"NM1703PAR","316","1","3","1",-3.54966880106485,-0.701396492913149,1.10998454279686,0.48518382441243,2.17028170911128,-1.57679515362023,-0.585265853964533,-2.64246170359715,-1.79161860684475,-1.85099189445589,0.663400217373954,-1.42929005868492,-1.16044706259563,-2.61484556781472,-2.29180909945962,-1.67266299669901,-0.0188661447326373,-2.50740592153606,-0.303590957503275,-0.0110867882659928,-2.10211136032962
"AFX_779","317","1","3","2",-1.14470949571583,-0.653429081331414,0.668428217085823,-1.06819782625615,0.886099003423435,-1.0683615200381,1.17122153062768,0.517570048561102,1.81089191801992,1.99000200966736,0.0315406739051734,1.66228988166688,1.00547542564312,1.34952787054367,2.0943060331187,-0.987344424271863,2.75768939480213,2.51845044702808,1.20409648538809,2.15719498052459,1.39143764213428
"NM1703PAR","318","2","3","3",-0.183200850340749,0.337038492749498,0.446594525182857,-1.07729915024538,-0.134785840796479,-1.48837741020563,0.461607779597314,0.404731111318276,1.19770145840682,1.42924311720299,0.409894857611986,0.189318221461735,-0.18870193443416,0.318586951197723,0.745186916940399,-0.724610889093529,1.48537786353222,1.8523031769348,1.01029136763064,1.80692462724893,1.16799289832756
"SW_9720","319","2","3","4",-0.599276668044338,1.54078779374119,0.493527690002496,-0.788999027272083,-0.472515757480795,-1.58819412662393,-0.235739920205367,0.210257115543571,0.897875434603892,0.978038031031659,0.492302430520795,-0.314162575552013,-0.310679548333001,0.296554573248764,1.47605444444654,-0.442723464245254,0.788505874173666,1.24756559403794,0.730097970041529,1.54118217188827,0.683412952530591
"SW_1011","320","3","3","5",-0.38011209603819,1.50998188985512,0.367709470783156,-0.20458463714468,-0.492100810033682,-0.802061440727728,-0.337021527297659,0.455245812932777,-0.0749240697809933,0.687565424123983,0.631193066771732,-0.314891514811023,-0.110608067020164,0.541675904117814,1.29966898762111,-0.626544237768687,0.275511087034335,0.493468090449399,0.56395325988109,1.05767252319863,0.187919737741245
