"Germplasm","Rep","Plot","Row","Range","NDVI_62","NDVI_76","NDVI_90","NDVI_96","NDVI_104","NDVI_110","NDVI_114","NDVI_124","NDVI_130","NDVI_138","NDVI_144","NDVI_150","NDVI_160","NDVI_166","NDVI_174","NDVI_180","NDVI_188","NDVI_194","NDVI_200","NDVI_206","NDVI_216","NDVI_222","NDVI_228","NDVI_236","NDVI_240","NDVI_250","NDVI_256","NDVI_264","NDVI_270","NDVI_278","NDVI_284","NDVI_292"
"SW_8421S",1,100,1,1,0.50529286200493,0.482267331226396,0.409757703591083,0.516661909870189,0.474185409457901,0.59965372940427,0.546104231166151,0.333463729878541,0.478717204408706,0.461626668405722,0.519151212796554,0.435629481534466,0.469579470408168,0.433431328050914,0.405763186,0.518068461906339,0.196076809549295,0.45362442293373,0.443032065146734,0.530657021242288,0.395445782775201,0.366470387129211,0.454635431201195,0.497187168,0.474135886912905,0.359885590258617,0.381350054023416,0.46675181577651,0.526371207963211,0.495678319462562,0.457540675395347,0.473455025659027
"SW_1011",1,101,1,2,0.526384333784665,0.486025107400164,0.385085204734654,0.498336105397488,0.450736323941341,0.60732584866363,0.529030016329482,0.210377093195915,0.470494608949887,0.443445280278429,0.4979916753026,0.43155176153986,0.321307047344254,0.439651174403898,0.355536675798114,0.488315062346626,0.163948951,0.403262691,0.424282087336927,0.487728727513519,0.27662863610576,0.332867223914798,0.456729863875375,0.518221260811464,0.497647567457593,0.301400139793253,0.370238942912305,0.466265318627451,0.528223687392194,0.47694036,0.459461391394165,0.457084134631271
"SW_9813",2,102,1,3,0.522154188188489,0.50092497054035,0.393932395698328,0.485963157456031,0.434959040313503,0.563491020532231,0.534433815315994,0.221944413099121,0.466620504073004,0.44346133501442,0.488874969481137,0.457521790547939,0.215229974839278,0.407116334859124,0.383472990335735,0.488329654563514,0.159419280908844,0.3941242,0.42115771765809,0.489358516979355,0.25598340398462,0.327397888386124,0.443487013781792,0.49004640158527,0.469761436970233,0.37361305796966,0.378423497913221,0.454384849486703,0.541668914035447,0.488517597171239,0.468163162700978,0.476864751015496
"DONA_ANA",2,103,1,4,0.532223355304067,0.505515270046638,0.395501331220512,0.486750517506651,0.439575429746668,0.595753653,0.519088028076792,0.342362219392187,0.463485254792699,0.445642511031104,0.496727579920857,0.460876754,0.197576942169273,0.41551412261107,0.401091848150672,0.497289114520104,0.170132035147515,0.40109089103996,0.437644910553863,0.495551272740815,0.232981023655342,0.338474157667971,0.458146924187902,0.498107266643395,0.489623865110246,0.282843137254902,0.39571707308537,0.484986404718137,0.555711565707858,0.500934297694444,0.460104186470969,0.456123141449093
"NM1715PAR",3,104,1,5,0.536258318629103,0.501394492815177,0.335390552552616,0.460989020001509,0.379692902802147,0.57814098159969,0.44612424555149,0.327746342896344,0.441030664347278,0.330306653,0.451355919496752,0.41958517285116,0.190348405433159,0.418901806524213,0.328259165,0.443908325056101,0.167779927220155,0.366540580789278,0.393254657699929,0.44039369602621,0.199003295778512,0.306940372046254,0.394889917015495,0.46080056065065,0.473711341173468,0.263788765036972,0.340406345,0.427203068382082,0.50934192319921,0.498015201284351,0.451260250706617,0.485532524435457
"NM170506PAR",3,105,1,6,0.521662905571436,0.48444705382684,0.334900997166249,0.465778129890069,0.38756024468611,0.593547750035266,0.478585630056218,0.287568444752524,0.455452721810324,0.379449993834012,0.471233992380407,0.452189734659936,0.171647547468354,0.370484109726396,0.397844156014091,0.493979899,0.167922363320845,0.329151802045611,0.427288748832866,0.461344092818886,0.176115611409729,0.331970659343521,0.450396186544793,0.502666328174859,0.501600303246957,0.281249862046132,0.387651132720478,0.465664657562117,0.538502624946937,0.526272011,0.456486697243,0.47157297360547
"NM1704PAR",4,106,1,7,0.521731441084533,0.455283252260836,0.342958890010073,0.465084081477886,0.388454474927226,0.563444717874408,0.487622360594149,0.384260348882405,0.438405451050094,0.383288045447299,0.4963245750789,0.470243674536084,0.176651433966488,0.395269159153903,0.400882446045845,0.514334694478167,0.170537615119658,0.332430876147927,0.421840856974188,0.473658536585366,0.166802714960996,0.328968124685772,0.48045452987687,0.496410047565151,0.505407816198488,0.366774041641701,0.343765825830555,0.45214537377451,0.533327400279752,0.542249222191885,0.478340053970306,0.495994005960996
"NM1712PAR",4,107,1,8,0.5311846983485,0.467783093700423,0.327377111607096,0.455966663058062,0.371260366891855,0.586676292184246,0.462904401172742,0.365072533,0.426528291477372,0.343163061819297,0.453323689573153,0.427056204720501,0.211445147679325,0.396205201531921,0.345313006750915,0.458579075157267,0.171951214503397,0.360350856291884,0.401595276999689,0.448463676658403,0.179055854378666,0.328284849541001,0.440502117451225,0.473782928024653,0.476878170159824,0.346311665379097,0.337880673018873,0.438745482340508,0.501879466,0.504791742137501,0.452382726846395,0.471968306504187
"NUMEX_BILL_MELTON_CA_2019",4,108,2,8,0.531500091937883,0.465120357762982,0.353965109888149,0.468231324653,0.391167030537705,0.609871134234481,0.47969675155504,0.37062441675309,0.436743536344259,0.383190585916554,0.477566741595737,0.475057408590866,0.240742849634269,0.422134346703531,0.346853916050473,0.48185955990834,0.171798318169286,0.396729709605361,0.401916238717709,0.480654269212375,0.16903634647466,0.329588134741076,0.428337117303062,0.469003720891342,0.445209129684987,0.323018615,0.328410825938325,0.41283873314951,0.50264268040761,0.476441857269559,0.448978052759565,0.459054171044893
"NUMEX_BILL_MELTON_CA_2019",4,109,2,7,0.516240600257016,0.45164719255136,0.330002186092923,0.455462114576465,0.364416673532158,0.601934551692837,0.434316083224143,0.398458347438729,0.430470314262177,0.351849345352499,0.46287557758146,0.446375197143544,0.188662858339538,0.39897614802641,0.335858773304971,0.464081043299121,0.157625656077668,0.365775725986597,0.389059057886103,0.457528768093965,0.157133440060269,0.324588223275826,0.421035862035201,0.453675076995973,0.426711388787633,0.317695249298673,0.329561557777953,0.421076100133093,0.518902222682313,0.496080013657619,0.455133317278646,0.485777414281221
