"Germplasm","Plot","Rep","Row","Range","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","GNDVI_110","GNDVI_114","yld1","GNDVI_124","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","yld2","GNDVI_166","GNDVI_174","GNDVI_180","yld3","GNDVI_188","GNDVI_194","GNDVI_200","GNDVI_206","yld4","GNDVI_216","GNDVI_222","GNDVI_228","GNDVI_236","GNDVI_240","yld5","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld6"
"SW_8421S","100","1","1","1",2.15573423639979,-0.556912521943889,2.66199386987296,1.09820660884861,2.03738720797933,-0.410497790665052,0.0251091435439448,0.408641053282265,-2.08616745604948,0.733634089084852,2.06053473019026,0.42983083871195,-1.27185768205468,-0.601903945420403,-0.834916514611604,1.95115027777866,-0.0936137538704255,-0.725430765453502,0.536211808126727,-0.758328891024098,2.54477299359357,-0.202694986741674,-1.42985630461357,-0.624943604547668,2.37795502151159,0.72509110503142,1.45977666141125,1.1069104550809,-0.9094044668019,1.47484054326788,1.21482022782895,1.60041395603205,-0.765296563096405,1.24123021495886,-1.09298353400178
"SW_1011","101","1","1","2",2.06473968845709,-1.03575095126615,2.23705138508479,0.194755135825956,1.34248041898726,-0.237236542552839,-0.873731345458982,-0.220340067322245,-1.98358501768717,0.23884136508228,1.9429688520004,-0.0713350775481432,-1.37840031550489,-0.89636270896031,-1.05475868145002,2.2213056386685,-0.681342384566136,-1.2758843342524,1.1372279635168,-1.09575637124092,2.081424886241,-0.490466287061302,-1.72826132585451,0.633608216060115,2.7674814922595,0.872778132293081,1.22544687291011,0.936628975999651,-1.33888159761311,0.441612223024582,-0.0153219402253016,1.18406074166487,-1.10532816302559,0.564908657709279,-1.55413593493422
"SW_9813","102","2","1","3",2.45208767283852,-1.11036554304502,2.08044957811035,0.151514039447077,1.16445017806693,-0.724795157779728,-0.715009919940834,-0.0676465444207487,-1.98523681918825,0.189498975522655,1.95386644744567,-0.0514504559368832,-0.613254117231032,-0.233083404999605,0.138579179799771,2.83750873911956,-0.502714780229057,-1.32217316067046,1.21726472110334,-1.06326472467934,2.3920188556914,-0.427216810282656,-1.51169090373446,1.22840614374736,2.98134313168595,1.25094168727724,1.29823794495131,0.971033809679429,-1.2332202348756,0.659124735666878,0.480985922237891,1.18444203530074,-1.18412278322257,0.56224742418183,-1.54627922085644
"DONA_ANA","103","2","1","4",2.37281458631741,-1.42365346935217,1.37184660819038,-0.415976179973641,0.777229018763243,-0.395949923965089,-1.33802498020381,-0.456693329323827,-2.49966753417361,-0.503434690864295,1.55084751262548,-0.365430970992075,-0.656485716414898,-0.223897149705252,0.34537977281817,2.69320670291917,-0.708730552549938,-1.24798969851899,1.20655245017612,-1.33906867339823,1.76307153314373,-0.825463963734414,-1.63520250895819,1.03054915558081,2.52987415073367,1.47720143148839,1.09121408405816,0.868937074495337,-1.53257546296474,0.287703306832684,0.88273598301474,1.41462544062819,-1.20195394162318,0.41275058183629,-1.60516639415187
"NM1715PAR","104","3","1","5",1.69357211679572,-1.83839191011514,0.977469831096344,-0.493114832638674,0.673808031493947,-0.648631926681921,-1.65826565881202,-0.814011656419222,-2.60710542441719,-0.838738726900971,1.1189621747481,-0.649505061817935,-1.48582582233671,-0.893452996262197,-0.134978963172171,2.05000420727275,-0.815999894265558,-1.4746959133072,1.39033214277789,-1.23724512359424,1.76219136844968,-1.02084841435566,-1.8128283376254,0.297383781747215,2.37141758130272,1.20692451056069,0.936901095130144,0.912404409710577,-1.50132932168587,0.11711850534952,1.15539281908363,1.67784930033828,-1.45720272506477,0.756767593318988,-1.77883921431494
"NM170506PAR","105","3","1","6",0.774766512273094,-2.50259148810253,0.338250106225889,-1.24640660415308,0.239082410893697,-0.17640307886297,-1.87136291078791,-1.4634234390651,-1.97673232726721,-1.28605997854846,1.00003861221091,-0.740588286249197,-1.42051167185814,-1.21030391534313,0.129369405321896,2.42151487477502,-0.502366265832357,-1.54070075507824,1.71889601391497,-1.1461627949824,1.97643231317335,-0.735022573586076,-2.01119112171348,1.20559672305877,2.29665909114044,1.13983774152292,1.01400264325644,0.894185375708214,-1.7538022168049,0.195726669450451,1.0915876299231,1.98274718510634,-1.38540587333264,0.970537563317831,-1.95351147444479
"NM1704PAR","106","4","1","7",0.579870309771708,-2.0323205471577,0.618313673842947,-0.920426834117748,0.548499463347035,-0.799658330658079,-1.30095276687485,-1.09081841270762,-1.92312557729687,-1.30900671208834,1.0209496831184,-0.494715422281662,-1.23475884230879,-1.10618758130814,-0.428085962438913,2.18352614832303,-0.364070924526134,-1.431422674999,1.93750353807849,-1.20060944124896,2.20732635781032,-0.682696181157599,-2.04270786225162,0.731190260913028,2.16439797849735,1.80185525674823,1.03093033858306,0.88862049009037,-1.61012112030018,0.926636018008269,1.50683979551566,2.16878513665464,-0.636405895199439,1.35400404218123,-1.66014192494843
"NM1712PAR","107","4","1","8",-0.122335331086142,-2.19804453150793,0.677197462529956,-1.12538848737297,0.571586341548555,-0.460045520284378,-1.2582601349839,-1.09983772046848,-1.70829127795523,-1.47855894916257,1.27391695807341,-0.621519404414595,-1.26460861339786,-1.20728277934525,-1.89924669360637,1.28141572030917,-0.359315882944781,-1.49503499596412,1.58628188663267,-1.26975219462328,1.86961984341071,-0.556206263481566,-1.88962364269266,0.395948615589553,1.88691362365428,2.56934555420557,0.939632065131425,0.705113008029138,-1.52115368621883,0.857988282521932,0.59834766772375,1.85904034965684,-1.28774777655901,0.720292503478723,-1.82841617603091
"NUMEX_BILL_MELTON_CA_2019","108","4","2","8",2.10409821367847,0.298715208856576,2.22369462647066,1.22879687215168,1.75004283337467,0.265379627358809,1.06110430024061,0.521030294126626,-2.00703454002891,0.723812400801406,1.4914573086259,0.385046758076031,-1.1269106872749,-0.542866187079304,-1.0312691409391,1.25116588433478,0.0891631773735632,-0.480213317077628,0.198124057469153,-0.666696286188974,2.76434647532475,-0.123552444143447,-0.839637643796793,-0.388282194209816,1.74716419838315,0.444420136695443,1.39405902220608,0.96769575857348,-0.726237842368209,1.78034973440173,1.927572634433,1.64289482871503,0.1843249522271,1.52204728287773,-0.694028268544947
"NUMEX_BILL_MELTON_CA_2019","109","4","2","7",2.01580104164179,-0.093460605736161,1.82058819380176,0.362218090916169,1.09733705737048,-0.169025493572406,0.208617922322643,-0.161059439553285,-1.98022327684499,0.150144645524814,1.25388351014322,-0.200871906672129,-1.32322097205869,-0.965421284126696,-1.62640377385855,1.34831743518109,-0.647758759058283,-1.09923795767959,0.623352405427014,-1.03032851850613,2.23529453170536,-0.527174577657804,-1.17183290884403,0.328393044714993,2.06331928479726,0.478589362483272,1.04123230574445,0.450320785097065,-1.24030483843059,0.439890796351424,0.446998372309764,1.14931843912289,-0.417200289728785,0.693328598871402,-1.18593642648643
"NUMEX_BILL_MELTON_CA_2019","110","3","2","6",2.51493100631911,-0.135778024586104,1.74163095952684,0.545004810222907,1.04507303283305,-0.759186553651916,0.499518829152824,0.127173032370845,-2.06154499587329,0.256394900383534,1.2197731499186,-0.113714759004002,-0.523022721437563,-0.305673162653818,-0.18654138024261,1.7464155609623,-0.520028107272056,-1.13920271690918,0.857888343614904,-1.01127944656948,2.5651937881239,-0.494732509624467,-0.958239795721244,1.14014494902794,2.26420350047976,0.879619659154101,1.13445262158313,0.453545475913899,-1.10773419944618,0.765279744164813,1.01020907467444,1.14817395763378,-0.573303045608555,0.584111722386664,-1.16257117851875
"NUMEX_BILL_MELTON_CA_2019","111","3","2","5",2.3520406870713,-0.547605917469049,1.0588241203492,0.164460674560408,0.75000171475688,-0.770778279444964,0.203967047290985,-0.208821669277404,-2.63815811562652,-0.401486868884461,0.804857841083331,-0.384296271640032,-0.37810454795518,-0.19023601555433,0.00348477863539398,1.27410244200561,-0.81774121302953,-1.0773020050377,0.65407875579434,-1.33547621434721,1.85012990849959,-0.960527811066711,-1.12873489102188,0.692588975615395,1.64971213721873,0.938900068521224,0.903632093493421,0.194769658735065,-1.38718909538908,0.318731639069765,1.29334597954555,1.34308567224949,-0.542858632425738,0.571768578898082,-1.16754281527005
"NUMEX_BILL_MELTON_CA_2019","112","2","2","4",1.6288390399952,-0.941499169802293,0.797566978482685,0.239175532675944,0.812690616531423,-0.881520225299779,0.102617445636711,-0.469608029797128,-2.84486664806625,-0.629719807751325,0.51659938989809,-0.62950310775456,-1.11443101093135,-0.895926729915376,-0.0754451768964455,0.922979764684384,-0.916580593428771,-1.34235918607327,0.963413599569203,-1.26774856846451,1.8479605702713,-1.12219232452988,-1.4006031293557,-0.286084925853133,1.40738128876213,0.509409675149497,0.739660537658976,0.0563710305842202,-1.39639519591709,0.0437989705681732,1.36134859772908,1.55025359942589,-1.04293970857399,0.78706170287568,-1.33398777008348
"NUMEX_BILL_MELTON_CA_2019","113","2","2","3",0.458235665565827,-1.80258014888522,0.0601024021997635,-1.01235203693142,0.0650026681095115,-0.0332716842079956,-0.853027139057401,-1.29644119562897,-2.20427484263229,-1.0540551965488,0.455122299019728,-0.808392422981681,-1.15879880509581,-1.19479132311216,-0.11091935130651,1.26964842716215,-0.658655189142924,-1.44200430702585,1.35766542955815,-1.21257783351821,2.07021296473752,-0.899502747697781,-1.64504058853221,1.22177291354125,1.35037596649123,0.463860855529504,0.869036620595004,0.0382933958133289,-1.64615252280742,0.0248180467378237,1.25514895826378,1.95309003370262,-0.888430032439559,0.959252511405512,-1.49735076074767
"NUMEX_BILL_MELTON_CA_2019","114","1","2","2",0.324783947468702,-1.22795312050737,0.310978692788137,-0.765594558702784,0.310676357559604,0.230619856531866,-0.615877167569157,-0.929146707017646,-2.17774324127442,-0.949533450444486,0.509716035130579,-0.567652609791073,-0.89581405202229,-1.0203149813033,-0.751436008518739,0.961472890000034,-0.549339515698323,-1.28390705581476,1.51132469205431,-1.29053405685282,2.31415427561837,-0.869585644231548,-1.66223076171747,0.842737604071528,1.24837146217752,1.22231664271521,0.946238679559179,0.154152038827152,-1.43184899026228,0.771197006158955,1.65970172824998,2.21009950577274,0.0534271943741237,1.4703849261937,-1.12513778333129
"NUMEX_BILL_MELTON_CA_2019","115","1","2","1",-0.162348501677301,-1.22244257787375,0.505753284243637,-0.633739628483945,0.57384007073454,0.585587677813606,-0.327321476247567,-0.735139391434366,-1.93737742500691,-0.962152210774297,0.943682369613068,-0.576456897251488,-0.572531620673925,-0.831638289808187,-1.66690490514539,0.79024849649572,-0.260463228333122,-1.18468133320006,0.97250605304161,-1.3502688171578,2.01964764140028,-0.593301207794596,-1.42579836029256,0.982467237447257,1.10920374545115,2.26565217937132,0.934142224527419,0.238631733143703,-1.28620780754517,0.765177908626451,0.76638542512552,1.97388681155013,-0.500225624112561,0.896894415263591,-1.26025660480904
"AFX_779","116","1","3","1",1.36934620668991,1.14135849577058,1.25528648077658,1.10601551820803,0.650862466072029,0.603333632604855,1.34051020759517,0.573042121560704,-1.06591514760737,0.408720878130129,0.925928233603522,0.29883401293032,-0.40863572999788,-0.462556103578662,-0.922394266890664,0.868576452058158,0.116645280962274,-0.141766163358582,-0.309312897102767,-0.713386163104855,1.99865933681288,-0.0855941182013024,-0.568297867271171,-0.107352853127935,0.675802824328737,-0.296102162080814,0.88932329575532,0.612148526076826,-0.424016243669118,1.1594701780537,1.25082965819238,1.16992972740967,0.405946683000619,1.21444106688837,-0.687356436696146
