"Germplasm","Plot","Rep","Row","Range","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","GNDVI_110","GNDVI_114","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","yld2","GNDVI_166","GNDVI_174","GNDVI_180","yld3","yld4","GNDVI_256","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld5"
"SW_1011","300","1","1","1",-0.0238106237318621,-0.0187633858901292,0.0543622910550993,0.0155418866796992,0.0835587917016271,0.0250251847240544,-0.0782607399553351,-0.031964745141786,0.0135448310194501,-0.0642239745314355,-0.081233482690054,-1.01568409345151,-0.0658267874181099,0.046479555936251,-0.010726140971394,-1.4397436451609,-0.351444969502026,0.0423421877962435,-0.0182600338826028,-0.0798016046362835,0.0483793256690478,0.0114304914897452,0.0107948631406632,-0.829377242631526
"SW_8421S","301","1","1","2",0.0504148281968079,0.0416463257386542,0.0407988752475655,0.0143800132675251,0.0662182235960037,0.0117522000810177,-0.0555930010238137,0.0502537421209485,0.0639439460927361,0.0311010391264733,0.0764838490547245,1.24251127432879,0.0261735731184542,0.122526912845936,0.0456896113638134,0.826906846062546,0.288022913238628,0.0989096349564283,0.102869338126224,0.0818328321049953,0.0848409243827885,0.0440065437443699,0.0472127443782419,0.34011081489494
"NM1715PAR","302","2","1","3",0.0537611882517989,0.0359037026252237,0.0397244152806983,0.00991841286274169,0.0408090224047021,0.0291791192205584,-0.0694901673812946,0.0521013936573099,0.0641271347628437,0.0201803858570861,0.062052647110149,0.600022648308694,0.020684456765485,0.110843394765776,0.0284124863403336,0.272730264663649,0.0559778936012545,0.0909083300995515,0.0839027319085292,0.0505913340435602,0.0867121620696001,0.0414171706472355,0.0498324121022494,0.231738180695605
"NM170506PAR","303","2","1","4",0.0358168334755966,0.0124690729539898,0.0339298576397947,0.021226460063086,0.0304868503095642,-0.00911552402215974,-0.0594761781491555,0.0382563006141599,0.0407042506120947,0.00214603395246362,0.0188734424868123,-0.158215149835019,0.00412467420075919,0.0877217413669972,0.0401715285943062,0.0348464337562503,0.0716902755171367,0.0510068482849447,0.0356366652722175,0.0339164932253947,0.0516919331932071,0.024012402261464,0.0385114650062409,-0.110724086768055
"SW_9813","304","3","1","5",0.0220270133913983,-0.00881102201017846,0.0372690549468365,0.030925287532459,0.0279400269943483,-0.0404513689508117,-0.0595722233912664,0.0279076844004717,0.0409154345577942,-0.00495336408320788,-0.0172503812426906,-0.420437126211709,-0.0205102057697603,0.0857832467924844,0.0214786547956587,0.212754234693905,0.0529083245783568,0.0278323635238046,0.011853094492037,0.00511452984344749,0.0624942863983428,0.0183665911551278,0.0212806751631051,0.0103708713540762
"DONA_ANA","305","3","1","6",0.0257664834117921,-0.0106131293108346,0.0407050779772133,0.0293527485123183,0.0462870231213145,-0.0608908281665799,-0.0401027676207037,0.0218247680476728,0.0420589335187395,-0.0113701969131631,-0.0256098149472204,-0.605166458033014,-0.0339051798504458,0.0645888248263031,0.036949320522389,-0.475274694741471,-0.0409350851910971,0.0458628426772413,0.0250003405933777,-0.000593726563938825,0.0759864880379794,0.0161723905855231,0.0377825440767372,-0.207160841767936
"NM1712PAR","306","4","1","7",0.0303153651945044,-0.00908176068337932,0.0374901612116706,0.0188133109500061,0.0459137619120949,-0.0324152505322571,-0.039471008177879,0.0369504562139569,0.0420673146409086,0.00144888620016769,0.0111487722165233,-0.100565482616366,0.00166532150342862,0.0758454851627726,0.0320104874992076,-0.0957634483949066,0.0451561608238573,0.0526372617981177,0.0355760296584966,0.0241666075165538,0.0665396500354355,0.0143116726581393,0.0143725784502389,-0.0999997803044911
"NM1704PAR","307","4","1","8",0.0205157133368218,-0.00240422359132919,0.0420248629667176,0.0110622596473176,0.0362901841174879,-0.036054256756379,-0.0310934743529253,0.0113969241449098,0.0392365592007514,-0.01111039689142,-0.0212069279476831,-0.666644792704444,-0.0204490843058492,0.0432700079186369,-0.00494425294774247,-0.223523178090735,0.0106544073651262,0.0136495196102442,-0.0146277650190565,-0.0300959344968904,0.05662207424593,0.0189792357937406,0.00454471048795049,-0.407994828885578
"NUMEX_BILL_MELTON_CA_2019","308","4","2","8",-0.0392705546014193,-0.0318987333094374,0.0350200604332302,0.0249156554187022,0.0670084431059876,0.037569024182848,-0.0196093638149551,-0.0568490594975937,-0.0171264014713689,-0.0848923766633888,-0.098294807025909,-1.46275495921228,-0.064705372420613,0.0273676222669046,-0.00234472512138161,-1.40689325904373,-0.380381076739263,0.0368115948233338,-0.0478438512425863,-0.112308271998484,0.0152727413002881,-0.0243671501745812,-0.00512808184734465,-0.843115583441429
"NUMEX_BILL_MELTON_CA_2019","309","4","2","7",0.0292340429583739,0.0265781155641237,0.0132999407997804,0.000751951285292798,0.0357132545412836,0.0227933022891916,-0.00428813918042486,0.0244267097579669,0.0290345569401085,0.0176616241797172,0.0607153174403939,1.05057832023053,0.0359545484334276,0.102014547681721,0.0444332806626201,0.702588767659508,0.257518028317785,0.108068692670512,0.0972627727299474,0.0936547203837453,0.0550312535838347,0.0153265233413653,0.0438912751048029,0.446020600629564
"NUMEX_BILL_MELTON_CA_2019","310","3","2","6",0.0270671522721438,0.0212082681088463,0.00868375380915185,-0.0116326040486304,0.00743257745270143,0.0357282091995473,-0.0241379691831049,0.0146002580702183,0.0189827705928574,0.00421572880602245,0.0400854075736957,0.635670530538388,0.0317949568648446,0.0838083691349231,0.0133241257218177,0.0384821272731811,0.029067893965506,0.0915714423768338,0.0811079304260701,0.0626704118476401,0.0560775508442289,0.0151274327750547,0.0398731870164825,0.181793642086942
"NUMEX_BILL_MELTON_CA_2019","311","3","2","5",0.0158222096459123,0.00719361729700725,0.00213140057850298,5.42081517492479e-05,-0.00328957011246558,-0.00191650533174486,-0.0133468879552514,0.00822632943123104,-0.00371379930313855,-0.00996288806677117,-0.00216431973195856,0.0429460686583541,-0.00121754908082554,0.0631350522965358,0.0305713379803604,-0.0920879606067269,0.0481807004324235,0.05081911993372,0.0300911123829344,0.0314180336592656,0.0176946353264263,0.00108812347229256,0.032882650874584,-0.195589631261835
"NUMEX_BILL_MELTON_CA_2019","312","2","2","4",0.00826244069887258,-0.00395242492213597,0.00864125888175655,0.0134965422767739,-0.000199785049578339,-0.00620213378323787,-0.0147185607723791,0.0115263838786343,-0.00192997445733112,-0.00964532988206377,-0.0198322791001296,0.11973468365773,-0.0181583800117835,0.0597691013545331,0.0177474320698652,0.121442951044546,0.106485251675725,0.0279058718420612,0.0127160493574681,0.00601442964626039,0.0276298637386208,-0.00121183191075809,0.0155686288103349,-0.0578671212062967
"NUMEX_BILL_MELTON_CA_2019","313","2","2","3",0.018339750159953,-0.00249916426849,0.0166149337478852,0.0127134662680629,0.0222445456440761,-0.0443852477584164,0.000990593822214457,0.0141761803928612,0.00973321876619369,-0.011863284383672,-0.0120083527949459,0.126210373821222,-0.01962326052127,0.0445222824291354,0.0396206769813564,-0.348243459081209,-0.0112333601944248,0.0252291837390325,0.00240921670612673,-0.0135567010794584,0.043341443679538,-0.00192244061853896,0.0334719516414842,-0.302295140915507
"NUMEX_BILL_MELTON_CA_2019","314","1","2","2",0.021094521773944,-0.000345743837297373,0.0184757830260899,0.0174664791896478,0.0332203094685728,-0.023066025366739,0.000409051286051459,0.0429018154833805,0.0149263252126596,0.0111908135636012,0.0296100336775687,0.737261010972276,0.0104563859335722,0.0643612846683442,0.0442735418145088,0.329211364056437,0.166425100778864,0.0340162921597993,0.0134289882270675,0.00471570365629558,0.0417060533319012,0.00312208684146219,0.0199898980509154,0.10536942540649
"NUMEX_BILL_MELTON_CA_2019","315","1","2","1",0.0131574714167895,0.00900027052775125,0.023355960469413,0.0131406410603764,0.0283813475107814,-0.0116828132532151,0.00859739041339446,0.0146005134335869,0.0124781306798958,-0.000246380889707243,-0.0021559526179254,0.0695897067665828,-0.00273711004204909,0.0357024673447902,0.0186779354261417,0.101613925268315,0.0885879575333136,0.011679984813938,-0.0103802570140904,-0.0137700499900465,0.0415585174121381,0.0146835369112938,0.0211192940230642,0.0166266524754823
"NM1703PAR","316","1","3","1",-0.0557804331976245,-0.0425517186746928,0.0108929208398711,0.0320051396356506,0.00594502927222789,0.0403132941070074,0.00846043359965822,-0.0508451666845233,-0.0401461593313225,-0.0968557039215247,-0.0973708882668186,-1.10365159983796,-0.0835261502089762,-0.0291244007177843,-0.0245984521341183,-1.33133335865231,-0.336767847098158,-0.0054327456501968,-0.0829202631806921,-0.118256194224751,-0.00686298010797364,-0.043622321601449,-0.02696200993227,-0.772353890984918
"AFX_779","317","1","3","2",0.0132865175941277,0.0188950869044299,-0.0131757353025663,0.00617826154160192,-0.0225321299892236,0.0272903798681191,0.0135623563775435,0.0191910795352536,0.00369683929604364,0.0164972401807258,0.0618324448842958,1.34689841629016,0.0440769333829808,0.0602338907314175,0.0111692755102707,0.860005898067897,0.289262207354604,0.0741097944551829,0.0683208754101401,0.0993325393449882,0.0366880790671286,-0.00136414409727827,0.0257698201943716,0.684190788366315
"NM1703PAR","318","2","3","3",0.0137419588829924,0.0219535897225106,-0.01750124246458,0.00363036823640027,-0.0370004666325121,0.0264283303315341,-0.00206481732348271,0.00493647632364582,-0.00828642991238393,0.00871620307669334,0.0460817307493059,0.98913484069651,0.0347136401254851,0.0486903475643732,-0.0151133817167738,0.290145025208882,0.0967024846307088,0.0707075013208161,0.0695002920839383,0.0797935138069438,0.042798253562671,0.00423654460142083,0.0254043160619839,0.591031295686767
"SW_9720","319","2","3","4",0.00556408325346266,0.0198108628009448,-0.0261708933285379,0.0126199816806039,-0.0446314300995283,-0.0240991214931879,0.00488372125007439,0.00469207766197742,-0.0279449152904127,-0.00251601837234023,0.0277609174684578,0.70126647672767,0.029356384156411,0.0364010161215699,-0.00671695940325856,0.277966451351208,0.201019180433781,0.0504895685051251,0.0302835197078303,0.0523644009532876,0.009501454523694,-0.00827828536378832,0.0232198726392262,0.388998250988354
"SW_1011","320","3","3","5",-0.00177157863433456,0.0165875991632559,-0.0205717357089784,0.0217665864361548,-0.0356790169589388,-0.00307867544978605,0.00573416551685972,0.0152246714300661,-0.0290696456727693,-0.00183147011223008,0.00531745404202044,0.515945263179725,0.00154434495188731,0.0314277558233146,-0.00768592174939788,0.413459235606992,0.175843690551875,0.0337848504876505,0.00701492597145754,0.0055951513050933,0.0133725548310578,-0.0110108748459774,0.00660932857845619,0.182415201731835
"NM1715PAR","321","3","3","6",0.00863439626146606,0.0172464013944371,-0.0132114301865371,0.0134322798735154,-0.0232637323305676,-0.0409068815511933,0.0213548621397907,0.0057641976551224,-0.0158575483674214,-0.00396843147548751,0.0122208366455795,0.447482726813698,0.00136307352356056,0.0175751663185269,0.0147594946274023,-0.111763265067455,0.00437061788121807,0.0160354254770327,-0.00471856978001952,0.0100188646162045,0.0209343317178915,-0.0182672927413414,0.0164384896262233,-0.210028518376594
"AMERISTAND_803T","322","4","3","7",0.0087982207833638,0.0182774502998707,-0.0135602710287347,0.0143873406993182,-0.0146099062122353,-0.0151873669896533,0.0190796092891906,0.0219180744826541,-0.0145921902461569,0.0095673970540853,0.0255924682411166,0.649383337273328,0.010422974020949,0.0308863145644142,0.0335567434644386,0.299505351853909,0.160533330165712,0.032513351676676,0.0186101888605059,0.0264405593430993,0.02702031889482,-0.0110102270685096,0.0190466468403365,0.225384100345676
"NUMEX_BILL_MELTON_CA_2019","323","4","3","8",-0.00877883668520271,0.0235102818741583,-0.0131873493469949,0.00626349137695987,-0.0174102671510189,-0.00954267119241757,0.0209804412775274,-0.00683465252565738,-0.0219840230755329,-0.009673442349424,-0.0303311258453481,-0.451619610942668,-0.030983210151745,0.000493635581549328,0.0169112202903081,-0.42133890093833,-0.0179653236985789,0.00347428121924744,-0.0217007225585747,-0.036271954352259,0.0223636650041355,-0.00120645539059986,0.0151829088870577,-0.176064646704694
"AFX_779","324","4","4","8",-0.0642810646803914,-0.0422584244725163,-0.011061323434407,0.0210183811182478,-0.0431923419124525,0.0416492362906478,-0.0250285580583963,-0.0648049241871155,-0.066578600455836,-0.075729293583796,-0.0694759084866697,-1.0249220539205,-0.0841633611583103,-0.0373570298002337,-0.0550735821857464,-1.12392552086815,-0.292462856350541,-0.0125710726535329,-0.0119527325999626,-0.052125086409801,0.0102216878973536,-0.0309726116093869,-0.0417621375636729,-0.364305820157216
"NM1702PAR","325","4","4","7",-0.0132334367501648,0.00835379975161371,-0.0370316630049367,-0.00467943116878098,-0.0613058176166814,0.0350488604094772,-0.0243471367976003,-0.00549769632619514,-0.0431112216523914,0.00846353260669526,0.0359297447125979,0.844575154771768,0.0124206096171522,0.0285438966394403,-0.0397222395288735,0.666826859875925,0.218657757069838,0.0517211722595176,0.0657819967018139,0.0978391565857142,0.0357057700963057,-0.00293734150721151,-0.0178404977504062,0.802267265875942
"NUMEX_BILL_MELTON_CA_2019","326","3","4","6",-0.00322809954623758,0.01621303642069,-0.0362587560866367,0.00426380532514454,-0.0554818593109825,0.023483433016897,-0.0275199817544785,-0.00507656074182343,-0.0506473001547877,0.00666676787554622,0.0275856531400276,0.624874728894445,0.00638078206501619,0.0232315176451044,-0.0522717990064417,0.312712450539363,0.0647301602964857,0.0417469794511441,0.037790007715018,0.0571997447216668,0.0313607939166394,0.000488850506540911,-0.0243194260233493,0.57082675773533
"AFX_149092","327","3","4","5",-0.00973573413745518,0.0169569384479571,-0.044842522188577,0.0145766452421746,-0.0569371952404666,-0.0296475860708106,-0.0129154780142752,0.00112987373273171,-0.0586535404820985,0.00544820093006786,0.044548331703812,0.822654351974145,0.0391887459189617,0.0236903917847275,-0.0387731663872679,0.449204375756897,0.223371692600662,0.0321448428133377,0.0156705606276678,0.0399496045983931,0.0100951565354192,-0.00650038011041196,-0.00764693388075273,0.618654685279837
"AFX_149092","328","2","4","4",-0.0128920582617425,0.0227786656242927,-0.0373594758483204,0.0284829710865818,-0.0466164290553673,-0.0113108430145624,-0.00410089505671045,0.0273714461310055,-0.0535812393046148,0.0107422948991474,0.0325065555320673,0.466866286755637,0.0138876113860772,0.0183704892349179,-0.0332172046805453,0.492313067065291,0.121301342698557,0.0251170291876632,0.00976971703132649,0.0226830958888928,0.0106886553614431,-0.00177838018142643,0.00479766342459131,0.565630797227393
"NUMEX_BILL_MELTON_FG2011","329","2","4","3",-0.00373363277227419,0.0233215044448449,-0.0314214882030015,0.0127435724188925,-0.0535339682585781,-0.0319032338846435,0.00869357791757069,0.000496568753016299,-0.0521559173219323,-0.00488241091411416,0.021234903077105,0.355307645823828,0.00638027710533273,-0.00527704780148962,-0.0299403870587411,-0.119457397824513,-0.0194027540362025,-0.00444985555286187,-0.0166273365202787,0.0133324994635698,0.00680979370518474,-0.0132566048120215,-0.000335826983016818,0.0742829866766325
"NM1704PAR","330","1","4","2",-0.0108306472309443,0.0197473860097626,-0.034394684672821,0.00456696767412927,-0.0492350768588038,-0.0246983033819879,0.00673846208382569,0.00411569164093279,-0.0575758960655757,-0.00135400596119463,0.0194344499440323,0.408153270118763,0.00678158035544751,-0.00373864456120825,-0.00888806063714808,0.102336585281755,0.104713014143034,0.0165960951873012,0.00400709265808196,0.03157332338181,0.0168321744784521,-0.00704215523439344,0.0108227109492497,0.445059033250076
"TMA_990","331","1","4","1",-0.0185554409214556,0.0312971756339848,-0.0326189491732249,0.0106443546772024,-0.0423182926319231,-0.0366158925402104,0.0181490947806398,-0.00808183988264354,-0.0484749963215979,-0.0138219376900912,-0.0346392736209112,-0.598031414604712,-0.0380756838019531,-0.021345731368559,0.0131347230159632,-0.569684246231917,-0.0610544100721058,0.0093838866619478,-0.00568213440366364,-0.0129272757418085,0.0132015459972864,0.00509530091135376,0.0183462246052468,0.160831653541176
"NUMEX_BILL_MELTON_CA_2019","332","1","5","1",-0.0336825408021912,-0.0199573208643041,-0.0141461808020862,0.0292210289676148,-0.0538614425283949,-0.0177558106755962,-0.0118624244439255,-0.0312490927186984,-0.0556396282809117,-0.0424065321747222,-0.0119253567585826,-0.640268054390695,-0.0616522491359764,-0.0178094217303695,-0.0355721647625203,-0.470847766313196,-0.25938244350377,-0.0198719913499316,0.0166196200705163,0.00681291502101431,0.0265309440505904,-0.00796001593220676,-0.0288129465926254,0.136552265211053
"NUMEX_BILL_MELTON_CA_2019","333","1","5","2",-0.0029702123585753,0.0173628455822074,-0.0400471718747623,0.00622261513554094,-0.0649260785914805,-0.035009429920668,-0.0155124659516076,0.0132221019038169,-0.0536283205346346,0.0105762284213863,0.0597802087920015,0.795870951021291,0.0063249718428027,0.0201854419018735,-0.0436276307286756,0.910897321605659,0.172879572841087,0.029068515691131,0.0548029796158602,0.0888694477332037,0.0337312491224106,0.0076668662912025,-0.0279749747103226,0.884760148241836
"NUMEX_BILL_MELTON_CA_2019","334","2","5","3",0.00193273026282049,0.0199970690181451,-0.0387709091186309,0.0163981286761392,-0.054395392185375,-0.0647116354468596,-0.02041664219441,0.00358149633948135,-0.071130253890443,0.000391746757597995,0.0353644442559927,0.402897052895053,-0.000568392095066343,0.00685931191823178,-0.0582014252325472,0.21315777259312,0.0377275915111708,0.00834179226513616,0.00397845380090537,0.0151295011849152,0.0192483508527636,0.00555044281549682,-0.0447192765267925,0.428392064851095
"NUMEX_BILL_MELTON_CA_2019","335","2","5","4",-0.0105839089408315,0.0176943778723774,-0.0497688876032342,0.0202663867338543,-0.0580398833535894,-0.1144180353789,-0.0121335776464543,0.00408737652575788,-0.0783649787565323,0.000476037266437224,0.0500578949236899,0.807428542662772,0.0303916948721222,0.0075403715757871,-0.0506281595013246,0.213310175603554,0.161168681295361,0.00502235413395934,0.006057715247871,0.0245356133467565,0.00404690423127427,-0.000587050260802022,-0.025665573713579,0.406568192060294
"NUMEX_BILL_MELTON_CA_2019","336","3","5","5",-0.00277436378369375,0.028489357465571,-0.0434702163138936,0.0324817662791731,-0.052652489026785,-0.0915894786225906,-0.00100564770392789,0.0361098690997948,-0.0702351697960026,0.00183580836796346,0.0502948514980681,0.4916995648834,0.0160133668174959,0.00612602030663442,-0.0374536664038582,0.343494542010155,0.0610163620028549,0.0155483520999149,0.0148947210809867,0.0328668155646001,0.00119771802030688,0.00379932916868981,0.00293501183986298,0.524886015420801
"NUMEX_BILL_MELTON_CA_2019","337","3","5","6",0.00227616395193435,0.0267881968542394,-0.0398139808440299,0.0160977429098317,-0.0721497660881216,-0.0974524239643593,4.62429526256611e-06,0.00637205051728163,-0.076854869620854,-0.0197514680245238,0.0291078445667902,0.354787103703544,0.00113281560621858,-0.0166509152017742,-0.0459932047372375,-0.137328979534283,-0.0457072870876813,-0.0130929692986972,-0.0184081969520814,0.0182744115261008,-0.00937043925654405,-0.00917378086346956,-0.0147541873335024,0.102567197561821
"NUMEX_BILL_MELTON_CA_2019","338","4","5","7",-0.00831800521837931,0.0238032334898141,-0.0417753382693936,0.0127163839291242,-0.0646659665443541,-0.0786396908665069,-0.00596210315218215,0.0100466783263964,-0.0726659941222921,-0.0100278897636483,0.0418734618691769,0.692375111805421,0.0117514726845571,-0.0114665730880734,-0.0197599443995165,0.148293422435119,0.0633194513388766,-0.00391214470279575,-0.00450707299492568,0.02601080628731,0.00370571665148509,-0.00598753019887717,-0.00539387628125828,0.324288907640276
