"","Harvest","Rep","Model","Value"
"1","YLD1",1,"Base",0.33
"2","YLD1",1,"AR",0.3408627
"3","YLD1",1,"RR",0.9268231
"4","YLD1",2,"Base",0.36
"5","YLD1",2,"AR",0.7416448
"6","YLD1",2,"RR",0.7765217
"7","YLD1",3,"Base",0.83
"8","YLD1",3,"AR",0.7853052
"9","YLD1",3,"RR",0.8514739
"10","YLD1",4,"Base",0.85
"11","YLD1",4,"AR",0.8986928
"12","YLD1",4,"RR",0.7894105
"13","YLD2",1,"Base",0.61
"14","YLD2",1,"AR",0.529
"15","YLD2",1,"RR",0.89
"16","YLD2",2,"Base",0.37
"17","YLD2",2,"AR",0.734
"18","YLD2",2,"RR",0.948
"19","YLD2",3,"Base",0.78
"20","YLD2",3,"AR",0.809
"21","YLD2",3,"RR",0.938
"22","YLD2",4,"Base",0.8
"23","YLD2",4,"AR",0.781
"24","YLD2",4,"RR",0.954
"25","YLD3",1,"Base",0.5
"26","YLD3",1,"AR",0.55
"27","YLD3",1,"RR",0.75
"28","YLD3",2,"Base",0.43
"29","YLD3",2,"AR",0.76
"30","YLD3",2,"RR",0.76
"31","YLD3",3,"Base",0.81
"32","YLD3",3,"AR",0.84
"33","YLD3",3,"RR",0.89
"34","YLD3",4,"Base",0.8
"35","YLD3",4,"AR",0.8
"36","YLD3",4,"RR",0.92
"37","YLD4",1,"Base",0.47
"38","YLD4",1,"AR",0.47
"39","YLD4",1,"RR",0.63
"40","YLD4",2,"Base",0.64
"41","YLD4",2,"AR",0.81
"42","YLD4",2,"RR",0.87
"43","YLD4",3,"Base",0.8
"44","YLD4",3,"AR",0.82
"45","YLD4",3,"RR",0.79
"46","YLD4",4,"Base",0.82
"47","YLD4",4,"AR",0.85
"48","YLD4",4,"RR",0.86
"49","YLD5",1,"Base",0.65
"50","YLD5",1,"AR",0.579
"51","YLD5",1,"RR",0.653
"52","YLD5",2,"Base",0.54
"53","YLD5",2,"AR",0.816
"54","YLD5",2,"RR",0.665
"55","YLD5",3,"Base",0.82
"56","YLD5",3,"AR",0.821
"57","YLD5",3,"RR",0.823
"58","YLD5",4,"Base",0.83
"59","YLD5",4,"AR",0.866
"60","YLD5",4,"RR",0.776
"61","YLD6",1,"Base",0.52
"62","YLD6",1,"AR",0.4992739
"63","YLD6",1,"RR",0.5554569
"64","YLD6",2,"Base",0.72
"65","YLD6",2,"AR",0.9168008
"66","YLD6",2,"RR",0.8726921
"67","YLD6",3,"Base",0.87
"68","YLD6",3,"AR",0.8826589
"69","YLD6",3,"RR",0.9009258
"70","YLD6",4,"Base",0.74
"71","YLD6",4,"AR",0.7902672
"72","YLD6",4,"RR",0.7865163
