,AMERISTAND 803T,MESQUITE,NM1701PAR,NM1702PAR,NM1703PAR,NM1704PAR,NM1705PAR,NM170506PAR,NM1712PAR,NM1713PAR,NM1715PAR,NUMEX BILL MELTON CA 2019,SW 1011,SW 8421S,SW 8888,SW 9720,SW 9812,SW 9813,DONA ANA,N-R-GEE,SW3407,NY2003,ALGONQUIN,LIGHTNING_BOLT,SW5210,GUARDSMAN_II,REGEN,SEEDWAY_9558_SBR,WL_349HQ,SW5606,SW4107,SW315_LH,NY0651,SW4602Z,ONEIDA_VR,SEEDWAY_9558,SW4412Y,ONEIDA_ULTRA,EZRA,NY1517,LANDER,NY1614,PLUSS_III,NY0465,ALFABAR,NY1615
SW 9813,0.215407915,0.138268713,0.055657856,0.069659743,0.061957214,0.000314329,0.092857811,0.110429092,-0.070109586,-0.104184214,-0.057135139,0.200762338,0.255840492,0.123773011,0.152016091,0.342701912,0.383117274,1.137443848,0.060449594,-0.042013498,-0.15491858,-0.223141277,-0.184822716,-0.145347449,-0.132620885,-0.158636871,-0.198725078,-0.063346589,-0.117830199,-0.057021682,-0.046861204,-0.255846658,-0.144596282,-0.063254772,-0.163474912,-0.143262978,-0.030971035,-0.119979985,-0.051022499,-0.033867413,0.022628223,-0.092754404,-0.157257317,-0.094310854,-0.112603257,-0.203368124
DONA ANA,0.068514063,0.111394399,0.086093399,0.056926064,0.059264487,0.06027929,0.083648639,0.094981922,0.002019818,-0.002973143,-0.035143379,0.081863976,0.100566602,0.104959138,0.086986045,0.049140872,0.047644162,0.060449594,0.723013096,0.062146997,-0.042634967,-0.087213674,-0.07769012,-0.047716503,-0.039942687,-0.069201677,-0.064838488,-0.093354971,-0.07314769,-0.064782064,-0.077003826,-0.137290413,-0.048049736,-0.137370015,-0.052219344,-0.052128349,-0.066866948,-0.031634584,-0.078576601,-0.135340445,-0.057449132,-0.086513313,-0.076108037,-0.089531779,-0.055981255,-0.059189424
N-R-GEE,-0.003736872,0.01413764,-0.004968791,-0.007056216,-0.015328208,-0.007736041,-0.000264377,0.001432475,-0.016757269,-0.003038611,-0.029688082,-0.032225046,0.007769172,0.004971057,0.012137392,-0.050258459,-0.052804359,-0.042013498,0.062146997,0.689452809,0.119219525,-0.013443855,-0.051626834,0.002835744,0.068674429,-0.017895015,-0.028266833,-0.066950224,-0.035210038,0.082224386,-0.005784466,-0.069840887,-0.001478946,-0.090743414,-0.004732582,-0.009991394,-0.001104729,-0.002723487,-0.062578399,-0.111446686,-0.054375216,-0.062489488,-0.022267532,-0.053100677,-0.015899481,-0.017175611
SW3407,-0.110578014,-0.081496012,-0.096875908,-0.096457301,-0.100231048,-0.062245008,-0.090122377,-0.085578073,-0.037761714,-0.002381035,-0.018599861,-0.132998585,-0.096102729,-0.083772578,-0.078921405,-0.149255293,-0.157486131,-0.15491858,-0.042634967,0.119219525,0.833817748,0.211835836,0.082630782,0.04564229,0.16253648,0.039493922,-0.019516573,-0.080673841,0.030021037,0.174376846,0.055561477,0.077951717,-0.014704691,0.033097002,0.000158258,0.025460214,0.059621049,0.012089589,-0.069837292,-0.054077689,-0.064761548,-0.006447904,0.051245546,-0.048072141,0.024238501,-0.002489523
NY2003,-0.17268478,-0.116350349,-0.118933308,-0.108112806,-0.112819062,-0.065263291,-0.136411547,-0.133963074,-0.04442135,-0.006991711,-0.053138087,-0.207763203,-0.16767422,-0.100737788,-0.141582708,-0.229756332,-0.235817523,-0.223141277,-0.087213674,-0.013443855,0.211835836,1.038839351,0.362168763,0.053095727,0.056821905,0.078427342,0.060854663,-0.072215714,0.030271145,-0.001368075,-0.042712961,0.368276253,-0.002508253,0.127492232,0.030812615,0.050821847,-0.024422218,0.055085916,-0.042261759,0.054095061,-0.064423326,0.038528091,0.035595727,0.005153159,0.01952892,0.048427699
ALGONQUIN,-0.147396642,-0.148801207,-0.143801493,-0.135598982,-0.148798649,-0.136813909,-0.168810517,-0.154550075,-0.086349055,-0.06484996,-0.061202812,-0.16761947,-0.177007991,-0.142557552,-0.143691557,-0.163516246,-0.170239424,-0.184822716,-0.07769012,-0.051626834,0.082630782,0.362168763,1.002687878,-0.012588698,-0.013330466,0.086067196,0.121954891,0.077356598,-0.013285951,-0.044514205,-0.061695554,0.279344294,0.133346169,0.088462245,0.078088157,0.016905999,-0.045577811,0.042881403,0.122102063,0.128591571,-0.018647106,0.052648658,-0.019241099,0.101578063,-0.008646265,0.136457632
LIGHTNING_BOLT,-0.084869324,-0.029473842,-0.045257787,-0.057803552,-0.06109946,-0.04747069,-0.08213799,-0.050019885,0.022786912,0.079286067,0.049044723,-0.147816338,-0.090234818,-0.035083996,-0.071257448,-0.169590759,-0.154717916,-0.145347449,-0.047716503,0.002835744,0.04564229,0.053095727,-0.012588698,0.717005294,0.039784812,0.087396188,0.011972511,-0.098113228,0.141811416,0.01371583,0.053408856,0.042501137,-0.046776289,-0.012822606,0.033021785,0.095650771,-0.003493543,0.036429835,-0.076548938,-0.10359774,-0.06244275,-0.02107724,0.200158819,-0.064292288,0.10300317,-0.006900809
SW5210,-0.093328244,-0.05236163,-0.036759267,-0.046359219,-0.073191735,-0.040944288,-0.059865859,-0.051763383,-0.020454705,0.017477372,-0.021816216,-0.129816818,-0.080950065,-0.051675792,-0.037390921,-0.138860272,-0.143859769,-0.132620885,-0.039942687,0.068674429,0.16253648,0.056821905,-0.013330466,0.039784812,0.970437562,0.009278318,-0.001961806,-0.110788215,0.009749891,0.20607859,0.095399933,-0.012294484,-0.048560852,-0.030699815,-0.007689243,0.026961319,0.114918318,0.018089908,-0.081474472,-0.107154074,-0.066361456,-0.029765107,0.037370162,-0.05615702,0.007870062,-0.023250297
GUARDSMAN_II,-0.123774656,-0.100124854,-0.114153297,-0.121645896,-0.128504608,-0.114414057,-0.135425029,-0.122175789,-0.051726911,0.004327887,0.004771596,-0.165791923,-0.147620513,-0.120861798,-0.108645231,-0.174987996,-0.16990548,-0.158636871,-0.069201677,-0.017895015,0.039493922,0.078427342,0.086067196,0.087396188,0.009278318,0.75988253,0.071385346,0.024177251,0.087809841,-0.006045353,0.028877436,0.127168833,0.080446854,0.080142683,0.071419963,0.0829979,-0.007041553,0.057348659,0.038200166,0.013646028,-0.01153428,0.049092888,0.089701421,0.030164908,0.072687706,0.095199926
REGEN,-0.139785049,-0.095123722,-0.095611392,-0.119915825,-0.117565254,-0.113717548,-0.124306215,-0.124290072,-0.067482498,-0.042987074,-0.040570571,-0.173333589,-0.151892362,-0.088226603,-0.116411528,-0.198547478,-0.207696986,-0.198725078,-0.064838488,-0.028266833,-0.019516573,0.060854663,0.121954891,0.011972511,-0.001961806,0.071385346,0.934251335,0.113620186,-0.023114216,-0.063186788,-0.049124248,0.140067606,0.246520879,-0.077864434,0.127091686,0.047630078,-0.072994676,0.06737615,0.170088784,0.027167302,-0.021882113,0.036759565,-0.015318776,0.290031478,0.011203333,0.176282002
