"","ALF47_merged","ALF45_merged","ALF38_merged","ALF37_merged","ALF14_merged","ALF39_merged","ALF13_merged","ALF17_merged","ALF32_merged","ALF01_merged","ALF21_merged","ALF12_merged","ALF30_merged","ALF08_merged","ALF18_merged","ALF16_merged","ALF43_merged","ALF31_merged","ALF07_merged","ALF46_merged","ALF27_merged","ALF02_merged","ALF41_merged","ALF06_merged","ALF34_merged","ALF15_merged","ALF11_merged","ALF09_merged","ALF19_merged","ALF03_merged","ALF04_merged","ALF28_merged","ALF05_merged","ALF20_merged","ALF40_merged","ALF10_merged","ALF22_merged","ALF44_merged","ALF23_merged","ALF25_merged","ALF26_merged","ALF42_merged","ALF33_merged","ALF24_merged","ALF35_merged","ALF36_merged"
"ALF47_merged",1.11451550656148,0.0921447570280694,-0.0784579371723914,0.0171165291795901,-0.133431327493012,0.0288696862639625,-0.176717033496848,-0.204116648003335,-0.0566261465181642,-0.14997164210424,-0.00248952309827605,-0.195286046517281,-0.0445485859722426,-0.142509058822933,-0.2033681242131,-0.193726645089709,0.0212885620439436,-0.0702794192671024,-0.126946643662341,0.00328329990326746,0.176282001604539,-0.119986216416994,0.202946223242923,-0.132681693666303,0.234291880281999,-0.137246729003873,-0.0590066442755878,-0.0692905777829362,-0.0591894240266245,-0.110677153098259,-0.118781936629126,0.398114448006867,-0.144849110203111,-0.0171756114549805,0.147693131595457,-0.0442166674571092,0.0484276989106857,-0.032533905802347,0.136457632223197,-0.0232502972541178,0.0951999255032138,-0.0502988314512061,0.10555962361067,-0.00690080914028949,-0.0772292903831794,0.159598773517157
"ALF45_merged",0.0921447570280694,1.24183853898038,0.0326577270750769,0.0296596660386019,-0.16569184566946,0.0252064797753852,-0.168519079948155,-0.0931364308527143,-0.00407974239279769,-0.110360116191754,-0.0480721408562199,-0.121036597241673,-0.0175185464169236,-0.195255106961584,-0.0943108538932028,-0.0795043095552667,0.0727140669431206,-0.00786216027106029,-0.209876323390751,-0.00851817144646582,0.290031478464452,-0.167755568974344,0.132843308608016,-0.201333413714338,0.273673210063233,-0.108915879256143,-0.0405803197695859,-0.140048486785673,-0.0895317792365726,-0.170281293791922,-0.185131288941397,0.190066780910783,-0.215102960276888,-0.0531006768686473,0.235915105979081,-0.135592625545893,0.00515315886296487,-0.0739477129684886,0.101578063427896,-0.0561570200769525,0.0301649075642826,0.0794874304839828,0.102986892188984,-0.0642922879747837,0.00894885581936958,0.0804423110559866
"ALF38_merged",-0.0784579371723914,0.0326577270750769,1.01230599703241,0.0126595695598416,-0.13131748446321,-0.00603710085285447,-0.106037425965848,-0.0142254782782652,0.132744403502799,-0.0530445966467813,0.0596210489966272,-0.072701544011366,0.0464637817242451,-0.134178316834383,-0.0309710353525677,-0.00847599462453422,0.0452556202297245,0.175940868167429,-0.135355111504768,0.0181986766115431,-0.0729946756825077,-0.123588306917469,0.0281858355779571,-0.141530956715675,-0.0440179557456122,-0.0297838572382956,0.00790593636375567,-0.105848677122084,-0.066866948119673,-0.119391228435588,-0.119168197635013,0.00593446884129623,-0.124645626849399,-0.00110472945008555,0.0201441664702131,-0.0665577088965316,-0.0244222184034679,0.0302156254364776,-0.0455778110353914,0.114918318327534,-0.00704155261283323,0.0482926503348997,-0.039958864090673,-0.00349354336452862,0.123068159225945,-0.0077179694559909
"ALF37_merged",0.0171165291795901,0.0296596660386019,0.0126595695598416,0.808584138912946,-0.0627831089252309,0.0623790767921051,-0.10189815739726,-0.154793860759675,0.0150258672119529,-0.0842518472822814,0.0254602144594273,-0.133357945027336,0.0819604313650544,-0.0927705923012716,-0.143262977983473,-0.141130434175453,0.0464209780177927,0.00848796623209523,-0.123022375452268,0.0973783561616484,0.0476300779130582,-0.0760151559459361,-0.0653270541565168,-0.0854704162079541,0.0117081003345699,-0.061960511819669,0.0137431010355454,-0.0271328460202665,-0.0521283491245936,-0.0664903831885362,-0.0862429597376952,-0.0212049213062272,-0.102972355605911,-0.00999139425713866,-0.023249231230479,0.00528931466404921,0.0508218472604082,0.0804360764885996,0.0169059988006076,0.0269613190758096,0.0829979003058509,-0.0211643911679351,0.0445558218458846,0.0956507708554203,-0.0143000146323946,0.0690881611946463
"ALF14_merged",-0.133431327493012,-0.16569184566946,-0.13131748446321,-0.0627831089252309,0.840227807949878,-0.0575526834145027,0.229912662056161,0.0864902622653776,-0.0976507089550889,0.150690287369026,-0.0837725775530597,0.0686337376772981,-0.0767136417331642,0.191734028966586,0.123773011027064,0.101028874921805,-0.155404400154879,-0.114695839292317,0.187082663853326,-0.0794185895118105,-0.0882266029103586,0.234530814169243,-0.221503312957168,0.143187027815163,-0.148369628387495,0.139441403266521,-0.0556582088945132,0.0415868803891331,0.104959137724932,0.172550728299571,0.171782922486808,-0.187935347266975,0.166300332188538,0.00497105695849766,-0.184581113477375,0.0190025247109023,-0.100737787647594,-0.0800799850866682,-0.142557552384344,-0.0516757918834672,-0.12086179837377,-0.121028351388525,-0.16410371914334,-0.0350839961560883,-0.20758876683762,-0.109461994134799
"ALF39_merged",0.0288696862639625,0.0252064797753852,-0.00603710085285447,0.0623790767921051,-0.0575526834145027,0.694664562754467,-0.0769441911186291,-0.127388838707142,0.00385347147904902,-0.0716538207329954,0.012089589167254,-0.106119015045039,0.0175608791466066,-0.0806578012374256,-0.119979984885279,-0.125986167158466,0.0749390194482309,-0.00709391543144761,-0.0878661917223437,0.0307429588553701,0.0673761496056462,-0.0495431775860663,-0.0461764706632994,-0.0705467397170112,0.0170088521712928,-0.0640130537589896,0.00661882203199455,-0.0517156872933561,-0.0316345840618793,-0.0571846742983369,-0.0750058800201863,-0.000216789395386615,-0.0963279587609367,-0.00272348670392591,0.01305615412819,-0.016204312571542,0.0550859160546196,0.0267789982703523,0.042881402937844,0.0180899080159422,0.057348659039436,0.00502990841906072,0.0538127760536417,0.0364298354861741,-0.0100865684726136,0.0888359877130336
"ALF13_merged",-0.176717033496848,-0.168519079948155,-0.106037425965848,-0.10189815739726,0.229912662056161,-0.0769441911186291,0.996023114184211,0.227148032207414,-0.0938089110030905,0.177152958738589,-0.0961027285979023,0.158527254855599,-0.104819964351756,0.168799732783139,0.255840492411988,0.281443219694716,-0.128448988107509,-0.0939648091127499,0.157076569224764,-0.0982179541198988,-0.151892361894761,0.204405528755132,-0.198440073801615,0.0980770568604542,-0.168223831712595,0.147118340309984,-0.067322880997124,-0.00168545696389211,0.100566601543346,0.115807843899976,0.130358033452306,-0.181041923830273,0.135936998427652,0.00776917224595735,-0.167364122055556,-0.0289770732746053,-0.167674219948675,-0.114245430656698,-0.177007991187344,-0.0809500652191194,-0.147620513394106,-0.0456993240325413,-0.233275400141785,-0.0902348184248997,-0.178419949127542,-0.146408931768603
"ALF17_merged",-0.204116648003335,-0.0931364308527143,-0.0142254782782652,-0.154793860759675,0.0864902622653776,-0.127388838707142,0.227148032207414,1.2522417690123,-0.0408347922842934,0.196270129094123,-0.157486130932635,0.219721202881222,-0.115998705700307,0.084850363087785,0.383117274224016,0.391863149768727,-0.0791470559625785,-0.0415888395788079,0.0811824097672133,-0.113955780120129,-0.20769698558685,0.111996926185329,0.0210840558642341,-0.0281386771884128,-0.13888628865758,0.134083883576113,-0.0802530953528706,-0.0786758442867065,0.0476441617270208,0.015512857564149,0.0317689603550774,-0.0488242631576048,0.0436129100472659,-0.0528043593209584,-0.0135757101469777,-0.115734520310697,-0.235817523489524,-0.161853647717551,-0.170239423537423,-0.143859769339418,-0.169905479916194,0.0764482600803187,-0.250989995666244,-0.154717915943775,-0.0404684985305985,-0.169922048378426
"ALF32_merged",-0.0566261465181642,-0.00407974239279769,0.132744403502799,0.0150258672119529,-0.0976507089550889,0.00385347147904902,-0.0938089110030905,-0.0408347922842934,1.0078292419548,-0.0548990429941811,0.055561477200444,-0.0879244421695922,0.0945494552881864,-0.110290158823506,-0.0468612042275489,-0.0513573255160801,0.0104426138964708,0.15829029204816,-0.135622445985084,0.0404683912511982,-0.0491242477810447,-0.101841254829217,-0.0156420445901902,-0.126329452091713,-0.0343928718466683,-0.0525041714687078,0.018312718084251,-0.0741598136485287,-0.0770038255439682,-0.104795061492482,-0.132639501971993,-0.0406493256526494,-0.128632073292532,-0.00578446596009217,0.0169876978315524,-0.0371453538952915,-0.0427129612205958,0.0877627230344266,-0.0616955541383097,0.0953999329021018,0.0288774358775564,0.0352112655443112,-0.0625132989717635,0.0534088562457425,0.064157258304966,0.00863709760720565
"ALF01_merged",-0.14997164210424,-0.110360116191754,-0.0530445966467813,-0.0842518472822814,0.150690287369026,-0.0716538207329954,0.177152958738589,0.196270129094123,-0.0548990429941811,0.855188897812476,-0.110578014161178,0.130539065764955,-0.0697091870598948,0.139314037045101,0.215407915310684,0.176757958502465,-0.0934205399076297,-0.0493869885791641,0.11510485961068,-0.0818050782651442,-0.139785048714259,0.166569947488977,-0.113713765147655,0.03379253390425,-0.116495638599638,0.11683543022394,-0.0308835641036761,-0.0471198200696367,0.0685140632663477,0.0838500260872933,0.0841930852229806,-0.107206881612869,0.0908876330288293,-0.00373687199037844,-0.0861941554546047,-0.0504203184177791,-0.172684780059319,-0.0893542654907721,-0.147396642143885,-0.0933282438818916,-0.123774655890637,-0.0110097876473399,-0.213532625916816,-0.084869324217299,-0.118459970145431,-0.122021595041599
