"Germplasm","Rep","Plot","Row","Range","NDVI_125","NDVI_142","NDVI_145","NDVI_150","NDVI_152","NDVI_156","NDVI_164","NDVI_166","NDVI_172","NDVI_178","NDVI_184","NDVI_187","NDVI_193","NDVI_198","NDVI_213","NDVI_223","NDVI_228","NDVI_251","NDVI_255","NDVI_265","NDVI_277","NDVI_300","NDVI_306"
"ALGONQUIN",1,2111010,1,1,0.554369611,0.639727092,0.625182456,0.57846593,0.543705578,0.572716275,0.488711898,0.502223253,0.34987632,0.501088584,0.330584095,0.384370118,0.483575586,0.524389978,0.459872462,0.499192443,0.367757121,0.453777831,0.388373061,0.343743641,0.428134797,0.407476207,0.593555655
"NY2003",1,2111020,1,2,0.527566705,0.632067142,0.620119826,0.57348088,0.531213022,0.560454936,0.477277384,0.542013822,0.375769995,0.457361018,0.337984438,0.35009427,0.472407762,0.51168384,0.426006637,0.455192175,0.330792329,0.457850117,0.44512426,0.296509801,0.377149058,0.406954293,0.592838378
"N-R-GEE",1,2111030,1,3,0.545211462,0.615771599,0.606956988,0.565648948,0.527769401,0.552858869,0.420084294,0.474912497,0.354618401,0.513794703,0.414342936,0.338627564,0.473195677,0.516268867,0.451638793,0.478932748,0.368370882,0.431634809,0.391369193,0.344959162,0.431019231,0.409982629,0.605067198
"SW5210",1,2111040,1,4,0.549135783,0.639658418,0.616167994,0.568397344,0.521422895,0.550170771,0.431379934,0.464639469,0.363388308,0.532127962,0.387539371,0.351737692,0.514544271,0.534596805,0.476416236,0.487485361,0.378243193,0.402789044,0.312639226,0.456741476,0.505582104,0.44175908,0.633684601
"NY2003",1,2111050,1,5,0.497673162,0.639239978,0.612378549,0.562548569,0.50979227,0.525832006,0.428974061,0.532784314,0.352526789,0.47357506,0.355726755,0.351499696,0.486433358,0.524465795,0.460856965,0.490811925,0.376575713,0.489297829,0.442752481,0.343290035,0.405189501,0.414939935,0.598639582
"LIGHTNING_BOLT",1,2111060,1,6,0.513264266,0.623868691,0.600127138,0.557971753,0.518848295,0.525649065,0.433455241,0.472241935,0.372116073,0.532459206,0.396172848,0.357288385,0.508232297,0.534523893,0.486144638,0.498050547,0.388282049,0.423357024,0.344579396,0.440888716,0.496884961,0.443641198,0.636518232
"N-R-GEE",1,2111070,1,7,0.50845849,0.62234698,0.601035628,0.553019728,0.513917134,0.496734501,0.425174553,0.495476053,0.371092903,0.513328146,0.450825114,0.366308537,0.470964376,0.521535657,0.49755886,0.497764925,0.391934997,0.426258472,0.372613624,0.416275066,0.478300888,0.425866877,0.618063395
"SW5210",1,2111080,1,8,0.507569647,0.639836131,0.604353775,0.546963183,0.502489631,0.491683982,0.484817131,0.503888602,0.37362903,0.515618692,0.443409235,0.36405175,0.488597292,0.530221206,0.507766319,0.493598266,0.378125871,0.396074332,0.315480044,0.435830071,0.496737437,0.425688034,0.629386293
"SW3407",1,2111090,1,9,0.500426673,0.647557079,0.612543797,0.547920066,0.497938351,0.49313994,0.45927517,0.441396901,0.391368744,0.535721548,0.399342897,0.368199383,0.487628167,0.528092364,0.505917138,0.482289762,0.38261314,0.4209641,0.30626577,0.457931471,0.51079312,0.447237921,0.640543369
"ALGONQUIN",1,2111100,1,10,0.455110468,0.643212873,0.617862343,0.54832259,0.497347134,0.50194013,0.488354751,0.526127946,0.355104516,0.496484816,0.324226094,0.366168272,0.469862366,0.515816703,0.480357143,0.500223928,0.395898673,0.462622494,0.378367775,0.385260659,0.445259068,0.421860568,0.607154745
"LIGHTNING_BOLT",1,2111110,1,11,0.44021433,0.629318988,0.60280372,0.541613,0.499305769,0.498264863,0.45055883,0.484719798,0.376451456,0.523067449,0.399449509,0.352325276,0.463579988,0.515727669,0.481993304,0.495968167,0.388338096,0.402389215,0.330114448,0.441744269,0.485218521,0.454690195,0.634844418
