Trait,Genetic,Spatial
yld1-125,0.64,0.46
yld1-136,0.6,0.84
yld1-144,0.4,0.44
yld1-150,0.36,0.49
yld2-152,-0.65,-0.07
yld2-156,-0.24,0
yld2-164,0.64,0.12
yld2-166,0.69,0.07
yld2-172,0.68,-0.23
yld2-177,0.63,0.01
yld2-179,0.57,0.61
yld2-186,0.4,-0.01
yld2-192,0.15,-0.21
yld2-195,-0.16,0.18
yld2-198,-0.22,0.14
yld3-213,0.29,0.63
yld3-223,0.48,0.58
yld3-228,0.51,0.76
yld3-244,0.8,0.89
yld3-248,0.9,0.79
yld3-251,0.73,0.84
yld3-255,0.85,0.43
