"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","sca_yld1","sca_yld2","sca_yld3","NDRE_125","NDRE_142","NDRE_145","NDRE_150","NDRE_152","NDRE_156","NDRE_164","NDRE_166","NDRE_172","NDRE_178","NDRE_184","NDRE_187","NDRE_193","NDRE_198","NDRE_213","NDRE_223","NDRE_228","NDRE_251","NDRE_255","NDRE_265","NDRE_277","NDRE_300","NDRE_306"
"FSG_415BR",1,128,1,31,2.71,1.51,1.13,5.36,0.243678885854472,0.263136560434322,0.205368969107715,0.33503294,0.483201503,0.482743014,0.413046503,0.401334551,0.473305162,0.469538849,0.429361344,0.358513446,0.318415663,0.342191099,0.356669552,0.418762275,0.43439114,0.352859965,0.313595265,0.28566946,0.569757081,0.447248442,0.314614993,0.341582929,0.250169888,0.28830489
"GUARDSMAN_II",1,129,1,32,2.49,1.6,1.08,5.16,0.223896836080308,0.278820196486699,0.196281846580825,0.335481563,0.465974943,0.477487092,0.405997482,0.38626338,0.440360214,0.487870184,0.410693865,0.377704228,0.333317772,0.347216606,0.371624751,0.428041507,0.443803564,0.345468776,0.312861983,0.288625302,0.568798472,0.439658965,0.300049043,0.325512097,0.331536903,0.306518755
"AMERISTAND_427_TQ",1,130,1,33,2.32,1.69,1,5.01,0.208610706709363,0.294503832539076,0.1817424505378,0.338901909,0.473023988,0.477984578,0.409485369,0.387652189,0.456958874,0.481816229,0.405886306,0.346140095,0.398974997,0.364220015,0.386445324,0.43119523,0.449664362,0.30168605,0.359920331,0.287705168,0.563909933,0.43232517,0.303305412,0.36548067,0.369785786,0.324164576
"LIGHTNING_BOLT",1,131,1,34,2.57,1.73,1.06,5.36,0.231090308725458,0.301474337451244,0.192646997570069,0.327456195,0.464838939,0.459371325,0.404345356,0.384429016,0.441877949,0.482087991,0.417299743,0.372698688,0.378883405,0.335720775,0.386600262,0.432619733,0.416128395,0.31769707,0.3553248,0.286821044,0.563617675,0.433390557,0.294266097,0.356786783,0.38564494,0.321984576
"VERNAL",1,132,1,35,2.44,1.23,0.84,4.51,0.219400915677089,0.21434302604915,0.152663658451752,0.32888463,0.461212512,0.46521789,0.392282323,0.3732909,0.438648714,0.46717145,0.39375933,0.420556955,0.295969202,0.308063941,0.353645369,0.4215513,0.445871169,0.349523649,0.308502053,0.288995127,0.572809489,0.44330036,0.332532,0.298523102,0.321868474,0.2800329
"REBOUND_6XT",1,133,1,36,2.64,2.11,1.11,5.86,0.237384597289965,0.367694134116835,0.201734120096959,0.351699714,0.482497596,0.46886188,0.414207648,0.376902917,0.43212512,0.446903376,0.408353257,0.354532286,0.440201562,0.365781286,0.416225184,0.439103577,0.432145994,0.304457763,0.438351006,0.315513922,0.553032153,0.424041129,0.320951256,0.422237349,0.423844555,0.321823216
"SEEDWAY_9558",1,134,1,37,2.79,1.8,1.01,5.61,0.250872358499622,0.313672721047537,0.183559875043178,0.320130487,0.46982814,0.473527621,0.396807579,0.359392896,0.457472528,0.459467833,0.405185149,0.413049176,0.264514102,0.303658444,0.326315538,0.44260496,0.46375742,0.345017616,0.38466164,0.290281747,0.565974091,0.460471192,0.323439119,0.334369549,0.398172938,0.313077961
"NY2003",1,135,1,38,2.44,1.49,0.96,4.9,0.219400915677089,0.259651307978239,0.174472752516288,0.378427461,0.507679944,0.457658969,0.434690142,0.399234474,0.466845103,0.472638,0.38731208,0.431200398,0.260118566,0.309126333,0.344260869,0.455592052,0.474970661,0.350728429,0.393429825,0.336495214,0.547101676,0.418415096,0.339451443,0.301939496,0.38070873,0.29055741
"LANDER",1,136,1,39,2.96,1.79,1.08,5.84,0.266158487870567,0.311930094819495,0.196281846580825,0.333912616,0.460173539,0.454310144,0.401614154,0.39065971,0.43437336,0.455519463,0.414411122,0.380463251,0.25224223,0.294657927,0.348267983,0.427096569,0.413841394,0.346160016,0.384918912,0.306646832,0.551080447,0.420398094,0.299067734,0.336739546,0.319725551,0.306230015
"NY1615",1,137,1,40,3.07,1.9,1.08,6.05,0.276049512757649,0.331098983327955,0.196281846580825,0.346070609,0.465129527,0.45830646,0.400254526,0.392068171,0.41007627,0.459531084,0.411324945,0.344939057,0.304149215,0.318242424,0.359940925,0.457099238,0.458297313,0.362742169,0.358923863,0.311758462,0.548219495,0.433566245,0.308837585,0.337598725,0.311357299,0.30896781
"55V50",1,138,1,41,3.11,1.92,1.19,6.22,0.279646249080224,0.334584235784039,0.216273516139983,0.402868169,0.481856458,0.437701249,0.417268693,0.397079084,0.437602768,0.458664219,0.421638836,0.317879146,0.41757251,0.360209603,0.40497738,0.458179332,0.477933914,0.326966849,0.425747247,0.35156642,0.540989441,0.41611834,0.299621043,0.380747619,0.294696748,0.316792517
"SW5210",1,139,1,42,3.21,2.01,1.22,6.44,0.288638089886662,0.350267871836416,0.221725789656117,0.377469957,0.489912556,0.461382226,0.421901871,0.426506115,0.474439454,0.450375448,0.402768724,0.315153121,0.447666622,0.351544132,0.415995718,0.472359919,0.460769354,0.309601161,0.446759813,0.390388759,0.559810511,0.418864977,0.303780552,0.408978574,0.325057768,0.3219393
"NY1614",1,140,1,43,3.23,1.87,1.13,6.22,0.29043645804795,0.32587110464383,0.205368969107715,0.335240275,0.48901674,0.454476378,0.394106829,0.382321464,0.439860856,0.469568101,0.415335705,0.362770155,0.398348525,0.309938602,0.3935218,0.46184831,0.493620734,0.35076493,0.381626978,0.321566885,0.578881864,0.432428305,0.308675524,0.328218257,0.287707758,0.313507763
"WL_358LH",1,141,1,44,2.8,1.63,1.12,5.54,0.251771542580266,0.284048075170825,0.203551544602337,0.370528558,0.481324468,0.455025965,0.419105251,0.393885657,0.426847495,0.45643132,0.400680582,0.311646299,0.50700621,0.365491576,0.428006664,0.455938783,0.492210312,0.324574007,0.448864889,0.356433824,0.547492916,0.413483685,0.331836849,0.379880022,0.304631793,0.307779729
"SW3407",1,142,1,45,2.97,1.79,1.41,6.17,0.267057671951211,0.311930094819495,0.256256855258299,0.372528595,0.484962414,0.459515387,0.416215147,0.396973523,0.481567332,0.465450959,0.432115949,0.314279456,0.51909386,0.372828679,0.452109204,0.483434534,0.489459695,0.293186114,0.449378651,0.354301993,0.54782889,0.402447918,0.34874987,0.429117563,0.293503132,0.326065211
"ALFABAR",1,143,1,46,3.29,1.46,1.17,5.93,0.295831562531813,0.254423429294113,0.212638667129227,0.364412547,0.488098271,0.460587937,0.405222462,0.36653498,0.441259555,0.492160079,0.453474225,0.33972625,0.382804677,0.314038986,0.437526238,0.459127905,0.529029173,0.333863921,0.397067932,0.301768975,0.576822001,0.458966012,0.296800472,0.37093378,0.296317961,0.333006467
"SW4107",1,144,1,47,3.03,1.69,1.22,5.94,0.272452776435074,0.294503832539076,0.221725789656117,0.381877846,0.484464681,0.474077598,0.414232289,0.35900926,0.429969593,0.4785761,0.450569975,0.39930102,0.406717354,0.341127595,0.476950226,0.463610335,0.515670007,0.3064354,0.438772886,0.312074128,0.563403704,0.443424702,0.338341018,0.414206689,0.304285301,0.3388849
"NY0651",1,145,1,48,2.88,1.63,1.13,5.64,0.258965015225416,0.284048075170825,0.205368969107715,0.372389822,0.494780283,0.463113066,0.406362858,0.339241598,0.418950036,0.443423019,0.42447549,0.365673267,0.324788286,0.318203888,0.460555935,0.451635267,0.519578794,0.331669138,0.386132399,0.304572356,0.575379062,0.456770395,0.305682712,0.361887823,0.290529498,0.323904899
"SW4412Y",1,146,1,49,3.04,2.04,1.43,6.51,0.273351960515717,0.355495750520541,0.259891704269055,0.371214887,0.466452424,0.449421293,0.410958356,0.327969393,0.444847545,0.408771535,0.420372549,0.375513867,0.367069643,0.351176586,0.48302846,0.47109361,0.504380585,0.308471787,0.435420642,0.346169036,0.558748712,0.463822229,0.351626348,0.421796068,0.328835588,0.335263904
"SW4602Z",1,147,1,50,2.62,1.65,1.31,5.58,0.235586229128678,0.287533327626909,0.238082610204519,0.331825719,0.466847239,0.462090459,0.429311927,0.356054349,0.436828054,0.391964046,0.386120058,0.362611917,0.355920294,0.350790255,0.468946135,0.461748824,0.49363303,0.291816812,0.430398149,0.35792111,0.557924597,0.488831445,0.332455424,0.410477406,0.319121382,0.325966363
"REGEN",1,148,1,51,2.86,1.8,1.37,6.03,0.257166647064129,0.313672721047537,0.248987157236787,0.34200737,0.481987103,0.446652969,0.391008725,0.308067475,0.428119691,0.37421453,0.384786528,0.348322585,0.290366369,0.306355126,0.430456047,0.46112683,0.521820915,0.342000558,0.359312265,0.31030341,0.562015819,0.499288849,0.306125274,0.377839753,0.2955107,0.335320526
"SW5606",2,213,2,16,2.58,2.04,1.19,5.81,0.231989492806102,0.355495750520541,0.216273516139983,0.40488226,0.498962668,0.465428112,0.429687627,0.441346246,0.479786497,0.384182016,0.41428126,0.404973744,0.374825189,0.413872733,0.394001652,0.463227637,0.432565287,0.309581365,0.395719833,0.404065898,0.522867393,0.407995503,0.29699382,0.375850942,0.328801288,0.293223493
"ONEIDA_VR",2,214,2,17,2.55,1.57,0.82,4.94,0.229291940564171,0.273592317802574,0.149028809440996,0.296569063,0.395189681,0.376854687,0.385759748,0.406835703,0.417869014,0.387425741,0.44212587,0.485260065,0.2298884,0.32429084,0.32133939,0.441005645,0.455524473,0.298619235,0.286018941,0.329613448,0.543553191,0.446591468,0.303561768,0.28487395,0.314686342,0.309309661
"LANDER",2,215,2,18,2.48,1.59,1,5.06,0.222997651999664,0.277077570258657,0.1817424505378,0.309151486,0.417436604,0.399442732,0.377126582,0.403985218,0.413321406,0.378386959,0.419192441,0.437333911,0.241884754,0.337447642,0.346020411,0.429809167,0.430890922,0.292732776,0.306003917,0.346090338,0.538926845,0.433655181,0.283787446,0.297277906,0.278334492,0.292618281
"WL_358LH",2,216,2,19,2.26,1.57,1.02,4.84,0.2032156022255,0.273592317802574,0.185377299548557,0.36383225,0.458620611,0.435641508,0.402929933,0.430982827,0.426433783,0.375896887,0.397492607,0.422874349,0.29607191,0.380621586,0.371196461,0.447416982,0.390169792,0.282863276,0.341859673,0.40156584,0.527070381,0.418907139,0.292509174,0.315768404,0.307387856,0.300629331
"SW4412Y",2,217,2,20,2.61,1.9,1.17,5.68,0.234687045048034,0.331098983327955,0.212638667129227,0.345349076,0.484908947,0.450315482,0.408026895,0.42718624,0.426790013,0.40463188,0.391898482,0.383545899,0.304961837,0.368037261,0.376874716,0.462246587,0.411737026,0.265845897,0.358922493,0.408429456,0.531989995,0.425878829,0.32261901,0.343141696,0.31365902,0.313987506
"GUARDSMAN_II",2,218,2,21,2.71,1.84,1.14,5.68,0.243678885854472,0.320643225959704,0.207186393613093,0.323158723,0.464150864,0.427280121,0.391715423,0.421182905,0.370341002,0.394850165,0.371179092,0.387961899,0.255018896,0.337305266,0.356329814,0.431304739,0.389692665,0.294795609,0.333688442,0.381932296,0.536145415,0.419855868,0.30022474,0.297880153,0.312026769,0.299401972
"SW315_LH",2,219,2,22,2.52,1.56,0.96,5.04,0.226594388322239,0.271849691574532,0.174472752516288,0.376656731,0.478787347,0.454572595,0.420897194,0.448395635,0.386122696,0.381843133,0.343192758,0.424115131,0.236148089,0.324320281,0.338184085,0.459293144,0.451715759,0.318039651,0.312834137,0.359262325,0.509037061,0.392954265,0.312469271,0.302237374,0.306831856,0.264668081
"SEEDWAY_9558",2,220,2,23,2.46,1.57,0.86,4.89,0.221199283838377,0.273592317802574,0.156298507462508,0.313470542,0.435960589,0.366245775,0.385089944,0.4188004,0.332369713,0.391765104,0.362509646,0.382651067,0.226531798,0.302601703,0.336409059,0.444452633,0.459633059,0.324172136,0.301142878,0.330153738,0.533426458,0.37973336,0.333238076,0.280789276,0.286547171,0.29649243
"LIGHTNING_BOLT",2,221,2,24,2.43,1.77,1.07,5.27,0.218501731596445,0.308444842363411,0.194464422075447,0.311464128,0.467050068,0.408100546,0.399415671,0.425134249,0.318020238,0.395895264,0.363670363,0.345627232,0.28870274,0.336464033,0.362203668,0.45454961,0.443931155,0.26656901,0.354175667,0.362224555,0.551226869,0.384493973,0.395525672,0.304144883,0.289928525,0.308744994
"PERSIST_III",2,222,2,25,2.49,1.51,0.96,4.97,0.223896836080308,0.263136560434322,0.174472752516288,0.295116044,0.464713717,0.41154302,0.410469987,0.444035477,0.323232735,0.387758231,0.369318153,0.377868221,0.256604271,0.32410616,0.340847565,0.449287009,0.454822387,0.304741652,0.336541609,0.344006133,0.546601758,0.379464036,0.349946265,0.309546836,0.295165333,0.313676801
"EZRA",2,223,2,26,2.81,1.59,0.96,5.36,0.25267072666091,0.277077570258657,0.174472752516288,0.300202076,0.488642501,0.422548423,0.410829885,0.426474501,0.314394511,0.396589494,0.37835014,0.376628103,0.25321373,0.332742568,0.342698892,0.45320839,0.466045316,0.300048859,0.348593718,0.350544367,0.544701724,0.365007174,0.32061375,0.293605512,0.291640274,0.306665398
"AMERISTAND_427_TQ",2,224,2,27,2.53,1.67,1.04,5.25,0.227493572402883,0.291018580082992,0.189012148559313,0.308487171,0.473234395,0.419903375,0.412707621,0.43605078,0.349777571,0.396290238,0.364729347,0.323315508,0.336972419,0.368457133,0.367138667,0.45003737,0.462414388,0.278487555,0.404317474,0.379684306,0.531658267,0.362550446,0.358980049,0.332793172,0.292907612,0.305553575
"REGEN",2,225,2,28,2.67,1.59,1.01,5.27,0.240082149531897,0.277077570258657,0.183559875043178,0.305448204,0.483468306,0.426076193,0.419364736,0.432580618,0.341061551,0.407711122,0.385191985,0.379666979,0.266253464,0.335824576,0.344670449,0.438879445,0.49336122,0.310438631,0.354154309,0.356484063,0.554022941,0.372336285,0.320206743,0.296415515,0.284237715,0.307927725
"REBOUND_6XT",2,226,2,29,2.05,1.47,1.07,4.59,0.18433273653198,0.256166055522155,0.194464422075447,0.323077313,0.492683273,0.435500469,0.427807227,0.437623929,0.355929097,0.390670691,0.347703632,0.299976126,0.370988247,0.383945604,0.39935642,0.452960269,0.481924183,0.337564307,0.404619066,0.38990321,0.548851467,0.347002609,0.403665814,0.368032641,0.288893645,0.303018612
"SW4107",2,227,2,30,2.5,1.8,1.11,5.42,0.224796020160952,0.313672721047537,0.201734120096959,0.289530171,0.500374331,0.427773153,0.434890268,0.440518934,0.364375083,0.405276687,0.365629032,0.323748944,0.329253331,0.370474832,0.377426201,0.445054504,0.468873698,0.323557789,0.397960456,0.39043653,0.545475417,0.347132993,0.372306181,0.352245874,0.277579258,0.309098611
"FSG_421LH",2,228,2,31,2.04,1.44,0.93,4.41,0.183433552451337,0.250938176838029,0.169020479000154,0.325850438,0.50574884,0.474413555,0.445039725,0.454207904,0.424017356,0.42031065,0.379846616,0.388266341,0.338315326,0.370978897,0.364536738,0.473118757,0.514613508,0.298116372,0.331449268,0.389572153,0.541833417,0.361834463,0.32105773,0.302963905,0.301247743,0.289420072
"55V50",2,229,2,32,2.68,1.69,1.03,5.41,0.24098133361254,0.294503832539076,0.187194724053935,0.30013211,0.505838305,0.442122322,0.440271355,0.446755824,0.386804516,0.432226516,0.377176792,0.338522849,0.34434233,0.353989535,0.367001168,0.438585913,0.45631358,0.291893113,0.337490946,0.364448007,0.541177252,0.339941604,0.340385107,0.328056228,0.268229726,0.298859461
"ONEIDA_ULTRA",2,230,2,33,2.37,1.4,0.96,4.73,0.213106627112582,0.243967671925862,0.174472752516288,0.299970449,0.467757787,0.395447817,0.399425888,0.410686144,0.354571643,0.429174228,0.369677956,0.386391953,0.28235383,0.316468212,0.345873495,0.424488309,0.469721714,0.30752927,0.310805716,0.323302754,0.549717943,0.33701974,0.317695032,0.298831922,0.264320972,0.300197646
"N-R-GEE",2,231,2,34,2.55,1.57,1.05,5.18,0.229291940564171,0.273592317802574,0.190829573064691,0.293462213,0.455151088,0.383044352,0.422118999,0.424989696,0.370383864,0.441345089,0.390660183,0.36236229,0.295702281,0.323466851,0.354184084,0.43665882,0.476415977,0.299433774,0.339570188,0.340641117,0.553798796,0.337104382,0.321933841,0.300279346,0.267352011,0.312201536
"FSG_415BR",2,232,2,35,2.87,1.68,1.04,5.59,0.258065831144773,0.292761206311034,0.189012148559313,0.294175155,0.488295841,0.42256439,0.435205822,0.440880657,0.384853842,0.423431242,0.399666696,0.376022225,0.311062944,0.32931613,0.370461733,0.448967439,0.478992738,0.286343165,0.37083256,0.348693488,0.563375981,0.335705569,0.330072846,0.311827038,0.259467271,0.309374901
"NY2003",2,233,2,36,NA,1.18,0.74,NA,NA,0.205629894908941,0.134489413397972,0.327848613,0.50444306,0.449906948,0.454874078,0.464383241,0.394005056,0.431905206,0.424441493,0.415000883,0.288660946,0.333071819,0.354075391,0.442581286,0.503359834,0.306053876,0.293774869,0.35917956,0.536326978,0.342952503,0.332428109,0.283088586,0.257357182,0.260170147
"NY0651",2,234,2,37,NA,1.91,1.18,NA,NA,0.332841609555997,0.214456091634605,0.305925955,0.498510922,0.424055578,0.433569078,0.439693579,0.370836572,0.432202862,0.430671167,0.36260196,0.289439479,0.333921109,0.373093562,0.423067149,0.434832109,0.28467698,0.364761494,0.341213642,0.554062963,0.357235772,0.348845766,0.303014023,0.242297465,0.304571641
"NY1517",2,235,2,38,2.54,1.4,1.05,4.99,0.228392756483527,0.243967671925862,0.190829573064691,0.302836879,0.491269483,0.435817441,0.421048456,0.429848789,0.377464491,0.442691434,0.444240987,0.397519329,0.28034888,0.334222222,0.342067921,0.403413179,0.505450254,0.31841485,0.317627149,0.349322641,0.551069514,0.364145682,0.342002554,0.293496216,0.255079825,0.303179122
"SW3407",2,236,2,39,2.64,1.8,1.33,5.76,0.237384597289965,0.313672721047537,0.241717459215275,0.299067001,0.516148457,0.458634002,0.442599538,0.459582975,0.424561052,0.427101185,0.430667457,0.293157971,0.371886384,0.377624748,0.397468131,0.395884179,0.493150182,0.298390958,0.39883059,0.402080429,0.550660825,0.352153842,0.365853329,0.328403116,0.278959691,0.304232411
"ALFABAR",2,237,2,40,2.59,1.61,1.04,5.24,0.232888676886746,0.280562822714741,0.189012148559313,0.291829341,0.475977522,0.388939774,0.422808809,0.432599406,0.363684575,0.434622706,0.463029733,0.381309418,0.28261675,0.338992502,0.359047499,0.334432751,0.472445691,0.307666185,0.337273904,0.345792822,0.542582902,0.366181171,0.304273269,0.292700885,0.2769526,0.276326445
"SW5210",2,238,2,41,2.74,1.82,1.1,5.66,0.246376438096403,0.31715797350362,0.199916695591581,0.316214133,0.513158027,0.452119344,0.436824731,0.451503326,0.401592885,0.434122824,0.46259377,0.313752362,0.360825515,0.387402565,0.391865139,0.402307609,0.469352651,0.296910186,0.400041536,0.390051895,0.545949434,0.343076678,0.319021625,0.323580411,0.283835298,0.285370315
"SEEDWAY_9558_SBR",2,239,2,42,2.66,1.61,1.07,5.34,0.239182965451253,0.280562822714741,0.194464422075447,0.296810531,0.488914642,0.428986182,0.430448802,0.424396331,0.351910623,0.451735117,0.455067265,0.375328632,0.305348065,0.350567524,0.352444412,0.372623011,0.487087682,0.298974982,0.37251764,0.354462585,0.544232003,0.384918452,0.296823292,0.302364029,0.28140148,0.2887585
