Trait,Genetic,Spatial
yld1-125,0.1,0.05
yld1-142,0,0
yld1-145,-0.16,0.17
yld1-150,0,0.27
yld1-152,0,0.23
yld1-156,-0.25,-0.25
yld2-164,0.72,-0.24
yld2-166,0.74,-0.32
yld2-172,0.82,-0.46
yld2-178,0.87,-0.21
yld2-184,0.79,-0.25
yld2-187,0.78,-0.15
yld2-193,0.75,0
yld2-198,0.24,0.11
yld3-213,0.61,0.28
yld3-223,0.67,0.19
yld3-228,0.62,-0.04
