"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","NDVI_125","NDVI_136","NDVI_144","NDVI_150","NDVI_152","NDVI_156","NDVI_164","NDVI_166","NDVI_172","NDVI_177","NDVI_179","NDVI_186","NDVI_192","NDVI_195","NDVI_198","NDVI_213","NDVI_223","NDVI_228","NDVI_244","NDVI_248","NDVI_251","NDVI_255","NDVI_263","NDVI_274","NDVI_278","NDVI_300","NDVI_305"
"SW4412Y",1,113,1,36,1.43,1.46,0.67,3.56,0.495098275000236,0.404657498557791,0.477897187213228,0.617500596651216,0.351491979949023,0.408974519632414,0.417659440143672,0.440369867480375,0.486480478156175,0.563270524068658,0.497511615087802,0.567185204564207,0.475972184916585,0.448094147440553,0.435186570653699,0.423139437593219,0.563480199750642,0.516856328434458,0.463721475486181,0.395119054145423,0.326323925508181,0.361671748345356,0.320514134034715,0.416027332957807,0.529947626794531,0.434170957661975,0.347568869605744
"AMERISTAND_427_TQ",1,114,1,35,1.42,1.64,0.66,3.72,0.488780545888389,0.410882632078456,0.478544337443006,0.607993870193817,0.352639753228176,0.40857201258332,0.442176580331376,0.462105508060689,0.526392592592593,0.569227162230531,0.503169051404346,0.557416388838578,0.475783837550131,0.450128794791104,0.456779345222252,0.451149671990008,0.582946431909087,0.541950035031144,0.471866187552462,0.412163640540313,0.336902483203371,0.378101201149093,0.341983365127425,0.461216705560473,0.569401870403669,0.464335696093774,0.382081870061457
"VERNAL",1,115,1,34,1.04,1.08,0.56,2.68,0.407133072084052,0.339482757899405,0.456745690977121,0.583847458265818,0.367305867613665,0.417926618905889,0.39772590504927,0.399466295968708,0.437220806100218,0.532680895366996,0.462181325710737,0.54439112729011,0.483515338137414,0.452810797266708,0.450547858783153,0.339058918253292,0.509482438259592,0.503766567811657,0.442007630242924,0.403916253648512,0.36047557619539,0.379953397288119,0.329484910231071,0.334689776129636,0.467260681565203,0.393355240861777,0.339686306148115
"HI-GEST_360",1,116,1,33,1.52,1.56,0.66,3.74,0.492318139376963,0.410558584711961,0.488795157393142,0.614670836944643,0.344216029833405,0.40640375448425,0.458726440247872,0.469999853999679,0.523548976608187,0.567673568935932,0.495613609120578,0.554874904688754,0.49308485145334,0.468042546764406,0.475025442703033,0.440327852880283,0.58107118590399,0.554988092153161,0.47093097681333,0.412854156858196,0.348015995872033,0.41019627123219,0.329923018794832,0.45622676055202,0.538407255187373,0.458163674859615,0.343269980121191
"55V50",1,117,1,32,1.74,1.73,0.83,4.3,0.511843575814164,0.418685077321026,0.493020200781042,0.61781462360729,0.349780529517165,0.392758857929137,0.391161456279418,0.429124561216892,0.51323082788671,0.578359061686349,0.496738877915348,0.551633092511723,0.486914701120599,0.468030780865005,0.460258409670174,0.396341980270369,0.564452298676898,0.550737682987425,0.476461641167523,0.416920833987231,0.384406219356054,0.419995538038224,0.275876172151794,0.442750194469032,0.558830664725861,0.458063978847215,0.356148058725978
"PLUSS_III",1,118,1,31,1.34,1.57,0.57,3.48,0.517845943091041,0.394098068499856,0.481484774244606,0.611028411364546,0.350713151568933,0.39687097646076,0.421384047068609,0.450142934314456,0.522567102396514,0.5718155456015,0.501362240405472,0.54817158931083,0.456686031131287,0.453578150904354,0.448435599951985,0.441197905249056,0.555612874285073,0.53774207480349,0.438118816550189,0.363799499296457,0.327541761408647,0.389902084727696,0.31148868984131,0.473951854952325,0.545386186983284,0.457692177634789,0.36006393372504
"WL_358LH",1,119,1,30,1.09,1.22,0.47,2.78,0.470897938299899,0.369376035134079,0.480655911999836,0.600242008568133,0.330088592861571,0.395071865512032,0.360124528315539,0.393216110789729,0.498352898176815,0.568749411268932,0.483047099386969,0.543557406997467,0.473825135748632,0.464271260527945,0.472118000353294,0.413778602350031,0.544659977989886,0.526261841006594,0.441526782703253,0.387016655635691,0.327699771762822,0.379779050263173,0.302596283850513,0.439686457333516,0.532773567942461,0.433896222651815,0.351259600249943
"NY1614",1,120,1,29,1.36,1.47,0.63,3.46,0.482561374718238,0.391089245597962,0.483979322944292,0.602971448669154,0.352581446015099,0.399755270529264,0.368090467628099,0.39221175886587,0.483156862745098,0.567930889169827,0.486156605029745,0.551712248361541,0.483392590711406,0.477148205954848,0.463888584446288,0.369261711418574,0.515441533796428,0.512178087093868,0.452797793974265,0.407839151020697,0.351327399380805,0.396694677871148,0.294849612035625,0.4262886854634,0.521899943868863,0.456588542146123,0.389994878548434
"LANDER",1,121,1,28,1.29,1.5,0.74,3.53,0.48007938865782,0.378233329818271,0.479894975021639,0.601174712037281,0.372212047957415,0.402965355987297,0.37589473823849,0.409201488814704,0.493588126361656,0.560423499796394,0.488068817480582,0.537577103039997,0.49297800069839,0.485572300545563,0.476377722260075,0.377190391308038,0.540883907728828,0.538840155945419,0.479638997286056,0.424925000739189,0.374347265221878,0.406209150326797,0.288631350375986,0.394806469783536,0.512166542987889,0.411064977851205,0.334012705215515
"LIGHTNING_BOLT",1,122,1,27,1.79,1.83,0.71,4.33,0.550665383998717,0.441442829583589,0.482426523206964,0.607808971122081,0.400155822414691,0.414709076613101,0.436003938693381,0.462424968001596,0.52358735380117,0.573267192339491,0.499553770638108,0.547439621304104,0.471179156594144,0.46595739376488,0.454653535622394,0.438704451477561,0.537849492157522,0.531155616431595,0.470261552614494,0.411454473913449,0.365663054695562,0.375644629533229,0.313786529754555,0.443520425954239,0.538581832538935,0.442001480645973,0.372635173161951
"N-R-GEE",1,123,1,26,1.86,1.46,0.55,3.87,0.551590828392817,0.433120339449049,0.484156491983557,0.609045986107447,0.374283590090565,0.404754347669949,0.383163735491423,0.413628985840912,0.496848801742919,0.571400890739777,0.482253376371023,0.53592222155141,0.470678179528692,0.455274671852212,0.450705831882302,0.361726464498843,0.473388350517958,0.474161891873734,0.406318082788671,0.36874166255505,0.316426653649012,0.32953949524746,0.29369470281126,0.392482261665756,0.518218084946015,0.429495964896131,0.37849024413687
"SW4602Z",1,124,1,25,1.73,1.74,0.65,4.11,0.558479637646304,0.424459756857442,0.48511640121601,0.604274786147643,0.365639637740536,0.400796503216671,0.381937421256712,0.407196355831983,0.498973920708634,0.565219999504226,0.484423532911603,0.546337253113128,0.47209929843497,0.464354777723762,0.464900551649992,0.396876872488126,0.514100187568579,0.510896728735547,0.471023659258953,0.447922651255143,0.31795237422333,0.371495500855209,0.296611348770352,0.378752255049833,0.523641792961726,0.42180870845991,0.379124799142358
"ONEIDA_VR",1,125,1,24,1.93,1.75,0.77,4.45,0.552876689396297,0.413866516856912,0.492018677537803,0.616440076030412,0.363396426138804,0.40819063857427,0.353859400947168,0.390607236478777,0.492333333333333,0.577522427473192,0.48703120232532,0.547852605646103,0.491278907480263,0.467016109262099,0.460115073056249,0.367942028985507,0.522787931344081,0.53224687535833,0.481298563651505,0.464087769310893,0.350060592046384,0.410023232498506,0.302584815039943,0.373422386738553,0.527596659721628,0.436567733770029,0.393899160185376
"REGEN",1,126,1,23,1.93,1.85,0.71,4.48,0.562514972318894,0.40481847321692,0.48686024500875,0.611961161146073,0.318826431206732,0.395410348754887,0.369147711601052,0.39554115019053,0.497035403050109,0.574790903145399,0.483972037884157,0.545056001645726,0.489720961239326,0.455489599058414,0.436713690000887,0.361301032490291,0.509981594970611,0.5309833536939,0.439133556780616,0.403127422190923,0.325839353285174,0.392287251183659,0.284071478724719,0.389697749283677,0.542557748475421,0.449588535954652,0.401925299970735
"NY2003",1,127,1,22,1.44,1.14,0.39,2.97,0.513333498382518,0.393650320168635,0.482142090412807,0.605023249078054,0.331340123874277,0.41274687801542,0.330444435600675,0.359855820254233,0.463158217234262,0.571391884187303,0.450785644031831,0.534790337619824,0.490775425118779,0.428124104059933,0.434195876548818,0.32074745049535,0.380853769767352,0.420558002936858,0.367660250013191,0.36167861878541,0.291899294805642,0.370926118726743,0.314166657109325,0.272234724137838,0.434941514208789,0.357935008745282,0.30781338507414
"NY0651",1,128,1,21,2.15,1.62,0.56,4.33,0.579306369012251,0.45868857460905,0.488239587805925,0.627581615605884,0.354216830524384,0.405781389478868,0.415804802270253,0.441700125073609,0.512936710239651,0.577819092238665,0.486814423469278,0.552800989125139,0.501267689455583,0.435906161574611,0.450710569029315,0.362237016018529,0.489028447534672,0.509673613938968,0.455648454668063,0.431287030529646,0.311842965256278,0.375146377134925,0.278987354999191,0.404982628336447,0.543865889393118,0.453164851125635,0.394906110270465
"NY1517",1,129,1,20,2.05,1.55,0.64,4.24,0.574960270303408,0.452189559055536,0.486364728373101,0.614627626835488,0.360926887372486,0.394716406071905,0.338272015860899,0.372649854115393,0.466278104575163,0.567233554214637,0.474141521200345,0.547405633481583,0.511048326508153,0.463529162459644,0.463069119539708,0.304276862260056,0.513675123835552,0.531653480105493,0.497333544392368,0.465621794478144,0.368020674091869,0.420202771374036,0.324795956367248,0.345265953166492,0.506688762355986,0.43018435818161,0.382321602770461
