"Germplasm","Rep","Plot","Row","Range","NDRE_125","NDRE_142","NDRE_145","NDRE_150","NDRE_152","NDRE_156","NDRE_164","NDRE_166","NDRE_172","NDRE_178","NDRE_184","NDRE_187","NDRE_193","NDRE_198","NDRE_213","NDRE_223","NDRE_228","NDRE_251","NDRE_255","NDRE_265","NDRE_277","NDRE_300","NDRE_306"
"ALGONQUIN",1,2111010,1,1,0.289556245,0.492352567,0.470999151,0.427500563,0.447636885,0.356339548,0.388848508,0.394803787,0.359881076,0.259419323,0.315499166,0.320035389,0.248213659,0.374431808,0.33734484,0.368854462,0.299056634,0.401114368,0.316988933,0.310606477,0.318828767,0.255910395,0.251657644
"NY2003",1,2111020,1,2,0.312412444,0.498564169,0.476003223,0.446719105,0.434555237,0.384478809,0.387729285,0.381460141,0.361348407,0.265017859,0.312458252,0.359073863,0.260814957,0.419646972,0.33604473,0.353949648,0.295153651,0.390307847,0.310209271,0.340566629,0.2840171,0.269346675,0.263062818
"N-R-GEE",1,2111030,1,3,0.323059351,0.425842113,0.412049965,0.412674492,0.431773575,0.341716595,0.38839748,0.391042949,0.343364179,0.291040564,0.312612731,0.394442443,0.32196403,0.354488232,0.340049843,0.354078858,0.304045279,0.425260569,0.329591147,0.303241237,0.288201754,0.251425326,0.26182653
"SW5210",1,2111040,1,4,0.429338177,0.487585718,0.462132307,0.437166307,0.427785748,0.389445066,0.415817099,0.410149905,0.304917538,0.351382775,0.315214555,0.361053374,0.241915921,0.398224401,0.350726483,0.38098457,0.298812843,0.447808699,0.336667161,0.311535141,0.382619039,0.269718453,0.29201914
"NY2003",1,2111050,1,5,0.403292165,0.515463174,0.488888442,0.447553903,0.416660667,0.378178859,0.391071333,0.373294439,0.355263028,0.284010493,0.298488874,0.357682591,0.264556306,0.397717792,0.367236497,0.385063088,0.320222476,0.404757345,0.341628366,0.306492253,0.293630323,0.281412353,0.285963117
"LIGHTNING_BOLT",1,2111060,1,6,0.38758648,0.462475242,0.468752201,0.412569454,0.443373813,0.360908552,0.403738248,0.405669197,0.31993448,0.329611548,0.306764303,0.37057913,0.282269396,0.350921714,0.351216107,0.351990028,0.297819963,0.450680715,0.381310048,0.27971316,0.321979604,0.250709747,0.307444681
"N-R-GEE",1,2111070,1,7,0.390548081,0.457813982,0.470040049,0.401952539,0.426405461,0.336011166,0.390119963,0.383346512,0.338174337,0.296884976,0.287680503,0.384254346,0.302178826,0.314428177,0.354747602,0.3803574,0.313926738,0.451366818,0.391872268,0.304384663,0.3093921,0.264505022,0.293427466
"SW5210",1,2111080,1,8,0.42049205,0.489409609,0.486933762,0.421731726,0.441186905,0.385663259,0.402330489,0.390266743,0.336456456,0.339120092,0.315020528,0.379288674,0.268216562,0.31182687,0.363013174,0.364225123,0.315402989,0.425420792,0.367784742,0.289990742,0.334975259,0.264352374,0.303983216
"SW3407",1,2111090,1,9,0.44003309,0.51246798,0.483405706,0.423043798,0.447121951,0.400030647,0.442684849,0.421419671,0.305790388,0.392222815,0.341122712,0.378448976,0.291453563,0.295534121,0.354241501,0.368438769,0.300494552,0.440015345,0.333059747,0.290911469,0.356733027,0.277767715,0.309053635
"ALGONQUIN",1,2111100,1,10,0.388289889,0.502911749,0.51063692,0.406475997,0.432104256,0.346054205,0.412890514,0.383047043,0.372572144,0.265946823,0.364715658,0.378881858,0.332482708,0.264415251,0.337209246,0.355670323,0.285430606,0.44648934,0.337519528,0.308782279,0.300911613,0.271068975,0.289273041
"LIGHTNING_BOLT",1,2111110,1,11,0.356726435,0.469327931,0.472460073,0.403860556,0.428451633,0.360237978,0.407806965,0.399608159,0.367999891,0.340001778,0.356163427,0.398149791,0.330087432,0.257764415,0.355380028,0.36104581,0.294607117,0.407621552,0.349960586,0.27631782,0.32090915,0.292403818,0.30462176
"SW3407",1,2111120,1,12,0.405755893,0.511327728,0.485543794,0.431942945,0.456025738,0.39366884,0.442517455,0.427969798,0.326508005,0.404481941,0.318749583,0.375284964,0.270874673,0.295198035,0.279427534,0.35302182,0.286640995,0.41126665,0.339922475,0.297211604,0.366085155,0.292974359,0.303136869
"BORDER",1,2111121,1,13,0.378600821,0.483328869,0.48653162,0.414971828,0.426927351,0.355835608,0.442459105,0.434613308,0.363593277,0.376107184,0.349997585,0.353506538,0.394847919,0.335744662,0.262061524,0.384182977,0.293152791,0.453505877,0.384192681,0.278014068,0.379646074,0.285978875,0.307389117
"BORDER",1,2111122,1,14,0.385902662,0.488521773,0.482057409,0.421598377,0.413096434,0.36668142,0.435953277,0.442744782,0.369209316,0.388692069,0.392977846,0.352405087,0.400230592,0.327240232,0.289306768,0.378301235,0.287600769,0.485566609,0.407414064,0.280242253,0.361562624,0.28018988,0.276604278
"BORDER",1,2111123,1,15,0.361623036,0.489610544,0.494775708,0.422730707,0.417277684,0.357450096,0.428703291,0.444884093,0.369486772,0.376088213,0.399069174,0.341312554,0.396377418,0.310625808,0.304115304,0.384322136,0.303889044,0.455395695,0.404032655,0.275757867,0.356255963,0.280923754,0.259347423
