"plotNumber","germplasmName","replicate","rowNumber","colNumber","name","value","trait","doy","harvest","GDD_sum","loc","year"
2121460,"PERSIST_III",1,1,3,"GNDVI_124.5",0.362478715409091,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121470,"ALGONQUIN",1,1,2,"GNDVI_124.5",0.355977222697255,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121480,"ONEIDA_ULTRA",1,1,1,"GNDVI_124.5",0.390715966985119,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122010,"SW5606",2,2,51,"GNDVI_124.5",0.308307695553224,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122020,"WL_349HQ",2,2,50,"GNDVI_124.5",0.279387163770193,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122030,"VERNAL",2,2,49,"GNDVI_124.5",0.253031419725494,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122040,"REGEN",2,2,48,"GNDVI_124.5",0.27177327664086,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122050,"GUARDSMAN_II",2,2,47,"GNDVI_124.5",0.26738530847728,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122060,"SEEDWAY_9558_SBR",2,2,46,"GNDVI_124.5",0.254800680447526,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122070,"GUARDSMAN_II",2,2,45,"GNDVI_124.5",0.269145079550576,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122080,"WL_349HQ",2,2,44,"GNDVI_124.5",0.281953433882877,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122090,"SEEDWAY_9558_SBR",2,2,43,"GNDVI_124.5",0.300907898380712,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122100,"VERNAL",2,2,42,"GNDVI_124.5",0.259720623499898,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122110,"SW5606",2,2,41,"GNDVI_124.5",0.312838679291233,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122120,"REGEN",2,2,40,"GNDVI_124.5",0.283828935578686,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122121,"BORDER",1,2,39,"GNDVI_124.5",0.292417561898539,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122122,"BORDER",1,2,38,"GNDVI_124.5",0.301737730952701,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122123,"BORDER",1,2,37,"GNDVI_124.5",0.30425964292456,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122130,"EZRA",2,2,36,"GNDVI_124.5",0.266446587868529,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122140,"NY0465",2,2,35,"GNDVI_124.5",0.249086275093087,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122150,"SW3407",2,2,34,"GNDVI_124.5",0.282043318350905,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122160,"PLUSS_III",2,2,33,"GNDVI_124.5",0.27091637133086,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122170,"NY1517",2,2,32,"GNDVI_124.5",0.267502578252687,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122180,"NY1614",2,2,31,"GNDVI_124.5",0.26348220268364,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122190,"NY2003",2,2,30,"GNDVI_124.5",0.221472664368002,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122200,"ONEIDA_VR",2,2,29,"GNDVI_124.5",0.224300608639172,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122210,"WL_349HQ",2,2,28,"GNDVI_124.5",0.227500291218684,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122220,"FSG_421LH",2,2,27,"GNDVI_124.5",0.277805673486954,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122230,"SEEDWAY_9558_SBR",2,2,26,"GNDVI_124.5",0.278504711396855,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122240,"ALGONQUIN",2,2,25,"GNDVI_124.5",0.268954056669815,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122250,"AMERISTAND_427_TQ",2,2,24,"GNDVI_124.5",0.328045342524255,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122260,"REBOUND_6XT",2,2,23,"GNDVI_124.5",0.332359662870646,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122270,"SW4602Z",2,2,22,"GNDVI_124.5",0.323912822703147,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122280,"NY1615",2,2,21,"GNDVI_124.5",0.282503865564944,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122290,"GUARDSMAN_II",2,2,20,"GNDVI_124.5",0.308688004947792,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122300,"SW4412Y",2,2,19,"GNDVI_124.5",0.329397145970126,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122310,"FSG_415BR",2,2,18,"GNDVI_124.5",0.316123003134516,"GNDVI",125,"1",263.75,"NY-mus","2023"
