"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","NDRE_131","NDRE_145","NDRE_154","NDRE_159","NDRE_162","NDRE_164","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_201","NDRE_203","NDRE_210","NDRE_215","NDRE_223","NDRE_236","NDRE_238","NDRE_243","NDRE_259","NDRE_263"
"SW4602Z",1,124,1,25,1.84,0.67,0.51,3.01,0.218256356386136,0.21764989841436,0.100157329336241,0.280659568444965,0.469825458485281,0.494120191466692,0.292524588,0.387572920284849,0.259283485004847,0.406252755384809,0.331202604944299,0.376674486775381,0.384213661307016,0.44225415897142,0.462074512734527,0.34549491139141,0.334641584105071,0.375150491939693,0.44235186757948,0.317582879056795,0.274667135622242,0.313130852853305,0.405770418,0.268595112333835,0.297697944229595
"ONEIDA_VR",1,125,1,24,1.96,0.47,0.58,3.02,0.232490466585232,0.1526797794847,0.11390441375494,0.363055791461078,0.357958221024259,0.467052939586216,0.358876449998554,0.457827125864568,0.26904801301674,0.303157339324619,0.231476331661018,0.306232578668854,0.277757366,0.371345494771949,0.367926303648394,0.299739937660795,0.406420219920097,0.392687282198541,0.445154673891414,0.272523060299389,0.264960623653019,0.256505736737717,0.388603222110762,0.278255983560928,0.324321052988669
"REGEN",1,126,1,23,2.04,NA,0.56,NA,0.241979873384629,NA,0.109976675349598,0.352189472154237,0.368360551767877,0.445147019067156,0.395438052567783,0.461127078824522,0.269937017231135,0.337866599631306,0.251690005967502,0.313442191165676,0.314112010307203,0.425798164010059,0.422442261841216,0.31831143433171,0.371503055728005,0.402797919167667,0.454523207132315,0.289150590343664,0.246124831829503,0.290863127069009,0.386631360635942,0.231744677793036,0.306704424278035
"NY2003",1,127,1,22,1.6,NA,0.42,NA,0.189788135987945,NA,0.0824825065121982,0.298750090657907,0.375868611595582,0.409721069287407,0.375862001487222,0.43102533077341,0.263845889232886,0.316807451690938,0.260130483084609,0.306371721784181,0.297925178043195,0.404285515481304,0.392172457752184,0.333500259391953,0.395498549362689,0.425382332498804,0.449424059947611,0.295984682997868,0.242194856831047,0.280723180437348,0.351922557258197,0.195282202860694,0.28126564166177
"NY0651",1,128,1,21,1.79,NA,0.43,NA,0.212325477136513,NA,0.0844463757148695,0.30855827,0.336081206067333,0.358841976368812,0.368443701748844,0.39559865366454,0.270679994283866,0.304567962334506,0.26230060170345,0.292441840939948,0.246050938687406,0.359877748765812,0.345024146094864,0.326638883336261,0.379509062,0.398969944901792,0.44399481103917,0.298752503689648,0.235111167077003,0.278444929828526,0.307777247885456,0.204334837,0.30476056720266
"NY1517",1,129,1,20,2.25,NA,0.56,NA,0.266889566233047,NA,0.109976675349598,0.262943024722119,0.362039929179219,0.396911406898526,0.423451632515123,0.453859797114615,0.270047721800044,0.312040048391151,0.257900217707677,0.300938772866622,0.268784474775537,0.377386101499423,0.360386692017762,0.33842174041396,0.358714514080008,0.453603291760304,0.448961763888522,0.29764013902975,0.215295912415309,0.282441431117902,0.311872686329434,0.242034408111637,0.322107877060859
"SEEDWAY_9558",1,130,1,19,2.04,NA,0.58,NA,0.241979873384629,NA,0.11390441375494,0.308749833306428,0.340944453252999,0.388226865766582,0.408788787868991,0.429780103592926,0.255583075335397,0.311718520384599,0.265912473494149,0.297057384245599,0.291368072775674,0.422366102702358,0.3882843817574,0.342562016562288,0.343343582358941,0.432910777459518,0.438905088447036,0.319806688804554,0.235421777775848,0.312327332981848,0.347477563574449,0.230009222502907,0.31230151299274
"ALFABAR",1,131,1,18,1.82,0.55,0.46,2.82,0.215884004686287,0.178667827056564,0.0903379833228837,0.321702487786124,0.344365784049469,0.375205699473626,0.406125061613063,0.377630060524632,0.257984160292425,0.304648352396514,0.254847121093114,0.28076181292189,0.248441089635768,0.392125727952675,0.348542651821057,0.335873206248826,0.365761230319439,0.435361946929309,0.450385983172868,0.31449894882522,0.240511537899282,0.269561647962642,0.340207206170139,0.195778166258137,0.280663505690845
"SW4107",1,132,1,17,1.62,0.5,0.41,2.54,0.192160487687794,0.162425297324149,0.0805186373095268,0.303107402130402,0.333750594577454,0.363473116740613,0.405764268869393,0.343975549886291,0.250381075585841,0.307629592969666,0.252343718673563,0.2746123528932,0.234581531285474,0.359160923289277,0.344498521090939,0.337163297020298,0.366148992236411,0.421464251099679,0.446352624292198,0.322753840221433,0.217204445814644,0.270782658517953,0.310092036814726,0.199368537152731,0.288825596831407
"GUARDSMAN_II",1,133,1,16,1.89,0.65,0.45,2.99,0.224187235635759,0.211152886521394,0.0883741141202123,0.32079898913176,0.361199329,0.383528298586263,0.422070852707386,0.354614287477369,0.235623492444896,0.319623194566906,0.252884921561551,0.304071733905209,0.26116207081939,0.394149843264625,0.377616559594907,0.322979997199023,0.366684566561505,0.430845497,0.443871592352788,0.30617765654649,0.231573677017209,0.303174035299139,0.333670581737252,0.217675023160408,0.272865594680779
"SW315_LH",1,134,1,15,1.76,0.56,0.42,2.74,0.208766949586739,0.181916333003047,0.0824825065121982,0.313966698718624,0.36645380793827,0.374670578693765,0.375935983262177,0.35202293752489,0.240332714085506,0.320221242877493,0.299031637194755,0.300341590024804,0.288587020207574,0.358913107190803,0.368651628,0.283885904,0.370395132386309,0.442821720863005,0.440550013963151,0.315004067359703,0.218577154047564,0.314122668273455,0.312437303688599,0.227275174803143,0.266619852093086
"SEEDWAY_9558_SBR",1,135,1,14,1.88,0.6,0.47,2.95,0.223001059785835,0.194910356788979,0.0923018525255551,0.297085260544977,0.330937714708525,0.374235644,0.417998558155074,0.344621934,0.249734375274211,0.308746412560751,0.25697667013395,0.283702269750572,0.334462125896667,0.336025394,0.338286265717988,0.250315995000616,0.378845431921976,0.447261067502624,0.443955754344749,0.27823265865486,0.228674028111281,0.294539470333588,0.309215521825168,0.22313728614703,0.263489653300767
"FSG_415BR",1,136,1,13,1.93,0.65,0.55,3.13,0.228931939035458,0.211152886521394,0.108012806146926,0.297652872722499,0.330525210084034,0.380307534445313,0.393599997237359,0.326414407368624,0.272937799043062,0.354358071959882,0.237616372183422,0.333817075567997,0.284196727368324,0.395629807318091,0.396358827506662,0.21099145424132,0.356778622271365,0.414359326526309,0.447141388250376,0.317358272221355,0.243548459466462,0.351334502166871,0.389364859669358,0.265444984463389,0.28965814128093
