"plot_name","plot_id","accession_name","plot_number","block_number","is_a_control","rep_number","row_number","col_number"
"CU23-2-2122350","46158","SW5210","2122350","1","","2","2","14"
"CU23-2-2122360","46057","55V50","2122360","1","","2","2","13"
"CU23-2-2122370","46108","N-R-GEE","2122370","1","","2","2","12"
"CU23-2-2122380","46114","WL_358LH","2122380","1","","2","2","11"
"CU23-2-2122390","46023","HI-GEST_360","2122390","1","","2","2","10"
"CU23-2-2122400","46014","NY0651","2122400","1","","2","2","9"
"CU23-2-2122410","46126","REGEN","2122410","1","","2","2","8"
"CU23-2-2122420","45973","SW4107","2122420","1","","2","2","7"
"CU23-2-2122430","46019","PERSIST_III","2122430","1","","2","2","6"
"CU23-2-2122440","45956","LIGHTNING_BOLT","2122440","1","","2","2","5"
"CU23-2-2122450","46071","SEEDWAY_9558","2122450","1","","2","2","4"
"CU23-2-2122460","45986","ONEIDA_ULTRA","2122460","1","","2","2","3"
"CU23-2-2122470","46024","SW315_LH","2122470","1","","2","2","2"
"CU23-2-2122480","46100","ALFABAR","2122480","1","","2","2","1"
"CU23-2-2123010","46073","GUARDSMAN_II","2123010","1","","3","3","51"
"CU23-2-2123020","45981","SW5606","2123020","1","","3","3","50"
"CU23-2-2123030","46029","VERNAL","2123030","1","","3","3","49"
"CU23-2-2123040","46099","SEEDWAY_9558_SBR","2123040","1","","3","3","48"
"CU23-2-2123050","46037","REGEN","2123050","1","","3","3","47"
"CU23-2-2123060","46031","VERNAL","2123060","1","","3","3","46"
"CU23-2-2123070","46151","GUARDSMAN_II","2123070","1","","3","3","45"
"CU23-2-2123080","46138","WL_349HQ","2123080","1","","3","3","44"
"CU23-2-2123090","46082","REGEN","2123090","1","","3","3","43"
"CU23-2-2123100","46048","WL_349HQ","2123100","1","","3","3","42"
"CU23-2-2123110","46017","SEEDWAY_9558_SBR","2123110","1","","3","3","41"
"CU23-2-2123120","46135","SW5606","2123120","1","","3","3","40"
"CU23-2-2123121","46089","BORDER","2123121","1","","1","3","39"
"CU23-2-2123122","46050","BORDER","2123122","1","","1","3","38"
"CU23-2-2123123","46093","BORDER","2123123","1","","1","3","37"
"CU23-2-2123130","46087","55V50","2123130","1","","3","3","36"
"CU23-2-2123140","45998","SW4107","2123140","1","","3","3","35"
"CU23-2-2123150","46081","ONEIDA_ULTRA","2123150","1","","3","3","34"
"CU23-2-2123160","46136","SW5606","2123160","1","","3","3","33"
"CU23-2-2123170","45979","REBOUND_6XT","2123170","1","","3","3","32"
"CU23-2-2123180","46005","NY1615","2123180","1","","3","3","31"
"CU23-2-2123190","46084","SEEDWAY_9558_SBR","2123190","1","","3","3","30"
"CU23-2-2123200","46146","ALFABAR","2123200","1","","3","3","29"
"CU23-2-2123210","45980","SW4412Y","2123210","1","","3","3","28"
"CU23-2-2123220","46143","GUARDSMAN_II","2123220","1","","3","3","27"
"CU23-2-2123230","46148","NY0651","2123230","1","","3","3","26"
"CU23-2-2123240","46012","VERNAL","2123240","1","","3","3","25"
"CU23-2-2123250","45955","SW5210","2123250","1","","3","3","24"
"CU23-2-2123260","46056","EZRA","2123260","1","","3","3","23"
"CU23-2-2123270","46076","SEEDWAY_9558","2123270","1","","3","3","22"
"CU23-2-2123280","46102","REGEN","2123280","1","","3","3","21"
"CU23-2-2123290","45958","HI-GEST_360","2123290","1","","3","3","20"
"CU23-2-2123300","46063","SW3407","2123300","1","","3","3","19"
"CU23-2-2123310","46075","SW4602Z","2123310","1","","3","3","18"
"CU23-2-2123320","46061","PERSIST_III","2123320","1","","3","3","17"
"CU23-2-2123330","46065","SW315_LH","2123330","1","","3","3","16"
"CU23-2-2123340","46125","N-R-GEE","2123340","1","","3","3","15"
"CU23-2-2123350","45971","NY2003","2123350","1","","3","3","14"
"CU23-2-2123360","46040","LIGHTNING_BOLT","2123360","1","","3","3","13"
"CU23-2-2123370","46090","PLUSS_III","2123370","1","","3","3","12"
"CU23-2-2123380","46111","NY1517","2123380","1","","3","3","11"
"CU23-2-2123390","45969","NY1614","2123390","1","","3","3","10"
"CU23-2-2123400","46049","NY0465","2123400","1","","3","3","9"
"CU23-2-2123410","46088","ALGONQUIN","2123410","1","","3","3","8"
"CU23-2-2123420","46051","FSG_415BR","2123420","1","","3","3","7"
"CU23-2-2123430","46046","LANDER","2123430","1","","3","3","6"
"CU23-2-2123440","46115","ONEIDA_VR","2123440","1","","3","3","5"
"CU23-2-2123450","46070","WL_358LH","2123450","1","","3","3","4"
"CU23-2-2123460","46149","FSG_421LH","2123460","1","","3","3","3"
"CU23-2-2123470","45961","AMERISTAND_427_TQ","2123470","1","","3","3","2"
"CU23-2-2123480","45989","WL_349HQ","2123480","1","","3","3","1"
"CU23-2-2124010","46067","VERNAL","2124010","1","","4","4","51"
"CU23-2-2124020","46154","WL_349HQ","2124020","1","","4","4","50"
"CU23-2-2124030","45962","SEEDWAY_9558_SBR","2124030","1","","4","4","49"
"CU23-2-2124040","46157","REGEN","2124040","1","","4","4","48"
"CU23-2-2124050","46155","VERNAL","2124050","1","","4","4","47"
