Trait,Genetic1 ,Residual 2,Genetic ,Spatial ,Residual 
yld2-138,-0.796,0.504,0.843,0.771,0.801
yld2-145,-0.347,0.506,0.916,0.719,0.764
yld2-152,0.981,0.799,0.952,0.894,0.601
yld3-160,-0.936,-0.604,0.695,0.446,0
yld3-165,-0.324,0.37,0.837,0.656,0.815
yld3-173,0.214,0.108,0.973,0.834,0
yld3-179,0.829,0.686,0.953,0.839,0.701
yld4-187,-0.715,-0.395,0.807,0.085,0
yld4-192,-0.14,0.516,0.396,0.735,0
yld4-201,0.857,0.413,0.956,0.663,0.816
yld4-206,0.992,0.926,0.936,0.976,0.741
yld5-215,-0.737,-0.083,0.776,0.311,0
yld5-223,0.812,0.223,0.943,0.515,0.822
yld5-228,0.831,0.483,0.951,0.604,0.823
yld5-242,0.892,0.766,0.977,0.53,0.809
yld6-257,-0.673,0.051,0.949,0.116,0.945
yld6-263,0.97,0.894,0.929,0.828,0.81
yld6-278,0.419,0.532,0.94,0.582,0.732
yld7-293,0.977,0.291,0.969,0.719,0.874
yld7-299,0.971,0.442,0.966,0.78,0.821
yld7-307,0.956,0.396,0.917,0.719,0
