"","Harvest","Rep","Model","Value"
"1","YLD2",1,"Base",0.78
"2","YLD2",1,"AR",0.64
"3","YLD2",1,"RR",0.96
"4","YLD2",2,"Base",0.79
"5","YLD2",2,"AR",0.86
"6","YLD2",2,"RR",0.91
"7","YLD2",3,"Base",0.8
"8","YLD2",3,"AR",0.78
"9","YLD2",3,"RR",0.87
"10","YLD2",4,"Base",0.9
"11","YLD2",4,"AR",0.89
"12","YLD2",4,"RR",0.82
"13","YLD3",1,"Base",0.61
"14","YLD3",1,"AR",0.51
"15","YLD3",1,"RR",0.83
"16","YLD3",2,"Base",0.77
"17","YLD3",2,"AR",0.77
"18","YLD3",2,"RR",0.78
"19","YLD3",3,"Base",0.76
"20","YLD3",3,"AR",0.76
"21","YLD3",3,"RR",0.76
"22","YLD3",4,"Base",0.88
"23","YLD3",4,"AR",0.91
"24","YLD3",4,"RR",0.88
"25","YLD4",1,"Base",0.74
"26","YLD4",1,"AR",0.48
"27","YLD4",1,"RR",0.79
"28","YLD4",2,"Base",0.69
"29","YLD4",2,"AR",0.84
"30","YLD4",2,"RR",0.94
"31","YLD4",3,"Base",0.8
"32","YLD4",3,"AR",0.82
"33","YLD4",3,"RR",0.87
"34","YLD4",4,"Base",0.86
"35","YLD4",4,"AR",0.87
"36","YLD4",4,"RR",0.92
"37","YLD5",1,"Base",0.74
"38","YLD5",1,"AR",0.76
"39","YLD5",1,"RR",0.99
"40","YLD5",2,"Base",0.83
"41","YLD5",2,"AR",0.83
"42","YLD5",2,"RR",0.99
"43","YLD5",3,"Base",0.88
"44","YLD5",3,"AR",0.82
"45","YLD5",3,"RR",0.99
"46","YLD5",4,"Base",0.85
"47","YLD5",4,"AR",0.86
"48","YLD5",4,"RR",0.99
"49","YLD6",1,"Base",0.94
"50","YLD6",1,"AR",0.83
"51","YLD6",1,"RR",0.88
"52","YLD6",2,"Base",0.93
"53","YLD6",2,"AR",0.93
"54","YLD6",2,"RR",0.92
"55","YLD6",3,"Base",0.82
"56","YLD6",3,"AR",0.9
"57","YLD6",3,"RR",0.94
"58","YLD6",4,"Base",0.95
"59","YLD6",4,"AR",0.96
"60","YLD6",4,"RR",0.96
