"Germplasm","yld1","yld2","yld3","yld4","yld5","yld2_23","yld3_23","yld4_23","yld6_23"
"AMERISTAND_803T",0.454713104449957,0.165235404832544,0.490081602868491,0.0894678768485901,0.185372525273018,0.326330177119178,0.511099711845949,0.126030281543822,0.733598967587357
"MESQUITE",0.18779298546101,0.183504704661304,0.343473378943956,0.108989664455846,-0.0399360060895424,-0.0195973293591166,0.0196229239829128,0.0515823693242066,-0.0255818480780162
"NM1701PAR",0.58925754689744,0.423940232530041,0.454880424569108,0.132535354739555,0.381706443558375,0.264566593414987,0.1738522928782,-0.0862006921345533,-0.216443847396264
"NM1702PAR",0.411890323857515,0.117694615422889,0.349218238277595,0.0274002371274454,0.0114070335889252,-0.441169391149743,-0.357872043231451,-0.12055703394872,-0.0558866332154906
"NM1703PAR",0.126961640566569,0.16862126291306,0.165246400151685,0.0594326355988426,0.261430996260141,0.102020730075137,-0.0490427499916048,0.102687761189227,0.14497531946964
"NM1704PAR",0.375786925564986,0.2791905907595,0.282833900473662,0.0791673479964147,0.512078901501654,0.018897504919354,0.0950184867552981,0.0037752026526999,0.00724616200310363
"NM1705PAR",0.170324729879695,0.269112133417665,0.563919565095059,0.0851752373573925,0.00873728446972578,-0.285592247584677,0.23448995539735,0.181237686921678,0.0991692100260329
"NM170506PAR",0.651101804184723,0.235590867139111,1.01421422202101,0.124453415415665,0.630959646289731,0.933086212990737,1.41410869287699,0.270181453061598,0.930226264766605
"NM1712PAR",-0.307420272814296,-0.225990544519376,-0.462456562339366,-0.147410021669382,-0.786153426601593,-0.941542537235633,-1.40624543415914,-0.528944164232675,-1.43344915287038
"NM1713PAR",-0.526039142521775,-0.26560332834737,-0.60005814844589,-0.117219148481596,-0.903637290584773,-1.13298509009112,-1.19173482524206,-0.451901962308913,-1.5130139104528
"NM1715PAR",-0.885732422487217,-0.282681348471485,-0.657524260464169,-0.169021154270497,-0.731795070032321,-1.66798466519191,-1.64371012131863,-0.493294995395385,-1.72137760962769
"NUMEX_BILL_MELTON_CA_2019",0.771027074818372,0.453896891768221,-0.0253504077127844,-0.00166256636370546,0.0943448320665141,0.53430913864815,0.0382795171636963,-0.0269351402353501,-0.0935871741180572
"SW_1011",0.119655012559806,0.235202634070317,0.248655818162428,0.108253991125076,-0.0402531932351909,0.00658809960485467,-0.00968700690780138,0.0256402049134494,0.230145583129347
"SW_8421S",0.150188434482535,0.188396874789585,0.583753449512287,0.126707426783322,0.433511292888071,0.0945286125639138,0.670433779930193,0.286607300794402,0.831597040022933
"SW_8888",-0.68544980944722,-0.227172953290912,-0.340276843052327,-0.0802069258547598,-0.664771632340251,-0.215377869122883,-0.476805794210175,-0.202794300106499,-0.471077208811872
"SW_9720",0.127934757392667,0.231519687169957,0.175616233589324,0.167653634403895,-0.00930398113232211,0.11752036308946,0.158236596477654,0.185112057835286,0.336113143162496
"SW_9812",0.619693171883025,0.315422300683064,0.639449709931081,0.129609056783813,0.0885761693206942,0.561239678273851,0.65824322699855,0.0902320748585604,0.737838497929439
"SW_9813",0.347280951441569,0.145159206257997,0.33134039466707,0.0790356674993845,0.169462563831854,0.0333140671803542,0.151444267890472,0.159234326286619,0.460386852586482
"DONA_ANA",0.19127451498764,0.00403175876425251,0.356480296891211,0.076921549561438,0.613059606462212,1.25133229554486,1.41722672727324,0.323245971832752,1.21902875431445
"AFX_779",0.0934637657705936,-0.0423270352937858,0.128413725909324,-0.0490443910725811,0.478318216265683,0.213288324887874,0.43682062605028,0.106656127023047,0.197120954285832
"AFX_149092",-0.187681346046126,0.0807808455941968,0.290187271385706,0.040290964443704,0.640582994191307,-0.104158182814065,0.615177456679028,0.355434952393169,1.13635728454711
"NUMEX_BILL_MELTON_FG2011",-0.43083387518491,-0.165434916181768,-0.688968398602917,-0.117763895315877,-0.485128902667713,-0.354267552518623,-0.356867270247655,0.106656127023047,-0.579778232473499
"TMA_990",0.556973274441402,-0.00785682864515053,0.170985711561004,0.122754369535659,0.295770341099355,1.25220416827604,0.677602347399091,0.130731497220156,1.61177320480282
"NUMEX_BILL_MELTON_FG2012",0.260631129553508,-0.0324784048227474,-0.135532585131087,-0.0421724406482514,0.234921049377247,0.694267882012024,0.178203221638593,0.0344300164317213,-0.417441088971549
