"plotNumber","germplasmName","replicate","rowNumber","colNumber","name","value","trait","doy","harvest","GDD_sum","loc","year"
338,"NUMEX_BILL_MELTON_CA_2019",4,5,7,"GNDVI_72.5",-0.0149638220981445,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
339,"NUMEX_BILL_MELTON_CA_2019",4,5,8,"GNDVI_72.5",-0.0219377746410581,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
340,"AFX_149092",4,6,8,"GNDVI_72.5",-0.0318467860682035,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
341,"NM1713PAR",4,6,7,"GNDVI_72.5",-0.0522301931081409,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
342,"NUMEX_BILL_MELTON_FG2011",3,6,6,"GNDVI_72.5",-0.0461906041690603,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
343,"SW_8888",3,6,5,"GNDVI_72.5",-0.0276299597495459,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
344,"NM1705PAR",2,6,4,"GNDVI_72.5",0.0202293594641476,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
345,"DONA_ANA",2,6,3,"GNDVI_72.5",0.0294651019389785,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
346,"AFX_149092",1,6,2,"GNDVI_72.5",0.0212280796040126,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
347,"DONA_ANA",1,6,1,"GNDVI_72.5",-0.0263445294281248,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
348,"NM170506PAR",1,7,1,"GNDVI_72.5",-0.0135416758510939,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
349,"NUMEX_BILL_MELTON_CA_2019",1,7,2,"GNDVI_72.5",0.0343333625824729,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
350,"SW_8421S",2,7,3,"GNDVI_72.5",0.0353090268537176,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
351,"NM1713PAR",2,7,4,"GNDVI_72.5",-0.0145802700762712,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
352,"SW_9720",3,7,5,"GNDVI_72.5",0.0092585394169796,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
353,"AMERISTAND_803T",3,7,6,"GNDVI_72.5",-0.0291845602283621,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
354,"TMA_990",4,7,7,"GNDVI_72.5",0.0396728825698117,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
355,"NUMEX_BILL_MELTON_FG2011",4,7,8,"GNDVI_72.5",-0.0503202589041787,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
356,"NUMEX_BILL_MELTON_CA_2019",4,8,8,"GNDVI_72.5",-0.0431455460199355,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
357,"NUMEX_BILL_MELTON_CA_2019",4,8,7,"GNDVI_72.5",0.00322516011016073,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
358,"NUMEX_BILL_MELTON_CA_2019",3,8,6,"GNDVI_72.5",-0.0177571826513171,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
359,"NUMEX_BILL_MELTON_CA_2019",3,8,5,"GNDVI_72.5",0.00182527762156649,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
360,"NUMEX_BILL_MELTON_CA_2019",2,8,4,"GNDVI_72.5",0.033405616925998,"GNDVI",73,"1",89.4,"NMSU-ET","2023"
