Trait,Genetic1 ,Residual 2,Genetic ,Spatial ,Residual 
yld2-131,-0.983,0.274,0.263,-0.127,0.672
yld2-145,0.509,0.528,0.777,0.429,0.608
yld2-152,-0.57,0.557,0.845,0.718,0.672
yld3-160,-0.911,-0.005,0.681,0.713,0.576
yld3-165,-0.314,0.775,0.793,0.782,0.776
yld3-173,-0.099,0.116,0.879,0.861,0
yld3-179,NA,NA,0.959,0.68,0.805
yld4-192,0.126,0.652,0.724,0.76,0.633
yld4-201,0.111,0.749,0.809,0.793,0.76
yld4-206,0.31,0.748,0.85,0.784,0.639
yld5-263,0.956,0.873,0.935,0.927,0.61
yld5-278,0.952,0.864,0.967,0.882,0.648
yld6-293,0.933,0.599,0.95,0.7,0.73
yld6-299,0.935,0.362,0.96,0.56,0.58
yld6-307,NA,NA,0.92,0.72,0.68
yld7-299,0.971,0.442,0.966,0.78,0.821
yld7-307,0.956,0.396,0.917,0.719,0
