"Germplasm","Rep","Plot","Row","Range","yld2","yld3","yld4","yld5","yld6","yld7","GNDVI_73","GNDVI_88","GNDVI_95","GNDVI_101","GNDVI_107","GNDVI_117","GNDVI_131","GNDVI_138","GNDVI_145","GNDVI_152","GNDVI_160","GNDVI_161","GNDVI_165","GNDVI_173","GNDVI_179","GNDVI_187","GNDVI_192","GNDVI_201","GNDVI_206","GNDVI_215","GNDVI_223","GNDVI_228","GNDVI_237","GNDVI_242","GNDVI_257","GNDVI_263","GNDVI_270","GNDVI_278","GNDVI_283","GNDVI_293","GNDVI_299","GNDVI_307"
"SW_8421S",1,100,1,1,5.5,4.88822534688889,3.5,4.4,4.8,3.85,0.070989934375652,0.0962455802771182,0.153274921449667,0.183160783337612,0.222297459130941,0.233950792069058,0.0665444589942802,0.101328611865837,0.312590523641739,0.349758811942909,-0.0175882122192969,0.0255341087461184,0.0900460044429422,0.227991718388236,0.268797100033474,0.0586499538053729,0.0619076767572968,0.167787879413177,0.161698614792604,0.00409910217988488,0.12058552714888,0.140228799031329,0.304291991805808,0.322002505508648,0.0673501559319571,0.179156197855767,-0.00461063003106091,0.329412013278908,0.0174164132518563,0.243612833686178,0.19839118933518,0.347261048812221
"SW_1011",1,101,1,2,4.85,4.90053046244444,3.6,4.3,4.4,3.25,0.0583448728749983,0.0731605275109136,0.129993247637545,0.164545511768602,0.203978657209914,0.192513118946478,0.0578964261562656,0.0677192080356383,0.269327407202038,0.307854697005471,-0.0211460904887795,0.0337655196433366,0.063703026727897,0.214468069438523,0.255181514566975,0.0704816063994753,0.055875782361211,0.167659364806136,0.179079708041732,-0.00181140397092141,0.135674398884287,0.167252738477975,0.312186605889549,0.335230984808443,0.0684162489523993,0.171366684041928,0.265417238241007,0.32561287554151,0.0150215046217733,0.217516823728286,0.153359573906068,0.310434334434757
"SW_9813",2,102,1,3,3.85,3.68018661422222,2.85,4.35,4.65,3.6,0.0392812749696644,0.0243862885964715,0.100572583799957,0.12097644428733,0.200853379610209,0.161207979854415,0.0328742976750143,0.0103837132978349,0.207551719878675,0.228909108445925,-0.0219490821010521,0.0366293588804871,0.0207270102122393,0.172209317403776,0.173008412708129,0.0607895248476669,0.0380757917893053,0.159359355641858,0.144779572441821,0.00795372972118852,0.148325888857564,0.151352190517421,0.314679454610828,0.347325307751877,0.103690378070813,0.185483015641172,0.199939088441227,0.341753832728546,0.0191630917324928,0.235666621181683,0.162210308135012,0.317582287122217
"DONA_ANA",2,103,1,4,4.8,4.42719823411111,3.5,4.25,4.2,3.1,0.085998801348187,0.0841324284609388,0.193274183920608,0.178227880878765,0.263033803958777,0.218420947802422,0.0547716097238869,0.0579891764928697,0.255837671852531,0.275343825303152,-0.0113839274582651,0.0371290539112156,0.0543740717289083,0.221489703393445,0.219996509316974,0.0591367194236941,0.0709091142482485,0.20433430897226,0.197378811890677,0.0275209656610454,0.186985105272065,0.178774253094181,0.344784818547175,0.365510919316797,0.121879471979182,0.212809533177849,0.269764068272444,0.350016198862279,0.0187492929304777,0.250923495763377,0.1853441356258,0.335709243828958
"NM1715PAR",3,104,1,5,2.3,1.65812404877778,1.25,1.95,2.55,1,0.00164145927959275,-0.00366133433185342,0.119707679351641,0.102154745398859,0.188175401978136,0.137873623314162,0.0419616065824173,-0.0181408428769045,0.119188089308654,0.107645983458653,-0.0241871113162689,0.0344670899684326,-0.0134334618584679,0.0847572755789539,0.0489827918011309,0.0429274118134463,-0.00899715135977389,0.0833010604640786,0.0460895347810768,-0.00764583722869392,0.0511699610084647,0.076245958689572,0.209316908357991,0.235217748209832,0.0605817698630476,0.112655424922217,0.212214247846325,0.260080693414463,0.0299683590021122,0.136070662685092,0.064726797637568,0.199242518230876
"NM170506PAR",3,105,1,6,4.25,4.26144333144444,3.15,3.9,4.45,2.95,0.0502088178365668,0.0269553531119388,0.160732250855534,0.115535257224582,0.21421727225013,0.184993860773758,0.0433721539235043,0.0335253674589568,0.215263590913476,0.243933566637404,-0.00889766109081286,0.0235033653097192,0.0454122553420502,0.213024511465394,0.229664974379104,0.0756052511263853,0.0685747131206493,0.195485744584678,0.206541884385294,0.0478495702188322,0.167706403700787,0.161571244056142,0.331556417563771,0.352415566391442,0.104741947072509,0.183101082422572,0.222029204703829,0.351482806790501,0.0253447900057893,0.239153647821563,0.159431243480961,0.314169157231381
"NM1704PAR",4,106,1,7,4.7,4.50088565122222,3.3,3.7,4.2,2.8,0.05142923808309,0.0328466247051749,0.148075448762929,0.139616517051407,0.236809872080074,0.194306966147399,0.0320537247801689,0.0415111418534412,0.253064518464028,0.288065709133265,-0.022395359395226,0.0193972217735793,0.0311986783264163,0.2331465193811,0.264171074447027,0.0256521749884153,0.0535665478807416,0.194247800461948,0.22551818453026,0.0108200099828089,0.160796994417904,0.160705966741748,0.327305139571621,0.353531649279239,0.103601682241183,0.18281575565622,0.0561831731966596,0.354079534977524,0.00607943388545969,0.219877547642452,0.161050434817056,0.32184523128827
"NM1712PAR",4,107,1,8,3.05,3.07337277522222,2.05,2.5,2.9,1.65,0.00269090368170247,0.000995821670485855,0.0806139638348767,0.096208684459996,0.193112844581831,0.160402868420469,0.0279212878015148,0.0160852724814826,0.209873158885617,0.234033142756956,-0.0290689695048286,0.0148479746636088,0.0161907932400825,0.190823350589324,0.19690835755679,0.00152672565697975,0.0296059339306855,0.161085231362815,0.172509941037056,-0.00945187895197234,0.131804468546494,0.120709937491397,0.282937752725236,0.301293201842844,0.0710191012123952,0.139178856607153,0.104951381322502,0.310828499750329,-0.000693537181149309,0.17008721503114,0.108862550947086,0.242757134400308
"NUMEX_BILL_MELTON",4,108,2,8,4.6,4.27094769322222,3.3,4,4.15,2.8,0.0250393212071527,0.0196600104742697,0.118832680258529,0.129342216935938,0.227928071975734,0.280502666368864,0.0358100537697568,0.0297306355132695,0.236328515547613,0.274523882562132,-0.0321286590013181,0.00953269805832213,0.0199001393625111,0.185269594266073,0.229822476853631,-9.60180512625227e-05,0.00441448913105103,0.171340512476868,0.204630312509034,-0.0107166652333472,0.165163139222338,0.160221289912915,0.334679533265197,0.326080703397142,0.0813739132737585,0.16508482839061,0.152364699840309,0.346166151043718,-0.00616696951681343,0.196207505158412,0.141175439328342,0.289151379947991
"NUMEX_BILL_MELTON",4,109,2,7,4.65,4.31781635122222,3.15,3.9,4.15,2.85,0.0317099431600051,0.00518304686589854,0.121536897732414,0.116265613739406,0.206587531964005,0.211350852227101,0.031201069579055,0.0263115261869956,0.223027616730284,0.260580200578273,-0.0292864759774865,0.00720422383261755,0.0151515782022641,0.185942913392752,0.225061239098435,0.0227305572786025,0.0136211663840882,0.160061156124386,0.204377546351962,0.00171738052397792,0.157505293048547,0.157055083703033,0.315954467342835,0.314017021755201,0.0778247560890315,0.180955782598949,0.139732458242984,0.343378447712302,0.00306725809932175,0.192715383975222,0.136835800654672,0.304959707916844
