"Germplasm","Plot","Rep","Row","Range","ndvi_145","ndvi_152","yld2","ndvi_160","ndvi_165","ndvi_173","ndvi_179","yld3","ndvi_192","ndvi_201","ndvi_206","yld4","ndvi_263","ndvi_270","ndvi_278","yld5","ndvi_299","ndvi_307","yld6"
"SW_1011","300","1","1","1",-0.0134663604208805,-0.0222420482766644,-0.606900354754276,-0.0147317362344218,-0.0109522102286735,-0.0462450279725282,-0.0639833591248544,-2.59008478867834,0.00566270714058153,0.0118087752783076,0.0337060231470247,-0.611951851182391,0.0175716800199563,-0.000299395022491999,-0.0754427663965304,-2.0144221614289,0.0121569829949819,-0.0536187941502143,-0.884193085782037
"SW_8421S","301","1","1","2",-0.0200127840982145,-0.0232928204249717,-0.851147524446816,-0.110866456648095,-0.0151630118564902,0.0678787787407647,0.0403242104954571,-0.261466882851522,-0.0171280696238606,-0.0274411712646788,-0.0220379247422414,0.192236752206691,0.00547465688957993,-0.0032632656396182,0.0622805437856853,1.37429820578085,0.0281779085067958,0.0198983982217352,0.342358271588303
"NM1715PAR","302","2","1","3",-0.0182404838971524,-0.0235604511772914,-0.723078140427246,-0.133263911487603,-0.0169862869247017,0.062405806893988,0.0334579369880784,0.196267434587863,-0.00680256778781648,-0.0195371303023407,-0.00919608244523722,0.366140908993525,0.00232568373978243,-0.000353909353690355,0.0460576060236699,0.924717956493873,0.0276495738827444,0.0219180650730683,0.422984843275454
"NM170506PAR","303","2","1","4",-0.0264971268724815,-0.0177754169425785,-1.01524099145074,-0.0931604886504222,-0.0172520331141356,0.0458893358842711,0.0300631000352629,-0.39123134256788,-0.0250016504111504,-0.0145398224263551,-0.0272500659896069,0.214287971328206,0.00248106604971422,-0.0060100962871297,0.031540413008647,0.695180062907466,0.0280270250412845,0.0126212098064286,0.167842068996691
"SW_9813","304","3","1","5",-0.0237605072183829,-0.00827078246559299,-0.727173936934424,-0.0540631584698876,-0.0236819442289358,0.0288538550058829,0.0359530988892674,-0.206748195963741,-0.0384980606608071,-0.0282942667259111,-0.0208346294956362,0.109775567126506,-0.0024746289767076,-0.0135510654622176,0.00426857201481002,0.281106755512429,0.0246950099530631,0.00520761104896752,0.305464418789302
"DONA_ANA","305","3","1","6",-0.0196288909949422,0.00273899422548875,-0.940802718598379,-0.115250958118436,-0.025249491821901,0.0453025478660726,0.0210763429200419,-1.06841755044577,-0.0377749846594026,-0.0362448654653605,-0.0172575045085053,-0.256354045600726,-0.00201238063239733,0.00144118811154918,-0.0164836656940928,-0.296979223170159,0.0103455090507743,-0.00199521230413325,0.0335177542821856
"NM1712PAR","306","4","1","7",-0.011151881939354,0.0181318352361526,-0.584785969424383,-0.160890014352469,-0.0262065691236184,0.0384820716563325,0.0079733669430134,-0.883917014824989,-0.00543017563092004,-0.0170248301879777,0.0100585395248632,-0.441354060366309,-0.00831546588344902,0.0149101069129682,-0.0258882456918237,-0.45077532893266,0.00473413585260715,-0.00767916788190342,-0.0481024339263325
"NM1704PAR","307","4","1","8",-0.00617882071678725,0.0210099552704289,-0.616383725757173,-0.121081493176453,-0.0238043539581942,0.0444863505407217,0.0106032261767667,-1.38953198079032,-0.0681941572792643,-0.0314016517927103,-0.0590974269838512,-0.381496188675354,-0.00873198517060628,0.0134720934123549,-0.0338821573512863,-0.818560100112931,0.00610723446498164,-0.018982934050823,-0.221019022321027
"NUMEX_BILL_MELTON_CA_2019","308","4","2","8",-0.0137605901387445,-0.0177916195227615,-0.202805844645746,-0.00183572714300008,-0.0201359865347685,-0.0684943222001037,-0.0800919649563911,-2.78307118458713,0.0206364666328491,0.0183732498787406,0.0347038059561607,-0.466767338434104,0.0235390592699617,-0.00664250760386154,-0.0541584809128135,-1.8561377318456,0.0132465140221335,-0.0354560329717977,-0.902015209769214
"NUMEX_BILL_MELTON_CA_2019","309","4","2","7",-0.02313089408316,-0.0212996857214571,-0.452719454300493,-0.101012300253991,-0.0231091315342528,0.0547688579822211,0.0431405774929285,0.606714242908774,0.000431160055867971,-0.0172398955289324,-0.0456341716069761,0.623546568935002,0.00877967880536898,-0.0118184424673072,0.0893080001080114,1.98689441956718,0.0296220760452545,0.0401878048920049,0.57794773337124
"NUMEX_BILL_MELTON_CA_2019","310","3","2","6",-0.023997459695058,-0.0228676757129335,-0.373014974139915,-0.048484289757099,-0.0213330845692922,0.0306808810078374,0.0246820370816909,0.854211481957977,0.00215479393037846,-0.00330233242346705,-0.0260891089317694,0.720276470462587,0.0049950037630151,-0.0120354530051658,0.0547923657948196,1.13939942159351,0.029892851749171,0.0363348406243777,0.646923124422372
"NUMEX_BILL_MELTON_CA_2019","311","3","2","5",-0.0337927321008423,-0.0219844100761264,-0.784973144049259,-0.0352767911312109,-0.0164572335562388,0.0149555936455104,0.011097443983727,-0.0915971328037295,-0.0135972251621366,-0.00231795954913475,-0.0425330138693925,0.366684090939062,0.000567511826131631,-0.0207420433654598,0.0406385476833111,0.568362638998314,0.0301213617061204,0.0286570447110453,0.329504322063692
"NUMEX_BILL_MELTON_CA_2019","312","2","2","4",-0.0294195511801798,-0.014203381328579,-0.5279647842221,-0.0557204817945973,-0.0158289239758895,0.00302367863465163,0.0182249518847625,-0.0986478906439199,-0.0119950547582998,-0.00408196635902618,-0.0292221950126156,0.269733732686149,0.000786736711133059,-0.0273359938700123,0.0185703763649602,0.234175052341385,0.0273563038393771,0.020956090116987,0.361674131561915
"NUMEX_BILL_MELTON_CA_2019","313","2","2","3",-0.024900063806638,-0.00665320184892736,-0.683977588815191,-0.121984166890503,-0.012379275121469,0.0191414896846067,0.004797063747958,-0.600303238380263,-0.00570935974073516,-0.00517895150875224,-0.0271723175246827,0.0844437849786871,-0.00330606375981208,-0.015243855395093,-0.0016077956211272,-0.119142229337853,0.0132577414787965,0.0129472770630679,0.148069581550846
"NUMEX_BILL_MELTON_CA_2019","314","1","2","2",-0.0167332485049455,0.0120248073361893,-0.162566437564655,-0.117166704520154,-0.00946008569651312,0.0198499594202496,0.00913375569071156,0.00509194313504594,-0.00223708174705825,0.00483687478941688,-0.00663579401493412,-0.0633685749594522,-0.00519330338378925,-0.00168150737895338,-0.0123761705943461,-0.00245002471135446,0.00874241396433842,0.0113999048512354,0.242938207649052
"NUMEX_BILL_MELTON_CA_2019","315","1","2","1",-0.0119458150261281,0.0173953444172139,-0.238974640502438,-0.125478123151589,-0.00705219623815451,0.0282210819032866,0.0141070218515333,-0.42680607736317,-0.0698298150012276,-0.0119986850787639,-0.0684536066210714,-0.0560562248583851,-0.0070396265727836,-0.00126618668233845,-0.0070400428931411,-0.125912492682148,0.0104250170194925,0.00320446392486425,0.0867443724974798
"NM1703PAR","316","1","3","1",-0.00709717138148624,-0.00709359036419355,0.115018440118391,0.0518999342815325,-0.00527464298338871,-0.0501142550980232,-0.0697788496837783,-2.35919890068245,0.0193119595489419,0.0187766137495574,0.0268098319841516,-0.27028029074962,0.017339286211996,-0.0119202605406515,-0.0381777148979332,-1.60058416903251,0.012200977471982,-0.0181367867137853,-0.517905606825609
"AFX_779","317","1","3","2",-0.0168436781109592,-0.0103098628401277,-0.234540616068641,-0.0536290855985777,-0.00333967821464175,0.0401806531473674,0.040241111618418,1.47632752937329,0.0080407181681108,-0.00360973601482051,-0.0459688195840358,1.10511575963623,0.00443689111363936,-0.0191575409394948,0.0929796482161518,2.19877249182695,0.0286940380835683,0.050089888776704,0.857946885894598
"NM1703PAR","318","2","3","3",-0.0175775903518951,-0.00832946595485616,-0.224204880358111,0.0286637155713211,-0.000432152770133679,0.0143608982664349,0.0299538510347389,1.53203104393564,0.0087065464117079,0.014146217033182,-0.00443989480417746,1.17932563779262,0.00364960210873682,-0.0232208933532085,0.0547019917153333,1.23140269213894,0.0298970467392919,0.0445267995988238,0.863072569915854
"SW_9720","319","2","3","4",-0.0265151931270977,-0.00961402650373515,-0.548812945803144,0.0489891360963401,0.0042266926641414,-0.00492552132253023,0.0118738201830813,0.548864313083715,-0.0123977997887018,0.00477617471936872,-0.0358751240911749,0.707207909383592,-0.000868979379353843,-0.0340732133647337,0.0402814541261898,0.737741305124251,0.0307903958529264,0.0399306740888341,0.644039789228218
"SW_1011","320","3","3","5",-0.0220895270557568,-0.00698028676634675,-0.46918482020821,0.00389855926721366,0.00389100166003656,-0.0238224520136578,0.00373469521387203,0.140529600419558,-0.000407057655272218,0.0086676120813407,-0.022529064433811,0.35908369910914,-0.00209851758233751,-0.038844640702087,0.0224542881554367,0.355339210868826,0.0288639529330607,0.0327654067826753,0.450289940634215
"NM1715PAR","321","3","3","6",-0.0188732917562968,-0.00820186092623495,-0.694859393717851,-0.0567815149331307,0.00334044463066495,-0.0197350511227929,-0.00931012848337098,-0.0845780301006588,-0.00792737506036098,0.00651712910271491,-0.036792194455917,0.23256974465313,-0.00220976724916504,-0.0281664266084499,0.0174114179386048,0.13586670139331,0.0153510493781822,0.0275194099438298,0.242586809860632
"AMERISTAND_803T","322","4","3","7",-0.0123386587263627,0.00530082413352137,-0.321558376908531,-0.0510348826255487,0.00291554973285853,-0.0110598425742599,0.00237619758939985,0.388077472110695,-0.00900454960702877,0.00942183427002712,-0.0197439314933277,0.184663118509606,-0.00546871043514264,-0.0143888652153476,0.0170778427704248,0.196229721560664,0.0122857503839743,0.0351783729182155,0.264081876158335
"NUMEX_BILL_MELTON_CA_2019","323","4","3","8",-0.00925076107864232,0.00912982936516356,-0.626595364444417,-0.0507572349765431,0.00261668085499699,-0.0108364477832743,-0.00133592509035626,-0.595935845829466,-0.0718140688587668,-0.00956103210380572,-0.0539280879166547,0.110050530909417,-0.00661627054143437,-0.0128297071337858,0.00711355024385129,-0.299421164479079,0.0138584454032306,0.0224355617690778,-0.0511487642876635
"AFX_779","324","4","4","8",-0.00629088518972882,0.00231427169999145,0.589457589148048,-0.00283714439608762,-0.00851604724625049,-0.0161390230246701,-0.00537042595796354,-0.657569371954147,0.00686937213171938,0.0121674451171143,0.00406615823702011,-0.210692570874228,0.00550694097030334,-0.0076023847951077,-0.00413643112350967,-0.474380671538727,0.0177011157359591,0.0035352184020399,0.229484051505162
"NM1702PAR","325","4","4","7",-0.0182978990391598,-0.00993800463274736,-0.133269966048717,-0.00206092795743629,-0.0119256913694068,0.0194648019903348,0.0371695100116342,1.61056373002472,0.0050842129147915,-0.00312655086673586,-0.0583798392453607,1.0052283560749,-0.00641210231990672,-0.0141687382064999,0.096797762300155,2.30392664145745,0.0326992756046573,0.0495858584435925,0.94799914542336
"NUMEX_BILL_MELTON_CA_2019","326","3","4","6",-0.0178770878697126,-0.0100761446264889,-0.187093475300468,0.0744107276746705,-0.0116514353406674,-0.000374038504792902,0.0227560673401943,1.37864634231019,0.00859592309192473,0.0116622378223778,-0.0254124238449001,1.1196234919501,-0.00258307287247812,-0.0168011977679211,0.0394938191347312,0.918127114202872,0.0338612529114415,0.035349839260235,0.7266218052394
"AFX_149092","327","3","4","5",-0.0244625789174118,-0.00994351241273544,-0.300661580740265,0.0949912069806217,0.00156897535345228,0.000239305260224108,0.0159259392330325,1.1629524480629,0.00185573033092956,0.0135222544785827,-0.0140365664782535,0.836176507949583,0.000238792197092085,-0.0271772094311317,0.0345051409635723,0.881474581671261,0.0366426902506103,0.0367334085612206,0.845176083840612
"AFX_149092","328","2","4","4",-0.0188659806599258,-0.00622477137614408,-0.11227215805002,0.0540179398565498,0.00142765357151055,-0.0201800177444513,0.00923847568959409,0.388668359736027,0.00071985770435254,0.0112858839506773,-0.0178250994340278,0.310523372197238,0.00326167090277995,-0.035403363185002,0.0169660492292965,0.386826620508666,0.0359082644729977,0.0286387139284937,0.539761905319037
"NUMEX_BILL_MELTON_FG2011","329","2","4","3",-0.0171358259361106,-0.0131299172470526,-0.316938018118091,-0.00660927587243497,0.00226862809430583,-0.0298961601181377,-0.0187114951890188,0.0659976980000358,-0.0048906200967911,0.00519493789462522,-0.0236943844331382,0.354625702721949,0.00384616799370886,-0.0264049587833425,0.0162421156766337,0.317369451807267,0.0231220153616884,0.0248076816607462,0.376347805641549
"NM1704PAR","330","1","4","2",-0.0130160608497567,-0.00504308108289437,-0.117709078441966,0.0355807259338598,0.000595217976013487,-0.0223978023078281,-0.0141319454244735,0.198310249242842,-0.00775582110017698,0.00579613124653328,-0.0246128335267159,0.266661841682241,-0.00484365453791257,-0.0185839943844908,0.0214510869843833,0.474819352557615,0.020328763600836,0.0301160589313057,0.385208190150641
"TMA_990","331","1","4","1",-0.0115271778387542,0.00253224670739,-0.272103944001459,0.0415244975767145,0.000332951319248572,-0.0130882047522709,0.00803788678094546,-0.00855355614728395,-0.0562855071404038,-0.00770195484601521,-0.0307440336615477,0.372008322766928,-0.00239432983724296,-0.0197331755932572,0.0137901221895489,0.263632906347584,0.0212202140920727,0.017232270720681,0.19803817152377
