"Germplasm","Rep","Plot","Row","Range","NDRE_73","NDRE_88","NDRE_95","NDRE_101","NDRE_107","NDRE_117","NDRE_131","NDRE_138","NDRE_145","NDRE_152","NDRE_160","NDRE_161","NDRE_165","NDRE_173","NDRE_179","NDRE_187","NDRE_192","NDRE_201","NDRE_206","NDRE_215","NDRE_223","NDRE_228","NDRE_237","NDRE_242","NDRE_257","NDRE_263","NDRE_270","NDRE_278","NDRE_283","NDRE_293","NDRE_299","NDRE_307"
"MESQUITE",3,216,15,5,0.439816813,0.413602598,0.394575272,0.391630343,0.416679515,0.403674555,0.267719395,0.383398796,0.3568593,0.447703254,0.50729406,0.476972184,0.404501986,0.319116186,0.318348975,0.463243525,0.414489208,0.291161595,0.429544302,0.323646319,0.358180378,0.37323977,0.383354262,0.354734396,0.287861896,0.372470092,0.296233937,0.304887771,0.398999227,0.363131313,0.275886478,0.287611662
"SW_8888",3,217,15,6,0.445290909,0.422428187,0.43032035,0.409023281,0.432879897,0.444887396,0.289137699,0.413057993,0.402446725,0.49318762,0.534154131,0.481053352,0.41664488,0.331178862,0.367362024,0.455656819,0.431897153,0.344409293,0.477138281,0.348831225,0.356283892,0.359573953,0.416297955,0.417305407,0.288474225,0.397039965,0.298797473,0.384346467,0.380041236,0.380624841,0.306010492,0.29508895
"NM1705PAR",4,218,15,7,0.446888413,0.409648551,0.419797643,0.403881768,0.418143688,0.457187887,0.293990231,0.360236619,0.359621137,0.459839714,0.383126036,0.521500228,0.399836587,0.322805822,0.33589745,0.443732087,0.410190164,0.31182403,0.473020828,0.353708649,0.336724273,0.330900039,0.409325049,0.414488248,0.279505468,0.376634618,0.296637476,0.333326529,0.361900755,0.360972753,0.281879447,0.257282042
"SW_1011",4,219,15,8,0.437707118,0.411907165,0.421872895,0.390241953,0.422630998,0.452599702,0.296789262,0.384867189,0.364070593,0.456038543,0.443430121,0.545759234,0.399950652,0.319945554,0.31967694,0.348302816,0.390240797,0.30320145,0.428744072,0.30807645,0.34840106,0.331709386,0.384212226,0.419846963,0.282028305,0.367377791,0.317843876,0.300166768,0.344947183,0.354092341,0.265229939,0.275735612
"NM1715PAR",4,220,16,8,0.46509634,0.431755987,0.439442996,0.418706972,0.428020229,0.423619832,0.267004795,0.428412251,0.373526777,0.423076606,0.482589185,0.533333333,0.436732014,0.316817312,0.34302823,0.248585172,0.424628634,0.285796279,0.396053878,0.315238017,0.401825695,0.390753032,0.417225512,0.314001306,0.292741111,0.356221182,0.318684923,0.288961293,0.404727368,0.415818603,0.287617733,0.294023057
"MESQUITE",4,221,16,7,0.443132123,0.407468796,0.405217345,0.386009491,0.403810753,0.419957568,0.271710566,0.416445941,0.349329856,0.43146897,0.511627652,0.522366621,0.397000549,0.287692626,0.329674903,0.427717723,0.40702374,0.290636058,0.439135247,0.392164775,0.345174545,0.326144827,0.407399909,0.362018137,0.270936331,0.345960676,0.363868905,0.294532473,0.442348133,0.327447922,0.274373246,0.24157474
"NM1712PAR",3,222,16,6,0.458457535,0.42372549,0.436438713,0.40378328,0.422272339,0.425257792,0.254251592,0.416148665,0.364015474,0.481751015,0.522495083,0.534336525,0.427360292,0.312837272,0.362012668,0.473078067,0.43338426,0.282309498,0.424204445,0.400372056,0.401690631,0.390435711,0.425821001,0.337383701,0.319907621,0.374806039,0.288643833,0.307965063,0.459215129,0.403172993,0.297448264,0.252034819
"NUMEX_BILL_MELTON_CA_2019",3,223,16,5,0.447214547,0.411591303,0.384119147,0.377853063,0.398207756,0.424222632,0.199001342,0.380667291,0.365205197,0.451625937,0.544762686,0.525763794,0.422655874,0.286066906,0.322691953,0.4694954,0.425691181,0.280789081,0.449712415,0.376051559,0.372712227,0.382076153,0.418087468,0.350499606,0.312509116,0.36055891,0.299850708,0.306454481,0.472314374,0.37108657,0.269095888,0.293679068
"NM1704PAR",2,224,16,4,0.434448593,0.412195001,0.408266725,0.366372874,0.404806104,0.393903299,0.274411526,0.367542318,0.370992713,0.485889326,0.573202195,0.496397629,0.40959757,0.281932274,0.34480477,0.428585393,0.417174477,0.300465481,0.453637281,0.267370654,0.361561804,0.370603212,0.396947321,0.366991447,0.324417456,0.378970791,0.367494868,0.370165417,0.473189598,0.370002415,0.282298244,0.308497951
"NM1701PAR",2,225,16,3,0.443974798,0.412955697,0.413229259,0.387219978,0.406474978,0.432221234,0.307101175,0.377506934,0.345314666,0.494653472,0.578339266,0.501915185,0.418608304,0.322102485,0.336300842,0.251202245,0.4252989,0.280197021,0.431108143,0.289988104,0.352929366,0.365631011,0.382251627,0.376868578,0.302733137,0.376610631,0.308906451,0.38909611,0.474050964,0.37890386,0.281718749,0.323522123
