"","Germplasm","Full_Model_gebv","Imputed_model_gebv_2","Imputed_model_gebv_3","Imputed_model_gebv_4","Imputed_model_gebv_6"
"1","AMERISTAND_803T",0.0155608761581253,0.0161215200790864,0.0161644906213116,0.00759519562572024,0.0141684811072077
"2","MESQUITE",0.00943031378144591,0.00930577808905524,0.00794434053650822,0.000542509922538746,0.00444218281725482
"3","NM1701PAR",0.00632638310862554,0.00336991965862289,0.00419063792953051,0.00813452580485481,0.00402785625257547
"4","NM1702PAR",-0.0115710927577609,-0.0107133572599704,-0.0125599618306509,-0.0163060240930768,-0.00798202660410555
"5","NM1703PAR",0.00600218701307314,0.0072004551396964,0.00227420475087274,0.006561843363158,0.00573402246826278
"6","NM1704PAR",0.00273607860636531,0.000694766313196449,0.00185499334891142,0.00210221514978532,0.00315916194414837
"7","NM1705PAR",0.00427970156739112,0.00684677816329755,0.00498524677244399,0.00267952594681466,0.00575245551705434
"8","NM170506PAR",0.0336533728824683,0.0323000514857233,0.030101382943772,0.0273152692189112,0.031491136632688
"9","NM1712PAR",-0.0401981264065138,-0.0413741582872557,-0.0365098552739741,-0.0317830087899684,-0.0364167892929613
"10","NM1713PAR",-0.0556401953927052,-0.0543356953114057,-0.0510804297869035,-0.0429467234007927,-0.0492868465644311
"11","NM1715PAR",-0.0601882688390816,-0.0567127736440671,-0.0545482917461746,-0.0460990525334285,-0.0506091532352243
"12","NUMEX_BILL_MELTON_CA_2019",0.00331055646078865,-1.7810693745359e-05,0.0011302155522876,0.00219768646202836,0.00325159694140946
"13","SW_1011",0.0158876743261912,0.0135248658786401,0.0137730652593617,0.013109153237316,0.011493117841839
"14","SW_8421S",0.0263214734487341,0.0285043243031559,0.0243525612707093,0.0222805872060239,0.0247294742637514
"15","SW_8888",-0.0112162811737851,-0.0114738677477937,-0.0110769975913737,-0.00880043200451064,-0.00909398493936484
"16","SW_9720",0.00422405600500886,-0.00140149079106064,0.0016977059632117,-0.00315743378532321,0.00156246333986694
"17","SW_9812",0.0305324979211696,0.0314523142264067,0.0285343424299983,0.0212633558512925,0.0266675628327639
"18","SW_9813",0.0228264199705641,0.0187774279955775,0.0182761341806557,0.013375379309091,0.0177045399293631
"19","DONA_ANA",0.0422350490399078,0.0411181316421968,0.0391040240482347,0.0386951582089074,0.0380671214869435
"20","AFX_779",0.0131646086579216,0.0166497278364185,0.0140667684508999,0.0130285324099327,0.0152960241821702
"21","AFX_149092",0.0177550503754598,0.0234715762098921,0.0168775939578912,0.0163455758260648,0.0173044465282341
"22","NUMEX_BILL_MELTON_FG2011",-0.0209484903667234,-0.0223834567774308,-0.020849863374022,-0.0134468456458681,-0.0168414836579921
"23","TMA_990",0.046087591372797,0.0431284366510131,0.0441039597518466,0.0322353761828049,0.0337049321848906
"24","NUMEX_BILL_MELTON_FG2012",0.00281390290847773,-0.000831547514042957,0.00203086130113371,0.00111132853817272,0.000799524323627917
