Trait,Genetic ,Spatial 
yld2-131,0.263,-0.127
yld2-145,0.777,0.429
yld2-152,0.845,0.718
yld3-160,0.681,0.713
yld3-165,0.793,0.782
yld3-173,0.879,0.861
yld3-179,0.959,0.68
yld4-192,0.724,0.76
yld4-201,0.809,0.793
yld4-206,0.85,0.784
yld5-263,0.935,0.927
yld5-278,0.967,0.882
yld6-293,0.95,0.7
yld6-299,0.96,0.56
yld6-307,0.92,0.72
yld7-299,0.966,0.78
yld7-307,0.917,0.719
