"Germplasm","Plot","Rep","Row","Range","gndvi_138","gndvi_145","gndvi_152","yld2","gndvi_160","gndvi_165","gndvi_173","gndvi_179","yld3","gndvi_187","gndvi_192","gndvi_201","yld4","gndvi_215","gndvi_223","gndvi_228","gndvi_237","gndvi_242","yld5","gndvi_257","gndvi_263","gndvi_278","yld6","gndvi_293","gndvi_299","gndvi_307","yld7"
"SW_8421S","100","1","1","1",0.992342103497471,0.637311102583428,0.639491002070378,-0.827397921376658,1.03948499352284,-0.87940367390152,2.1794560831674,-0.00376536375014056,-1.17751478176915,0.151166458088505,-0.660364610052017,0.71307297040237,-1.26931834662335,-0.469170100561635,-1.08998831964898,0.0627487132676156,0.11569102235117,-0.401223411480119,-0.84350674132864,1.04546625631322,-0.894566924288105,-1.31176108188048,-0.637076865032925,1.96160721577794,2.48113535752287,1.40479985333107,-0.165454417353792
"SW_1011","101","1","1","2",-0.487866769558932,-0.702808478155726,-0.451596453719761,-1.32656365315434,1.02116294390097,-1.3929199378663,1.89812936555821,-0.856037979118932,-1.53549798123277,0.561211259922356,-0.992310236922816,0.302333701661808,-1.59129786610855,-0.794230133846145,-0.520797557826505,0.436161888541894,0.418029256123607,-0.325958140231763,-0.920751477446513,1.33552368765189,-1.06167914512252,-0.758063534606006,-0.914562646537814,1.99052196171689,1.41140297456417,1.18661136077198,-0.454739977162071
"SW_9813","102","2","1","3",-0.805241340794619,-1.30808382844434,-1.15242853941022,-1.5544692195102,1.1715077491526,-1.57677647512481,1.79144514614226,-1.32123448178281,-1.72598485953766,0.674313907258995,-0.979167809072569,0.455598676966434,-1.65676180752813,-0.173374362650301,0.417283040009166,0.756879838687998,0.51130090794297,-0.247230663184229,-0.948247660757085,2.37495056810601,-0.799689739219717,-0.508663407004637,-0.906797931911498,2.01545285548865,1.43986917920022,1.11123237603413,-0.66830800146385
"DONA_ANA","103","2","1","4",-1.426045792337,-2.07756536310902,-1.88894150312395,-1.79290911401274,1.20367490536164,-1.83834835487297,1.52780843613458,-2.08571919094767,-1.95813542684936,0.324843391588916,-1.14782900464174,0.47050572875227,-1.7872909073065,-0.0618493251269132,0.211300560312036,0.525442045992495,0.549908945547316,-0.327777972675144,-1.26620392387335,2.2814690139823,-1.01038513414476,-0.87950089259221,-1.34461966441858,1.74650775374533,0.819040606193628,0.592275644794041,-1.30633224238656
"NM1715PAR","104","3","1","5",-1.76981632977253,-2.71801182729771,-2.76730519075185,-2.13030083293612,1.16838767338904,-2.02718657354826,1.12793699658601,-2.87414964634818,-2.34069531338355,-0.118464216985315,-1.53096712390389,-0.171439210310315,-2.17224322825733,0.538307347585266,-0.616309907697187,0.0779459100086557,-0.522118025969754,-0.498686237658376,-1.90541593197576,2.00691886624259,-1.54495777287803,-0.948167625868872,-1.73618867554273,1.22068007887908,0.28357004582005,0.469432213028162,-2.02861376618661
"NM170506PAR","105","3","1","6",-1.11809397938222,-1.39918129683707,-1.44271672324879,-1.80918955975255,1.30573625876461,-1.74786476711372,2.20538621943182,-1.07184706300642,-1.92639852433419,0.649575259760503,-0.683821882908939,1.06423423623079,-2.01654974469667,1.73887878862483,-0.131520329639536,0.313505573581354,0.303897870573788,-0.449080514487352,-2.05423894846192,1.52631071377889,-1.50126709379587,-0.148182927919925,-1.6853727687978,1.52668321542728,1.01373539410594,0.834261155241417,-1.75383259557905
"NM1704PAR","106","4","1","7",0.269053599646089,0.153899790363597,0.0235387073572049,-1.04235186836882,1.3147085974969,-1.33110865941331,2.91019211334432,0.48327586421639,-1.26661951163804,-0.203268054675467,-0.38684455596146,1.9628312933638,-1.44854273584747,0.969233009179221,0.65211538048191,0.457591986778147,0.223295494118137,-0.292403724636896,-1.4503439297009,1.59267476437905,-1.16158449405749,0.674592844669139,-1.0735637708722,2.01918949480465,1.79688534539481,1.14252725278465,-0.748372902204886
"NM1712PAR","107","4","1","8",0.232491288411519,0.172351899150638,-0.141074114374167,-1.22615880025013,1.13838900728564,-1.22960795213205,2.80468114642061,0.291025700507101,-1.31764199527665,-0.99291586972237,-0.673217176606834,1.75894134754926,-1.47084158260192,0.123216929583921,0.644796576582448,0.134357864110327,-0.38826386571945,-0.274650547858132,-1.49441542384611,0.842588405028063,-1.52083994585107,0.179693379339204,-1.22683932653539,1.65002169631999,1.22584667816934,0.60172762106862,-0.926570499423709
"NUMEX_BILL_MELTON_CA_2019","108","4","2","8",1.63441772176562,1.31008367905825,0.942672167713849,-0.435702405369654,0.831648828178803,-0.314848540675988,2.02752442995564,0.536399395221286,-0.735980337209656,0.483611130023289,1.00905571071116,0.964829598988114,-0.854151582697706,-0.371439764927356,-0.66855461022286,0.667071236523748,1.24304138475473,-0.833595580918333,-0.531807027608923,0.524181423836862,-0.513673786817372,-0.806840498715653,-0.400383475063248,1.93253012087038,2.4889774068948,0.843357051151042,-0.0968044078542883
"NUMEX_BILL_MELTON_CA_2019","109","4","2","7",0.112105517249673,0.0342863368250974,-0.0646162251204104,-0.864992897482798,0.871264338326807,-0.822528959160161,1.72551423050523,-0.408058885267724,-1.09775877321202,0.853305734507605,0.637551292909222,0.185089438888338,-1.17407988128791,-1.18468788113914,-0.265079490118467,0.690051537424122,0.97180068758193,-0.81674094827,-0.597494001192843,0.367020910528312,-0.769237911524506,-0.256326026283796,-0.671068689390984,1.96996482451417,1.36794332496227,0.695147591258434,-0.295778848735617
