"Germplasm","yld1","yld2","yld3","yld4","yld5","yld6","yld2_23","yld3_23","yld4_23","yld5_23","yld6_23","yld7_23"
"AMERISTAND_803T",0.0135910774133901,0.0130423602268235,0.0167114519535816,0.0252634401339857,0.038808094865917,0.0172097950881571,0.0109016351665627,0.0178777024142626,0.0218111350562736,0.0347753647836734,0.0197307814317512,0.0206863576760725
"MESQUITE",0.0020039629912476,0.00649009228994707,0.00907045153765412,0.0062920829322226,0.00911931209239164,0.0023628232111693,-0.00874555000574648,-0.00515940575747532,-0.000209378682174178,0.00017149091605065,-0.000829748368935512,0.00351640195210592
"NM1701PAR",0.0029311967931447,0.00248278189672349,0.00351252789112238,-0.00140837904662018,0.00870196780314653,0.00268799772488002,-0.00178089740267967,-0.00364818239184787,-0.00561532625554018,-0.00272922166288717,-0.000773567837686512,-0.00177439131329019
"NM1702PAR",-0.00924911574103806,-0.0110590887182407,-0.0118771059344036,-0.0109338520769615,-0.0128491241782297,-0.0088154046557762,-0.0167253169702964,-0.0157949817168101,-0.00496426961255903,0.00116033162182275,-0.000230703093247684,-0.00112856035655417
"NM1703PAR",0.0104349175840836,0.00845088764646836,0.017219967633788,0.0185094641172251,0.0254216155303173,0.013929461047952,0.00293190324282512,0.0148231987311559,0.0149269791798032,0.0263942279181995,0.0196594488027986,0.0137980723715895
"NM1704PAR",0.00340759615552418,0.00295931997644717,0.00630930838123104,0.00713875955923613,0.0123588111998865,0.00956081622722877,0.00886769313981972,0.0108853483713936,0.00726240487549489,0.0122526010008989,0.00880446390740417,0.0037238697560979
"NM1705PAR",0.00616058003754944,0.0148080715929478,0.0281728841813918,0.0171775684619726,0.0227041612553291,0.0127093791664859,0.00821918968526743,0.0216200577094626,0.0192052816710738,0.0224808145228797,0.0167510538583879,0.00934353463251119
"NM170506PAR",-0.000603906640884517,-0.000348415483450788,0.00593798602794442,0.00777264184726008,0.0174804931933226,0.00432267396014896,7.03493839055007e-05,0.00904880882326428,0.00914441478909856,0.0141945473351694,0.00826442929533562,0.00785173266339006
"NM1712PAR",-0.00881059836690851,-0.00932432579133178,-0.00874542499783451,-0.0146904076506703,-0.0264280935153951,-0.0130318882649464,-0.0154428533479943,-0.0191440049588882,-0.0134875613923635,-0.01984407596928,-0.0132626263399883,-0.0116915335679881
"NM1713PAR",-0.0239065727696477,-0.0294578410115609,-0.0341173868767185,-0.0384015019851324,-0.0655470696028809,-0.0266456116683662,-0.0240492296525057,-0.0325018613042272,-0.0293286721404857,-0.0567996472781964,-0.0344962319731668,-0.0283504699616177
"NM1715PAR",-0.0327909603289213,-0.0346999513290959,-0.0437521156306742,-0.044823035234133,-0.0495361556095409,-0.0286391625262014,-0.0340319263270704,-0.042878349647506,-0.0406938375453222,-0.0622530943657781,-0.0379367375812554,-0.0381573229904541
"NUMEX_BILL_MELTON_CA_2019",0.00444557812318498,0.00570699380459756,-0.0034751390533602,-0.00177584451121256,0.00198872679563354,0.0015324579061125,0.00591769064175247,0.000883001066986489,-0.00208206024317097,0.0074486409190156,0.00435885675772445,0.0025624459906641
"SW_1011",0.0140504059901221,0.0173228304875722,0.0202318287744795,0.01153955680349,0.0359926275577416,0.00491183173482235,0.00420372905711343,0.0110111830431714,0.0113513771982963,0.00460942844731296,-0.000217723945996612,0.00590060313961028
"SW_8421S",0.00468987126675391,0.00868912199115257,0.0155279391302916,0.0140606568675811,0.028462045983795,0.00515875851126029,0.00532684189055979,0.012262243323054,0.0130642364749017,0.0179737653600264,0.0130050856717403,0.0125446783346139
"SW_8888",0.00454201545893756,0.0103819554530085,0.0155770804754849,0.0127228803476536,0.0194202089047222,0.00915325313446077,0.0114875879496628,0.0119054615677488,0.0155573914978056,0.0191124605054913,0.0124666779555088,0.00789877282165005
"SW_9720",0.00156881154503558,0.00846488377057174,0.004472848374049,-0.000902778701629915,0.00603563168369384,-0.0039430808850293,-0.00687006317507758,-0.00489033056172458,-0.0054325509788768,-0.00486280832126979,-0.00182507969698406,0.00236246862259731
"SW_9812",0.013994118496965,0.0161490368813421,0.0344857544847826,0.0260297730066162,0.0341699159924517,0.017566518576702,0.0135384902689093,0.02372969656236,0.0190960261943892,0.0275886267429984,0.0215905147045579,0.0166279486118019
"SW_9813",0.0220508944159948,0.0234124896508501,0.0295978888726725,0.02476139243199,0.0446090938012321,0.0186243748447144,0.00119090081239705,0.0104574919078314,0.0177855566447325,0.030091957822123,0.0197702881155356,0.0197907830319908
"DONA_ANA",0.0169385815851647,0.0193480249188697,0.029497337390124,0.0307107030210428,0.0364080344867989,0.0187763592507825,0.0338098894159587,0.0373141743619084,0.03242832098423,0.0382742259136544,0.0207459980623277,0.0204864166012437
"AFX_779",0.00248755900820641,0.00138938245724488,0.00170831040837627,0.00177830676338046,0.00435845810710783,0.0081569949627138,0.000945259809807702,0.00341331125985011,0.000236724909283946,0.00247479214151935,0.00238915442473355,0.00270625509274572
"AFX_149092",0.00528439605624853,0.0100543564657541,0.0188319126837183,0.0177633726478648,0.0298209697273765,0.0140171624949785,0.0167468183532733,0.0199273124346897,0.0135969216972055,0.0128071875715771,0.0133937344088157,0.0206622639228894
"NUMEX_BILL_MELTON_FG2011",-0.0034986641660317,-0.00698347060209919,-0.0167260064271004,-0.0175530107143009,-0.0236845613252116,-0.0131881050762349,-0.00471120251702174,-0.0123709483745625,-0.0181525964564264,-0.0140405265342855,-0.0139071655251214,-0.0153125679894696
"TMA_990",0.0148522797867139,0.0181274025121091,0.0224969856471002,0.0268971820896976,0.0447451179829267,0.0161942833407905,0.0143340654748646,0.0280957141672189,0.0342922751598532,0.0409357532983995,0.0220996891072366,0.0294307573072417
"NUMEX_BILL_MELTON_FG2012",0.00114495338891844,-0.00216958545506821,-0.00812449044500501,-0.0110110024699428,-0.0195691562795595,-0.00626676460633742,0.00500209549245396,-0.00657380832412311,-0.0113523582589582,-0.00558870313259317,-0.00027479846318543,-0.00538237288655883
