"Germplasm","yld1","yld2","yld3","yld4","yld5","yld2_23","yld3_23","yld4_23","yld6_23"
"AMERISTAND_803T",0.349643685823287,0.211138629047328,0.636970089336214,0.114036799804672,0.111173272438674,0.121814430042892,0.319246963628992,0.253016243423295,0.736242338114864
"MESQUITE",0.00869981270377433,0.285058358025506,0.334119879744044,0.135030769984508,0.179411004402033,-0.15140017717631,0.197628125671834,0.234782576904512,0.283251257871153
"NM1701PAR",0.463180776202399,0.338741095592637,0.33602075607925,0.129270429026625,0.470275321317817,0.485757030072224,0.261105576168851,0.0212445294895851,-0.00639635651727481
"NM1702PAR",0.370576377707038,0.0723382715969185,0.250839717107497,0.014066795058713,-0.0759961016575172,-0.718243240184663,-0.490414652765338,-0.0366529007517541,-0.0114000621379601
"NM1703PAR",0.104585678345103,0.169617312683313,0.234952381935128,0.118831310290537,0.330983253447308,0.0818878755827611,0.0975903867334247,0.0629818166958416,0.181991077132517
"NM1704PAR",0.358343143090617,0.193538742500202,0.0493591271095432,0.0213299656991059,0.482547895413101,-0.037958614934577,0.0680099264302507,-0.0349004290111303,-0.0794214610662085
"NM1705PAR",0.119841795278711,0.18799299973943,0.492965128616374,0.0384682857702822,0.0474740115662677,-0.183046317923692,0.198094885050667,0.181589543737326,0.123647285322894
"NM170506PAR",0.640179920108214,0.524931114691738,1.01911072498085,0.167954110530766,0.614550777469038,0.577460960520479,0.967625364846413,0.276118175761397,0.760469832812828
"NM1712PAR",-0.335336816316648,-0.397371185464928,-0.598211233352918,-0.207436976914346,-0.778636367855881,-0.867933270881204,-1.17715408946529,-0.297115685473618,-1.28380546496891
"NM1713PAR",-0.57092976121706,-0.681381643755572,-0.873491811749149,-0.204020509250955,-1.17991839603518,-1.16448905052629,-1.52881759040424,-0.51558358538954,-1.56522467853934
"NM1715PAR",-0.817404738900778,-0.745344217241916,-0.879381171427996,-0.286485665386826,-0.624155924109522,-1.37939698704849,-1.48280637676663,-0.570114581146555,-1.71210421328672
"NUMEX_BILL_MELTON_CA_2019",0.740645873404076,0.457189708637835,-0.0521412394008366,-0.00813916353333737,0.119077309301778,0.476354162132791,0.0977148453841425,-0.00265499170967741,-0.0633875505958765
"SW_1011",0.177448627159363,0.390685755233902,0.344328332894811,0.141343529928266,0.228227938393385,0.264600055628162,0.737942304246347,0.201102237460615,0.519500014128444
"SW_8421S",0.183730723787995,0.292087841796055,0.601976305206054,0.149253628562072,0.492631414278043,0.213084434599937,0.840216202698539,0.286722718495257,0.88614327929176
"SW_8888",-0.694073057742344,-0.256503606958983,-0.311560189951675,-0.0894597657740365,-0.546811939328252,-0.150499208323607,-0.23883440333007,-0.0639695063983784,-0.303430460655948
"SW_9720",0.120279733287753,0.239765247841295,0.127681987245063,0.181639892710382,-0.118780826272018,0.0186343563513918,0.0743493841230923,0.208312492398812,0.151927686928974
"SW_9812",0.432776666178469,0.383387781957413,0.558902429273351,0.142897124290874,0.202446789057871,0.522422516432412,0.7862884409509,0.220766318457018,1.05758974705607
"SW_9813",0.191463263500761,0.378364492261636,0.471282557370969,0.128417612381209,0.48321707418327,0.259487560947806,0.558215324754238,0.345869463016355,0.704678598870467
"DONA_ANA",0.373597758976239,0.186035092359943,0.474979499973594,0.139392606899477,0.717232213862719,1.09780965787255,1.34352629949065,0.273236682846563,1.0241802469852
"AFX_779",0.14103870893558,-0.0366245667543096,0.246776669052507,-0.0719586583070568,0.494625841807629,0.30383365226985,0.652162905068513,0.0730416514699321,0.132441010204289
"AFX_149092",0.0911512411664906,0.122341439322872,0.387961057659861,0.00444663758344684,0.5199105332152,0.120064284457104,0.521373629516932,0.0882116850339408,0.831758569296844
"NUMEX_BILL_MELTON_FG2011",-0.266450411282252,-0.135171984399653,-0.638428169254933,-0.135566668486446,-0.654326663979148,-0.183519403087219,-0.718654419842075,-0.172077103168723,-0.724581401015399
"TMA_990",0.430422735664389,0.446740521921635,0.619958153829549,0.309489754584246,0.45389381108112,0.952989293435308,0.933225595026514,0.337715498693209,1.75641813579733
"NUMEX_BILL_MELTON_FG2012",0.0144767246814353,0.0913759153407911,-0.347154415654533,-0.00722741077517366,0.120396457194806,0.420782428506865,-0.0731271250830326,0.0709073327233692,-0.346417652670468
