"Germplasm","Rep","Plot","Row","Range","NDRE_73","NDRE_88","NDRE_95","NDRE_101","NDRE_107","NDRE_117","NDRE_131","NDRE_138","NDRE_145","NDRE_152","NDRE_160","NDRE_165","NDRE_173","NDRE_179","NDRE_187","NDRE_192","NDRE_201","NDRE_206","NDRE_215","NDRE_223","NDRE_228","NDRE_237","NDRE_242","NDRE_257","NDRE_263","NDRE_270","NDRE_278","NDRE_283","NDRE_293","NDRE_299","NDRE_307"
"SW_1011",1,300,1,1,0.4888086468661,0.445526937191989,0.447717123083462,0.420866909368566,0.447994997703475,0.441367658174381,0.431932091113668,0.376472811346761,0.440224043317203,0.416583843413909,0.389013243294751,0.397469755743309,0.336155685538756,0.367401198534262,0.484845634957072,0.436612807934772,0.435001034139591,0.452259363702494,0.377587887727508,0.458015157384117,0.469067231062094,0.464725941527506,0.334829394368647,0.439013501594409,0.465112026838977,0.304532354458029,0.367265552850306,0.458999347488357,0.373505476716867,0.325560654349247,0.285065635677037
"SW_8421S",1,301,1,2,0.442603726206876,0.425720624934466,0.449327998062235,0.429902443736115,0.43010232593657,0.434610425366728,0.421080034477159,0.328012230533239,0.441099192382691,0.443726719336648,0.28116826706932,0.38008966624039,0.407096418000292,0.431759125288038,0.460700235234985,0.405765751781817,0.378128921499067,0.427161287840059,0.247821963007233,0.433977285170966,0.46088101777676,0.455117206668764,0.180195185617786,0.349270884824518,0.437536973371953,0.301710283603779,0.402463856201014,0.441322787161832,0.367288498249074,0.312345400768509,0.316704784285749
"NM1715PAR",2,302,1,3,0.46890297436776,0.435645483563404,0.45819102869192,0.420832902228671,0.419146254820287,0.423855696124604,0.440123751348065,0.374579062394188,0.409729348539747,0.400557457550922,0.360524338104947,0.411748587420515,0.373363683184343,0.422980435798543,0.477449171807222,0.438496889697651,0.405574151518608,0.441521214701291,0.246159671535425,0.45099925531531,0.474105107159143,0.460562659846547,0.171540005507007,0.435781834101162,0.444301931298835,0.286138330181652,0.37310724474493,0.45115888390162,0.370604926840637,0.307728323129661,0.310962021924396
"NM170506PAR",2,303,1,4,0.452629071286323,0.418400895781241,0.448953117468201,0.420659390192859,0.423784613347827,0.425343983747345,0.413188336370565,0.32320879332125,0.439248719704341,0.444164849211517,0.299509759142535,0.375264019039119,0.405482102784829,0.448102690326908,0.45496201684896,0.386715711780195,0.367506870304056,0.415695920296126,0.268908598458839,0.449448146350313,0.459042114900435,0.450285676077763,0.202168991495328,0.441672942533415,0.430056310072168,0.298136817691613,0.414016521151189,0.43607730726097,0.373826710253649,0.284856400202978,0.318991352760009
"SW_9813",3,304,1,5,0.451194946599391,0.406955143126769,0.410403489674993,0.406461196169064,0.430397557867595,0.390741008318863,0.422462511996655,0.378074535998411,0.417824575055322,0.374325137462392,0.289849084691643,0.360451133923104,0.379824706618107,0.415648577779995,0.450388845761094,0.349919684872646,0.341146534949858,0.386548311374447,0.318647749247174,0.443322242174998,0.473231248593015,0.416672684419036,0.211433904641986,0.628269556957731,0.421568987029985,0.286509958977574,0.359781121751026,0.43293805003526,0.341644778695288,0.277486574596325,0.280700854339218
"DONA_ANA",3,305,1,6,0.445346831525156,0.410704749921359,0.43322612772058,0.410843304884436,0.465388633768253,0.428267403492317,0.404181563047814,0.401432923093823,0.435481507285373,0.443117379437437,0.269466251833701,0.368670323997515,0.411520415681104,0.43367537571998,0.466203483427333,0.346734499799359,0.340450254175744,0.396699044069548,0.307085555075179,0.425187996345492,0.4714328221561,0.40775338156653,0.22676747176362,0.628288741967375,0.438280320872021,0.303378844848621,0.37807768445359,0.414130127524761,0.370878370690636,0.298067983384364,0.303909853579384
"NM1712PAR",4,306,1,7,0.466356558807663,0.421547740379574,0.433418912621702,0.428766058147397,0.464216981637462,0.43520742233545,0.452058011567337,0.364803357240332,0.415790230933217,0.442593111318602,0.28835359561026,0.396786791397326,0.362758709487547,0.40753619077233,0.462946886416427,0.409450352473888,0.40180802844765,0.431024373232572,0.383058529651953,0.444729003815203,0.472215002279982,0.3858317035254,0.186772495398751,0.645985915733815,0.452109829811257,0.318127395362477,0.347110349470995,0.453048446509349,0.380081788577943,0.323218598531675,0.318665883904362
"NM1704PAR",4,307,1,8,0.448044857216399,0.399347048338052,0.391984260469026,0.426338369437848,0.455702727187529,0.428647646087092,0.412106126977699,0.343961174213275,0.43022578849796,0.450722330752719,0.302379736950046,0.375987785564918,0.400080381120553,0.425163491086756,0.380368784380504,0.229353862842212,0.386421886289164,0.274812533215358,0.39460245067427,0.49449715370019,0.492183756771191,0.382838874680307,0.393209354594105,0.612240993283126,0.444288806665156,0.318345429486299,0.359591033392485,0.396191896385015,0.368553283825577,0.315933060992038,0.31066010981507
"NUMEX_BILL_MELTON_CA_2019",4,308,2,8,0.456144668518727,0.403157387018979,0.425425333510952,0.432927030404527,0.458324177971453,0.439624827306488,0.400309961317294,0.380852334900778,0.411340676764886,0.468194534886525,0.35393294250193,0.400073321608876,0.381846265571756,0.421074871952132,0.446190888256348,0.304311759233754,0.382180151754188,0.273771188692279,0.457146355684033,0.493386255060497,0.476182644840614,0.48280109656821,0.42085722990318,0.580729727788551,0.43943152594678,0.292976974183175,0.384021854900973,0.412928512651085,0.367715084748965,0.304501063454314,0.299529733828462
"NUMEX_BILL_MELTON_CA_2019",4,309,2,7,0.446507419859098,0.412386869732865,0.425222710673831,0.428358746451908,0.470343701297124,0.432143681001812,0.402663216239396,0.359152143512005,0.40521387644296,0.474416779057302,0.392433558789369,0.406277134682521,0.374228561968878,0.416674812440115,0.480942639990687,0.407045777504292,0.402701191161863,0.41421559500732,0.400139026643948,0.457299292143297,0.449890750873993,0.48162952710496,0.163049976087996,0.538901214465025,0.436187311895233,0.309257450272528,0.348766403943211,0.453331562073791,0.351461297657515,0.276150295647649,0.294694594255613
