"Germplasm","yld1","yld2","yld3","yld4","yld5","yld6","yld2_23","yld3_23","yld4_23","yld5_23","yld6_23","yld7_23"
"AMERISTAND_803T",0.308508396847195,0.278461549844808,0.321556321144691,0.514379660460614,0.478310264062953,0.37699369363577,0.18425442395866,0.492968842860481,0.623456959387405,0.689731152190891,0.555089548005624,0.740445777411398
"MESQUITE",0.324988657795436,0.512518963521471,0.490187319368024,0.507429747171189,0.455079106116876,0.281036222869848,0.0974870621935866,0.251847930648689,0.411625030826098,0.396728746556779,0.18488076718774,0.273766391471223
"NM1701PAR",0.445554497547928,0.455074172063053,0.3124014562915,0.258173152466629,0.431218247242854,0.29002609422173,0.210944703828076,0.230586876440641,0.138826304386144,0.105709904077884,0.0385431385057388,0.102739993671704
"NM1702PAR",-0.168204129634094,-0.128192823374314,-0.137993334349628,-0.0260436028268166,-0.0714636451683134,-0.129396451378024,-0.186215348132034,-0.234355931853557,-0.0510508742447889,-0.0289684415634687,-0.0454549742082699,-0.0706636034272186
"NM1703PAR",0.298046651958491,-0.00152555174230613,0.146427279481986,0.201490801007155,0.170908129833404,0.174371677562754,-0.110362048466678,0.0665159015814485,0.148805355158838,0.263787147334342,0.238013120793497,0.323061629083317
"NM1704PAR",-0.0802170767639031,-0.188017986098464,-0.15852307400168,-0.153663868265669,-0.040211080367713,0.129429720715275,-0.0425485317135303,-0.0120721379846801,0.0175742570445139,-0.044389659950999,0.00529827328807332,0.014852329343833
"NM1705PAR",0.315965309340464,0.552789198623123,0.663148532664645,0.534605605675462,0.45053603418836,0.426597918779908,0.224171808564424,0.623949056051025,0.61587564108033,0.55492061323082,0.466318508772451,0.403101259694575
"NM170506PAR",-0.0857670926814619,-0.072930912837546,0.154710851522456,0.169905073076802,0.260535078810188,0.0677560738933961,-0.0338691662096239,0.213003987332929,0.213800549180022,0.247059236008592,0.238365087014022,0.232249116164787
"NM1712PAR",-0.446956362275928,-0.421070324488312,-0.372376317530811,-0.467118016971209,-0.501620605024332,-0.434627929590278,-0.324342633771208,-0.4791297216854,-0.396072454993103,-0.471023922563838,-0.425584733553096,-0.516582181398972
"NM1713PAR",-0.635235003073008,-0.673128497390605,-0.676782460245748,-0.749506854686705,-0.92086191095247,-0.607670134067907,-0.368225047669768,-0.711574344961153,-0.723785681556934,-1.04241771369072,-0.888054436789918,-1.10507734625435
"NM1715PAR",-1.04265534021575,-0.950425638800972,-1.06361074254072,-1.16828808107508,-0.98745643632845,-0.885046368527567,-0.7320932937665,-1.28305771537247,-1.25976759672659,-1.37466974513834,-1.22601294766023,-1.64737485649906
"NUMEX_BILL_MELTON_CA_2019",0.316789597133741,0.156960795977448,-0.193141583171735,-0.0499715732800555,-0.0387417311425961,0.0428466464361929,0.181141585559843,-0.0221450162001121,-0.0856460789209759,0.0874089202003413,0.0704305957279836,0.0506091733997184
"SW_1011",0.489861592142421,0.430522079004342,0.391074926568502,0.319195456134502,0.426704252350544,0.0607799924115679,0.0702159185005197,0.175333921946757,0.237087904716141,0.219024585141152,0.0621931349175117,0.267499771636397
"SW_8421S",0.181304346971079,0.111784164698139,0.279284123221324,0.240866652621685,0.319886938980107,0.12206565342735,0.0508148384681351,0.180745306553721,0.264190394153258,0.342040048922199,0.306635836065224,0.418783483052352
"SW_8888",0.67535062524477,0.785991579045111,0.856011479753105,0.73187174234989,0.658279552831282,0.464742027700507,0.483039349103199,0.733206952101647,0.736619628042024,0.801776265891601,0.6855270499106,0.509760850586318
"SW_9720",0.445515242672416,0.594177442273302,0.393996848366201,0.503199507079353,0.404161020290699,0.0470900321452007,0.131771748788081,0.200018034974836,0.130153225945119,0.210137239397976,0.199329216253737,0.226114038884407
"SW_9812",1.21505121089685,1.15278152905811,1.28975560744187,1.08030827148407,1.10763537256657,0.758474542047133,0.69180354201614,1.11466691756925,1.02522410227825,1.07462764614732,0.961426357386519,0.9318131002316
"SW_9813",1.09833468344644,1.05226295063396,0.927568657687347,0.760399729853767,0.970030077631911,0.576297504572347,0.308411069112154,0.519545558555638,0.674597994251583,0.832726601001254,0.770723059343389,0.907783504786273
"DONA_ANA",0.20289946624736,0.230445453331554,0.363673092286214,0.399124966827462,0.260190525413281,0.241687691100809,0.23459249797259,0.481948896282026,0.466851147309232,0.51157671362446,0.374059962082616,0.436599991691248
"AFX_779",-0.000811087060096914,-0.244112124359363,-0.175676448487497,-0.226763328555569,-0.130779552030116,0.108616377145597,-0.0568734035114858,-0.112038164629373,-0.184252472050711,-0.113165062646383,-0.0885199566188645,0.0193614141834325
"AFX_149092",-0.190412340927908,-0.267333739208132,-0.0700117843178793,-0.0524346477429404,0.00120781109228909,0.0690195088768692,-0.0616561922950979,0.000821357629624859,-0.110652481125023,-0.182132438882166,0.0449638088906475,0.498948759073252
"NUMEX_BILL_MELTON_FG2011",-0.495624115446823,-0.499549887695821,-0.652882184695392,-0.596340131878341,-0.589592766693713,-0.414062284001607,-0.315143997826533,-0.639152945288123,-0.683096854991488,-0.544211164120029,-0.589084077279534,-0.79695747073541
"TMA_990",0.170292483503536,0.272568806025746,0.337927065500519,0.679745811670098,0.472591250815163,0.31452009214298,0.201397190803561,0.700533794480465,0.878858507987009,0.852378204654586,0.653983489027795,1.13159589488536
"NUMEX_BILL_MELTON_FG2012",0.364518158197392,0.429314706254936,0.270865782040083,0.142813474767204,0.202331412040715,0.251165102913016,0.474016151469444,0.378464749753577,0.224636366425335,0.317881038827265,0.437072370074839,0.131605260859774
