"","Germplasm","Rep","Plot","Row","Range","GNDVI_73","NDRE_73","NDVI_73","GNDVI_88","NDRE_88","NDVI_88","GNDVI_95","NDRE_95","NDVI_95","GNDVI_101","NDRE_101","NDVI_101","GNDVI_107","NDRE_107","NDVI_107","GNDVI_117","NDRE_117","NDVI_117","GNDVI_131","NDRE_131","NDVI_131","GNDVI_138","NDRE_138","NDVI_138","GNDVI_145","NDRE_145","NDVI_145","GNDVI_152","NDRE_152","NDVI_152","GNDVI_160","NDRE_160","NDVI_160","GNDVI_165","NDRE_165","NDVI_165","GNDVI_173","NDRE_173","NDVI_173","GNDVI_179","NDRE_179","NDVI_179","GNDVI_187","NDRE_187","NDVI_187","GNDVI_192","NDRE_192","NDVI_192","GNDVI_201","NDRE_201","NDVI_201","GNDVI_206","NDRE_206","NDVI_206","GNDVI_215","NDRE_215","NDVI_215","GNDVI_223","NDRE_223","NDVI_223","GNDVI_228","NDRE_228","NDVI_228","GNDVI_237","NDRE_237","NDVI_237","GNDVI_242","NDRE_242","NDVI_242","GNDVI_257","NDRE_257","NDVI_257","GNDVI_263","NDRE_263","NDVI_263","GNDVI_270","NDRE_270","NDVI_270","GNDVI_278","NDRE_278","NDVI_278","GNDVI_283","NDRE_283","NDVI_283","GNDVI_293","NDRE_293","NDVI_293","GNDVI_299","NDRE_299","NDVI_299","GNDVI_307","NDRE_307","NDVI_307"
"1","SW_1011",1,300,1,1,-0.0458633848356598,0.4888086468661,0.413062021313804,0.135662607163835,0.445526937191989,0.455692481912551,0.174149589119448,0.447717123083462,0.529036703649431,0.312510137631358,0.420866909368566,0.559973115110158,0.386023736385034,0.447994997703475,0.594845245842324,0.432403010533108,0.441367658174381,0.615203004278635,0.0816952119800104,0.431932091113668,0.442585449930119,0.170723149886549,0.376472811346761,0.473638002209431,0.361022579939084,0.440224043317203,0.580072992404899,0.399351233654966,0.416583843413909,0.577209599889338,0.00950784906196098,0.389013243294751,0.286331143497193,0.116193282432877,0.397469755743309,0.418999061232442,0.248838104985857,0.336155685538756,0.404153882941544,0.29013329471343,0.367401198534262,0.467916387174981,0.00812819545907205,0.484845634957072,0.466103130150409,-0.0101415495491799,0.436612807934772,0.447449663371332,-0.02711924125209,0.435001034139591,0.427142871717534,0.0219387711931225,0.452259363702494,0.437873682320326,0.00793532404242612,0.377587887727508,0.30925855282306,-0.0148341242664142,0.458015157384117,0.445958058141986,0.00796375193999584,0.469067231062094,0.424382033161057,0.0625595190494889,0.464725941527506,0.309883991107099,0.0434111763557894,0.334829394368647,0.254438986316021,-0.0378085861329784,0.439013501594409,0.281798968722437,-0.0934930251352023,0.465112026838977,0.468797352060208,0.228858876896493,0.304532354458029,0.468638237485126,0.132088141879687,0.367265552850306,0.425609709923765,-0.0231261578707559,0.458999347488357,0.424651766918977,0.141731369399203,0.373505476716867,0.395680511202232,0.100209537630473,0.325560654349247,0.448325612129044,0.278026324697053,0.285065635677037,0.436955900864212
"2","SW_8421S",1,301,1,2,0.0209913051878165,0.442603726206876,0.411509709248981,0.198043785450725,0.425720624934466,0.466302778651568,0.239122343158587,0.449327998062235,0.532710778097798,0.355835612313498,0.429902443736115,0.565141021926012,0.376824755002121,0.43010232593657,0.590466645146286,0.425901952563092,0.434610425366728,0.615743904399367,0.0726640672514681,0.421080034477159,0.416198268647021,0.162053091114351,0.328012230533239,0.471887900459329,0.363147964282646,0.441099192382691,0.587542192699011,0.404688446076928,0.443726719336648,0.592149540205537,0.0465382963240627,0.28116826706932,0.190431974379228,0.163361018268394,0.38008966624039,0.419260894238992,0.329698724777379,0.407096418000292,0.523173593761829,0.383797324210051,0.431759125288038,0.587149110893061,0.0257081141449398,0.460700235234985,0.453243674248514,0.0800102097036204,0.405765751781817,0.41967991041483,0.0980797201502991,0.378128921499067,0.383554490809142,0.11224865055462,0.427161287840059,0.387196358779004,0.0401344060974175,0.247821963007233,0.345014773935707,0.0154077704481104,0.433977285170966,0.428162432765054,0.0300804770666092,0.46088101777676,0.425817502098115,0.0917673572208925,0.455117206668764,0.258951200587187,0.0910568276660425,0.180195185617786,0.218754239714005,0.0319969399579244,0.349270884824518,0.137082406492009,0.0929849140300346,0.437536973371953,0.465177986519044,0.206264684621317,0.301710283603779,0.461149155351247,0.389028193645931,0.402463856201014,0.582006575815936,0.00906767005549504,0.441322787161832,0.355430513850295,0.276868325577315,0.367288498249074,0.469414419539576,0.223371929667428,0.312345400768509,0.515401445569477,0.380488871602346,0.316704784285749,0.542994051553205
"3","NM1715PAR",2,302,1,3,-0.0330258890394094,0.46890297436776,0.437001149203766,0.130525891343697,0.435645483563404,0.475839489284086,0.190623691400448,0.45819102869192,0.504804230359874,0.290147777777404,0.420832902228671,0.520941580706402,0.329256728207154,0.419146254820287,0.55080518882879,0.390593162217591,0.423855696124604,0.577753152543068,0.0775133171348086,0.440123751348065,0.419800215690438,0.127887748919102,0.374579062394188,0.446970754113611,0.343697609893645,0.409729348539747,0.56679899326411,0.365328855613701,0.400557457550922,0.54084673375523,0.00126030169887226,0.360524338104947,0.187153860260407,0.0866291184053791,0.411748587420515,0.411397169527251,0.30553429524833,0.373363683184343,0.497212596107862,0.358737806871838,0.422980435798543,0.559233215682638,0.0109719737502183,0.477449171807222,0.466474121932014,0.0387370801060882,0.438496889697651,0.439913521815708,0.0921960571878276,0.405574151518608,0.396537348206394,0.107361789559429,0.441521214701291,0.398152460927609,0.0438139180388613,0.246159671535425,0.293932466583213,0.0187701186703711,0.45099925531531,0.45406837320841,0.0355247255193823,0.474105107159143,0.433923278613771,0.0891338840019854,0.460562659846547,0.236816107517176,0.0903686281032787,0.171540005507007,0.205642689448285,0.02506791059481,0.435781834101162,0.148643388979523,0.0458146757489798,0.444301931298835,0.455282035792494,0.22255833857797,0.286138330181652,0.4767321609751,0.352792925690157,0.37310724474493,0.551289877045605,-0.00297677011730999,0.45115888390162,0.345669562782721,0.173029660535505,0.370604926840637,0.413158922418952,0.166272563288429,0.307728323129661,0.44692247034729,0.326195745855744,0.310962021924396,0.49387559015694
"4","NM170506PAR",2,303,1,4,0.00107911200024608,0.452629071286323,0.413119659949892,0.180170621918543,0.418400895781241,0.484844122277507,0.239499634753782,0.448953117468201,0.517017445502355,0.332676812734296,0.420659390192859,0.544788306127049,0.341502849297291,0.423784613347827,0.563311593294034,0.399383214596445,0.425343983747345,0.590951423304365,0.0776732380420412,0.413188336370565,0.400459453364084,0.133892952690176,0.32320879332125,0.470574332674246,0.340454820604541,0.439248719704341,0.585232855649918,0.389109288834594,0.444164849211517,0.590668789040832,0.0217698758646831,0.299509759142535,0.204120924884067,0.152629152754206,0.375264019039119,0.426975877365672,0.320951688194638,0.405482102784829,0.517961409704595,0.383835020786144,0.448102690326908,0.599005471569459,0.0118412284777507,0.45496201684896,0.443400392859057,0.0915921969509206,0.386715711780195,0.415027393105674,0.159505748961993,0.367506870304056,0.403210377382115,0.158470764797345,0.415695920296126,0.3762244351882,0.0415980595354056,0.268908598458839,0.318245021744106,0.0290109326713696,0.449448146350313,0.437815826505646,0.0455342134778478,0.459042114900435,0.41322671091783,0.10489499399165,0.450285676077763,0.256289554184845,0.104276663223401,0.202168991495328,0.231740412013827,0.0112375177479024,0.441672942533415,0.228202048985684,0.126524789210882,0.430056310072168,0.467819297166877,0.232614691027554,0.298136817691613,0.492881632585079,0.404317737780641,0.414016521151189,0.608752486501847,0.0111020152163311,0.43607730726097,0.325260280132118,0.261357526228237,0.373826710253649,0.478240049633731,0.219231966597689,0.284856400202978,0.512407409435567,0.372486347624321,0.318991352760009,0.538825654639965
"5","SW_9813",3,304,1,5,-0.0135927389586138,0.451194946599391,0.414956754145643,0.144258336805476,0.406955143126769,0.461784124986893,0.213072833972816,0.410403489674993,0.490514643943499,0.347061276436708,0.406461196169064,0.556417444058656,0.357002202905683,0.430397557867595,0.57731226677978,0.411521735923533,0.390741008318863,0.597592303889882,0.0595891955778328,0.422462511996655,0.423319357127453,0.135917970802215,0.378074535998411,0.460847433996223,0.326573358012294,0.417824575055322,0.560886243707901,0.390986670428098,0.374325137462392,0.592452363661514,0.00982992106287738,0.289849084691643,0.268798071218218,0.140617385017983,0.360451133923104,0.396991675799111,0.306219729585548,0.379824706618107,0.488144244564618,0.37979666107402,0.415648577779995,0.586943626758026,0.0201485938986795,0.450388845761094,0.391337527395424,0.042113709155636,0.349919684872646,0.369305383669014,0.122964963555968,0.341146534949858,0.362450122480569,0.143716848008882,0.386548311374447,0.357922174641594,0.0116641896653174,0.318647749247174,0.341445669875771,0.0166486352937935,0.443322242174998,0.42740542020788,0.0338560365536557,0.473231248593015,0.419198110141881,0.0826658424861044,0.416672684419036,0.270821088878859,0.103509803349974,0.211433904641986,0.236403415518205,-0.0256529936052241,0.628269556957731,0.363394735056652,0.0636468613067399,0.421568987029985,0.443556524021675,0.139907072792979,0.286509958977574,0.415034365129927,0.386157402475572,0.359781121751026,0.5746665218014,0.0144045380822114,0.43293805003526,0.373194681195809,0.261510522740159,0.341644778695288,0.456483091148441,0.197698609684126,0.277486574596325,0.488519865216614,0.363166178531535,0.280700854339218,0.518867921201928
"6","DONA_ANA",3,305,1,6,-0.0035861281160295,0.445346831525156,0.40837063426814,0.180699293698783,0.410704749921359,0.479180958372654,0.273041338357732,0.43322612772058,0.527529322955323,0.367981484237986,0.410843304884436,0.580247145285078,0.387754432483752,0.465388633768253,0.593459366398356,0.446777944220133,0.428267403492317,0.62326510091216,0.103913839537442,0.404181563047814,0.395124396753817,0.165119066412869,0.401432923093823,0.511915873438365,0.364124017111571,0.435481507285373,0.585279502856891,0.442577854514337,0.443117379437437,0.633219746797043,0.0166381659112125,0.269466251833701,0.212637359684899,0.176347617711805,0.368670323997515,0.416197425869054,0.331821073332856,0.411520415681104,0.532646255601779,0.385978471960357,0.43367537571998,0.597331108487123,0.0235810269379447,0.466203483427333,0.38101282611337,0.0417800462132497,0.346734499799359,0.368037621552686,0.107441175296527,0.340450254175744,0.357441492277342,0.144242653526139,0.396699044069548,0.366569736015142,0.017218543481338,0.307085555075179,0.343717757074488,0.0186231320673703,0.425187996345492,0.419245461955227,0.0332625530933899,0.4714328221561,0.425991454947738,0.0907058092340224,0.40775338156653,0.234530439341512,0.0850711477174462,0.22676747176362,0.209568568543692,-0.0171812947345417,0.628288741967375,0.348742070357555,0.0751985199167524,0.438280320872021,0.463469315936223,0.208666165189117,0.303378844848621,0.496697271391037,0.389913879839724,0.37807768445359,0.571480063040611,0.00626413463173444,0.414130127524761,0.351534901747443,0.275218312179582,0.370878370690636,0.472078576756299,0.213789116603107,0.298067983384364,0.499940815500109,0.385673940216702,0.303909853579384,0.538428854687943
"7","NM1712PAR",4,306,1,7,-0.041553074417928,0.466356558807663,0.430630511510484,0.127596398747609,0.421547740379574,0.473620803187585,0.236136546834055,0.433418912621702,0.505988063814719,0.324599376463519,0.428766058147397,0.547175214913552,0.34935595344436,0.464216981637462,0.57372020335881,0.422169135681885,0.43520742233545,0.604528942798839,0.095044517054124,0.452058011567337,0.42832456830683,0.134953643087951,0.364803357240332,0.469440254734372,0.348324767344696,0.415790230933217,0.561469453428333,0.425589564520894,0.442593111318602,0.616128747795414,-0.0121882222932067,0.28835359561026,0.204989338482505,0.110635133346877,0.396786791397326,0.395728839641338,0.29165330342566,0.362758709487547,0.476579847698929,0.355362783616665,0.40753619077233,0.54011961457123,0.00287609062576943,0.462946886416427,0.399094539333027,-0.0201093829493422,0.409450352473888,0.435862894776231,0.0367350870896813,0.40180802844765,0.402817126093614,0.0769495331977121,0.431024373232572,0.403618653837771,-0.00171098119279504,0.383058529651953,0.364718504013029,0.0120576062627633,0.444729003815203,0.4442464689506,0.00276863684573808,0.472215002279982,0.449521203830369,0.0877776735395453,0.3858317035254,0.190552463099477,0.0715596874799215,0.186772495398751,0.172226569859281,-0.0357809896482925,0.645985915733815,0.453848034940472,-0.0486940122110297,0.452109829811257,0.448573190508553,0.217142558875587,0.318127395362477,0.500845897925957,0.249557306542457,0.347110349470995,0.467387371370343,-0.0103062891803124,0.453048446509349,0.406711464594762,0.149753938820243,0.380081788577943,0.417646271486429,0.133416981454162,0.323218598531675,0.438619560537437,0.287587601074942,0.318665883904362,0.461554558885234
"8","NM1704PAR",4,307,1,8,-0.01588366128756,0.448044857216399,0.398714260025175,0.166085532344872,0.399347048338052,0.460307434203628,0.240696754298447,0.391984260469026,0.498255289353439,0.338426234679317,0.426338369437848,0.554593891387291,0.350902513639091,0.455702727187529,0.579678166185929,0.436690308407161,0.428647646087092,0.616562860438293,0.0911709519601645,0.412106126977699,0.357241534847505,0.151360912302533,0.343961174213275,0.49792635002719,0.354029926680428,0.43022578849796,0.594029758115213,0.437049106543933,0.450722330752719,0.636975134457227,-0.01394898550255,0.302379736950046,0.254129074668143,0.122316872096752,0.375987785564918,0.402472460648695,0.307147057696294,0.400080381120553,0.504024574182393,0.381729341183853,0.425163491086756,0.572376427717445,-0.0453376933632059,0.380368784380504,0.440168022177889,-0.0221290342890416,0.229353862842212,0.36722351402013,0.0288567419886582,0.386421886289164,0.372364636692386,0.0413416252542782,0.274812533215358,0.323344379613631,-0.0522951899846255,0.39460245067427,0.402759057218506,-0.0443606121161233,0.49449715370019,0.475280288030839,-0.0447759396463805,0.492183756771191,0.454326695658808,0.0793721800139432,0.382838874680307,0.313794861508116,0.0365164436944912,0.393209354594105,0.358708606321134,-0.0507722829629586,0.612240993283126,0.499361388153877,0.00328880543339219,0.444288806665156,0.447454360434803,0.178352239824865,0.318345429486299,0.469614713585583,0.309651081916843,0.359591033392485,0.510582897834016,-0.00226302820832993,0.396191896385015,0.407140918803137,0.193070548513032,0.368553283825577,0.429350509879506,0.168844542228606,0.315933060992038,0.469675928461126,0.317285788132336,0.31066010981507,0.478747892191703
"9","NUMEX_BILL_MELTON_CA_2019",4,308,2,8,-0.0298412858882584,0.456144668518727,0.430833588573824,0.162298930775406,0.403157387018979,0.47094876795638,0.251151633752812,0.425425333510952,0.517319098457888,0.339183480208057,0.432927030404527,0.569908843511523,0.380883182255845,0.458324177971453,0.605713297098299,0.432962028233614,0.439624827306488,0.6253905725186,0.0674774148830702,0.400309961317294,0.338125325305319,0.149011146570986,0.380852334900778,0.4955054480314,0.356442670275392,0.411340676764886,0.576841563662426,0.441632875187072,0.468194534886525,0.637578943016321,-0.0378982641387117,0.35393294250193,0.269300390294055,0.0797895040831716,0.400073321608876,0.417956619506348,0.28023412376525,0.381846265571756,0.479798521497868,0.38217519146692,0.421074871952132,0.571303952599472,-0.0577862777359267,0.446190888256348,0.47167320075942,-0.022260572461364,0.304311759233754,0.363657645074017,0.0481208910808307,0.382180151754188,0.39576197538284,0.0489344721007541,0.273771188692279,0.308851289324252,-0.0619710453304875,0.457146355684033,0.443812419525143,-0.0687747972081167,0.493386255060497,0.482774288343328,-0.0324195705791231,0.476182644840614,0.462540514116008,0.0597820622898138,0.48280109656821,0.309834678969627,0.0245012995671481,0.42085722990318,0.393717721797445,-0.0419796870246328,0.580729727788551,0.408501691274801,0.0275900476280374,0.43943152594678,0.442513016251139,0.17825036275868,0.292976974183175,0.462695884611366,0.349572526756459,0.384021854900973,0.547408969464706,-0.00457226039589733,0.412928512651085,0.407544896401701,0.195997657144786,0.367715084748965,0.426963146325025,0.186337036328436,0.304501063454314,0.470577148020644,0.34991881267924,0.299529733828462,0.503022886876875
"10","NUMEX_BILL_MELTON_CA_2019",4,309,2,7,-0.0220158509798219,0.446507419859098,0.428012198690907,0.146295073861266,0.412386869732865,0.470061206105456,0.253293758465464,0.425222710673831,0.50710869532089,0.349692752235423,0.428358746451908,0.558964129685907,0.380839065886758,0.470343701297124,0.601727357609711,0.419513718269198,0.432143681001812,0.61573984646649,0.0797071463090315,0.402663216239396,0.399278636817837,0.133969906999317,0.359152143512005,0.483200966661174,0.350655932844031,0.40521387644296,0.569942782095481,0.438827764520562,0.474416779057302,0.632067814780233,-0.0386674378602676,0.392433558789369,0.291777506894927,0.0857668536327912,0.406277134682521,0.415707973506225,0.277412269942663,0.374228561968878,0.465586579847699,0.365025671356898,0.416674812440115,0.56406287248505,0.0069974449796347,0.480942639990687,0.367432982051552,0.0242066419911941,0.407045777504292,0.431070420817465,0.0945267911958735,0.402701191161863,0.411469025432414,0.116238985295211,0.41421559500732,0.37508350947901,0.00050021276330902,0.400139026643948,0.294918839899893,-0.00863158159434143,0.457299292143297,0.457428899708587,0.00631898822738893,0.449890750873993,0.452977276181791,0.0935085858082923,0.48162952710496,0.273230240117437,0.0748262535586932,0.163049976087996,0.180640153326667,-0.0156876186864621,0.538901214465025,0.453754664495556,-0.00824914583324379,0.436187311895233,0.447094242061395,0.188056054903593,0.309257450272528,0.455551530444414,0.336190477137711,0.348766403943211,0.517279782986683,-0.00708077433687513,0.453331562073791,0.406205253555804,0.178622799078644,0.351461297657515,0.41814638801232,0.168809145344738,0.276150295647649,0.452408515971569,0.344181969564609,0.294694594255613,0.489906211240715
