"Germplasm","yld1","yld2","yld3","yld4","yld5","yld6","yld2_23","yld3_23","yld4_23","yld5_23","yld6_23","yld7_23"
"AMERISTAND_803T",0.0186002043573507,0.0459444667966517,0.0923426982405949,0.0171188196756453,0.183112400551952,0.014001023793234,0.061646347854376,0.0357686575635337,0.0266826650295492,0.0343521406563983,0.0247551216571631,0.0465255092001628
"MESQUITE",0.0176978400874694,0.050121001370054,0.108324774635336,0.0169251339711091,0.181705383508876,0.0104333072121546,0.050858668235864,0.0240095166626216,0.00627993491647874,0.0218375207393312,0.0127781613590051,0.0322744149449205
"NM1701PAR",0.0201085864707947,0.048391942349778,0.103551273040783,0.00916649386632742,0.186718014365244,0.0104845976050201,0.0549035885620624,0.0219836528002316,0.00207457597104959,0.00918977780797969,0.00855382628032015,0.0268750476235742
"NM1702PAR",0.00761082563689252,0.0303396388008771,0.074443519486016,0.000383124338638211,0.144748515314881,-0.00229899469276267,0.0422974046844717,0.0113306148767863,-0.00257495369402803,0.00340995245631532,0.00597684372843208,0.0220536904576533
"NM1703PAR",0.0201301792242086,0.041644295719263,0.0907296527352775,0.00758448477408179,0.169959823545788,0.0072477824002927,0.0479268863400869,0.0217888786827225,0.00712870070739387,0.0165145525035871,0.0146348416606003,0.0364217132971666
"NM1704PAR",0.00850201636417642,0.0348486620829095,0.0746591350473831,-0.00358717416353535,0.151049396406415,0.00583089332227046,0.055785700580273,0.021998858364141,0.00591854821644834,0.00303302315259163,0.00748780659596379,0.03143474484815
"NM1705PAR",0.0179008013594752,0.0497135071224456,0.120962008550478,0.0179893567442066,0.186994609550551,0.0142963293829816,0.0561513625914319,0.0330821116197917,0.019660327518222,0.0290879177979266,0.0215578889019365,0.0364204561790303
"NM170506PAR",0.00996438989283779,0.0382095888092675,0.0829086345978135,0.00650806668157533,0.16572600623632,0.00489449459005442,0.0500397833268817,0.0256165999362903,0.0171383296599729,0.0154811614847809,0.0146140251142079,0.0348843923102856
"NM1712PAR",0.00442456435779085,0.0293281050092137,0.0690702295633169,-0.0136140717216366,0.12475598383002,-0.0099212028528355,0.0467461287651316,0.00724846252529948,-0.00513220081045314,-0.0159300168961109,-0.00557954621300626,0.0169502956290918
"NM1713PAR",0.0013735953930305,0.0206638830312035,0.0492599021595426,-0.0226610546348818,0.0826750970894753,-0.0151552362502526,0.0374694299764477,-0.0013936554801612,-0.0182575414784298,-0.0414382798058995,-0.0193318675026888,0.000724610132739595
"NM1715PAR",-0.00761736636101826,0.0142798762804206,0.0229995850797461,-0.0360157531369792,0.0694234421558779,-0.0220466611930603,0.0199179347319106,-0.0193750688719258,-0.0365851369296844,-0.0562194642026473,-0.029839246429351,-0.0122355782646906
"NUMEX_BILL_MELTON_CA_2019",0.0185625729665194,0.0418447407363787,0.0794555277738899,-4.6566521302722e-05,0.156447106929892,0.00246863769003894,0.0548781133957543,0.0172350421504761,-0.00174588248467975,0.00911059000880266,0.00929472922647909,0.0288398776482517
"SW_1011",0.0203320416605233,0.0488422181585424,0.0941981959736065,0.0111580590931233,0.175180275565774,0.00398599090755393,0.0514511096456257,0.022817532189797,0.00929943022563567,0.0142770709800778,0.00892185384914817,0.0333076689841563
"SW_8421S",0.0161938926888993,0.0421828408678833,0.0924222647468111,0.00863493603700845,0.170305178158374,0.0065053221718468,0.0524857879415307,0.024575534445499,0.0131393730722142,0.0194913517769068,0.0167042503016758,0.0404861380214382
"SW_8888",0.0261071430951897,0.0581094824644119,0.123973815031531,0.0238276632432472,0.190366416495813,0.0159119398843936,0.0654033721454363,0.0385346107399089,0.0250038706697938,0.039148537679161,0.0285329122327836,0.0395370078406631
"SW_9720",0.0210363499568208,0.0497636908286184,0.0949448524624971,0.0167750335156726,0.169099499505738,0.0033186554060308,0.0503087214785825,0.0214051744647665,0.00229107504515797,0.0135228323898021,0.0135298807706499,0.0308267737664448
"SW_9812",0.0351396711473885,0.0656797422686251,0.142388953878969,0.0347979908590078,0.219411170651059,0.025108605676184,0.0682252359706779,0.0452855688428261,0.0286232924371534,0.0511177531887709,0.036533794139616,0.0463475484552304
"SW_9813",0.0316617002106922,0.0623467514498693,0.122357430334255,0.0248699531800327,0.213029523412077,0.0195939279182632,0.0534841101528045,0.0322884829838017,0.0237072473340474,0.0407310672138429,0.0310478016951746,0.0501066051779214
"DONA_ANA",0.0152943413232216,0.0441602671281762,0.095126284077271,0.0133372456816043,0.167829086714459,0.010817658835436,0.0570819868164943,0.0318317248868189,0.0265371083213115,0.0261942171750776,0.0189623093088636,0.0435291404014
"AFX_779",0.0137768098456839,0.0337899394245868,0.0711966471783003,-0.00644413749984827,0.13958487456339,0.00682097668006184,0.0551575016071073,0.0211292333946911,0.00337030849098888,-0.00119114134073466,0.00512324362895772,0.0315712972093566
"AFX_149092",0.00946573567130546,0.0342290525907765,0.0773307629058069,-0.000940492980816895,0.152273140818362,0.00616580430420939,0.0555920206672884,0.0233868117950797,0.00792122268537477,-0.0041800922702009,0.00916223955804059,0.0454868313373746
"NUMEX_BILL_MELTON_FG2011",0.00296113830559677,0.0218733388573416,0.0491647681778747,-0.0179419420895241,0.113632775427751,-0.00919967735472739,0.0376871861889031,0.00268604161215121,-0.0174782739809032,-0.0199304807726158,-0.0101313277166148,0.00935720785469759
"TMA_990",0.0134877004024506,0.0430923586798878,0.0981474583037301,0.0220028198514904,0.194224077742666,0.0124268556535138,0.056802394599035,0.0377622083189249,0.0321397011219995,0.0407925256690139,0.027337936084755,0.053735859125483
"NUMEX_BILL_MELTON_FG2012",0.0187407464482179,0.0457263300941506,0.0966034270584668,0.00512460600336028,0.167910150153634,0.00948303565931134,0.0632109856856546,0.0287014391061236,0.0084688505703127,0.0175209333109383,0.0208352741571845,0.0288514229302588
