"Germplasm","yld1","yld2","yld3","yld5","yld2_23","yld3_23","yld4_23","yld6_23"
"AMERISTAND_803T",0.0137428524188543,0.0394383828882558,0.0158054459728629,-0.0158087694089467,-0.169521542338217,0.0531551392590535,0.0315243732118045,0.0668734641919341
"MESQUITE",0.008082259912002,0.0350474348693191,0.0135986973051128,-0.0258571850386405,-0.174023045486899,0.0371964306920308,0.0392176102964001,0.0349464130508019
"NM1701PAR",0.0141034394496875,0.0458474668535639,0.0160163899707387,-0.00713039915489314,-0.166886168709557,0.0444637676854863,0.0167309539184683,0.0272464038823101
"NM1702PAR",0.0121280443592581,0.0348973613044444,0.0134042066513668,-0.0236738738626543,-0.186898504662351,0.0235944268705145,0.0113021749238538,0.0342134064578961
"NM1703PAR",0.00886622281159679,0.0356101558990829,0.00896923003243743,-0.0133139653501274,-0.172513435488059,0.0366061437428567,0.0337944055569556,0.0431785422518502
"NM1704PAR",0.0123629001538369,0.0420001634090567,0.0112714146506386,-0.00145978429123392,-0.174230894796349,0.0415836139182475,0.0261382026677278,0.037532445615808
"NM1705PAR",0.00766885617491167,0.0428740875809399,0.0182670515430125,-0.0250066921278108,-0.184372891506009,0.0459661837367723,0.0440315406742903,0.0405925485940223
"NM170506PAR",0.0170419222333288,0.0435960500236596,0.0274882745627212,0.0024797056888197,-0.151084959565459,0.0888514996162659,0.0450796208551394,0.0759721780355702
"NM1712PAR",0.000161474591195076,0.0250109777122794,-0.00524253939054972,-0.0570901332267988,-0.197523681307464,-0.0139721206526373,-0.0332264295936344,-0.0233184614180723
"NM1713PAR",-0.00363966122323759,0.0266251322391708,-0.00807077790613038,-0.0613779744441744,-0.203566879293554,-0.00691561702465288,-0.028387295140273,-0.0275937219669768
"NM1715PAR",-0.00898800938983097,0.024929786328825,-0.0103578814519732,-0.0537322901009407,-0.21511925025945,-0.0266520225646808,-0.0326073415014885,-0.0367819128245761
"NUMEX_BILL_MELTON_CA_2019",0.0187612171184592,0.0443269323442667,0.00499478273367034,-0.0207662549780633,-0.162966124540773,0.0400433824357324,0.021040878816445,0.0333254549927891
"SW_1011",0.00775219916173947,0.0357403276811208,0.010481157999364,-0.0261630451419576,-0.173254254298467,0.0349634740993681,0.0253669809690198,0.0460886226618137
"SW_8421S",0.00861028122813339,0.0420126250026994,0.0177478871856534,-0.00497364986226947,-0.176005012682863,0.0603210800975673,0.0508172949204307,0.0715555963213799
"SW_8888",-0.00498416135278199,0.0251232937116058,-0.00201299908272358,-0.0516019504456845,-0.181734148211422,0.0176594017994808,0.00263452794492923,0.0161189661459553
"SW_9720",0.00775059542075089,0.0386958420753042,0.00913488132406677,-0.0240657405749579,-0.169656438839186,0.0412790460006567,0.0434161035762195,0.050193124685749
"SW_9812",0.0154758389450582,0.0412169445045072,0.0203267308035428,-0.0201005724849378,-0.162987428985069,0.0602039674113215,0.0360152201969985,0.0668794928117399
"SW_9813",0.0115738922138894,0.0337474490561396,0.0126180133094855,-0.0166931789495448,-0.172889877252021,0.0409769386812782,0.0436028164102925,0.055486316184511
"DONA_ANA",0.0107641601770851,0.0346078872247007,0.0123068782265899,0.00444247485495377,-0.144368138820411,0.0856006634266764,0.0487630830259622,0.0870648578069661
"AFX_779",0.00765527350867751,0.0306516763983939,0.00749636677050326,-0.00263918419996846,-0.173834538434787,0.048886884321819,0.031399483805506,0.0436780191564278
"AFX_149092",0.0043014659726672,0.0388353757786623,0.0108842835227256,0.00522540781075641,-0.182771248166179,0.0552556932212981,0.0561305775911094,0.0830545528707652
"NUMEX_BILL_MELTON_FG2011",-0.000676654451268432,0.0269537465430793,-0.010187116123974,-0.0424098976095897,-0.18270467814157,0.0216794711626554,0.0297614289569094,0.0112247508789073
"TMA_990",0.0176721810764322,0.0304148387637081,0.00897456971787573,-0.00719190110187303,-0.142353467424107,0.0585993644376083,0.0360572156674572,0.103196279470589
"NUMEX_BILL_MELTON_FG2012",0.0105694905928587,0.0279303959178435,0.00257605375459037,-0.0118955718665777,-0.157178677875722,0.0420950498221134,0.0296197824856401,0.0181240100094472
