"Germplasm","Rep","Plot","Row","Range","NDVI_73","NDVI_88","NDVI_95","NDVI_101","NDVI_107","NDVI_117","NDVI_131","NDVI_138","NDVI_145","NDVI_152","NDVI_160","NDVI_161","NDVI_165","NDVI_173","NDVI_179","NDVI_187","NDVI_192","NDVI_201","NDVI_206","NDVI_215","NDVI_223","NDVI_228","NDVI_237","NDVI_242","NDVI_257","NDVI_263","NDVI_270","NDVI_278","NDVI_283","NDVI_293","NDVI_299","NDVI_307"
"NUMEX_BILL_MELTON_CA_2019",3,111,2,5,0.450971577,0.446469571,0.456557341,0.455931158,0.467362867,0.495933961,0.343477753,0.438049902,0.467923739,0.483345497,0.218602643,0.495645235,0.387961048,0.342794577,0.396423061,0.37327003,0.425304011,0.319338238,0.411077629,0.246569593,0.424392196,0.360488251,0.456313827,0.434147972,0.307244041,0.401377824,0.500415112,0.468542813,0.312546382,0.369525401,0.422030597,0.447077289
"NUMEX_BILL_MELTON_CA_2019",2,112,2,4,0.446694821,0.442378446,0.451405873,0.463243486,0.49265377,0.466689061,0.395576835,0.427523926,0.463536499,0.49506121,0.257975023,0.500843593,0.387212923,0.347826127,0.406979069,0.388109413,0.428170348,0.349826022,0.417088994,0.255121992,0.435347099,0.340714543,0.442504939,0.44032964,0.310183319,0.418663243,0.504505135,0.470193019,0.291034324,0.3657832,0.422489426,0.447873102
"NUMEX_BILL_MELTON_CA_2019",2,113,2,3,0.431995265,0.430518522,0.424311736,0.440615479,0.467261433,0.47992103,0.407964857,0.412835036,0.443936664,0.472568428,0.304411495,0.526926585,0.350665994,0.341881507,0.409877471,0.453757835,0.422960654,0.360267376,0.414530635,0.272145003,0.439506015,0.365140392,0.418856747,0.459631904,0.316351207,0.423466428,0.530325752,0.501704214,0.327632147,0.417120286,0.44047594,0.477747467
"NUMEX_BILL_MELTON_CA_2019",1,114,2,2,0.44546086,0.435189247,0.421720898,0.447922316,0.478853402,0.469784389,0.411683184,0.442971703,0.457205092,0.489937926,0.340793515,0.517008664,0.365807423,0.368254021,0.425632483,0.441895656,0.442323517,0.358177696,0.422759233,0.331616411,0.441420594,0.36828601,0.456929936,0.455030578,0.306821913,0.417394584,0.520828404,0.489627893,0.30871901,0.408485803,0.428788475,0.462973784
"NUMEX_BILL_MELTON_CA_2019",1,115,2,1,0.455950084,0.439661428,0.423757516,0.463029937,0.490906327,0.48876519,0.406858962,0.424740824,0.501972396,0.524192198,0.417693987,0.528203374,0.353178815,0.40152577,0.453699361,0.363570701,0.443595599,0.370992551,0.428560802,0.308502007,0.436466914,0.384358213,0.472124534,0.453906352,0.357711885,0.42851468,0.474235905,0.484557683,0.366390893,0.40509215,0.438287497,0.487470212
"AFX_779",1,116,3,1,0.461530635,0.454829015,0.439409485,0.475053108,0.495643748,0.484069238,0.42393059,0.438227197,0.516563116,0.522725695,0.521198638,0.688508892,0.389750252,0.404035715,0.483077125,0.335601948,0.437411151,0.385964066,0.438115551,0.279031561,0.443431829,0.376999003,0.48838171,0.42039857,0.334095348,0.430050621,0.479726764,0.489085612,0.34005428,0.428105702,0.441228128,0.480824501
"NM1703PAR",1,117,3,2,0.453925623,0.449832398,0.437159217,0.467895249,0.498085229,0.478827516,0.414986384,0.423697101,0.513100536,0.508789144,0.442646789,0.645736434,0.385923623,0.379938104,0.4644665,0.412371734,0.442182052,0.384514878,0.44052764,0.3279631,0.443253058,0.393677601,0.474507141,0.426422128,0.336632999,0.450155784,0.530064348,0.518149962,0.366344573,0.454575485,0.437964596,0.490438041
"SW_1011",2,118,3,3,0.439043683,0.431553283,0.42583438,0.452430481,0.487186094,0.481457328,0.399418687,0.408335393,0.479326857,0.491635514,0.363439605,0.609439124,0.386995399,0.353075268,0.434441691,0.417565752,0.429070916,0.359608878,0.425814153,0.297656404,0.438873361,0.371350856,0.450182647,0.411849485,0.323500958,0.420988371,0.550355514,0.447303881,0.379780735,0.438725834,0.429439145,0.459288806
"NM1715PAR",2,119,3,4,0.452971702,0.453749576,0.457379108,0.455711402,0.481082892,0.472989165,0.415601982,0.442044067,0.422688641,0.412099465,0.346297401,0.637414501,0.404932847,0.296965466,0.374306779,0.333593884,0.432694646,0.369523953,0.393188835,0.25894692,0.437003448,0.312295098,0.375668366,0.337343112,0.320202826,0.390325113,0.497576576,0.360632315,0.36589932,0.357147687,0.382906385,0.355716167
"NM1703PAR",3,120,3,5,0.455024135,0.450173697,0.468716636,0.473356868,0.492738246,0.498751252,0.350747309,0.427059582,0.483808939,0.474898386,0.326250957,0.666917465,0.390557238,0.358122824,0.450805583,0.341166454,0.436593762,0.379973428,0.448130374,0.272467732,0.450881484,0.389196452,0.490624218,0.462202006,0.322256424,0.45251112,0.519803485,0.504415783,0.381847764,0.450079687,0.459707361,0.490933777
