"Germplasm","Plot","Rep","Row","Range","gndvi_131","gndvi_145","gndvi_152","yld2","gndvi_160","gndvi_165","gndvi_173","gndvi_179","yld3","gndvi_192","gndvi_201","gndvi_206","yld4","gndvi_263","gndvi_270","gndvi_278","yld5","gndvi_293","gndvi_299","gndvi_307","yld6"
"SW_1011","300","1","1","1",0.292264782049877,-0.593034437041631,0.380935714848981,-0.820808321045235,1.02931766854348,-1.69473983483046,0.788191141943588,-1.05655900423604,-2.85451967727729,-1.86450151589905,-1.60463207810225,-1.01192037003266,-1.91969264487367,-2.60060557931378,1.469450696308,-2.88207271877218,-2.7885758151309,-0.262567392568974,-1.70876135325216,0.180157940421531,-2.49313631145903
"SW_8421S","301","1","1","2",-0.0988190862910867,-1.11936061093504,0.0648958625125641,-1.17586018865057,1.95352965644136,-0.442110570702052,2.72408801415724,1.83289361421403,-0.599032375506247,0.362202128629466,0.742292620248528,0.694765674985851,0.116105006090792,1.79605611563731,1.23313368249328,2.11283810204252,1.26937996056319,2.13028135296113,2.18708043553641,1.48444717106245,0.545489077958927
"NM1715PAR","302","2","1","3",0.486003583886667,-0.914575855594444,0.0040404949065253,-0.989691095938247,2.27260395539101,0.209805031671535,2.8571595613644,1.9017401593453,-0.155673274819957,0.420296330014451,1.1421055192605,0.950346984108088,0.556342125079538,0.75740183161578,1.30677178496678,1.24176868485302,0.731012502780221,2.42699146462402,2.54356609182066,1.57672624901503,0.745231181147789
"NM170506PAR","303","2","1","4",0.472865297066416,-1.26934958556396,-0.129368885601364,-1.41439598005777,2.02781602907726,0.083710346609973,2.52417348841878,1.69264466353463,-0.724721562375015,0.346540770682287,1.22406308311982,1.04927252359555,0.171927508298974,0.70255584837778,0.914340653583145,0.851043761055834,0.456143372227979,2.04668938513235,2.10574025035756,1.33162497057528,0.113147324902136
"SW_9813","304","3","1","5",-0.105663574959164,-1.09318285546732,0.319018207119861,-0.995644983555597,2.00297328129643,0.324733780589426,2.42684701928374,1.67754503622534,-0.546032137409583,-0.0922789709132974,0.766690880350516,0.726095477706773,-0.0926448893622352,-0.277510520788975,0.316265284338669,0.654598320017965,-0.0397049089000342,2.10211107185357,1.37743698250535,1.2011641583888,0.454089237948279
"DONA_ANA","305","3","1","6",0.789059397357819,-0.958512232421763,0.803707188935433,-1.30618818452501,1.82020735918425,0.204128702754211,2.41721603354297,1.21975058310219,-1.38064063307405,-0.732044849286229,-0.0868315370700313,0.392778506676221,-1.01949936404322,-1.15786560192541,0.875430279538052,0.399363849199969,-0.731956579690543,1.65136041430943,1.02210392029799,1.15008879790277,-0.219624124621789
"NM1712PAR","306","4","1","7",1.31748756403969,-0.118991907721646,1.93801307352721,-0.78866156650062,2.07557223714579,1.04981607387369,2.59957837007151,1.12363920896174,-1.20193436519673,-0.823565331708475,0.138778139054317,0.0396643939450376,-1.48782556749969,-1.67907979990577,1.15166988015965,-0.213095894417859,-0.916125743277233,1.66740023861761,0.991451819090371,0.992023805688935,-0.421827786693634
"NM1704PAR","307","4","1","8",1.42036008415886,0.188597269959595,2.02570490452217,-0.83459389976867,1.92870933284825,0.529431879588178,2.45860938949038,1.25567116984194,-1.691670415266,-1.61230986461453,-0.741479256051224,-1.10653889829914,-1.33629579691275,-1.85675414270514,0.801057561609939,-0.122468085549364,-1.35654400583579,1.46106443321865,0.972714742062021,0.789906034473035,-0.850206698502222
"NUMEX_BILL_MELTON_CA_2019","308","4","2","8",-0.168155917786142,-0.348742224372214,0.49626964839948,-0.233393078184059,0.670919940705681,-2.69296478052265,0.0290594655726006,-2.84879725701746,-3.04144530569304,-1.31941666369374,-1.47658498037283,-1.0352677296143,-1.55215909768862,-2.19454026288345,1.37421419534584,-3.33230499809867,-2.59903193259483,-0.0491599758176761,-1.37587882172453,0.20259385087703,-2.53728836274932
"NUMEX_BILL_MELTON_CA_2019","309","4","2","7",-0.560915081682353,-1.06982147787519,0.0424529182914955,-0.596682011929356,1.76298952633826,0.00471252666209331,2.43514333726612,1.78406174567824,0.24188338825636,1.2188847393425,1.77422597260257,1.2809115249579,1.2079626972257,2.37064241394753,1.04662251279734,2.46760334940635,2.00295726247241,2.30022407759965,2.31855778007812,1.61496125043253,1.12913208300009
"NUMEX_BILL_MELTON_CA_2019","310","3","2","6",0.327992645070609,-1.068922187584,-0.207441136371283,-0.480818951681211,1.96484721532184,0.407489581026161,2.36823321288822,1.29259427217815,0.481607938386306,0.96498079714102,1.71414646782171,1.19237252657712,1.45283374548228,0.981899461160895,0.919536045666312,0.901028498704171,0.988091221834533,2.35524067158652,2.35019828011329,1.61548877048004,1.30000986421453
"NUMEX_BILL_MELTON_CA_2019","311","3","2","5",-0.222839765436072,-1.27485183930075,-0.559452675479198,-1.07966526701707,1.67578436921599,-0.294958136598208,2.10181742888007,0.872481456638895,-0.434497411127117,0.429359138409379,1.37869075571562,0.947503614792906,0.55771718625811,0.468070544157711,0.380297489187187,0.620340404269722,0.304280886674317,1.82269678464538,2.10141792711036,1.44931082401322,0.513645048644477
"NUMEX_BILL_MELTON_CA_2019","312","2","2","4",-0.738794164007507,-0.819568080223515,-0.187459263629278,-0.706062992478187,1.67336553821727,-0.347788116053089,2.04731922680364,0.913598817493322,-0.441326738831168,0.108263241658386,1.09662203855652,0.650453853959193,0.312288053390937,-0.253375446486818,-0.141498426043518,0.67116820409909,-0.0959051129029713,1.76094289527567,1.35996111598568,1.36569667795644,0.593341670662501
"NUMEX_BILL_MELTON_CA_2019","313","2","2","3",-0.421254013739465,-0.806735196732418,-0.0533225186762255,-0.932852263816938,1.44569942006929,-0.768649389021318,1.93834795898505,0.341015087771653,-0.927227523091912,0.25767354924596,0.397603145834249,0.678768863858586,-0.156772113217361,-1.18448222325038,0.405477230222356,0.188261542187142,-0.518998714167963,1.31374414797563,0.810936938185259,1.35638171940406,0.0641634955631792
