"","Germplasm","Full_Model_gebv","Imputed_model_gebv_2","Imputed_model_gebv_3","Imputed_model_gebv_4","Imputed_model_gebv_5","Imputed_model_gebv_6","Imputed_model_gebv_7"
"1","AMERISTAND_803T",0.0243437969113716,0.0261624506178528,0.0272534713829689,0.0253074560292272,0.0261559099152824,0.0272672923735083,0.0215354854438176
"2","MESQUITE",-0.00237068264107581,-0.00126317331637318,-0.00231312057893534,-0.0047471512702341,-0.0041751702930884,-0.00479222417192204,-0.00378287450784592
"3","NM1701PAR",-0.00562744178591127,-0.00490027891938426,-0.00593854389906751,-0.00526629060089577,-0.00421543205923407,-0.0042740960363523,-0.00506196471020351
"4","NM1702PAR",-0.011289542365428,-0.0119470706177869,-0.0113332370153816,-0.0125301886715467,-0.0093877939208924,-0.0120329170052478,-0.0117002398542376
"5","NM1703PAR",0.0180398919621812,0.0193517693641302,0.0202221218311264,0.0188439767138341,0.0201754719254336,0.0201642924572951,0.0177734639681142
"6","NM1704PAR",0.0126350225801688,0.0131454705355901,0.0137359266333666,0.0118267369255943,0.0138876401760047,0.0127628062850745,0.0141666682200528
"7","NM1705PAR",0.0217814418863356,0.0228005803286125,0.0214758343300774,0.0220443379674636,0.0209670521744205,0.0228236288195915,0.0207969296689061
"8","NM170506PAR",0.00979596670760113,0.00964661373592997,0.0105445160721507,0.0113345164863113,0.0102731864708288,0.00926921936267554,0.00888345606296053
"9","NM1712PAR",-0.0234378628351355,-0.0219378881690489,-0.0231270364867403,-0.023170272597265,-0.0213607077856713,-0.0218497005206148,-0.0207265101677194
"10","NM1713PAR",-0.0456441802521207,-0.0457058330555731,-0.045915905790719,-0.0461232128003676,-0.046562000664979,-0.0467037689555714,-0.0407681172987776
"11","NM1715PAR",-0.0583732197382501,-0.0603979475663158,-0.0623377067284746,-0.0599665317065526,-0.0594665884173061,-0.0600035563643632,-0.0561660051614026
"12","NUMEX_BILL_MELTON_CA_2019",0.00229166730835518,0.00100828263110166,0.00192596089185036,0.00171414658198801,0.00288599624309672,0.00251257677560778,0.00245466944774485
"13","SW_1011",0.0120209491304365,0.010534026049177,0.00983567379349108,0.0102319476237352,0.0082988507275562,0.00846286026188189,0.00700976097474123
"14","SW_8421S",0.0168235653231899,0.0161059321257575,0.0169843442889638,0.0167969760173566,0.0161069681309432,0.0161917339294622,0.0144245298247401
"15","SW_8888",0.0164644591300971,0.0169078864098528,0.0164673675661384,0.0164621621429548,0.0148473740778787,0.0163819794335638,0.0152542103070333
"16","SW_9720",-0.00121057695845228,-0.00342706310636124,-0.0058307219322423,-0.00648855394456689,-0.00387648570082271,-0.00470671169074101,-0.00763183927219225
"17","SW_9812",0.0255730415073908,0.0255297861713506,0.0243354686784372,0.0248869066508113,0.0234108657544966,0.0250361759772073,0.0214213889120452
"18","SW_9813",0.0207389958301824,0.0173643808019831,0.0190261528637561,0.0206424282875635,0.0207586851414194,0.0205918051747345,0.016123546150741
"19","DONA_ANA",0.0401561871443739,0.040887144070004,0.0402507193183714,0.0433366889029373,0.0395857996979898,0.0403263200060606,0.0414678890694413
"20","AFX_779",-0.00156650039595391,0.000810748700859174,0.00262459670124365,0.00116997711099536,0.000274104123037199,0.00112777725395097,0.003052388695386
"21","AFX_149092",0.0210451921983096,0.0251000786535678,0.0245270164910638,0.0242710952713827,0.0214817928339149,0.0226213516896735,0.0212491572964594
"22","NUMEX_BILL_MELTON_FG2011",-0.01961867865107,-0.0208633376449174,-0.0195292697260137,-0.0212929637279859,-0.0179242766203729,-0.0193802243688776,-0.0190501735291059
"23","TMA_990",0.0441185084514184,0.0430484704319356,0.0423231199707418,0.0435053782754552,0.0418838887494451,0.0415963251317779,0.035624334844606
"24","NUMEX_BILL_MELTON_FG2012",-0.00569178800195737,-0.00799865072093529,-0.00570492440304224,-0.00697211510927149,-0.00437676007989528,-0.00461547639397644,-0.00255288739106374
