"Germplasm","yld1","yld2","yld3","yld5","yld2_23","yld3_23","yld4_23","yld6_23"
"AMERISTAND_803T",0.00671789890802612,0.00416046532175205,0.012368086135443,-0.00156550145475835,0.00134033886603462,0.00800180398814199,0.0241138700671406,0.0319828581104997
"MESQUITE",-0.000220841687051195,0.00639247702877585,0.00696743088584237,0.00131424792001712,-0.00175554784863012,0.00453469604894977,0.0254445336172243,0.0134780494985759
"NM1701PAR",0.00938337950546934,0.00862609017853706,0.00651686562990232,0.0143832343723852,0.0108182206442629,0.0088299931175083,0.00581123979201306,0.00216166913557294
"NM1702PAR",0.00114838446367415,0.0024474254077148,0.00625285972514554,-0.00873835127677362,-0.0178645512651731,-0.0168401975312989,-0.0060940485998437,0.0024602827807873
"NM1703PAR",0.00723119797271312,0.00454055617410396,0.00342844714302525,0.00624218365733203,0.000754653986373723,0.00108728904477153,0.0120270627606592,0.00947243356892894
"NM1704PAR",0.00611054290457925,0.00734781968818216,0.00297130097174609,0.0134215289630437,-0.000937130769172504,0.000450161763423756,0.00138501029798656,-0.00144199125750208
"NM1705PAR",0.00361504256700031,0.00498830055476756,0.0101874748558716,-0.00552940949778343,-0.00420832525000544,0.00289935895746053,0.019913774077778,0.00888896770985098
"NM170506PAR",0.013327747947561,0.0116281104115223,0.0233159922388919,0.0193393162535799,0.0153405814589511,0.0333353684344073,0.0303467709375823,0.0347692002457216
"NM1712PAR",-0.0125586218957975,-0.0110390440167044,-0.0137420801195435,-0.0356152673337474,-0.0224233139741985,-0.0381811186952908,-0.0314146987283389,-0.0514717140199054
"NM1713PAR",-0.0144393930672327,-0.0147521794237261,-0.0179696325357633,-0.0529274578877876,-0.0294103949961612,-0.0472566300054557,-0.0505000511543011,-0.0596887367873891
"NM1715PAR",-0.0190936542684901,-0.0170016349023866,-0.0181385011277357,-0.0309536436230458,-0.0326169208275293,-0.0485188335045846,-0.0539656159549197,-0.0660612991409585
"NUMEX_BILL_MELTON_CA_2019",0.0105163316337098,0.0111083648212368,-0.0017718312094946,-0.00122817239118473,0.0114406107560635,0.00098937523397228,0.00083640711258403,8.20363528492751e-05
"SW_1011",0.00303461359925153,0.0103356500981348,0.00646164873516297,0.0035331772260627,0.00408549512216045,0.0202656587658504,0.0251526580199263,0.0240505611737243
"SW_8421S",0.00499072897396438,0.00761046823655067,0.0134516734100993,0.0157326728721818,0.00515021282580851,0.0240740860511951,0.0305033830369141,0.0407116697725915
"SW_8888",-0.0105541253152664,-0.00624682451602078,-0.00647012774877978,-0.0263647102881066,-0.00393296074919049,-0.00523577043103511,-0.00317296666992313,-0.00940718008939122
"SW_9720",-0.00241004544708993,0.00292000186351647,0.00139046270836799,-0.00919406641925487,-0.00132011502439403,0.00252510498093313,0.0211385881422985,0.00856963973291465
"SW_9812",0.0104465578144019,0.00939475315773461,0.0108188112198794,0.0025214651448027,0.0132688798650743,0.0222804245771899,0.0246820170069212,0.0476600296188874
"SW_9813",0.00477566690238585,0.00810759276652152,0.00809500921673977,0.0136506295800047,0.00442083572364568,0.0155827277692559,0.0353871249669275,0.0307680276246424
"DONA_ANA",0.00980245514245052,0.00453413721267456,0.0117094617773788,0.0248535739137646,0.0270200112244574,0.0435811860832855,0.0309562097526447,0.0451502252379153
"AFX_779",0.000502200765901789,0.000365284720931456,0.00527404544104224,0.0130813393592961,0.00754084468579294,0.0167213479863093,0.0082287407030995,0.00788883546432599
"AFX_149092",0.00512847071477219,0.00576953705503132,0.0107236473106912,0.0152023569572479,0.00482392002251046,0.014349772966009,0.0156140779138825,0.0373494389277038
"NUMEX_BILL_MELTON_FG2011",-0.00278837406136099,-0.00365875806505423,-0.0142261204081944,-0.0321958460268501,-0.00381964982641219,-0.0223456534330093,-0.0161856711571017,-0.0279871491790145
"TMA_990",0.0188706117774161,0.0106953304292861,0.0117453437602804,0.0127446241656157,0.0214118424762537,0.0251047153313735,0.033626140411002,0.0711688711468878
"NUMEX_BILL_MELTON_FG2012",0.00158059332504249,0.00119138941202338,-0.00791624016058111,-0.000227592059430212,0.00874788886202342,-0.00600374827036602,0.00910494062582715,-0.0142544695589056
