"Germplasm","Plot","Rep","Row","Range","gndvi_131","gndvi_145","gndvi_152","yld2","gndvi_160","gndvi_165","gndvi_173","gndvi_179","yld3","gndvi_192","gndvi_201","gndvi_206","yld4","gndvi_263","gndvi_270","gndvi_278","yld5","gndvi_293","gndvi_299","gndvi_307","yld6"
"SW_1011","300","1","1","1",0.00401169922810612,-0.0153695756191756,-0.00619295501206344,-0.606900354754276,0.0310213698857874,-0.0288928780637158,0.0198821056967221,-0.0411536879300297,-2.59008478867834,-0.0370204871256117,-0.0599884863780622,-0.0231163195670695,-0.611951851182391,-0.0846111821567134,0.0207491971459254,-0.142414027816749,-2.0144221614289,-0.0154313271128415,-0.0468151122531994,-0.0145012522058078,-0.884193085782037
"SW_8421S","301","1","1","2",-0.00286903824741416,-0.0246120747037195,-0.0129700573992977,-0.851147524446816,0.0635156647193353,-0.00620953370399843,0.110021298311657,0.0542137189477702,-0.261466882851522,0.036492586969491,0.0548682394824175,0.0593503345593011,0.192236752206691,0.0831786609062052,0.0140378429951558,0.110367168583481,1.37429820578085,0.0769683461152313,0.0530514790997216,0.0568439601259436,0.342358271588303
"NM1715PAR","302","2","1","3",0.0074203436191823,-0.0210159721201012,-0.0142750290793878,-0.723078140427246,0.0747339722934012,0.00559573584030048,0.116217373111632,0.0564860235495969,0.196267434587863,0.0384105266744015,0.0744347814211391,0.0716999611834058,0.366140908993525,0.0435404873545011,0.0161291498236935,0.0662843055807541,0.924717956493873,0.0884257846233398,0.0621896857542551,0.061891667532889,0.422984843275454
"NM170506PAR","303","2","1","4",0.0071891883356066,-0.0272459413618124,-0.01713583610874,-1.01524099145074,0.066127493310778,0.00331233943156998,0.100712882041808,0.0495847526659829,-0.39123134256788,0.0359755381156707,0.07844572282501,0.0764800191636002,0.214287971328206,0.0414473995623011,0.00498418713146985,0.0465105964508017,0.695180062907466,0.0737404486034058,0.050966392621825,0.0484845164637395,0.167842068996691
"SW_9813","304","3","1","5",-0.00298946031922959,-0.0241523827998263,-0.0075207030360561,-0.727173936934424,0.0652540491427341,0.00767693293763155,0.0961811688737079,0.0490863841195968,-0.206748195963741,0.0214882091630384,0.0560622719428437,0.0608641829981367,0.109775567126506,0.00404511717551322,-0.0120010292397854,0.0365689347486567,0.281106755512429,0.0758805528420693,0.0322969576768782,0.0413482508811099,0.305464418789302
"DONA_ANA","305","3","1","6",0.0127523137200488,-0.0217875125502507,0.00287288129023911,-0.940802718598379,0.0588281968097141,0.00549294555173072,0.095732731102451,0.0339767160812215,-1.06841755044577,0.00036678308736221,0.0142915281340053,0.0447583881188402,-0.256354045600726,-0.0295518823555521,0.00387914058344485,0.0236520925445692,-0.296979223170159,0.0584748503118867,0.0231882967913758,0.0385544055029598,0.0335177542821856
"NM1712PAR","306","4","1","7",0.0220494895535414,-0.00704519834022588,0.0271967349482196,-0.584785969424383,0.0678065499833069,0.020807147773499,0.104223882678753,0.0308045261429925,-0.883917014824989,-0.00265470206718817,0.0253326956415505,0.0276960001730673,-0.441354060366309,-0.0494429848667412,0.011724287914615,-0.00734311683805602,-0.45077532893266,0.0590942269137217,0.0224025562425119,0.0299081787560205,-0.0481024339263325
"NM1704PAR","307","4","1","8",0.0238594307495001,-0.00164380879483302,0.0290771829764773,-0.616383725757173,0.0626430089615008,0.0113837260026962,0.0976600877391996,0.0351622877666768,-1.38953198079032,-0.0286945549376437,-0.0177464378250427,-0.0276882638138002,-0.381496188675354,-0.056223572540532,0.00176697082844705,-0.00275664737448856,-0.818560100112931,0.0511265854028533,0.0219222472063176,0.0188522450224169,-0.221019022321027
"NUMEX_BILL_MELTON_CA_2019","308","4","2","8",-0.00408895186063924,-0.0110797062112834,-0.00371975465262847,-0.202805844645746,0.0184204930431016,-0.0469693200246589,-0.0154645686941805,-0.100307146126083,-2.78307118458713,-0.0190248893608395,-0.0537219579242634,-0.024244458297097,-0.466767338434104,-0.069114507533014,0.0180445002825068,-0.165199270298333,-1.8561377318456,-0.00719061586475185,-0.0382819516304388,-0.0132739977305737,-0.902015209769214
"NUMEX_BILL_MELTON_CA_2019","309","4","2","7",-0.0109991645199825,-0.0237421476230126,-0.0134513199037975,-0.452719454300493,0.0568164796338061,0.00188180064019698,0.0965674618706863,0.0526020058345252,0.606714242908774,0.0647753682871045,0.105370279978605,0.0876727593065709,0.623546568935002,0.105106603401823,0.00874096448142729,0.128321039410593,1.98689441956718,0.083530671566608,0.0564217890228043,0.0639831394476694,0.57794773337124
