Trait,Genetic ,Spatial 
yld2-138,0.843,0.771
yld2-145,0.916,0.719
yld2-152,0.952,0.894
yld3-160,0.695,0.446
yld3-165,0.837,0.656
yld3-173,0.973,0.834
yld3-179,0.953,0.839
yld4-187,0.807,0.085
yld4-192,0.396,0.735
yld4-201,0.956,0.663
yld4-206,0.936,0.976
yld5-215,0.776,0.311
yld5-223,0.943,0.515
yld5-228,0.951,0.604
yld5-242,0.977,0.53
yld6-257,0.949,0.116
yld6-263,0.929,0.828
yld6-278,0.94,0.582
yld7-293,0.969,0.719
yld7-299,0.966,0.78
yld7-307,0.917,0.719
