"Germplasm","yld1","yld2","yld3","yld4","yld5","yld6","yld2_23","yld3_23","yld4_23","yld5_23","yld6_23","yld7_23"
"AMERISTAND_803T",0.760499895506757,0.497870564327426,0.450580195099548,0.727293167171665,0.766969942908853,0.519792052784894,0.302635956801263,0.55148224505366,0.657452473302256,0.71404156127801,0.553082937131868,0.763845155185246
"MESQUITE",0.109158003554297,0.307689666855712,0.227450692532351,0.214773847002672,0.234581280159638,0.0426354243453771,-0.326305192315753,-0.172863987711987,0.0976712320712112,0.140999916110652,0.0723278936921189,0.145677733117859
"NM1701PAR",0.239703019098306,0.23183276242084,0.0258351699854328,-0.0339986503858704,0.179090898775984,0.0592016647531991,-0.0656065099923747,-0.0984454690763595,-0.159626656254462,-0.0499599119568139,-0.0443811414834052,-0.0456411672836126
"NM1702PAR",-0.484720781502957,-0.375135782650695,-0.314486067959274,-0.17648589338284,-0.208019219424036,-0.225604904873685,-0.465506174377674,-0.516314705762438,-0.10749379387317,-0.0485303876727511,0.0251269400450102,-0.00465751320235567
"NM1703PAR",0.676792511451703,0.33585481851049,0.415545212411486,0.504465447765589,0.527626648347286,0.405332317388616,0.0468016243211724,0.441749885522692,0.473486206160844,0.586538857247492,0.570474418058417,0.503235949650632
"NM1704PAR",0.163911266789243,0.161738341053978,0.0943846985309496,0.149709352383313,0.295939528939742,0.319422475238247,0.290267675578554,0.357395144247278,0.284850279588829,0.239755596405984,0.297986601563087,0.0971305878896652
"NM1705PAR",0.398122965167216,0.622366526582613,0.745830513243752,0.576354290414609,0.428927257772934,0.366539315396583,0.224355624664314,0.725293884640844,0.598093707579311,0.617040289497608,0.525545181394971,0.374985013064807
"NM170506PAR",-0.0122856950388173,-0.0767031320609166,0.166840263672483,0.195787145717296,0.313407027093306,0.096941322779723,0.0494613887023583,0.298685498126327,0.261847444647781,0.363314943227775,0.293294152679733,0.311705413114106
"NM1712PAR",-0.517393680601874,-0.464685462423559,-0.369528485061417,-0.438995164454372,-0.665079838985367,-0.440724191697684,-0.588685677320019,-0.663605830310827,-0.492385487671648,-0.557452341468736,-0.496345504624714,-0.608668792799917
"NM1713PAR",-1.39473070662713,-1.35594064210579,-1.21515228313821,-1.21041352611756,-1.57596122023671,-0.871167484262796,-0.806649348753848,-1.18180069794969,-0.977100309886848,-1.25479805048419,-1.07755362660788,-1.17172733397088
"NM1715PAR",-1.88192468458833,-1.59338600622378,-1.41614676311476,-1.43540057047511,-1.25348422643636,-0.92141341744177,-1.09974166619837,-1.43359535363897,-1.29391267732731,-1.42715190139193,-1.23820594992298,-1.57284461645607
"NUMEX_BILL_MELTON_CA_2019",0.366414722753061,0.25527416285949,-0.149977278991885,-0.00112522978195235,0.00262859156022496,0.056125104965799,0.217272578435077,0.00669686519055726,-0.0670021558624837,0.123953236413419,0.115344259369418,0.0529220081708064
"SW_1011",0.838747451595471,0.835645146800224,0.672542919530313,0.578606329137463,0.796707284304666,0.191747146856819,0.19048064683696,0.424812765312558,0.410002731648771,0.237935464928157,0.113479688078908,0.26711629837734
"SW_8421S",0.267883239563657,0.432273560805136,0.51187434563619,0.42802706888806,0.589551377583342,0.154647126120817,0.214235999150198,0.419641093473784,0.425064032526034,0.482309210152977,0.439090582190675,0.457739306237168
"SW_8888",0.341593461334007,0.47146740107375,0.482236169755945,0.350623086173125,0.331986873038275,0.255844028631122,0.325730241287469,0.387891868951901,0.460007491223725,0.516044925305499,0.398426137577381,0.223330346864205
"SW_9720",0.312872512609583,0.54923925364696,0.178565087319596,0.317941441936621,0.210322100053805,-0.0711481397081385,-0.122653260172997,-0.0446146038923297,-0.0165994989137997,0.0613443561122062,0.0562026177962092,0.22314931447502
"SW_9812",0.785908492821315,0.608181444898882,0.889352331997197,0.742861357702405,0.625990741955373,0.47503007161587,0.400589146487622,0.779260365697007,0.599305695384101,0.723299591355532,0.670863431016692,0.658153346334173
"SW_9813",1.22052227830423,1.11602373946299,0.963355896945252,0.844269552318977,1.02686670119307,0.57637942944585,0.175515428627197,0.401474122714519,0.545878279039039,0.683375965240203,0.622222194320462,0.706276292199423
"DONA_ANA",0.894589971580265,0.738321384759244,0.905361835210263,0.900690034418181,0.732254835147888,0.518194470538103,1.0025725995424,1.23762200537113,0.934995939663529,0.85725316493397,0.657095731053383,0.662258637891052
"AFX_779",0.17022418637233,0.0574247441746755,-0.00661802111580879,-0.0774286965020277,0.0501382992344465,0.254441391870873,-0.0783673730896361,-0.0209272924659301,-0.0918722800059042,-0.0132744888630435,-0.00844877503465356,0.0125275476369496
"AFX_149092",0.303868238165478,0.260625092261014,0.60339814517933,0.485237082462044,0.596462919200421,0.37734458706256,0.356264822024493,0.568133424691261,0.340900694360143,0.232273702770931,0.400796297375183,0.743347075159672
"NUMEX_BILL_MELTON_FG2011",-0.116084532726352,-0.238082562837441,-0.444685949004901,-0.53300195952902,-0.509558565933224,-0.353961423379319,-0.142507256127271,-0.480003176720978,-0.564776696358895,-0.350750504033383,-0.481566481102981,-0.599638459565625
"TMA_990",0.756299455028876,0.850477564691824,0.679624314150414,1.09743444419534,1.03369952026874,0.503030998258178,0.563163985447081,1.05862481064775,1.16248221158977,1.05871968191853,0.829452903540904,1.22573110229352
"NUMEX_BILL_MELTON_FG2012",-0.00255875337488847,-0.094000917683566,-0.300099733174153,-0.435208804619635,-0.409676126887162,-0.109225627493361,0.258037034423053,-0.256380007454348,-0.360682913536355,-0.246183430748545,-0.0590455803297753,-0.247612747282595
