"","Germplasm","Rep","Plot","Row","Range","yld2","yld3","yld4","yld5","yld6","GNDVI_131","NDVI_131","GNDVI_138","NDVI_138","GNDVI_145","NDVI_145","GNDVI_152","NDVI_152","GNDVI_160","NDVI_160","GNDVI_165","NDVI_165","GNDVI_173","NDVI_173","GNDVI_179","NDVI_179","GNDVI_192","NDVI_192","GNDVI_201","NDVI_201","GNDVI_206","NDVI_206","GNDVI_263","NDVI_263","GNDVI_278","NDVI_278","GNDVI_293","NDVI_293","GNDVI_299","NDVI_299","GNDVI_307","NDVI_307","sca_yld2","sca_yld3","sca_yld4","sca_yld5","sca_yld6","sca_yld2_pred_slr","sca_yld3_pred_slr","sca_yld4_pred_slr","sca_yld6_pred_slr"
"1","SW_1011","1","300","1","1",9,5.95,0.35,2.75,3.6,0.0816952119800104,0.442585449930119,0.170723149886549,0.473638002209431,0.361022579939084,0.580072992404899,0.399351233654966,0.577209599889338,0.00950784906196098,0.286331143497193,0.116193282432877,0.418999061232442,0.248838104985857,0.404153882941544,0.29013329471343,0.467916387174981,-0.0101415495491799,0.447449663371332,-0.02711924125209,0.427142871717534,0.0219387711931225,0.437873682320326,-0.0934930251352023,0.468797352060208,0.132088141879687,0.425609709923765,0.141731369399203,0.395680511202232,0.100209537630473,0.448325612129044,0.278026324697053,0.436955900864212,0.211353972670554,0.170238411556256,0.0347326816345654,0.132603126204522,0.248864731632265,0.00714116771408257,-0.0434291161511389,-0.085059138180654,0.00074293565147015
"2","SW_8421S","1","301","1","2",8.55,8.2,1.05,6.3,5.2,0.0726640672514681,0.416198268647021,0.162053091114351,0.471887900459329,0.363147964282646,0.587542192699011,0.404688446076928,0.592149540205537,0.0465382963240627,0.190431974379228,0.163361018268394,0.419260894238992,0.329698724777379,0.523173593761829,0.383797324210051,0.587149110893061,0.0800102097036204,0.41967991041483,0.0980797201502991,0.383554490809142,0.11224865055462,0.387196358779004,0.0929849140300346,0.465177986519044,0.389028193645931,0.582006575815936,0.276868325577315,0.469414419539576,0.223371929667428,0.515401445569477,0.380488871602346,0.542994051553205,0.200786274037026,0.234614281472487,0.104198044903696,0.303781707304906,0.359471279024382,0.0147385944098458,0.089899959379415,0.0333395126654884,0.135074056472548
"3","NM1715PAR","2","302","1","3",6.5,6.7,0.85,4.65,2.7,0.0775133171348086,0.419800215690438,0.127887748919102,0.446970754113611,0.343697609893645,0.56679899326411,0.365328855613701,0.54084673375523,0.00126030169887226,0.187153860260407,0.0866291184053791,0.411397169527251,0.30553429524833,0.497212596107862,0.358737806871838,0.559233215682638,0.0387370801060882,0.439913521815708,0.0921960571878276,0.396537348206394,0.107361789559429,0.398152460927609,0.0458146757489798,0.455282035792494,0.352792925690157,0.551289877045605,0.173029660535505,0.413158922418952,0.166272563288429,0.44692247034729,0.326195745855744,0.49387559015694,0.152644535817622,0.191697034861666,0.0843507982553731,0.224219831582192,0.186648548724199,-0.0412890806531044,0.0542281833742372,0.0269327080855907,0.0638943263691963
"4","NM170506PAR","2","303","1","4",8,8.55,1.7,7,4.85,0.0776732380420412,0.400459453364084,0.133892952690176,0.470574332674246,0.340454820604541,0.585232855649918,0.389109288834594,0.590668789040832,0.0217698758646831,0.204120924884067,0.152629152754206,0.426975877365672,0.320951688194638,0.517961409704595,0.383835020786144,0.599005471569459,0.0915921969509206,0.415027393105674,0.159505748961993,0.403210377382115,0.158470764797345,0.3762244351882,0.126524789210882,0.467819297166877,0.404317737780641,0.608752486501847,0.261357526228237,0.478240049633731,0.219231966597689,0.512407409435567,0.372486347624321,0.538825654639965,0.187870197929381,0.244628305681678,0.168701596510746,0.337535230338784,0.335276096782357,-0.00743805807701375,0.089953619783181,0.0939379322878724,0.124582534957284
"5","SW_9813","3","304","1","5",8.6,8.7,1.85,6.55,5.2,0.0595891955778328,0.423319357127453,0.135917970802215,0.460847433996223,0.326573358012294,0.560886243707901,0.390986670428098,0.592452363661514,0.00982992106287738,0.268798071218218,0.140617385017983,0.396991675799111,0.306219729585548,0.488144244564618,0.37979666107402,0.586943626758026,0.042113709155636,0.369305383669014,0.122964963555968,0.362450122480569,0.143716848008882,0.357922174641594,0.0636468613067399,0.443556524021675,0.386157402475572,0.5746665218014,0.261510522740159,0.456483091148441,0.197698609684126,0.488519865216614,0.363166178531535,0.518867921201928,0.201960462774085,0.24892003034276,0.183587031496988,0.315836536959862,0.359471279024382,-0.0047656388609582,0.0842050867553899,0.0745951554532594,0.112363545694474
"6","DONA_ANA","3","305","1","6",8.85,8.45,1.2,6.25,5.15,0.103913839537442,0.395124396753817,0.165119066412869,0.511915873438365,0.364124017111571,0.585279502856891,0.442577854514337,0.633219746797043,0.0166381659112125,0.212637359684899,0.176347617711805,0.416197425869054,0.331821073332856,0.532646255601779,0.385978471960357,0.597331108487123,0.0417800462132497,0.368037621552686,0.107441175296527,0.357441492277342,0.144242653526139,0.366569736015142,0.0751985199167524,0.463469315936223,0.389913879839724,0.571480063040611,0.275218312179582,0.472078576756299,0.213789116603107,0.499940815500109,0.385673940216702,0.538428854687943,0.207831406459378,0.241767155907624,0.119083479889938,0.301370741373914,0.356014824418379,0.0686734915791114,0.0930047843021388,0.0752845004539485,0.141871819162796
"7","NM1712PAR","4","306","1","7",7.15,5.95,0.45,3.3,2.55,0.095044517054124,0.42832456830683,0.134953643087951,0.469440254734372,0.348324767344696,0.561469453428333,0.425589564520894,0.616128747795414,-0.0121882222932067,0.204989338482505,0.110635133346877,0.395728839641338,0.29165330342566,0.476579847698929,0.355362783616665,0.54011961457123,-0.0201093829493422,0.435862894776231,0.0367350870896813,0.402817126093614,0.0769495331977121,0.403618653837771,-0.0486940122110297,0.448573190508553,0.249557306542457,0.467387371370343,0.149753938820243,0.417646271486429,0.133416981454162,0.438619560537437,0.287587601074942,0.461554558885234,0.167908989399384,0.170238411556256,0.0446563049587269,0.159123751445427,0.176279184906187,0.0444909637523278,0.049423897962594,-0.0129385678796991,0.0132780229698547
"8","NM1704PAR","4","307","1","8",8,6.6,0.8,4.3,3.55,0.0911709519601645,0.357241534847505,0.151360912302533,0.49792635002719,0.354029926680428,0.594029758115213,0.437049106543933,0.636975134457227,-0.01394898550255,0.254129074668143,0.122316872096752,0.402472460648695,0.307147057696294,0.504024574182393,0.381729341183853,0.572376427717445,-0.0221290342890416,0.36722351402013,0.0288567419886582,0.372364636692386,0.0413416252542782,0.323344379613631,0.00328880543339219,0.447454360434803,0.309651081916843,0.510582897834016,0.193070548513032,0.429350509879506,0.168844542228606,0.469675928461126,0.317285788132336,0.478747892191703,0.187870197929381,0.188835885087611,0.0793889865932923,0.207343070065253,0.245408277026261,0.0608034174460955,0.0869562224232144,-0.0596214810865748,0.0522131351085485
"9","NUMEX_BILL_MELTON_CA_2019","4","308","2","8",9.4,7.95,1.3,5.55,4.25,0.0674774148830702,0.338125325305319,0.149011146570986,0.4955054480314,0.356442670275392,0.576841563662426,0.441632875187072,0.637578943016321,-0.0378982641387117,0.269300390294055,0.0797895040831716,0.417956619506348,0.28023412376525,0.479798521497868,0.38217519146692,0.571303952599472,-0.022260572461364,0.363657645074017,0.0481208910808307,0.39576197538284,0.0489344721007541,0.308851289324252,0.0275900476280374,0.442513016251139,0.349572526756459,0.547408969464706,0.195997657144786,0.426963146325025,0.186337036328436,0.470577148020644,0.34991881267924,0.503022886876875,0.220747482567023,0.22746140703735,0.1290071032141,0.267617218340036,0.293798641510312,0.0673283303600516,0.0875908823496113,-0.0496670571734874,0.0949958971573895
"10","NUMEX_BILL_MELTON_CA_2019","4","309","2","7",9.3,8.2,1.2,5.25,4.25,0.0797071463090315,0.399278636817837,0.133969906999317,0.483200966661174,0.350655932844031,0.569942782095481,0.438827764520562,0.632067814780233,-0.0386674378602676,0.291777506894927,0.0857668536327912,0.415707973506225,0.277412269942663,0.465586579847699,0.365025671356898,0.56406287248505,0.0242066419911941,0.431070420817465,0.0945267911958735,0.411469025432414,0.116238985295211,0.37508350947901,-0.00824914583324379,0.447094242061395,0.336190477137711,0.517279782986683,0.178622799078644,0.41814638801232,0.168809145344738,0.452408515971569,0.344181969564609,0.489906211240715,0.218399105092905,0.234614281472487,0.119083479889938,0.253151422754088,0.293798641510312,0.063335305354223,0.0631788463273477,0.0385709475101671,0.0874747434398719
