"","doy","GDD_sum"
"1",38,4.5
"2",39,9
"3",40,14.5
"4",41,21
"5",42,33
"6",43,39.5
"7",44,45.5
"8",45,55
"9",46,68.5
"10",47,79
"11",48,88
"12",49,94
"13",50,103
"14",51,113
"15",52,126.5
"16",53,139.5
"17",54,153
"18",55,160
"19",56,165.5
"20",57,169
"21",58,172.5
"22",59,177.5
"23",60,184.5
"24",61,195.5
"25",62,208
"26",63,224
"27",64,236
"28",65,246
"29",66,255
"30",67,260.5
"31",68,268
"32",69,278.5
"33",70,283
"34",71,288.5
"35",72,298
"36",73,311.5
"37",74,322.5
"38",75,335.5
"39",76,349
"40",77,359
"41",78,368.5
"42",79,382
"43",80,395.5
"44",81,407.5
"45",82,415
"46",83,424
"47",84,437.5
"48",85,451
"49",86,470.5
"50",87,488
"51",88,501.5
"52",89,518
"53",90,531.5
"54",91,545
"55",92,558.5
"56",93,576
"57",94,596.5
"58",95,615
"59",96,628.5
"60",97,640
"61",98,651.5
"62",99,668.5
"63",100,685.5
"64",101,698.5
"65",102,716.5
"66",103,724.5
"67",104,732.5
"68",105,744.5
"69",106,758
"70",107,774.5
"71",108,792.5
"72",109,813
"73",110,835
"74",111,854
"75",112,878.5
"76",113,892
"77",114,904
"78",115,915.5
"79",116,932
"80",117,954
"81",118,973
"82",119,24
"83",120,37.5
"84",121,53
"85",122,71.5
"86",123,92.5
"87",124,106
"88",125,119
"89",126,140
"90",127,162.5
"91",128,185
"92",129,209
"93",130,230
"94",131,254.5
"95",132,269
"96",133,285
"97",134,305
"98",135,329.5
"99",136,356
"100",137,380.5
"101",138,402.5
"102",139,425.5
"103",140,450
"104",141,471.5
"105",142,494
"106",143,518.5
"107",144,535
"108",145,551.5
"109",146,572
"110",147,597
"111",148,625
"112",149,650.5
"113",150,667.5
"114",151,684
"115",152,702
"116",153,22.5
"117",154,48
"118",155,73.5
"119",156,102
"120",157,128.5
"121",158,157
"122",159,185.5
"123",160,219
"124",161,247
"125",162,277
"126",163,308.5
"127",164,339.5
"128",165,368.5
"129",166,393
"130",167,419.5
"131",168,454.5
"132",169,486.5
"133",170,514.5
"134",171,539.5
"135",172,567
"136",173,594.5
"137",174,623.5
"138",175,652
"139",176,681
"140",177,712.5
"141",178,739
"142",179,767.5
"143",180,798
"144",181,830.5
"145",182,29
"146",183,60
"147",184,90.5
"148",185,120.5
"149",186,151.5
"150",187,182.5
"151",188,214
"152",189,244
"153",190,277
"154",191,308.5
"155",192,343
"156",193,378
"157",194,410
"158",195,443
"159",196,476
"160",197,508
"161",198,543
"162",199,578
"163",200,613
"164",201,648
"165",202,683
"166",203,718
"167",204,753.5
"168",205,789
"169",206,822
"170",207,856.5
"171",208,887
"172",209,31.5
"173",210,61
"174",211,90.5
"175",212,121.5
"176",213,152.5
"177",214,183.5
"178",215,214.5
"179",216,249.5
"180",217,281
"181",218,313
"182",219,345
"183",220,378
"184",221,411
"185",222,442
"186",223,472
"187",224,504
"188",225,533
"189",226,564.5
"190",227,596
"191",228,624.5
"192",229,657
"193",230,688.5
"194",231,720.5
"195",232,752.5
"196",233,779
"197",234,807.5
"198",235,836.5
"199",236,867.5
"200",237,899.5
"201",238,929.5
"202",239,956.5
"203",240,986.5
"204",241,1015
"205",242,1047
"206",243,1080
"207",244,1111.5
"208",245,1143
"209",246,34.5
"210",247,65
"211",248,94
"212",249,125.5
"213",250,160.5
"214",251,192
"215",252,221.5
"216",253,252.5
"217",254,284
"218",255,310.5
"219",256,338.5
"220",257,366
"221",258,390.5
"222",259,415.5
"223",260,439.5
"224",261,464
"225",262,492.5
"226",263,522.5
"227",264,552
"228",265,581
"229",266,608
"230",267,629.5
"231",268,652
"232",269,680
"233",270,704.5
"234",271,732
"235",272,759
"236",273,784
"237",274,806.5
"238",275,831
"239",276,855.5
"240",277,877
"241",278,899.5
"242",279,921.5
"243",280,943
"244",281,967.5
"245",282,989.5
"246",283,1011.5
"247",284,1032
"248",285,1049
"249",286,1065
"250",287,1083
"251",288,1102.5
"252",289,1123
"253",290,1142
"254",291,1159
"255",292,1177
"256",293,1195.5
"257",294,1213
