"Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","GNDVI_133","NDVI_133","GNDVI_159","NDVI_159","GNDVI_164","NDVI_164","GNDVI_168","NDVI_168","GNDVI_171","NDVI_171","GNDVI_175","NDVI_175","GNDVI_178","NDVI_178","GNDVI_181","NDVI_181","GNDVI_187","NDVI_187","GNDVI_189","NDVI_189","GNDVI_194","NDVI_194","GNDVI_196","NDVI_196","GNDVI_207","NDVI_207","GNDVI_223","NDVI_223","GNDVI_231","NDVI_231","GNDVI_236","NDVI_236","GNDVI_238","NDVI_238","GNDVI_243","NDVI_243","GNDVI_245","NDVI_245","GNDVI_252","NDVI_252","GNDVI_258","NDVI_258","GNDVI_259","NDVI_259"
"HI-GEST_360","3","3","25","322",1.7,1.83,1.21,4.75,0.387595931614608,0.236834675221888,0.186199262787668,0.326099906659715,0.56415681767823,0.213193591109807,0.460522604615844,0.15954597988682,0.438908676620495,0.115686695263872,0.36668439872212,0.194150008892154,0.372276458151971,0.248936694830368,0.48239049171195,0.15651414362667,0.432168890343631,0.233189110686753,0.525318590145343,0.236946217875093,0.511918674384647,0.231589896646314,0.526268469473097,0.218049487492374,0.501155112383336,0.272095950278164,0.518918998406719,0.205546369007801,0.346247751897179,0.20914522980161,0.469632042077863,0.221131569074687,0.457239403877288,0.224461485077304,0.379071575801479,0.250234539234337,0.473702337983286,0.21413775524602,0.3334909858482,0.276502566795871,0.448022012775333,0.219208045704875,0.386994981290677,0.231750523626327,0.396202845554084,0.0707914428853901,0.310121170640202
"LIGHTNING_BOLT","3","3","26","323",1.86,1.9,1.29,5.05,0.424075548707748,0.245893925093764,0.19850995784801,0.322022795977431,0.564877514495577,0.209336547308285,0.464991407190896,0.167134865344147,0.442289526031618,0.123418057534205,0.368979307717108,0.196396361997901,0.369424111092019,0.24193116099015,0.475415862137735,0.147156117381196,0.432431257601251,0.20936982456396,0.517310767925058,0.215590424215964,0.497234106735984,0.212620786954422,0.514862216122322,0.196900338001799,0.486971794895687,0.253667079640598,0.502739615789884,0.197628918306605,0.363832083168838,0.196161517436541,0.457481486189166,0.207726163113898,0.440729793681763,0.220393183158955,0.390934181448717,0.253981869320592,0.467275003407586,0.212066646582954,0.354455637612051,0.261879507119083,0.422352622263327,0.219059666544952,0.373861686972045,0.226388310501695,0.399419776512756,0.0799715390433728,0.321538715033525
"WL_358LH","3","3","27","324",1.54,1.74,1.11,4.39,0.351116314521468,0.225187068243763,0.170810893962241,0.274402765902829,0.503048666118397,0.205283127343399,0.453234820498248,0.15020423069778,0.417683036517359,0.127699693557119,0.370373252439989,0.197140741373183,0.372451861294201,0.229178596404002,0.44716889887806,0.145342777491263,0.409842455107126,0.213129515868584,0.498467185961142,0.228538335421693,0.493217433249896,0.220402949247845,0.507650020908837,0.203345821981604,0.484665535566466,0.253577621291679,0.495514488981433,0.173077583475753,0.300385284613473,0.205248957925321,0.440475073602009,0.216588842158901,0.43347641385418,0.23003409065287,0.368557460464107,0.265111572045912,0.464859770321718,0.212944973709812,0.322892859881893,0.266465519174819,0.423180661842901,0.217985074273195,0.370082817570803,0.221630258022396,0.389690855977975,0.0812271517734725,0.293831610700961
"SW4602Z","3","3","28","325",1.78,1.71,1.19,4.68,0.405835740161178,0.221304532584387,0.183121589022583,0.293617015797311,0.50930408059183,0.226012166849872,0.476597313136244,0.192235731879072,0.446875276311738,0.116577652400612,0.35915105952695,0.177104083970895,0.35998541821792,0.20271068639329,0.412353463151625,0.134175516873202,0.391022892954412,0.191011281068029,0.478487181782911,0.209916842844235,0.480556033583646,0.215710432714268,0.498242656887764,0.198765873703373,0.471560862583589,0.242496041759751,0.485679650756872,0.171699429429219,0.288986562559401,0.191434068259992,0.416240988686809,0.211104174181812,0.420960604425256,0.226588754300254,0.352173481928384,0.258531096727398,0.466950866582122,0.219373728821322,0.32236036987078,0.263043321000058,0.415778757763542,0.234011747857797,0.386839986522194,0.249610853371354,0.421133598133787,0.124328096579229,0.32729509083045
"SEEDWAY_9558_SBR","3","3","29","326",1.77,1.54,1.29,4.6,0.403555764092857,0.199303497181261,0.19850995784801,0.282788619313805,0.501246528620726,0.219866136736919,0.478331112857967,0.190929557401379,0.451439707381424,0.101797344109649,0.372969459831765,0.156460886547984,0.354809984247399,0.166612329259583,0.374597004476705,0.0920373677072472,0.362377126261209,0.163154961404297,0.454473310300474,0.191190558723161,0.474230809345015,0.201524109486719,0.491803154911254,0.182869092127061,0.464197462004042,0.232895270550469,0.484914644542865,0.194601072570883,0.344187685514176,0.174528767702817,0.410684316257072,0.20331939792094,0.440399767528748,0.216512850874767,0.370495217897975,0.234919467457432,0.478409390953728,0.212580326597928,0.373595261859533,0.250360685255948,0.413691605674528,0.223962455084148,0.387246553865575,0.222886975380525,0.419549629069205,0.0894765918217257,0.302181071523632
"PERSIST_III","3","3","30","327",2.15,1.88,1.28,5.3,0.490194854689063,0.243305567987514,0.196971120965467,0.355363378780127,0.571698637544406,0.22352159015739,0.488722593274705,0.182618980711102,0.432995318646146,0.102588240760163,0.380696093085964,0.162869140788574,0.370464005749979,0.191200086122711,0.414456032785927,0.121941290344549,0.403582935145016,0.1951811192812,0.496084847942221,0.203299867393103,0.493689377346683,0.219010692758964,0.50998334441323,0.202030497120294,0.491671563888204,0.246062412403559,0.503187040042462,0.202554020032912,0.351920135690369,0.19015973175798,0.44667536339363,0.217942324119586,0.463670278273624,0.224561500326518,0.385369042494742,0.242768424116366,0.478771477344054,0.224504100694709,0.35948872957846,0.25930739169008,0.432872326666277,0.225025960660492,0.397372773649707,0.218819138166093,0.406753320683112,0.0665407466395107,0.311720090751233
"LANDER","3","3","31","328",2.04,1.79,1.45,5.28,0.46511511793753,0.231657961009388,0.223131347968693,0.326910047749054,0.554060086653572,0.201561814934415,0.481882520245692,0.178688114011448,0.418031420519278,0.113585028752759,0.378938714499253,0.181519100020425,0.369340122652436,0.204468376386248,0.426948049449746,0.119655275579581,0.40225218351213,0.194138252676939,0.497783746679798,0.190391971452199,0.483632926574885,0.197798133504935,0.501607514314512,0.183035487126429,0.482175850072161,0.238904105167999,0.496506327072106,0.184555157877915,0.328790922782237,0.174595673095732,0.441143411112451,0.19816958088682,0.451578037001674,0.215472531662411,0.398058929681695,0.226150870790282,0.471644007135813,0.219910629751261,0.364353952503789,0.254987434577827,0.447851114153247,0.218214027415063,0.408412988348791,0.206423215794929,0.409769245318706,0.0808616480094483,0.318427435103596
"SW315_LH","3","3","32","329",1.77,1.3,1.13,4.2,0.403555764092857,0.168243211906259,0.173888567727326,0.287461655711891,0.507783688754071,0.225496101228791,0.487185357978197,0.194657396631599,0.424849343407088,0.113987211074241,0.371824056977051,0.156242291536738,0.349161329436637,0.132679641516786,0.333942760056695,0.0590410156195612,0.316119709675073,0.146133616829114,0.420560266822213,0.188650951996089,0.466893512724239,0.19516600608281,0.485913251556547,0.188829589496274,0.472797988031822,0.23644365850947,0.492352378541086,0.183999737220463,0.326959395242064,0.158648540705305,0.385717355316876,0.204093353237869,0.43505197090304,0.222507587168225,0.359109546952684,0.226565477630441,0.470145903479237,0.219038763633255,0.342036324887771,0.266195662984341,0.445430976360768,0.239984484003231,0.416122648034191,0.250661946578299,0.422628759479122,0.103870604096683,0.327180754654803
"NY1614","3","3","33","330",1.93,1.53,1.43,4.88,0.440035381185996,0.198009318628136,0.220053674203608,0.28897895093947,0.5340417594606,0.219810729509473,0.489910700857735,0.221003655417126,0.450986476117034,0.0982348470828629,0.379758638881562,0.146542209998858,0.361068280606628,0.160342842719397,0.390075578147435,0.0862335830911125,0.368154194580885,0.160052577948147,0.469642821914773,0.18364851364919,0.473775292031706,0.199813088978114,0.497181274259613,0.191505362404053,0.481789056506493,0.222322434385211,0.485310193832869,0.190227034815007,0.324956792560425,0.169638124812281,0.429242595496465,0.204200942850535,0.458590504656344,0.206563006350963,0.377345749650922,0.221394143073765,0.469877930608396,0.201762317066592,0.357142631063725,0.267763596203347,0.446914423337573,0.23911847374011,0.426767631984962,0.261199361209271,0.438057919845323,0.123337823861058,0.344612348615917
"NY1615","3","3","34","331",1.78,1.45,1.37,4.6,0.405835740161178,0.187655890203136,0.210820652908352,0.250942850228542,0.517387423589751,0.216138248388627,0.489371365586199,0.199927787279928,0.441072584997302,0.0944204818861267,0.396081655382631,0.142302025637591,0.385798045433818,0.158593312713356,0.40355234796706,0.090506988126445,0.364636132672465,0.170882351362646,0.470489672604358,0.193555744390497,0.474451397580309,0.206932570048863,0.495644282594554,0.199335731606048,0.477852552558245,0.231981584297926,0.481506838980302,0.209078351807364,0.360303841148689,0.174955959313567,0.430989088883826,0.204852285205628,0.445213306211687,0.21586698532765,0.385373941830882,0.216622667381784,0.458690469222515,0.213020487909803,0.390049506392595,0.252350110972308,0.4049682436938,0.217679198068365,0.380820372767738,0.240375818744651,0.410512966476913,0.0947233045965123,0.299971228310329
