"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","NDVI_133","NDVI_159","NDVI_164","NDVI_168","NDVI_171","NDVI_175","NDVI_178","NDVI_181","NDVI_187","NDVI_189","NDVI_192","NDVI_194","NDVI_196","NDVI_207","NDVI_223","NDVI_231","NDVI_236","NDVI_238","NDVI_243","NDVI_245","NDVI_252","NDVI_258","NDVI_259"
"ALGONQUIN",1,113,1,16,2.14,1.94,1.43,5.51,0.487914878620742,0.251070639306264,0.220053674203608,0.544405112078424,0.499030702435633,0.48827232116088,0.277710952841525,0.344494232682502,0.352487030445174,0.394262731589721,0.521212284000358,0.572998930955361,0.551625807313447,0.54924546509425,0.605564349491005,0.527825453450511,0.412760889590736,0.453387628310229,0.478999404984294,0.463744282649701,0.534294843863471,0.428827500868521,0.517933565325224,0.43414981776719,0.427224008574491,0.362478547980278
"SW315_LH",1,114,1,17,2.18,1.77,1.31,5.26,0.497034782894027,0.229069603903138,0.201587631613095,0.533142380028442,0.491529593831384,0.459460063744693,0.26540637181629,0.325275218209647,0.326467364271108,0.344509434807942,0.492270421106038,0.553515722778473,0.540649210468001,0.516350518788506,0.592237306771275,0.504192017226872,0.410344489772046,0.436059250919932,0.484053855840148,0.445136777905988,0.534620882515527,0.384829185911653,0.515199380000139,0.434301843740209,0.426067923418027,0.361155572755418
"NY0465",1,115,1,18,2.34,1.97,1.59,5.9,0.533514399987166,0.254953174965639,0.244675064324291,0.553642760492238,0.488962945740439,0.481693799844097,0.29596266010141,0.323090774364714,0.366311262995646,0.400690479352012,0.526992417104141,0.548412468710889,0.537576375336865,0.49881447144075,0.584457505494395,0.497745466643227,0.44450541737948,0.461258910794514,0.499625693608424,0.466702139545277,0.533166605072372,0.396229000074606,0.510537067451902,0.420549989064061,0.43051636088519,0.359844987768863
"HI-GEST_360",1,116,1,19,2.06,1.97,1.38,5.42,0.469675070074172,0.254953174965639,0.212359489790894,0.572800445641353,0.487736407275094,0.474845745637705,0.299040124270934,0.349123088378487,0.445595911399323,0.457708271813156,0.571805739554548,0.562100803087192,0.555355736169787,0.522755222570956,0.598699076794753,0.520033351706117,0.43824991592461,0.486505777217852,0.506221235141904,0.48477825254678,0.537510013146634,0.376159654068784,0.519900445521964,0.418289500907387,0.412756026311918,0.350286069178803
"N-R-GEE",1,117,1,20,1.98,1.86,1.38,5.22,0.451435261527602,0.240717210881264,0.212359489790894,0.559631929644991,0.477242598265616,0.469965371469689,0.273225475541487,0.33272447456784,0.440904429419748,0.448844389372071,0.558613242398409,0.540506883604506,0.537239365532943,0.506136035332007,0.577547885937204,0.492428499249778,0.42055957655247,0.468965345051433,0.485723460829286,0.465937365486977,0.522212467076383,0.355312688345739,0.511055737431449,0.406576814626966,0.406293174064972,0.342215039862099
"PLUSS_III",1,118,1,21,1.84,1.91,1.13,4.88,0.419515596571105,0.247188103646889,0.173888567727326,0.577353147732949,0.448168692158462,0.436655172098384,0.285828717137079,0.379521359283671,0.486171649994166,0.482377592693659,0.573716815482867,0.553472569879015,0.5511403715697,0.519249202693125,0.590495914769388,0.505397055830591,0.36674036057376,0.479670805057802,0.496038302406354,0.458496387375874,0.520857152147758,0.336588875906218,0.523867388146325,0.421160982934024,0.390420738499044,0.333296439628483
"SEEDWAY_9558_SBR",1,119,1,22,2.22,1.68,1.26,5.16,0.506154687167312,0.217421996925012,0.193893447200382,0.544409893179004,0.476310910837765,0.445673832224021,0.279774612386061,0.337054273186068,0.402743189733314,0.41257436096638,0.522721968543886,0.528489648518982,0.53638752475106,0.502920953674009,0.572499013861841,0.48800563432036,0.371338772645524,0.434382003731849,0.464201502760596,0.467876794592481,0.509943144229071,0.34934231994815,0.511166566563374,0.434505665998688,0.42681924216632,0.359154086974156
"NY1517",1,120,1,23,2.19,1.67,1.37,5.23,0.499314758962348,0.216127818371887,0.210820652908352,0.547117660829255,0.493545121166605,0.452842237812556,0.28768691931182,0.348201534842267,0.393065770378476,0.382845024877565,0.511584630801215,0.524491421568627,0.544321653424403,0.491192564375148,0.580812031659489,0.493018179440559,0.414397216007954,0.434517666715809,0.473788312784535,0.461985280994425,0.511587776097143,0.366474273325149,0.50458518394951,0.426676440046424,0.444240590126726,0.321054792957907
"SW5606",1,121,1,24,1.88,1.86,1.25,4.98,0.42863550084439,0.240717210881264,0.192354610317839,0.563154580608978,0.519601802748007,0.459175752680935,0.287466367713004,0.377018827045586,0.474425930799288,0.465794767550694,0.562772468255037,0.546122887984981,0.566667238532307,0.510898508625136,0.60095164072719,0.512299337368963,0.425223348101358,0.482893657197063,0.487397567354394,0.471395785871014,0.508985269729782,0.360727040345328,0.497329899701816,0.404944463163619,0.396135989879823,0.302644080256537
"EZRA",1,122,1,25,2.14,2.03,1.44,5.6,0.487914878620742,0.26271824628439,0.221592511086151,0.553088895648919,0.503571336307909,0.459311177070216,0.294109147395879,0.370784754176512,0.428255546783504,0.429437612352837,0.542696600710299,0.532745880267,0.562993245283896,0.506393219938578,0.590364570623793,0.508076758810998,0.407935254638768,0.461109547487256,0.484755559245575,0.475794829800562,0.507393880271843,0.356031527488585,0.513787003635201,0.435857111611603,0.419204968160898,0.340713376200683
