Trait,Genetic,Spatial
yld1-133,0.49,0.34
yld1-159,0.31,-0.1
yld1-164,0.03,-0.17
yld2-168,0.06,-0.07
yld2-171,0.28,-0.05
yld2-175,0.54,0.24
yld2-178,0.56,0.42
yld2-181,0.52,0.24
yld2-187,0.33,0.17
yld2-189,0.35,0.2
yld2-192,0.32,0.1
yld2-194,0.27,0.21
yld2-196,0.3,0.41
yld2-207,0.32,-0.14
yld3-223,-0.47,-0.49
yld3-231,-0.5,-0.43
yld3-236,-0.48,0.17
yld3-238,-0.5,0.14
yld3-243,-0.35,0.15
yld3-245,-0.35,0.13
yld3-252,-0.1,0.23
yld3-258,0.24,0.36
yld3-259,0.05,0.48
