"","Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","GNDVI_131","NDRE_131","NDVI_131","GNDVI_145","NDRE_145","NDVI_145","GNDVI_154","NDRE_154","NDVI_154","GNDVI_159","NDRE_159","NDVI_159","GNDVI_162","NDRE_162","NDVI_162","GNDVI_164","NDRE_164","NDVI_164","GNDVI_175","NDRE_175","NDVI_175","GNDVI_178","NDRE_178","NDVI_178","GNDVI_181","NDRE_181","NDVI_181","GNDVI_187","NDRE_187","NDVI_187","GNDVI_189","NDRE_189","NDVI_189","GNDVI_192","NDRE_192","NDVI_192","GNDVI_201","NDRE_201","NDVI_201","GNDVI_203","NDRE_203","NDVI_203","GNDVI_210","NDRE_210","NDVI_210","GNDVI_215","NDRE_215","NDVI_215","GNDVI_223","NDRE_223","NDVI_223","GNDVI_236","NDRE_236","NDVI_236","GNDVI_238","NDRE_238","NDVI_238","GNDVI_243","NDRE_243","NDVI_243","GNDVI_259","NDRE_259","NDVI_259","GNDVI_263","NDRE_263","NDVI_263"
"1","SW4412Y",1,1,36,113,1.66,0.63,0.52,2.8,0.196905191087492,0.204655874628428,0.102121198538912,0.169357680418153,0.314060375465346,0.433960789002354,0.254274210060753,0.310847735320543,0.537978040272713,0.193290367916925,0.463660448769938,0.503501105,-0.0620985887887745,0.547377765072299,0.512364756137058,0.0210219709276661,0.477078379207111,0.442038599879638,0.0258411979384575,0.253885864793679,0.233372703048226,0.301920436634497,0.347774173909392,0.539604982785405,0.217758680346703,0.274722086597179,0.521196779,0.298564760912243,0.354781180884392,0.55311437,0.190013129829867,0.244056898034005,0.449249577835724,0.283235165993897,0.375569684146966,0.456102419314893,0.280736032278359,0.395178630863042,0.45976540504106,0.152942231546952,0.31808110942851,0.349537889252613,0.0927885635434326,0.399205070642432,0.398350847883213,0.0795372121637068,0.413331433395141,0.427960717,0.154330698863169,0.446683810136076,0.441904812926992,0.269054289700344,0.357326718321737,0.494660157073582,0.160334085848352,0.254637161246395,0.421347486362966,0.217583096950651,0.282690883790393,0.445329478321535,0.173371683206574,0.291445002193089,0.444557293781915,0.202322914269574,0.253818902537777,0.367843720496193,0.117719673816976,0.291265486125246,0.356858402876722
"2","AMERISTAND_427_TQ",1,1,35,114,1.34,0.72,0.61,2.67,0.158947563889904,0.233892428146775,0.119796021362954,0.153713328044616,0.345328953679073,0.412417325837387,0.244918849970928,0.296865651921146,0.549971064,0.182757964391476,0.459618656870696,0.53133804048789,-0.0590210479923484,0.541915316851378,0.504378847214156,0.0412215517884332,0.44832732671195,0.408325546972281,0.0459811021748095,0.260179253838697,0.244352753541608,0.311238506291576,0.352778171,0.552878854533266,0.235429112336726,0.282875628297752,0.547173102369782,0.311466086419519,0.340567053834012,0.573788362910616,0.209895962337736,0.284193358608576,0.474610880853613,0.310824624303913,0.410766505567703,0.492202267650715,0.325093764004586,0.428733224900935,0.509481031656818,0.179575414192039,0.312758751556227,0.33020212676532,0.0988397415104214,0.384260815534265,0.402902960330363,0.100928457492087,0.405732652165218,0.408952816445547,0.173956279381547,0.441872985753441,0.433229420800578,0.32072624368976,0.368322663116971,0.537948730138607,0.190461668064066,0.281152183321103,0.470604446104123,0.250480280369219,0.332425234330634,0.500959144477837,0.206480054582426,0.335668808699951,0.492669193167463,0.204119218727409,0.274710293115201,0.390848006798927,0.122945711768291,0.287582603975846,0.341455322613474
"3","VERNAL",1,1,34,115,0.83,0.54,0.49,1.86,0.0984525955437462,0.175419321110081,0.0962295909308978,-0.0713924201115208,0.506061575754166,0.358206037077672,0.0315908676661731,0.448217060409069,0.385115612282649,0.152929437765443,0.423512555062577,0.513200228996708,-0.0755341578254701,0.516528147144301,0.516374852960989,-0.00510314658866228,0.500312610931077,0.420219323859581,-0.0150867929227732,0.243947165875684,0.204332227712719,0.158950704042221,0.360849777945366,0.443861812887548,0.0720781790290716,0.349167616041966,0.425737269525878,0.176256954150066,0.32164994698638,0.471263499282757,0.129105688701308,0.322960749,0.415543613013565,0.249542669094181,0.387686246147446,0.454448753947095,0.244665052949755,0.390252283255568,0.45408788048154,0.133280427437731,0.34576920048217,0.374800660661752,0.0808068927942032,0.392061769553771,0.401070637460005,0.0535543188057273,0.441062016204331,0.411430980994548,0.111099838884365,0.448418840860335,0.429142534698591,0.154772419388943,0.374442322726504,0.428019090179175,0.0979951368931519,0.259551423728863,0.366298594435929,0.16499481413452,0.293262976851686,0.407452225973645,0.145616235161165,0.299561687688774,0.411323543115876,0.162870410848338,0.25981753921126,0.354766721710063,0.0902300079453952,0.265219064873452,0.346166704750713
"4","HI-GEST_360",1,1,33,116,1.36,0.78,0.63,2.77,0.161319915589753,0.253383463825672,0.123723759768297,0.148035548631902,0.418124243958703,0.389954848510423,0.242327111952479,0.29285397177739,0.548032873526769,0.227824533593072,0.495639839066202,0.539671771384953,-0.0652909467650931,0.434327593746863,0.512919259520175,0.0322716524675382,0.455632149686817,0.384818076214978,0.032404805339703,0.254421730333867,0.221366055692191,0.306939571342079,0.368197479741361,0.565418739765714,0.221853173417683,0.273949731462415,0.54864693381262,0.317030610981433,0.355810748571511,0.581640375749027,0.237922227386677,0.348083622868159,0.488739996542161,0.346802534974074,0.451326766722568,0.528664293818093,0.352008078182536,0.465242078469052,0.526677300577539,0.203983124265478,0.364961758176912,0.354530358,0.105570369595157,0.363740857612014,0.405709086857125,0.108063629975901,0.38539212674317,0.39743814945333,0.178196107005668,0.448259631721541,0.442807013515789,0.309942170532343,0.359839632089395,0.529752134724858,0.187291156812519,0.281656744782507,0.449280138718217,0.257503998452845,0.367985661973089,0.510354619566072,0.226362035993575,0.401136783480515,0.510275891178389,0.18322918813836,0.263533411133555,0.390608877869795,0.120594443905329,0.302784623838437,0.339269684011229
"5","55V50",1,1,32,117,2,0.86,0.65,3.51,0.237235169984931,0.279371511397536,0.12765149817364,0.208429611029964,0.35118077537661,0.459932363352214,0.270524401480656,0.338422784208023,0.552287537656572,0.226723550112373,0.501330725,0.515848639536918,-0.0553261029189615,0.397500537430396,0.513741939253065,0.034419431891169,0.454665562286169,0.365802883349174,0.0376586810161706,0.241910998530194,0.21607142633768,0.318880287779293,0.393046128707893,0.559908533391989,0.233175022985381,0.315297915148256,0.559616051400712,0.325058098328002,0.392577853260218,0.58528884027308,0.227714574053859,0.34935216417009,0.488440633,0.313954129628435,0.437005785920926,0.493188070792444,0.321125748719245,0.455713526421079,0.503455403920742,0.176238399612379,0.343503598448783,0.348517144898142,0.106894086410359,0.364850448864724,0.410579707983105,0.0796731395850892,0.405226509699782,0.381471422536061,0.172271335207917,0.448396653601478,0.431635487517652,0.307588563137308,0.348532317021636,0.526418425667681,0.178253568910188,0.276374770769015,0.43867624262372,0.238455467138451,0.359275537094109,0.482922608679007,0.221660253909457,0.397487999121217,0.484983687592684,0.177970095047639,0.232091914661384,0.356155669,0.120401185284422,0.31899060956236,0.346546865138952
"6","PLUSS_III",1,1,31,118,1.44,0.62,0.51,2.57,0.17080932238915,0.201407368681945,0.100157329336241,0.197310258859617,0.392467836,0.449639678922741,0.25967877065149,0.309861925902436,0.555211008931875,0.199515386991267,0.482369956904092,0.53682807754083,-0.0646295518929484,0.390171737035943,0.513134050895027,0.0420539749540505,0.440670560787196,0.388340699826225,0.0551377475808287,0.25567125712323,0.234503636514061,0.320727644706274,0.376736372967991,0.559684122046254,0.198206637172394,0.290549411151445,0.541158898300088,0.288871641240855,0.356244692640942,0.551022251327739,0.18633583138363,0.307879253328718,0.460992657199568,0.277209020738618,0.400035571123338,0.449756438255148,0.272463912251919,0.420160157582837,0.449020340494477,0.118925833697621,0.343856573,0.354911046902542,0.0969502770133151,0.382802309220201,0.41150186681721,0.0949572875366587,0.381063388191042,0.398437360961802,0.164510474976686,0.447582566724322,0.435208272744435,0.283956571469123,0.320191071052077,0.507102308665402,0.149233192479391,0.2497146463221,0.39941293709482,0.187054775280716,0.281811805218735,0.438578175021813,0.18350983804832,0.334387892143159,0.447922840369024,0.144329349613249,0.211943219377359,0.34769117165364,0.0911724096412348,0.282362032702354,0.332510753782482
"7","WL_358LH",1,1,30,119,1.25,0.51,0.48,2.23,0.148271981240582,0.165673803270632,0.0942657217282265,0.150434467152141,0.407267372,0.385449581335935,0.238822532524724,0.343341789546007,0.518798953543682,0.191491420477026,0.506075568913697,0.52407725458391,-0.0548782600039244,0.325310177973228,0.520599608486469,0.0424258807869835,0.436939237443079,0.342577048988436,0.0499023248587558,0.238315771264394,0.214765174705607,0.29803685136555,0.362656662928156,0.536804862641967,0.19083746432852,0.255660989284442,0.526022671789755,0.288864366955643,0.346980903727598,0.551274308491364,0.181417551078041,0.311035362327078,0.445247365765971,0.256987831983535,0.407892080205112,0.431904788861292,0.270941467511068,0.437766816,0.449414088257274,0.118404341896344,0.347771328550738,0.34867910460407,0.103505348169184,0.35157779439985,0.408671387831403,0.10809994879896,0.372101572138729,0.389789395458907,0.160147126283472,0.457557963054204,0.427663527034514,0.268254610977526,0.317359312425235,0.490510610079576,0.152220956195419,0.241562201022728,0.383841585648801,0.168784822919355,0.26523022183303,0.415006111527353,0.171207315720267,0.340335915,0.439812418117932,0.164705481246646,0.267392489622731,0.368900949,0.078793658393639,0.295680575344325,0.301953049732004
"8","NY1614",1,1,29,120,1.31,0.6,0.61,2.52,0.15538903634013,0.194910356788979,0.119796021362954,0.133113166801602,0.425006681295187,0.365933599647415,0.221972910856551,0.320772554304741,0.506512605042017,0.166371865311763,0.467928056867516,0.530553090660433,-0.0649396027591951,0.357830060830845,0.529296963892087,0.0199048380965463,0.461402410552178,0.402456483209727,0.0275677827231848,0.247870531944835,0.222201707477249,0.259435231670085,0.31514449262611,0.525213282,0.1628115936219,0.240951097147628,0.516254484471522,0.261560839728962,0.317020766441978,0.544691447942075,0.174453373983482,0.283445797945891,0.458695410494333,0.257352322594052,0.396893967326564,0.452908559759487,0.267139524349122,0.412275991852917,0.470055598,0.121745016760117,0.333531114516615,0.361068441558834,0.0925163022547918,0.347855235268403,0.400314695290469,0.0692716698255547,0.376892208735346,0.387833474130393,0.145899796523394,0.44289317856303,0.430886031062204,0.274400774930811,0.285987813767748,0.504940786,0.162133296942043,0.253525402024527,0.431303749570003,0.171793959359095,0.260216688041959,0.441548847329365,0.162593537682849,0.309154983727819,0.440719766503674,0.191785150815581,0.289468172470699,0.397252829371198,0.104224391037393,0.321194451698548,0.326969081195186
"9","LANDER",1,1,28,121,1.05,0.56,0.59,2.21,0.124548464242089,0.181916333003047,0.115868282957612,0.0623079134411389,0.478439108785552,0.327681309252539,0.174525689378418,0.308898181914275,0.469935521378363,0.167808006843272,0.466535629661435,0.520545139385843,-0.0649061140143915,0.330504208973358,0.540605404706359,0.0229816251461327,0.455764257187422,0.364985627348833,0.0218930266871392,0.258652045398136,0.218261292498076,0.255423073281231,0.301321853527736,0.522457107843137,0.157930692770404,0.249299231300845,0.514855305769607,0.27221704308602,0.296917994878849,0.559286668481484,0.175969737714645,0.322200929162618,0.463049650887969,0.294098860820543,0.408245764554616,0.481578294287821,0.293587805628006,0.415195921434657,0.481340835683051,0.137642956782413,0.328589114462317,0.351336445309658,0.0976031171362165,0.309314657776386,0.392009188612684,0.0988358230289093,0.337337188638896,0.404687087738321,0.169638714484159,0.449523069701469,0.427999469368804,0.292566530887725,0.290282521610795,0.524698898376555,0.159252564795324,0.255707869624561,0.432638873811871,0.17781781145665,0.270657056816759,0.459553893102687,0.150481987162946,0.309710843241406,0.428993734480093,0.169246936696104,0.26882351378923,0.387039753622215,0.0892739574145565,0.3759319710126,0.336759401318796
"10","LIGHTNING_BOLT",1,1,27,122,1.65,0.69,0.63,2.97,0.195719015237568,0.224146910307326,0.123723759768297,0.208275373622542,0.389451045899806,0.463314195741535,0.260801332874759,0.400751545901379,0.539335790920142,0.194018570961538,0.485665760221363,0.544581524418364,-0.0607123966288045,0.35048640995928,0.520777484530796,0.0333980217001193,0.424802630155949,0.38646345047655,0.0425013960780027,0.264637564525874,0.24736318258284,0.3125165800565,0.37290422846489,0.5649600144545,0.197962292617873,0.291604102244771,0.537439823758205,0.295452889241837,0.363948586575517,0.55552855363237,0.189278363828602,0.366403420892454,0.468990287261178,0.281733397436113,0.436146550524456,0.476662586121902,0.279616829233657,0.448395179572843,0.46900570840058,0.128166223601466,0.342131724484666,0.368933451250957,0.0871352659857357,0.309241143531665,0.399341466431074,0.0820131564895689,0.341778077599248,0.399111959269173,0.157939478610798,0.44712132221138,0.434745816326726,0.300480069678213,0.321167437880325,0.52255218897904,0.17812050350994,0.26886612620984,0.436785367428141,0.191220391283029,0.317081514501274,0.458181992037086,0.180266727799013,0.349276806613056,0.438884046769393,0.189026426924972,0.27936289221024,0.394047293578149,0.112479859196802,0.377521027833997,0.342483705468869
"11","N-R-GEE",1,1,26,123,1.83,0.68,0.53,3.03,0.217070180536212,0.220898404360843,0.104085067741583,0.260818637139479,0.320927457544472,0.533728116,0.25975448867884,0.404941983654525,0.533321898227559,0.203714633911956,0.500372755752747,0.522223971502632,-0.0533116612434667,0.31519922016962,0.531179629308852,0.0365182711202986,0.397462851210175,0.342336579041454,0.0327840058208925,0.256880428,0.230705420267086,0.320017670763366,0.35433399321267,0.561417090874812,0.213155517632395,0.27932024728573,0.55414010184851,0.317933747679294,0.354353233830846,0.587897902003963,0.194778577301124,0.368105600755733,0.487309316444712,0.308692131627268,0.453845581144705,0.49350596554919,0.323471854034141,0.466406680105586,0.518149029655633,0.158221664368524,0.329942088197243,0.355265010039936,0.1031482574493,0.304754408880652,0.37986880967355,0.0703893295863433,0.356148559973208,0.349005762000618,0.174536289096639,0.448666455829644,0.415409927,0.284564844571963,0.29000619333755,0.499435615644107,0.169826124382334,0.27040065306406,0.427213463077709,0.186050861650853,0.300467787114846,0.454275273745862,0.185641262801053,0.377833470643159,0.477046959960455,0.190752674836381,0.268543562080951,0.386493993,0.118071382529898,0.335019200759889,0.318368953117579
