"plotNumber","germplasmName","replicate","rowNumber","colNumber","name","value","trait","doy","harvest","GDD_sum","loc","year"
2121460,"PERSIST_III",1,1,3,"GNDVI_130.5",0.277681453430386,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121470,"ALGONQUIN",1,1,2,"GNDVI_130.5",0.267536803414101,"GNDVI",131,"1",269.85,"NY-mus","2022"
2121480,"ONEIDA_ULTRA",1,1,1,"GNDVI_130.5",0.235349968017473,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122010,"SW5606",2,2,51,"GNDVI_130.5",0.248733209734471,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122020,"WL_349HQ",2,2,50,"GNDVI_130.5",0.234503728563959,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122030,"VERNAL",2,2,49,"GNDVI_130.5",0.156258697362873,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122040,"REGEN",2,2,48,"GNDVI_130.5",0.241250564931231,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122050,"GUARDSMAN_II",2,2,47,"GNDVI_130.5",0.227735487053922,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122060,"SEEDWAY_9558_SBR",2,2,46,"GNDVI_130.5",0.235171498350375,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122070,"GUARDSMAN_II",2,2,45,"GNDVI_130.5",0.245486497816668,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122080,"WL_349HQ",2,2,44,"GNDVI_130.5",0.270940175881867,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122090,"SEEDWAY_9558_SBR",2,2,43,"GNDVI_130.5",0.297419460890642,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122100,"VERNAL",2,2,42,"GNDVI_130.5",0.217510924741773,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122110,"SW5606",2,2,41,"GNDVI_130.5",0.302535293622098,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122120,"REGEN",2,2,40,"GNDVI_130.5",0.26569716603065,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122121,"BORDER",1,2,39,"GNDVI_130.5",0.277795906352563,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122122,"BORDER",1,2,38,"GNDVI_130.5",0.312443157169655,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122123,"BORDER",1,2,37,"GNDVI_130.5",0.313473891620946,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122130,"EZRA",2,2,36,"GNDVI_130.5",0.262763014492449,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122140,"NY0465",2,2,35,"GNDVI_130.5",0.219300969073028,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122150,"SW3407",2,2,34,"GNDVI_130.5",0.293192798153112,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122160,"PLUSS_III",2,2,33,"GNDVI_130.5",0.300151728713775,"GNDVI",131,"1",269.85,"NY-mus","2022"
