"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","GNDVI_133","GNDVI_159","GNDVI_164","GNDVI_168","GNDVI_171","GNDVI_175","GNDVI_178","GNDVI_181","GNDVI_187","GNDVI_189","GNDVI_192","GNDVI_194","GNDVI_196","GNDVI_207","GNDVI_223","GNDVI_231","GNDVI_236","GNDVI_238","GNDVI_243","GNDVI_245","GNDVI_252","GNDVI_258","GNDVI_259"
"ALGONQUIN",1,113,1,16,2.14,1.94,1.43,5.51,0.349609145320225,0.212780024144719,0.226449764257024,0.054023437019382,0.121476266054482,0.102063296355222,0.128348830186426,0.255567894428851,0.249092601834381,0.274576977132246,0.295864706774399,0.293908662930202,0.270357373858996,0.271572411149354,0.217008783393612,0.24188112645492,0.251287469005697,0.304577983342423,0.222279790742012,0.286949166694842,0.263976625129675,0.200977947851692,0.11838209839094
"SW315_LH",1,114,1,17,2.18,1.77,1.31,5.26,0.343449511341316,0.227812338262245,0.215091181611321,0.0606071681103992,0.11833545797526,0.0688884741600339,0.107153023194021,0.235273054211516,0.252443593808769,0.283005450742102,0.28431422295601,0.301300295960136,0.269774876577799,0.267049019761893,0.218384709081565,0.261916954545442,0.255183103697013,0.316203771763053,0.204053901605889,0.301365813803388,0.274576376905004,0.229404184450404,0.127227139446366
"NY0465",1,115,1,18,2.34,1.97,1.59,5.9,0.360638926676845,0.218107115207192,0.211161322712557,0.0608849328456958,0.143376177080708,0.124628669018647,0.136540070700092,0.260496788268997,0.242354792160272,0.278867602341572,0.272748710765438,0.288393477561205,0.253369848025773,0.269780441101735,0.223988864821445,0.265808740107775,0.257293645767363,0.318041505401187,0.189845157813932,0.300616609909854,0.264110413887522,0.231652466863097,0.131189294110306
"HI-GEST_360",1,116,1,19,2.06,1.97,1.38,5.42,0.380428572429714,0.226851788801968,0.21133724054857,0.0608787110734913,0.188393401565184,0.206500017178612,0.184521731873657,0.308321162693385,0.274793938289389,0.310069934361478,0.310029804946447,0.31875682022971,0.291755127386985,0.285829387115457,0.261273938280701,0.28155608791692,0.291450963173535,0.335337247110881,0.201243455816462,0.313650335908352,0.268942669414326,0.220456999015225,0.120646107423274
"N-R-GEE",1,117,1,20,1.98,1.86,1.38,5.22,0.369925839212102,0.211144398963747,0.219373068129695,0.0579024914078899,0.183526159865132,0.207923681134205,0.178313932855919,0.296058567746789,0.252217430771435,0.282447291313153,0.286861635152924,0.292027553176869,0.255599189827993,0.252296231429563,0.239269272302897,0.258079004112691,0.271315954232723,0.316489687739794,0.18231171482615,0.300133356929114,0.257185208080659,0.210563378492695,0.115315317354325
"PLUSS_III",1,118,1,21,1.84,1.91,1.13,4.88,0.382011256760756,0.190863974095796,0.182661746522197,0.0793197214852963,0.215838063204164,0.25476019803094,0.203868941671026,0.318524707553861,0.275234888290297,0.300863378209758,0.306275817337935,0.306920694324116,0.276886056506173,0.249759965778821,0.259484035177935,0.2693804116247,0.275508665799177,0.318587520825048,0.178777095236387,0.318372445808757,0.273200871836303,0.19198586100824,0.110933438685729
"SEEDWAY_9558_SBR",1,119,1,22,2.22,1.68,1.26,5.16,0.351933589746826,0.217133008002367,0.20188394832978,0.0489595893873089,0.146924953992505,0.161622694974594,0.142841580578899,0.260954371786222,0.247237879004522,0.281267739536464,0.290684615882467,0.279826600824418,0.249121534443479,0.247472779338503,0.227681350452144,0.241391869594812,0.268675375571522,0.289797496334414,0.174598829459416,0.299300192267049,0.281030885284021,0.230643688517425,0.142642169575951
"NY1517",1,120,1,23,2.19,1.67,1.37,5.23,0.347392068702196,0.215948115926011,0.198519839294954,0.0406598647720654,0.136263820325568,0.125075380614456,0.115906213314114,0.237377695614367,0.240164806163275,0.287210740169211,0.277341779565944,0.28127689024324,0.244247653487985,0.260087928902967,0.224694387909674,0.244156633082972,0.268761000159623,0.283600519662531,0.188370400287925,0.290033915178459,0.280586328882707,0.232483281065587,0.1185271708923
"SW5606",1,121,1,24,1.88,1.86,1.25,4.98,0.389843725056304,0.243550021602632,0.210358479596711,0.0748454851083537,0.207869367525643,0.238619571031801,0.200997613574999,0.301136319776893,0.279069139901826,0.327464603414607,0.309770220943205,0.314494350643497,0.276966341354535,0.280215783471588,0.273943894552865,0.278129612849151,0.297345920684205,0.317589762246121,0.206407985125179,0.308726696336388,0.285013502729555,0.197330951722138,0.108625307553452
"EZRA",1,122,1,25,2.14,2.03,1.44,5.6,0.377170826446686,0.217265732871897,0.201842676169241,0.0496140846812758,0.176593101511272,0.17904503177429,0.151779937682701,0.269385594159431,0.243089075875524,0.295660172196164,0.28966045388425,0.283509946139223,0.256950052934421,0.244271801486757,0.229742955452716,0.245355657002551,0.271783819163913,0.283970171969849,0.181575748968173,0.29841233016251,0.286055421583227,0.202533427467614,0.117897375161815
