"","Germplasm","Rep","Plot","Row","Range","GNDVI_133","NDRE_133","NDVI_133","GNDVI_159","NDRE_159","NDVI_159","GNDVI_164","NDRE_164","NDVI_164","GNDVI_168","NDRE_168","NDVI_168","GNDVI_171","NDRE_171","NDVI_171","GNDVI_175","NDRE_175","NDVI_175","GNDVI_178","NDRE_178","NDVI_178","GNDVI_181","NDRE_181","NDVI_181","GNDVI_187","NDRE_187","NDVI_187","GNDVI_189","NDRE_189","NDVI_189","GNDVI_192","NDRE_192","NDVI_192","GNDVI_194","NDRE_194","NDVI_194","GNDVI_196","NDRE_196","NDVI_196","GNDVI_207","NDRE_207","NDVI_207","GNDVI_223","NDRE_223","NDVI_223","GNDVI_231","NDRE_231","NDVI_231","GNDVI_236","NDRE_236","NDVI_236","GNDVI_238","NDRE_238","NDVI_238","GNDVI_243","NDRE_243","NDVI_243","GNDVI_245","NDRE_245","NDVI_245","GNDVI_252","NDRE_252","NDVI_252","GNDVI_258","NDRE_258","NDVI_258","GNDVI_259","NDRE_259","NDVI_259"
"1","ALGONQUIN",1,2111010,1,1,0.358506624749331,0.510757461383327,0.536721735875605,0.250438225939161,0.295460709117043,0.52306380869964,0.343562739337027,0.390342987347844,0.471553336931103,0.0173084588079548,0.387856033295231,0.322415662827164,0.0925548188345797,0.352527282054471,0.306683455623264,0.113975321258853,0.378001817701713,0.345670369619818,0.174027793862824,0.279879450179721,0.394186153286152,0.240791908509621,0.327444848267301,0.496344655329714,0.0896545187196144,0.399674723612849,0.302443027743012,0.0515278089887193,0.404950497880523,0.280597027728335,0.118063400442581,0.331059975194897,0.351730155917789,0.137881399502626,0.294103083135984,0.391612574862824,0.142109254820996,0.3190424972696,0.417374529197416,0.22593793508972,0.221525785556579,0.452936936146569,0.306898730810809,0.417354288871317,0.511622788402974,0.296666610957599,0.34723566773216,0.491107697842722,0.290839805628573,0.241175840673589,0.47356815151547,0.296647883545738,0.30823271302338,0.490419903626112,0.277879970665982,0.230945862337402,0.455437617608249,0.24593555541024,0.251550173419244,0.495805096232041,0.23093786245841,0.250075487535985,0.447388793322575,0.206588492669503,0.217774625391421,0.390724418384717,0.162473463948589,0.315187552591887,0.376146828609986
"2","NY2003",1,2111020,1,2,0.416885947675742,0.565870234961124,0.593210551155277,0.272688016033208,0.317428209755576,0.517229412625832,0.339521625711507,0.406694784702592,0.455591600484587,0.0215369681527232,0.381814238400891,0.327179284269762,0.107311773588516,0.321780632084057,0.282327086952925,0.158484134793098,0.336526746620978,0.367813476784387,0.206049239090625,0.2692126140059,0.413661180844666,0.27660176533958,0.403272450532725,0.527220282329066,0.0856932648534783,0.414740691489362,0.281854792448894,0.0553140742704047,0.401368948053155,0.279615625871202,0.105720339557417,0.340642257976728,0.353550867475278,0.143409877266058,0.285736289359443,0.391258775505046,0.136303195746094,0.32269699679094,0.397611698042114,0.217176990015688,0.206304338290126,0.416319106315158,0.312687942063402,0.405196294360381,0.487405679975339,0.297990390332904,0.335664549517761,0.450858759876569,0.279963361871726,0.218204150606111,0.423175660577621,0.30256867059306,0.327893220912339,0.460075099414496,0.273751773790886,0.183809870464193,0.404822117170785,0.257220596925042,0.305739576091271,0.48326660646598,0.238937775220622,0.269944019814739,0.425485821702814,0.260817683835264,0.269378349410504,0.392639177857638,0.148534497264738,0.26783819410117,0.331832008821628
"3","N-R-GEE",1,2111030,1,3,0.40753152648983,0.500896705486766,0.586332595989299,0.263368747032444,0.292596160115342,0.51619839855134,0.327350424669408,0.432957092026672,0.457332132044234,0.0518812253335839,0.367624051115214,0.293513291714294,0.149234349766754,0.262418775649795,0.301157220287692,0.229612605459902,0.294245070405237,0.464309641802227,0.228380915996139,0.269435941648409,0.475642719101894,0.299010309720592,0.386984789339077,0.553927850316328,0.0783162666774955,0.427653447017105,0.274282827492699,0.0547111075113326,0.409281379339924,0.289865397124945,0.0969232248883353,0.36547055870541,0.354902994330262,0.137509868951162,0.259657786764318,0.402732456835102,0.140810774334835,0.316124107136007,0.419721521059187,0.199563676707921,0.201954643154801,0.417932768931585,0.297393913854563,0.393218664221361,0.499185150213813,0.292630878235341,0.329950323107366,0.476712884165663,0.264825171470151,0.212136928173505,0.432464125353439,0.287321882095234,0.306624914642474,0.480277826553507,0.261648288952548,0.196213811194976,0.417806969531107,0.246740356703222,0.27565371061576,0.485126954007409,0.225454110737921,0.239960512393079,0.413305077231375,0.223144080479611,0.195698292220114,0.370852835757959,0.138829250889944,0.237971144340089,0.302279900930961
"4","SW5210",1,2111040,1,4,0.415309863122361,0.476818479418838,0.592938146975575,0.276951990663485,0.31333207854947,0.527298684076178,0.333802257902972,0.420569197097799,0.476055495592733,0.0675416463233585,0.322115243705853,0.308853717869809,0.159586443680668,0.256500117736156,0.305756597997849,0.254694636985381,0.317568762550432,0.474323735131384,0.243541701916543,0.267736681317996,0.485166957615054,0.321441286456777,0.438700222748992,0.565325533696394,0.0774409627949519,0.418609850855236,0.271217537546934,0.0658294641652476,0.38304641761918,0.30766642853824,0.116235782926636,0.322887544711927,0.369751658043786,0.167760409889271,0.255357244412428,0.429606705718059,0.171038329937038,0.302898051464209,0.458217099958151,0.247022995107488,0.254794929157345,0.451416853094705,0.313813088607498,0.412784337552139,0.512685159124788,0.31640865458218,0.356368466935116,0.485441902943252,0.286306016789299,0.242350421517884,0.45117902524208,0.306101590749759,0.341078893510266,0.486983561101208,0.28283265373745,0.241277075802072,0.433836359402518,0.265968969172627,0.280443418062014,0.479634359947453,0.248451408495043,0.2355761494629,0.411465919701214,0.228032497135886,0.210186621272303,0.3669360906206,0.140487229814721,0.247360862897195,0.304471652914559
"5","NY2003",1,2111050,1,5,0.390693987465129,0.416223696910291,0.567678167481,0.261227231015933,0.327864074922898,0.515469270712237,0.327290535222487,0.441529051987768,0.487993793847814,0.050967050475774,0.331209443418623,0.329032796975292,0.107868863495433,0.332656593292708,0.283789977407453,0.150573225734684,0.346476636333837,0.34172557022181,0.171579095851518,0.326141698888376,0.388829851539012,0.267893607134952,0.396166621899902,0.518584773330946,0.0564826667893187,0.451759099916562,0.246253128911139,0.0312311778618332,0.430740208587992,0.29911389419056,0.0752704567772453,0.362323115993385,0.354091070163005,0.121473897755518,0.296227672123816,0.383552147296428,0.132618188320014,0.308503144748986,0.389990745560761,0.215442225619431,0.185904139433551,0.40439092863096,0.298214603001014,0.393596885856948,0.489286049347969,0.300288562149138,0.333625582907828,0.462539333305658,0.285199809514366,0.238154770028661,0.43472719446515,0.299154344568847,0.349047895593433,0.472639683802916,0.267688619171852,0.20219974995648,0.404918879039375,0.255892100150738,0.299924063918371,0.480450021199547,0.241677921676013,0.254948069067844,0.402136823375717,0.206275166424296,0.183023558834037,0.346334615303785,0.122243231657502,0.24268584583631,0.302790569183139
"6","LIGHTNING_BOLT",1,2111060,1,6,0.385931932989084,0.35963206986733,0.57293456461831,0.258717222233455,0.333186638165891,0.51369627443584,0.304310585726898,0.433009975920193,0.489244851258581,0.0702427000762206,0.316802368181951,0.32557182215188,0.152026756967526,0.273684666377099,0.338689682096467,0.23029271158303,0.323099427354334,0.457528497624621,0.216544641683204,0.27606950096464,0.472489006225249,0.31199145850859,0.435732938484318,0.571266209000763,0.0535925097284072,0.468337896328744,0.258240900083438,0.0272043006687661,0.44823305803364,0.325130244633398,0.0903916565904271,0.339591574686772,0.384453555979558,0.136146061732964,0.2891491802758,0.437095396018626,0.157621155142381,0.304022970868274,0.448014408580701,0.232393154096769,0.235934406573964,0.448554195727508,0.301267546389123,0.427205268072141,0.516951320666491,0.294378138613306,0.355070087315095,0.48067056886269,0.254731062509385,0.222460058097313,0.427992151276465,0.2900600492201,0.323148700360376,0.481437695578181,0.230942895601476,0.20511617076209,0.397206566242316,0.240666944834291,0.291281268990835,0.486146413024413,0.228819117677657,0.246175436107515,0.406364361843622,0.195317807629008,0.195040455624908,0.371011075384066,0.127279244446998,0.257038417176826,0.327614611455442
"7","N-R-GEE",1,2111070,1,7,0.3409107949663,0.325391278443594,0.544729230479362,0.256553196323958,0.345733584403661,0.517589724853152,0.289519772074432,0.43328790387248,0.472733786408359,0.0673876782497916,0.320727747003136,0.3133295231396,0.134902423561332,0.295276551423952,0.3453103625171,0.192457956922553,0.316217214458187,0.435173925154396,0.189064810687818,0.293843052886073,0.444986909648894,0.289976956056339,0.406740102600918,0.551553371920851,0.0411323624231193,0.47110346266166,0.267137437421777,-0.00177456172720635,0.46841557476071,0.318390627122158,0.0748047487909529,0.353428271911174,0.363010866997401,0.0954481309218173,0.385771043834872,0.379388068472636,0.132017677463316,0.295397616612762,0.40014907984467,0.209746378197906,0.204729131026012,0.418819289087745,0.281277403415712,0.384420051912312,0.49679993209405,0.279067280766443,0.317391982595791,0.466424519922648,0.26241309529352,0.240642814110809,0.437020126197143,0.292155213562903,0.306134035703834,0.473930478327318,0.227628398752704,0.18973125871255,0.381810075053873,0.243596291317552,0.28559438663803,0.47288039285193,0.222689240212065,0.224108366288933,0.369881123386949,0.183566915882694,0.208977302184755,0.375550854926846,0.0983815077312842,0.22194618656286,0.297913062283737
"8","SW5210",1,2111080,1,8,0.347192444731662,0.353634103607851,0.54681975551202,0.275770567973015,0.372886212016647,0.512883677845315,0.272387566262511,0.41127840738742,0.458522516040055,0.0595331050762779,0.33382689996776,0.307286116240218,0.128313690223031,0.297454522420783,0.333238706875155,0.191172034341401,0.326747677330095,0.407937475280513,0.19931690132818,0.280607033723803,0.442092004207895,0.305810741531201,0.430601814546214,0.547972065538544,0.0363701057909847,0.479118690029203,0.265810127242386,-0.0182945294547268,0.478106981764634,0.325060582016255,0.0744808300148906,0.34227707185934,0.356963032126431,0.0990957903018137,0.412041885222344,0.392265317489644,0.15607340264208,0.261829010625593,0.425369114329751,0.233166241348941,0.225880159670132,0.431874661870714,0.315197758095957,0.407768232226437,0.504244866473969,0.304421778168834,0.372372313780841,0.483143481810508,0.27422975883158,0.224371537656648,0.422150878555956,0.31287349973185,0.339441745520762,0.484097421389783,0.240573534025415,0.221231779773801,0.378425507790354,0.25581616343457,0.284739975394624,0.467189183365654,0.238674502539756,0.228687746428086,0.372631068707254,0.18561075169026,0.203913792741105,0.369803501250447,0.117161570353334,0.252354715641913,0.313367428419332
"9","SW3407",1,2111090,1,9,0.395380805961657,0.382773929228088,0.57149965466559,0.267732459475539,0.352772641775199,0.514086794137945,0.255336987232187,0.415363374707681,0.452830395155004,0.0755695740300703,0.307236730267593,0.279715994020927,0.154267848451598,0.285291397214277,0.336990631347676,0.214261966090172,0.324118190965707,0.443551379559375,0.220812696804817,0.282895665237281,0.460970732736063,0.33152589219448,0.457674877731413,0.571609757556722,0.0307584146106504,0.4742366760534,0.255461775135586,-0.0319912789969878,0.485772842904934,0.337902930722052,0.0611764687780208,0.372004488542405,0.359954671627687,0.097260467531102,0.421626130310326,0.409125735373105,0.172082314808137,0.249742908615815,0.442976748221412,0.254651545945239,0.251747198879552,0.456806868580766,0.32393561955686,0.412457895644753,0.507989764820884,0.306525437702974,0.366282812348652,0.489792436381751,0.292928290104356,0.246225096499424,0.43865198265635,0.324926166013285,0.362278610875923,0.502183957716983,0.254299956296455,0.233132329230647,0.391615650785201,0.26386622399979,0.30220670965135,0.477596410744081,0.238401176191158,0.227154350434777,0.374431656292303,0.150216487214655,0.228843284366265,0.30978563772776,0.102561294626545,0.230044867825673,0.276369802333889
"10","ALGONQUIN",1,2111100,1,10,0.35394084912351,0.319632872824723,0.551006801927349,0.22430580602693,0.300787684419398,0.505715663516175,0.23372818624659,0.399585408534123,0.470599751723725,0.0421863964820409,0.376241390427621,0.276414754242504,0.0857947130902044,0.336900311284851,0.313362884710846,0.0885994131430496,0.399430740037951,0.340631006552323,0.122248293203118,0.299664603552415,0.374662076683374,0.240347169829032,0.351820813561345,0.506055152654669,0.00694957191394296,0.501254954109303,0.247616421568627,-0.0434779881728432,0.493241834830907,0.313346486243057,0.0296050280565571,0.404009676871285,0.346203451858468,0.0510114275678404,0.48225199790038,0.364650596497113,0.117565208037496,0.28646744407458,0.396633038639152,0.214337470177647,0.189481792717087,0.41813010620915,0.292614229878062,0.386318291271852,0.497746445734062,0.273990377897111,0.302601740766878,0.48132605476912,0.274123605734513,0.268557203508184,0.462793279705044,0.28987744985304,0.314133474136094,0.507638946784761,0.232996262150754,0.21524044646107,0.42355428046925,0.236665136566463,0.272673927255912,0.484788551726826,0.211966578521371,0.231993391333688,0.403631043279202,0.156097494116025,0.2687239140029,0.364804236807263,0.0867822091146623,0.202462958033892,0.297289884279504
